team_id,position,team_position_start_rank,player_name,price_m,start_prob,conditional_start_prob,availability_risk,round_specific_rotation_risk,match_1_opponent_team,weighted_group_stage_ev,optimizer_ev,start_prob_source,source_note
ALG,DEF,1,Rayan Ait-Nouri,3.0,0.8435,0.97,high_risk,,ARG,2.410297,2.410297,transfermarkt_availability_split_2026_06_07,
ALG,DEF,2,Zineddine Belaid,2.5,0.7139,0.8301,high_risk,,ARG,1.895712,1.895712,transfermarkt_availability_split_2026_06_07,
ALG,DEF,3,Aissa Mandi,3.0,0.6633,0.7278,medium_risk,,ARG,2.066717,2.066717,transfermarkt_availability_split_2026_06_07,
ALG,DEF,4,Ramy Bensebaini,3.0,0.6387,0.721,medium_risk,,ARG,1.969947,1.969947,transfermarkt_availability_split_2026_06_07,
ALG,FWD,1,Amine Gouiri,3.0,0.8042,0.9222,high_risk,,ARG,1.243522,1.243522,transfermarkt_availability_split_2026_06_07,
ALG,FWD,2,Riyad Mahrez,4.0,0.6319,0.7106,medium_risk,,ARG,2.657649,2.657649,transfermarkt_availability_split_2026_06_07,
ALG,GK,1,Luca Zidane,3.0,0.782,0.782,medium_risk,,ARG,1.988224,1.988224,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,
ALG,MID,1,Houssem Aouar,2.5,0.7734,0.8993,high_risk,,ARG,0.791237,0.791237,transfermarkt_availability_split_2026_06_07,
ARG,DEF,1,Nicolas Tagliafico,4.0,0.8693,0.9164,low_risk,,ALG,3.749249,3.749249,transfermarkt_availability_split_2026_06_07,
ARG,DEF,2,Cristian Romero,4.0,0.6811,0.7231,medium_risk,,ALG,3.346897,3.346897,transfermarkt_availability_split_2026_06_07,
ARG,DEF,3,Nahuel Molina,4.0,0.6568,0.6959,medium_risk,,ALG,3.184167,3.184167,transfermarkt_availability_split_2026_06_07,
ARG,DEF,4,Nicolas Otamendi,4.5,0.6444,0.7025,medium_risk,,ALG,3.143981,3.143981,transfermarkt_availability_split_2026_06_07,
ARG,FWD,1,Lionel Messi,8.0,0.84,0.92,medium_risk,medium,ALG,5.684437,5.684437,manual_context_override_safe,Manual context review: Messi had injury context but should be treated as Argentina starter whenever fit. Uncertainty should mainly be availability/load management rather than competition for role.
ARG,FWD,2,Julian Alvarez,6.0,0.6306,0.6727,medium_risk,,ALG,3.843021,3.843021,transfermarkt_availability_split_2026_06_07,
ARG,FWD,3,Lautaro Martinez,8.0,0.6282,0.6482,medium_risk,,ALG,4.935886,4.935886,transfermarkt_availability_split_2026_06_07,
ARG,GK,1,Emiliano Martinez,5.0,0.938,0.938,medium_risk,,ALG,4.186417,4.186417,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,
ARG,MID,1,Thiago Almada,5.5,0.765,0.8895,high_risk,,ALG,3.032293,3.032293,transfermarkt_availability_split_2026_06_07,
ARG,MID,2,Enzo Fernandez,5.0,0.6606,0.7021,medium_risk,,ALG,2.835655,2.835655,transfermarkt_availability_split_2026_06_07,
ARG,MID,3,Alexis Mac Allister,4.5,0.6336,0.6814,medium_risk,,ALG,3.337239,3.337239,transfermarkt_availability_split_2026_06_07,
AUS,DEF,1,Harry Souttar,2.5,0.9494,0.97,low_risk,,,1.830288,1.830288,transfermarkt_availability_split_2026_06_07,
AUS,DEF,2,Lucas Herrington,2.0,0.9204,0.97,low_risk,,TUR,1.361049,1.361049,transfermarkt_availability_split_2026_06_07,
AUS,DEF,3,Alessandro Circati,2.5,0.8608,0.9284,medium_risk,,TUR,1.752536,1.752536,transfermarkt_availability_split_2026_06_07,
AUS,DEF,4,Aziz Behich,2.5,0.6127,0.6723,medium_risk,,TUR,1.349805,1.349805,transfermarkt_availability_split_2026_06_07,
AUS,FWD,1,Tete Yengi,2.0,0.8851,0.97,unknown,,,0.424195,0.424195,transfermarkt_availability_split_2026_06_07,
AUS,GK,1,Mathew Ryan,3.0,0.8931,0.8931,medium_risk,,TUR,1.927421,1.927421,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,
AUS,MID,1,Cristian Volpato,2.5,0.8851,0.97,unknown,,,0.815251,0.815251,transfermarkt_availability_split_2026_06_07,
AUS,MID,2,Aiden O'Neill,2.5,0.8832,0.9065,low_risk,,TUR,1.324131,1.324131,transfermarkt_availability_split_2026_06_07,
AUS,MID,3,Connor Metcalfe,3.0,0.6532,0.7024,medium_risk,,TUR,1.166362,1.166362,transfermarkt_availability_split_2026_06_07,
AUS,MID,4,Jackson Irvine,2.5,0.6517,0.6928,medium_risk,,,0.250204,0.250204,transfermarkt_availability_split_2026_06_07,
AUT,DEF,1,Philipp Lienhart,3.0,0.84,0.9,low_risk,low,JOR,3.196748,3.196748,transfermarkt_availability_split_2026_06_07,Manual review: looks like Austria starter; raised after Transfermarkt usage review and expert-start audit.
AUT,DEF,2,Stefan Posch,3.0,0.84,0.9,low_risk,low,JOR,3.12944,3.12944,transfermarkt_availability_split_2026_06_07,Manual review: looks like fairly secure Austria starter; added value from notable national-team goal/assist output.
AUT,DEF,3,Phillipp Mwene,2.5,0.76,0.82,medium_risk,medium,JOR,2.395723,2.395723,manual_context_override_safe,"Manual context review: frequent Austria starter with substantial recent minutes, but defensive role competition remains."
AUT,FWD,1,Marko Arnautovic,4.5,0.82,0.88,low_risk,medium,JOR,4.27234,4.27234,transfermarkt_availability_split_2026_06_07,Manual review: expected Austria starter and strong round 1 value vs Jordan; some rotation/minute risk retained.
AUT,FWD,2,Michael Gregoritsch,3.5,0.6046,0.6229,medium_risk,,JOR,2.82186,2.82186,transfermarkt_availability_split_2026_06_07,
AUT,GK,1,Alexander Schlager,3.5,0.9,0.95,low_risk,low,JOR,2.8420675206252715,2.8420675206252715,manual_context_override_safe,"Seneste kamp vægtes højest: startede og spillede 90 minutter mod Tunesien 1. juni 2026. Bænken mod Sydkorea vurderes som rotation i en tæt serie af tre testkampe, ikke som tab af førsterollen."
AUT,MID,1,Marcel Sabitzer,4.5,0.9019,0.9372,low_risk,,JOR,3.699338,3.699338,transfermarkt_availability_split_2026_06_07,
AUT,MID,2,Konrad Laimer,3.0,0.86,0.91,low_risk,low,JOR,2.965516,2.965516,transfermarkt_availability_split_2026_06_07,Manual review: looks like secure Austria starter; raised after Transfermarkt usage review and expert-start audit.
AUT,MID,3,Nicolas Seiwald,2.5,0.7343,0.7475,low_risk,,JOR,2.24346,2.24346,transfermarkt_availability_split_2026_06_07,
AUT,MID,4,Xaver Schlager,2.5,0.6421,0.6762,medium_risk,,JOR,0.577999,0.577999,transfermarkt_availability_split_2026_06_07,
AUT,MID,5,Romano Schmid,3.0,0.6361,0.6564,medium_risk,,JOR,2.499703,2.499703,transfermarkt_availability_split_2026_06_07,
BEL,DEF,1,Nathan Ngoy,2.0,0.8806,0.9281,low_risk,,EGY,2.141272,2.141272,transfermarkt_availability_split_2026_06_07,
BEL,DEF,2,Arthur Theate,3.0,0.86,0.91,low_risk,low,EGY,3.336097,3.336097,manual_context_override_safe,Manual context review: regular Belgium starter. Recent friendly rotation should not outweigh qualification usage.
