player_id,player_name,team_id,position,match_no,opponent,start_prob,clean_sheet_prob_used,old_clean_sheet_ev,new_clean_sheet_ev,old_weighted_match_ev,new_weighted_match_ev,repair_status
kerem_akt_rko_lu__tur,Kerem Akturkoglu,TUR,MID,1,AUS,0.904,0.411,0.0,0,2.478131,2.478133,unchanged_already_consistent
kerem_akt_rko_lu__tur,Kerem Akturkoglu,TUR,MID,2,PAR,0.904,0.375,0.0,0,2.324184,2.324185,unchanged_already_consistent
kerem_akt_rko_lu__tur,Kerem Akturkoglu,TUR,MID,3,USA,0.904,0.2766,0.0,0,1.792121,1.792121,unchanged_already_consistent
jonathan_david__can,Jonathan David,CAN,FWD,1,BIH,0.9198,0.4226,0.0,0,2.29973,2.29973,unchanged_already_consistent
jonathan_david__can,Jonathan David,CAN,FWD,2,QAT,0.9198,0.5774,0.0,0,2.677799,2.677802,unchanged_already_consistent
jonathan_david__can,Jonathan David,CAN,FWD,3,SUI,0.9198,0.25,0.0,0,1.024283,1.024285,unchanged_already_consistent
cristiano_ronaldo__por,Cristiano Ronaldo,POR,FWD,1,COD,0.9167,0.5,0.0,0,2.127001,2.127001,unchanged_already_consistent
cristiano_ronaldo__por,Cristiano Ronaldo,POR,FWD,2,UZB,0.9167,0.5,0.0,0,2.031785,2.031785,unchanged_already_consistent
cristiano_ronaldo__por,Cristiano Ronaldo,POR,FWD,3,COL,0.9167,0.3547,0.0,0,1.120244,1.120244,unchanged_already_consistent
vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,1,MAR,0.887,0.4624,0.0,0,1.788766,1.788766,unchanged_already_consistent
vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,2,HAI,0.887,0.6453,0.0,0,1.952577,1.952579,unchanged_already_consistent
vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,3,SCO,0.887,0.5,0.0,0,1.470199,1.4702,unchanged_already_consistent
unai_sim_n__esp,Unai Simon,ESP,GK,1,CPV,0.8605,0.625,0.537813,0.537813,1.74373,1.74373,unchanged_already_consistent
unai_sim_n__esp,Unai Simon,ESP,GK,2,KSA,0.8605,0.6627,0.570253,0.570253,1.985991,1.985991,unchanged_already_consistent
unai_sim_n__esp,Unai Simon,ESP,GK,3,URU,0.8605,0.4226,0.363647,0.363647,1.251273,1.251273,unchanged_already_consistent
lamine_yamal__esp,Lamine Yamal,ESP,FWD,1,CPV,0.9024,0.625,0.0,0,1.577234,1.577234,unchanged_already_consistent
lamine_yamal__esp,Lamine Yamal,ESP,FWD,2,KSA,0.9024,0.6627,0.0,0,1.71729,1.71729,unchanged_already_consistent
lamine_yamal__esp,Lamine Yamal,ESP,FWD,3,URU,0.9024,0.4226,0.0,0,1.203867,1.203867,unchanged_already_consistent
ra_l_jim_nez__mex,Raul Jimenez,MEX,FWD,1,RSA,0.7885,0.5376,0.0,0,2.111421,2.111421,unchanged_already_consistent
ra_l_jim_nez__mex,Raul Jimenez,MEX,FWD,2,KOR,0.7885,0.4415,0.0,0,1.661342,1.661342,unchanged_already_consistent
ra_l_jim_nez__mex,Raul Jimenez,MEX,FWD,3,CZE,0.7885,0.411,0.0,0,1.236883,1.236883,unchanged_already_consistent
cody_gakpo__ned,Cody Gakpo,NED,FWD,1,JPN,0.9308,0.3373,0.0,0,1.490455,1.490455,unchanged_already_consistent
cody_gakpo__ned,Cody Gakpo,NED,FWD,2,SWE,0.9308,0.4226,0.0,0,1.655723,1.655724,unchanged_already_consistent
cody_gakpo__ned,Cody Gakpo,NED,FWD,3,TUN,0.9308,0.4624,0.0,0,1.416895,1.416898,unchanged_already_consistent
harry_kane__eng,Harry Kane,ENG,FWD,1,CRO,0.92,0.4118,0.0,0,1.426476,1.426476,unchanged_already_consistent
harry_kane__eng,Harry Kane,ENG,FWD,2,GHA,0.92,0.5,0.0,0,1.630912,1.630912,unchanged_already_consistent
harry_kane__eng,Harry Kane,ENG,FWD,3,PAN,0.92,0.5376,0.0,0,1.283177,1.283179,unchanged_already_consistent
mike_maignan__fra,Mike Maignan,FRA,GK,1,SEN,0.9407,0.4624,0.43498,0.43498,1.442053,1.442053,unchanged_already_consistent
mike_maignan__fra,Mike Maignan,FRA,GK,2,IRQ,0.9407,0.6627,0.623402,0.623402,1.866873,1.866873,unchanged_already_consistent
mike_maignan__fra,Mike Maignan,FRA,GK,3,NOR,0.9407,0.375,0.352762,0.352762,1.035765,1.035765,unchanged_already_consistent
emiliano_mart_nez__arg,Emiliano Martinez,ARG,GK,1,ALG,0.9526,0.5135,0.48916,0.48916,1.591318,1.591318,unchanged_already_consistent
emiliano_mart_nez__arg,Emiliano Martinez,ARG,GK,2,AUT,0.9526,0.4226,0.402569,0.402569,1.219995,1.219995,unchanged_already_consistent
emiliano_mart_nez__arg,Emiliano Martinez,ARG,GK,3,JOR,0.9526,0.5774,0.550031,0.550031,1.516026,1.516026,unchanged_already_consistent
lionel_messi__arg,Lionel Messi,ARG,FWD,1,ALG,0.6783,0.5135,0.0,0,1.649179,1.649179,unchanged_already_consistent
lionel_messi__arg,Lionel Messi,ARG,FWD,2,AUT,0.6783,0.4226,0.0,0,1.359652,1.359652,unchanged_already_consistent
lionel_messi__arg,Lionel Messi,ARG,FWD,3,JOR,0.6783,0.5774,0.0,0,1.313504,1.313504,unchanged_already_consistent
lautaro_mart_nez__arg,Lautaro Martinez,ARG,FWD,1,ALG,0.623,0.5135,0.0,0,1.695642,1.695642,unchanged_already_consistent
lautaro_mart_nez__arg,Lautaro Martinez,ARG,FWD,2,AUT,0.623,0.4226,0.0,0,1.406032,1.406032,unchanged_already_consistent
lautaro_mart_nez__arg,Lautaro Martinez,ARG,FWD,3,JOR,0.623,0.5774,0.0,0,1.352069,1.352069,unchanged_already_consistent
alisson_becker__bra,Alisson Becker,BRA,GK,1,MAR,0.7986,0.4624,0.369273,0.369273,1.214426,1.214426,unchanged_already_consistent
alisson_becker__bra,Alisson Becker,BRA,GK,2,HAI,0.7986,0.6453,0.515337,0.515337,1.514921,1.514921,unchanged_already_consistent
alisson_becker__bra,Alisson Becker,BRA,GK,3,SCO,0.7986,0.5,0.3993,0.3993,1.110684,1.110685,unchanged_already_consistent
breel_embolo__sui,Breel Embolo,SUI,FWD,1,QAT,0.9215,0.5585,0.0,0,1.49824,1.49824,unchanged_already_consistent
breel_embolo__sui,Breel Embolo,SUI,FWD,2,BIH,0.9215,0.4624,0.0,0,1.507232,1.507232,unchanged_already_consistent
breel_embolo__sui,Breel Embolo,SUI,FWD,3,CAN,0.9215,0.3547,0.0,0,1.142347,1.142348,unchanged_already_consistent
kylian_mbapp__fra,Kylian Mbappe,FRA,FWD,1,SEN,0.6765,0.4624,0.0,0,1.417473,1.417473,unchanged_already_consistent
kylian_mbapp__fra,Kylian Mbappe,FRA,FWD,2,IRQ,0.6765,0.6627,0.0,0,1.414188,1.414188,unchanged_already_consistent
kylian_mbapp__fra,Kylian Mbappe,FRA,FWD,3,NOR,0.6765,0.375,0.0,0,0.965421,0.965422,unchanged_already_consistent
jordan_pickford__eng,Jordan Pickford,ENG,GK,1,CRO,0.8648,0.4118,0.356125,0.356125,1.16625,1.16625,unchanged_already_consistent
jordan_pickford__eng,Jordan Pickford,ENG,GK,2,GHA,0.8648,0.5,0.4324,0.4324,1.313088,1.313088,unchanged_already_consistent
jordan_pickford__eng,Jordan Pickford,ENG,GK,3,PAN,0.8648,0.5376,0.464916,0.464916,1.291006,1.291008,unchanged_already_consistent
marquinhos__bra,Marquinhos,BRA,DEF,1,MAR,0.9004,0.4624,0.416345,0.416345,1.275245,1.275245,unchanged_already_consistent
marquinhos__bra,Marquinhos,BRA,DEF,2,HAI,0.9004,0.6453,0.581028,0.581028,1.567841,1.567841,unchanged_already_consistent
marquinhos__bra,Marquinhos,BRA,DEF,3,SCO,0.9004,0.5,0.4502,0.4502,1.142586,1.142586,unchanged_already_consistent
mohamed_salah__egy,Mohamed Salah,EGY,FWD,1,BEL,0.8587,0.1717,0.0,0,0.713476,0.713476,unchanged_already_consistent
mohamed_salah__egy,Mohamed Salah,EGY,FWD,2,NZL,0.8587,0.4624,0.0,0,1.733958,1.73396,unchanged_already_consistent
mohamed_salah__egy,Mohamed Salah,EGY,FWD,3,IRN,0.8587,0.411,0.0,0,1.473964,1.473964,unchanged_already_consistent
nico_williams__esp,Nico Williams,ESP,FWD,1,CPV,0.838,0.625,0.0,0,1.41679,1.41679,unchanged_already_consistent
nico_williams__esp,Nico Williams,ESP,FWD,2,KSA,0.838,0.6627,0.0,0,1.553392,1.553392,unchanged_already_consistent
nico_williams__esp,Nico Williams,ESP,FWD,3,URU,0.838,0.4226,0.0,0,1.09222,1.09222,unchanged_already_consistent
denzel_dumfries__ned,Denzel Dumfries,NED,DEF,1,JPN,0.9243,0.3373,0.311766,0.311766,1.181243,1.181243,unchanged_already_consistent
denzel_dumfries__ned,Denzel Dumfries,NED,DEF,2,SWE,0.9243,0.4226,0.390609,0.390609,1.359546,1.359546,unchanged_already_consistent
denzel_dumfries__ned,Denzel Dumfries,NED,DEF,3,TUN,0.9243,0.4624,0.427396,0.427396,1.306243,1.306245,unchanged_already_consistent
maxim_de_cuyper__bel,Maxim De Cuyper,BEL,DEF,1,EGY,0.8825,0.3923,0.346205,0.346205,1.262007,1.262007,unchanged_already_consistent
maxim_de_cuyper__bel,Maxim De Cuyper,BEL,DEF,2,IRN,0.8825,0.5,0.44125,0.44125,1.417377,1.417379,unchanged_already_consistent
maxim_de_cuyper__bel,Maxim De Cuyper,BEL,DEF,3,NZL,0.8825,0.5135,0.453164,0.453164,1.315142,1.31514,unchanged_already_consistent
raul_rangel__mex,Raul Rangel,MEX,GK,1,RSA,0.9397,0.5376,0.505183,0.505183,1.648359,1.648359,unchanged_already_consistent
raul_rangel__mex,Raul Rangel,MEX,GK,2,KOR,0.9397,0.4415,0.414878,0.414878,1.278524,1.278523,unchanged_already_consistent
raul_rangel__mex,Raul Rangel,MEX,GK,3,CZE,0.9397,0.411,0.386217,0.386217,1.112043,1.112043,unchanged_already_consistent
erling_haaland__nor,Erling Haaland,NOR,FWD,1,IRQ,0.9058,0.5585,0.0,0,1.574396,1.574396,unchanged_already_consistent
erling_haaland__nor,Erling Haaland,NOR,FWD,2,SEN,0.9058,0.3373,0.0,0,1.225228,1.225229,unchanged_already_consistent
erling_haaland__nor,Erling Haaland,NOR,FWD,3,FRA,0.9058,0.2077,0.0,0,0.642988,0.64299,unchanged_already_consistent
cristian_romero__arg,Cristian Romero,ARG,DEF,1,ALG,0.9113,0.5135,0.467953,0.467953,1.46782,1.46782,unchanged_already_consistent
cristian_romero__arg,Cristian Romero,ARG,DEF,2,AUT,0.9113,0.4226,0.385115,0.385115,1.130762,1.130763,unchanged_already_consistent
cristian_romero__arg,Cristian Romero,ARG,DEF,3,JOR,0.9113,0.5774,0.526185,0.526185,1.363301,1.363302,unchanged_already_consistent
sadio_man__sen,Sadio Mane,SEN,FWD,1,FRA,0.8924,0.1573,0.0,0,0.693939,0.693939,unchanged_already_consistent
sadio_man__sen,Sadio Mane,SEN,FWD,2,NOR,0.8924,0.2337,0.0,0,0.958274,0.958274,unchanged_already_consistent
sadio_man__sen,Sadio Mane,SEN,FWD,3,IRQ,0.8924,0.5,0.0,0,2.122315,2.122316,unchanged_already_consistent
r_ben_dias__por,Ruben Dias,POR,DEF,1,COD,0.9428,0.5,0.4714,0.4714,1.526769,1.526769,unchanged_already_consistent
r_ben_dias__por,Ruben Dias,POR,DEF,2,UZB,0.9428,0.5,0.4714,0.4714,1.407741,1.407741,unchanged_already_consistent
r_ben_dias__por,Ruben Dias,POR,DEF,3,COL,0.9428,0.3547,0.334411,0.334411,0.89609,0.89609,unchanged_already_consistent
matheus_cunha__bra,Matheus Cunha,BRA,FWD,1,MAR,0.7528,0.4624,0.0,0,1.310587,1.310587,unchanged_already_consistent
matheus_cunha__bra,Matheus Cunha,BRA,FWD,2,HAI,0.7528,0.6453,0.0,0,1.425211,1.425211,unchanged_already_consistent
matheus_cunha__bra,Matheus Cunha,BRA,FWD,3,SCO,0.7528,0.5,0.0,0,1.065164,1.065164,unchanged_already_consistent
thibaut_courtois__bel,Thibaut Courtois,BEL,GK,1,EGY,0.8305,0.3923,0.325805,0.325805,1.097819,1.097819,unchanged_already_consistent
thibaut_courtois__bel,Thibaut Courtois,BEL,GK,2,IRN,0.8305,0.5,0.41525,0.41525,1.253863,1.253865,unchanged_already_consistent
thibaut_courtois__bel,Thibaut Courtois,BEL,GK,3,NZL,0.8305,0.5135,0.426462,0.426462,1.201721,1.201721,unchanged_already_consistent
jonathan_tah__ger,Jonathan Tah,GER,DEF,1,CUW,0.8398,0.6881,0.577866,0.577866,1.695717,1.695717,unchanged_already_consistent
jonathan_tah__ger,Jonathan Tah,GER,DEF,2,CIV,0.8398,0.4226,0.354899,0.354899,1.023378,1.023378,unchanged_already_consistent
jonathan_tah__ger,Jonathan Tah,GER,DEF,3,ECU,0.8398,0.411,0.345158,0.345158,0.88774,0.88774,unchanged_already_consistent
ezri_konsa__eng,Ezri Konsa,ENG,DEF,1,CRO,0.8094,0.4118,0.333311,0.333311,1.118767,1.118766,unchanged_already_consistent
ezri_konsa__eng,Ezri Konsa,ENG,DEF,2,GHA,0.8094,0.5,0.4047,0.4047,1.26386,1.26386,unchanged_already_consistent
ezri_konsa__eng,Ezri Konsa,ENG,DEF,3,PAN,0.8094,0.5376,0.435133,0.435133,1.187565,1.187566,unchanged_already_consistent
diogo_costa__por,Diogo Costa,POR,GK,1,COD,0.7574,0.5,0.3787,0.3787,1.261676,1.261676,unchanged_already_consistent
diogo_costa__por,Diogo Costa,POR,GK,2,UZB,0.7574,0.5,0.3787,0.3787,1.150979,1.150979,unchanged_already_consistent
diogo_costa__por,Diogo Costa,POR,GK,3,COL,0.7574,0.3547,0.26865,0.26865,0.774149,0.77415,unchanged_already_consistent
aymeric_laporte__esp,Aymeric Laporte,ESP,DEF,1,CPV,0.6498,0.625,0.406125,0.406125,1.276736,1.276736,unchanged_already_consistent
aymeric_laporte__esp,Aymeric Laporte,ESP,DEF,2,KSA,0.6498,0.6627,0.430622,0.430622,1.506188,1.506188,unchanged_already_consistent
aymeric_laporte__esp,Aymeric Laporte,ESP,DEF,3,URU,0.6498,0.4226,0.274605,0.274605,0.961622,0.961622,unchanged_already_consistent
bart_verbruggen__ned,Bart Verbruggen,NED,GK,1,JPN,0.9051,0.3373,0.30529,0.30529,1.006492,1.006492,unchanged_already_consistent
bart_verbruggen__ned,Bart Verbruggen,NED,GK,2,SWE,0.9051,0.4226,0.382495,0.382495,1.161486,1.161488,unchanged_already_consistent
bart_verbruggen__ned,Bart Verbruggen,NED,GK,3,TUN,0.9051,0.4624,0.418518,0.418518,1.165418,1.165419,unchanged_already_consistent
enner_valencia__ecu,Enner Valencia,ECU,FWD,1,CIV,0.883,0.4226,0.0,0,1.142408,1.142408,unchanged_already_consistent
enner_valencia__ecu,Enner Valencia,ECU,FWD,2,CUW,0.883,0.5585,0.0,0,1.919005,1.919006,unchanged_already_consistent
enner_valencia__ecu,Enner Valencia,ECU,FWD,3,GER,0.883,0.1717,0.0,0,0.701471,0.701473,unchanged_already_consistent
manuel_akanji__sui,Manuel Akanji,SUI,DEF,1,QAT,0.939,0.5585,0.524431,0.524431,1.524539,1.524539,unchanged_already_consistent
manuel_akanji__sui,Manuel Akanji,SUI,DEF,2,BIH,0.939,0.4624,0.434194,0.434194,1.251732,1.251733,unchanged_already_consistent
manuel_akanji__sui,Manuel Akanji,SUI,DEF,3,CAN,0.939,0.3547,0.333063,0.333063,0.927109,0.92711,unchanged_already_consistent
nico_schlotterbeck__ger,Nico Schlotterbeck,GER,DEF,1,CUW,0.8204,0.6881,0.564517,0.564517,1.652155,1.652155,unchanged_already_consistent
nico_schlotterbeck__ger,Nico Schlotterbeck,GER,DEF,2,CIV,0.8204,0.4226,0.346701,0.346701,0.994418,0.99442,unchanged_already_consistent
nico_schlotterbeck__ger,Nico Schlotterbeck,GER,DEF,3,ECU,0.8204,0.411,0.337184,0.337184,0.867796,0.867795,unchanged_already_consistent
omar_marmoush__egy,Omar Marmoush,EGY,FWD,1,BEL,0.8572,0.1717,0.0,0,0.610019,0.610019,unchanged_already_consistent
omar_marmoush__egy,Omar Marmoush,EGY,FWD,2,NZL,0.8572,0.4624,0.0,0,1.463572,1.463574,unchanged_already_consistent
omar_marmoush__egy,Omar Marmoush,EGY,FWD,3,IRN,0.8572,0.411,0.0,0,1.257169,1.257169,unchanged_already_consistent
virgil_van_dijk__ned,Virgil van Dijk,NED,DEF,1,JPN,0.9438,0.3373,0.318344,0.318344,1.006064,1.006064,unchanged_already_consistent
virgil_van_dijk__ned,Virgil van Dijk,NED,DEF,2,SWE,0.9438,0.4226,0.39885,0.39885,1.169755,1.169757,unchanged_already_consistent
virgil_van_dijk__ned,Virgil van Dijk,NED,DEF,3,TUN,0.9438,0.4624,0.436413,0.436413,1.139971,1.139973,unchanged_already_consistent
nuno_mendes__por,Nuno Mendes,POR,DEF,1,COD,0.6832,0.5,0.3416,0.3416,1.344801,1.344801,unchanged_already_consistent
nuno_mendes__por,Nuno Mendes,POR,DEF,2,UZB,0.6832,0.5,0.3416,0.3416,1.242336,1.242338,unchanged_already_consistent
nuno_mendes__por,Nuno Mendes,POR,DEF,3,COL,0.6832,0.3547,0.242331,0.242331,0.770422,0.770422,unchanged_already_consistent
jeremy_doku__bel,Jeremy Doku,BEL,FWD,1,EGY,0.6507,0.3923,0.0,0,1.074514,1.074514,unchanged_already_consistent
jeremy_doku__bel,Jeremy Doku,BEL,FWD,2,IRN,0.6507,0.5,0.0,0,1.110072,1.110073,unchanged_already_consistent
jeremy_doku__bel,Jeremy Doku,BEL,FWD,3,NZL,0.6507,0.5135,0.0,0,0.951926,0.951926,unchanged_already_consistent
rjan_nyland__nor,Ørjan Nyland,NOR,GK,1,IRQ,0.9496,0.5585,0.530352,0.530352,1.696188,1.696188,unchanged_already_consistent
rjan_nyland__nor,Ørjan Nyland,NOR,GK,2,SEN,0.9496,0.3373,0.3203,0.3203,1.005597,1.005598,unchanged_already_consistent
rjan_nyland__nor,Ørjan Nyland,NOR,GK,3,FRA,0.9496,0.2077,0.197232,0.197232,0.632377,0.632377,unchanged_already_consistent
alexis_mac_allister__arg,Alexis Mac Allister,ARG,MID,1,ALG,0.8573,0.5135,0.0,0,1.423803,1.423803,unchanged_already_consistent
alexis_mac_allister__arg,Alexis Mac Allister,ARG,MID,2,AUT,0.8573,0.4226,0.0,0,1.168303,1.168303,unchanged_already_consistent
alexis_mac_allister__arg,Alexis Mac Allister,ARG,MID,3,JOR,0.8573,0.5774,0.0,0,1.126557,1.126557,unchanged_already_consistent
richie_laryea__can,Richie Laryea,CAN,DEF,1,BIH,0.9347,0.4226,0.395004,0.395004,1.356467,1.356467,unchanged_already_consistent
richie_laryea__can,Richie Laryea,CAN,DEF,2,QAT,0.9347,0.5774,0.539696,0.539696,1.705121,1.705124,unchanged_already_consistent
richie_laryea__can,Richie Laryea,CAN,DEF,3,SUI,0.9347,0.25,0.233675,0.233675,0.691049,0.691051,unchanged_already_consistent
luis_d_az__col,Luis Diaz,COL,FWD,1,UZB,0.9324,0.5,0.0,0,1.179706,1.179706,unchanged_already_consistent
luis_d_az__col,Luis Diaz,COL,FWD,2,COD,0.9324,0.5376,0.0,0,1.198072,1.198073,unchanged_already_consistent
luis_d_az__col,Luis Diaz,COL,FWD,3,POR,0.9324,0.25,0.0,0,0.557962,0.557963,unchanged_already_consistent
bruno_fernandes__por,Bruno Fernandes,POR,MID,1,COD,0.9203,0.5,0.0,0,1.426882,1.426883,unchanged_already_consistent
bruno_fernandes__por,Bruno Fernandes,POR,MID,2,UZB,0.9203,0.5,0.0,0,1.344743,1.344743,unchanged_already_consistent
bruno_fernandes__por,Bruno Fernandes,POR,MID,3,COL,0.9203,0.3547,0.0,0,0.728474,0.728474,unchanged_already_consistent
tajon_buchanan__can,Tajon Buchanan,CAN,MID,1,BIH,0.8726,0.4226,0.0,0,1.489364,1.489365,unchanged_already_consistent
tajon_buchanan__can,Tajon Buchanan,CAN,MID,2,QAT,0.8726,0.5774,0.0,0,1.769122,1.769124,unchanged_already_consistent
tajon_buchanan__can,Tajon Buchanan,CAN,MID,3,SUI,0.8726,0.25,0.0,0,0.637453,0.637454,unchanged_already_consistent
john_yeboah__ecu,John Yeboah,ECU,MID,1,CIV,0.8649,0.4226,0.0,0,1.294512,1.294511,unchanged_already_consistent
john_yeboah__ecu,John Yeboah,ECU,MID,2,CUW,0.8649,0.5585,0.0,0,2.170955,2.170954,unchanged_already_consistent
john_yeboah__ecu,John Yeboah,ECU,MID,3,GER,0.8649,0.1717,0.0,0,0.784383,0.784386,unchanged_already_consistent
jo_ko_gvardiol__cro,Josko Gvardiol,CRO,DEF,1,ENG,0.9082,0.2077,0.188633,0.188633,0.582761,0.582761,unchanged_already_consistent
jo_ko_gvardiol__cro,Josko Gvardiol,CRO,DEF,2,PAN,0.9082,0.4865,0.441839,0.441839,1.433867,1.433867,unchanged_already_consistent
jo_ko_gvardiol__cro,Josko Gvardiol,CRO,DEF,3,GHA,0.9082,0.4415,0.40097,0.40097,1.340743,1.340745,unchanged_already_consistent
davinson_s_nchez__col,Davinson Sanchez,COL,DEF,1,UZB,0.8947,0.5,0.44735,0.44735,1.371458,1.371458,unchanged_already_consistent
davinson_s_nchez__col,Davinson Sanchez,COL,DEF,2,COD,0.8947,0.5376,0.480991,0.480991,1.35072,1.35072,unchanged_already_consistent
davinson_s_nchez__col,Davinson Sanchez,COL,DEF,3,POR,0.8947,0.25,0.223675,0.223675,0.622224,0.622225,unchanged_already_consistent
dominik_livakovi__cro,Dominik Livakovic,CRO,GK,1,ENG,0.9486,0.2077,0.197024,0.197024,0.612376,0.612376,unchanged_already_consistent
dominik_livakovi__cro,Dominik Livakovic,CRO,GK,2,PAN,0.9486,0.4865,0.461494,0.461494,1.355397,1.355397,unchanged_already_consistent
dominik_livakovi__cro,Dominik Livakovic,CRO,GK,3,GHA,0.9486,0.4415,0.418807,0.418807,1.213417,1.213417,unchanged_already_consistent
juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,1,ALG,0.6367,0.5135,0.0,0,1.153581,1.153581,unchanged_already_consistent
juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,2,AUT,0.6367,0.4226,0.0,0,0.950339,0.950339,unchanged_already_consistent
juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,3,JOR,0.6367,0.5774,0.0,0,0.912537,0.912537,unchanged_already_consistent
marko_arnautovi__aut,Marko Arnautovic,AUT,FWD,1,JOR,0.6508,0.4865,0.0,0,1.792875,1.792875,unchanged_already_consistent
marko_arnautovi__aut,Marko Arnautovic,AUT,FWD,2,ARG,0.6508,0.1883,0.0,0,0.554691,0.554691,unchanged_already_consistent
marko_arnautovi__aut,Marko Arnautovic,AUT,FWD,3,ALG,0.6508,0.3547,0.0,0,0.935194,0.935194,unchanged_already_consistent
joshua_kimmich__ger,Joshua Kimmich,GER,MID,1,CUW,0.9521,0.6881,0.0,0,1.458535,1.458535,unchanged_already_consistent
joshua_kimmich__ger,Joshua Kimmich,GER,MID,2,CIV,0.9521,0.4226,0.0,0,1.143114,1.143115,unchanged_already_consistent
joshua_kimmich__ger,Joshua Kimmich,GER,MID,3,ECU,0.9521,0.411,0.0,0,0.863638,0.863638,unchanged_already_consistent
theo_hern_ndez__fra,Theo Hernandez,FRA,DEF,1,SEN,0.6651,0.4624,0.307542,0.307542,1.066909,1.066909,unchanged_already_consistent
theo_hern_ndez__fra,Theo Hernandez,FRA,DEF,2,IRQ,0.6651,0.6627,0.440762,0.440762,1.301912,1.301912,unchanged_already_consistent
