"match_id","home","away","team_id","clean_sheet_yes_odds","clean_sheet_no_odds","source","clean_sheet_fetched_at","clean_sheet_fetched_label","note","stage","group","team_name","opponent_id","opponent_name","kickoff_dk","yes_odds","no_odds","odds_fetched_at","odds_fetched_label"
"41","ARG","AUT","ARG","1.95","1.77","Unibet","","runde 2 screenshots","Manuelt aflæst fra tidligere runde 2 screenshot","","","","","","","","","",""
"41","ARG","AUT","AUT","4.75","1.16","Unibet","","runde 2 screenshots","Manuelt aflæst fra tidligere runde 2 screenshot","","","","","","","","","",""
"48","COL","COD","COD","4.50","1.16","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"48","COL","COD","COL","1.77","1.95","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"49","SUI","CAN","CAN","3.40","1.29","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"49","SUI","CAN","SUI","2.90","1.36","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"51","SCO","BRA","BRA","1.83","1.87","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"51","SCO","BRA","SCO","6.00","1.10","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"52","MAR","HAI","HAI","8.50","1.04","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"52","MAR","HAI","MAR","1.61","2.20","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"53","CZE","MEX","CZE","3.75","1.23","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"53","CZE","MEX","MEX","2.45","1.49","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"55","CUW","CIV","CIV","1.47","2.50","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"55","CUW","CIV","CUW","9.50","1.02","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"56","ECU","GER","ECU","4.25","1.18","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"56","ECU","GER","GER","2.70","1.40","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"57","TUN","NED","NED","1.49","2.45","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"57","TUN","NED","TUN","9.50","1.03","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"58","JPN","SWE","JPN","2.75","1.40","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"58","JPN","SWE","SWE","4.25","1.18","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"59","TUR","USA","TUR","4.50","1.16","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"59","TUR","USA","USA","2.80","1.38","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"61","NOR","FRA","FRA","2.50","1.47","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"61","NOR","FRA","NOR","4.50","1.18","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"62","SEN","IRQ","IRQ","6.25","1.08","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"62","SEN","IRQ","SEN","1.65","2.10","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"64","URU","ESP","ESP","1.98","1.73","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"64","URU","ESP","URU","5.25","1.12","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"65","NZL","BEL","BEL","1.63","2.15","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"65","NZL","BEL","NZL","7.50","1.06","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"66","EGY","IRN","EGY","2.35","1.53","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"66","EGY","IRN","IRN","2.90","1.36","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"68","PAN","ENG","ENG","1.69","2.05","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"68","PAN","ENG","PAN","8.00","1.05","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"69","COD","UZB","COD","2.40","1.50","Unibet","2026-06-24T10:36:06+02:00","24.06 screenshots","Manuelt aflæst fra screenshot","","","","","","","","","",""
"69","COD","UZB","UZB","4.50","1.18","Unibet","2026-06-24T10:36:06+02:00","24.06 screenshots","Manuelt aflæst fra screenshot","","","","","","","","","",""
"70","COL","POR","COL","3.65","1.23","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"70","COL","POR","POR","2.50","1.47","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"71","ALG","AUT","ALG","3.15","1.31","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"71","ALG","AUT","AUT","2.70","1.40","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"72","JOR","ARG","ARG","1.61","2.15","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"72","JOR","ARG","JOR","8.50","1.04","Unibet","2026-06-22T14:49:12+02:00","22.06 screenshots","Manuelt aflæst fra screenshots","","","","","","","","","",""
"73","","","FRA","1.87","1.83","Unibet/Oddset.dk","","","","R32","","Frankrig","SWE","Sverige","2026-06-30 23:00","1.87","1.83","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"73","","","SWE","7.75","1.05","Unibet/Oddset.dk","","","","R32","","Sverige","FRA","Frankrig","2026-06-30 23:00","7.75","1.05","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"74","","","BIH","5.75","1.10","Unibet/Oddset.dk","","","","R32","","Bosnien-Hercegovina","USA","USA","2026-07-02 02:00","5.75","1.10","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"74","","","USA","1.73","2.00","Unibet/Oddset.dk","","","","R32","","USA","BIH","Bosnien-Hercegovina","2026-07-02 02:00","1.73","2.00","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
