round,match_id,team_id,team_name,opponent_team_id,opponent_team_name,clean_sheet_yes_odds,clean_sheet_no_odds,clean_sheet_yes_prob_raw,clean_sheet_no_prob_raw,clean_sheet_yes_prob_novig,clean_sheet_no_prob_novig,source,clean_sheet_fetched_label,clean_sheet_fetched_at
2,25,CZE,Tjekkiet,RSA,Sydafrika,2.2,1.61,0.454545,0.621118,0.422572,0.577428,manual_screenshot,17.06 screenshot,
2,25,RSA,Sydafrika,CZE,Tjekkiet,4.25,1.2,0.235294,0.833333,0.220183,0.779817,manual_screenshot,17.06 screenshot,
2,26,SUI,Schweiz,BIH,Bosnien,1.95,1.77,0.512821,0.564972,0.475806,0.524194,manual_screenshot,17.06 screenshot,
2,26,BIH,Bosnien,SUI,Schweiz,4.75,1.14,0.210526,0.877193,0.193548,0.806452,manual_screenshot,17.06 screenshot,
2,27,CAN,Canada,QAT,Qatar,1.67,2.1,0.598802,0.47619,0.557029,0.442971,manual_screenshot,17.06 screenshot,
2,27,QAT,Qatar,CAN,Canada,6.75,1.08,0.148148,0.925926,0.137931,0.862069,manual_screenshot,17.06 screenshot,
2,28,MEX,Mexico,KOR,Sydkorea,2.2,1.61,0.454545,0.621118,0.422572,0.577428,manual_screenshot,17.06 screenshot,
2,28,KOR,Sydkorea,MEX,Mexico,3.4,1.26,0.294118,0.793651,0.270386,0.729614,manual_screenshot,17.06 screenshot,
2,29,USA,USA,AUS,Australia,2.1,1.65,0.47619,0.606061,0.44,0.56,manual_screenshot,17.06 screenshot,
2,29,AUS,Australia,USA,USA,4.75,1.14,0.210526,0.877193,0.193548,0.806452,manual_screenshot,17.06 screenshot,
2,30,SCO,Skotland,MAR,Marokko,,,,,,,,,
2,30,MAR,Marokko,SCO,Skotland,,,,,,,,,
2,31,BRA,Brasilien,HAI,Haiti,1.61,2.15,0.621118,0.465116,0.571809,0.428191,manual_screenshot,17.06 screenshot,
2,31,HAI,Haiti,BRA,Brasilien,12,1.004,0.083333,0.996016,0.077207,0.922793,manual_screenshot,17.06 screenshot,
2,32,TUR,Tyrkiet,PAR,Paraguay,2.4,1.51,0.416667,0.662252,0.386189,0.613811,manual_screenshot,17.06 screenshot,
2,32,PAR,Paraguay,TUR,Tyrkiet,3.65,1.23,0.273973,0.813008,0.252049,0.747951,manual_screenshot,17.06 screenshot,
2,33,NED,Holland,SWE,Sverige,,,,,,,,,
2,33,SWE,Sverige,NED,Holland,,,,,,,,,
2,34,GER,Tyskland,CIV,Elfenbenskysten,2.25,1.57,0.444444,0.636943,0.410995,0.589005,manual_screenshot,17.06 screenshot,
2,34,CIV,Elfenbenskysten,GER,Tyskland,5.75,1.11,0.173913,0.900901,0.161808,0.838192,manual_screenshot,17.06 screenshot,
2,35,ECU,Ecuador,CUW,Curacao,1.38,2.8,0.724638,0.357143,0.669856,0.330144,manual_screenshot,17.06 screenshot,
