player_id,holdet_player_id,player_name,team_name,position,match_method,old_price,old_holdet_price,new_price,diff
nico_elvedi__sui,49639,Nico Elvedi,Schweiz,DEF,holdet_player_id,3058000,3058000,3021000,-37000
silvan_widmer__sui,49851,Silvan Widmer,Schweiz,DEF,holdet_player_id,3047000,3047000,3002000,-45000
ricardo_rodr_guez__sui,49768,Ricardo Rodriguez,Schweiz,DEF,holdet_player_id,3086000,3086000,3029000,-57000
manuel_akanji__sui,49486,Manuel Akanji,Schweiz,DEF,holdet_player_id,3588000,3588000,3531000,-57000
luca_jaquez__sui,49450,Luca Jaquez,Schweiz,DEF,holdet_player_id,2039000,2039000,1990000,-49000
mert_m_ld_r__tur,49551,Mert Müldür,Tyrkiet,DEF,holdet_player_id,2990000,2990000,2999000,9000
abdulkerim_bardakci__tur,48725,Abdulkerim Bardakci,Tyrkiet,DEF,holdet_player_id,2984000,2984000,2993000,9000
samet_akaydin__tur,49818,Samet Akaydin,Tyrkiet,DEF,holdet_player_id,2490000,2490000,2495000,5000
ferdi_kadioglu__tur,49101,Ferdi Kadioglu,Tyrkiet,DEF,holdet_player_id,3474000,3474000,3483000,9000
evren_eren_elmali__tur,49084,Evren Eren Elmali,Tyrkiet,DEF,holdet_player_id,1974000,1974000,1995000,21000
zeki_elik__tur,49991,Zeki Celik,Tyrkiet,DEF,holdet_player_id,2488000,2488000,2493000,5000
merih_demiral__tur,49549,Merih Demiral,Tyrkiet,DEF,holdet_player_id,2994000,2994000,2983000,-11000
ozan_kabak__tur,49701,Ozan Kabak,Tyrkiet,DEF,holdet_player_id,2490000,2490000,2495000,5000
caglar_soyuncu__tur,50390,Caglar Soyuncu,Tyrkiet,DEF,holdet_player_id,2490000,2490000,2495000,5000
antonio_r_diger__ger,48853,Antonio Rüdiger,Tyskland,DEF,holdet_player_id,4604000,4604000,4552000,-52000
jonathan_tah__ger,49313,Jonathan Tah,Tyskland,DEF,holdet_player_id,4618000,4618000,4574000,-44000
waldemar_anton__ger,49937,Waldemar Anton,Tyskland,DEF,holdet_player_id,3537000,3537000,3542000,5000
nico_schlotterbeck__ger,49643,Nico Schlotterbeck,Tyskland,DEF,holdet_player_id,4343000,4343000,4319000,-24000
malick_thiaw__ger,49480,Malick Thiaw,Tyskland,DEF,holdet_player_id,2990000,2990000,2995000,5000
nathaniel_brown__ger,50084,Nathaniel Brown,Tyskland,DEF,holdet_player_id,2863000,2863000,2809000,-54000
