player_name,team_name,position,old_price,new_price,price_diff,holdet_is_out,new_is_out
Alexander Isak,Sverige,FWD,5000000,5392000,392000,False,False
Kai Havertz,Tyskland,FWD,5500000,5877000,377000,False,False
Yasin Ayari,Sverige,MID,3500000,3874000,374000,False,False
Nico Schlotterbeck,Tyskland,DEF,4000000,4319000,319000,False,False
Nathaniel Brown,Tyskland,DEF,2500000,2809000,309000,False,False
Deniz Undav,Tyskland,FWD,3500000,3807000,307000,False,False
Viktor Gyökeres,Sverige,FWD,6000000,6269000,269000,False,False
Virgil van Dijk,Holland,DEF,5000000,5257000,257000,False,False
Felix Nmecha,Tyskland,MID,3000000,3244000,244000,False,False
Amad Diallo,Elfenbenskysten,FWD,3500000,3717000,217000,False,False
Jamal Musiala,Tyskland,MID,6500000,6714000,214000,False,False
Joshua Kimmich,Tyskland,MID,5000000,5204000,204000,False,False
Mattias Svanberg,Sverige,MID,2500000,2702000,202000,False,False
Daichi Kamada,Japan,MID,3500000,3686000,186000,False,False
Keito Nakamura,Japan,MID,3000000,3166000,166000,False,False
Crysencio Summerville,Holland,MID,3000000,3154000,154000,False,False
Florian Wirtz,Tyskland,MID,7500000,7654000,154000,False,False
Wilfried Stephane Singo,Elfenbenskysten,DEF,2500000,2652000,152000,False,False
Omar Rekik,Tunesien,DEF,2000000,2144000,144000,False,False
Ryan Gravenberch,Holland,MID,3500000,3644000,144000,False,False
Livano Comenencia,Curaçao,DEF,2500000,2628000,128000,False,False
Yahia Fofana,Elfenbenskysten,GK,3000000,3122000,122000,False,False
Lucas Bergvall,Sverige,MID,2500000,2612000,112000,False,False
Aleksandar Pavlovic,Tyskland,MID,3500000,3604000,104000,False,False
Manuel Neuer,Tyskland,GK,5000000,5099000,99000,False,False
Leroy Sane,Tyskland,FWD,5500000,5594000,94000,False,False
Emmanuel Agbadou,Elfenbenskysten,DEF,2500000,2592000,92000,False,False
Ghislain Konan,Elfenbenskysten,DEF,2500000,2592000,92000,False,False
Koki Ogawa,Japan,FWD,4000000,4082000,82000,False,False
Kristoffer Nordfeldt,Sverige,GK,4000000,4079000,79000,False,False
Yan Diomande,Elfenbenskysten,FWD,3000000,3075000,75000,False,False
Gustaf Lagerbielke,Sverige,DEF,3000000,3074000,74000,False,False
Isak Hien,Sverige,DEF,2500000,2574000,74000,False,False
Jonathan Tah,Tyskland,DEF,4500000,4574000,74000,False,False
Victor Lindelöf,Sverige,DEF,3000000,3074000,74000,False,False
Takefusa Kubo,Japan,MID,4000000,4066000,66000,False,False
Alexander Bernhardsson,Sverige,MID,2000000,2064000,64000,False,False
David Raum,Tyskland,DEF,4500000,4562000,62000,False,False
Guela Doue,Elfenbenskysten,DEF,3000000,3062000,62000,False,False
Benjamin Nygren,Sverige,FWD,3000000,3054000,54000,False,False
Gabriel Gudmundsson,Sverige,DEF,3000000,3054000,54000,False,False
Jesper Karlström,Sverige,MID,3000000,3054000,54000,False,False
Antonio Rüdiger,Tyskland,DEF,4500000,4552000,52000,False,False
Elliot Stroud,Sverige,DEF,2000000,2052000,52000,False,False
Leon Goretzka,Tyskland,MID,4500000,4552000,52000,False,False
Donyell Malen,Holland,FWD,4500000,4544000,44000,False,False
Ange-Yoan Bonny,Elfenbenskysten,FWD,2500000,2542000,42000,False,False
Anthony Elanga,Sverige,FWD,3500000,3542000,42000,False,False
Christ Inao Oulaï,Elfenbenskysten,MID,2000000,2042000,42000,False,False
Daniel Svensson,Sverige,DEF,3000000,3042000,42000,False,False
Elye Wahi,Elfenbenskysten,FWD,2500000,2542000,42000,False,False
Ibrahim Sangare,Elfenbenskysten,MID,3000000,3042000,42000,False,False
Odilon Kossounou,Elfenbenskysten,DEF,2500000,2542000,42000,False,False
Waldemar Anton,Tyskland,DEF,3500000,3542000,42000,False,False
Zion Suzuki,Japan,GK,4000000,4036000,36000,False,False
Cody Gakpo,Holland,FWD,6500000,6534000,34000,False,False
Bazoumana Toure,Elfenbenskysten,FWD,2000000,2032000,32000,False,False
Nicolas Pepe,Elfenbenskysten,FWD,2500000,2532000,32000,False,False
Yukinari Sugawara,Japan,DEF,3500000,3532000,32000,False,False
Hannibal Mejbri,Tunesien,MID,3000000,3029000,29000,False,False
Jan Paul van Hecke,Holland,DEF,3000000,3026000,26000,False,False
Tijjani Reijnders,Holland,MID,6000000,6024000,24000,False,False
Franck Kessie,Elfenbenskysten,MID,3000000,3022000,22000,False,False
Junya Ito,Japan,MID,3500000,3522000,22000,False,False
Kento Shiogai,Japan,FWD,2500000,2522000,22000,False,False
Seko Fofana,Elfenbenskysten,MID,2500000,2522000,22000,False,False
Takehiro Tomiyasu,Japan,DEF,2000000,2022000,22000,False,False
Bart Verbruggen,Holland,GK,4500000,4521000,21000,False,False
Denzel Dumfries,Holland,DEF,5000000,5016000,16000,False,False
Frenkie de Jong,Holland,MID,3000000,3016000,16000,False,False
Hiroki Ito,Japan,DEF,2500000,2516000,16000,False,False
Kaishu Sano,Japan,MID,2500000,2516000,16000,False,False
Shogo Taniguchi,Japan,DEF,3000000,3016000,16000,False,False
Ayase Ueda,Japan,FWD,5500000,5506000,6000,False,False
Daizen Maeda,Japan,FWD,2500000,2506000,6000,False,False
Hernan Galindez,Ecuador,GK,3500000,3506000,6000,False,False
Ritsu Doan,Japan,MID,4000000,4006000,6000,False,False
Tsuyoshi Watanabe,Japan,DEF,3000000,3006000,6000,False,False
Brian Brobbey,Holland,FWD,2500000,2504000,4000,False,False
Nathan Ake,Holland,DEF,3500000,3504000,4000,False,False
Quinten Timber,Holland,MID,3000000,3004000,4000,False,False
Teun Koopmeiners,Holland,MID,3500000,3504000,4000,False,False
Gonzalo Plata,Ecuador,MID,3500000,3501000,1000,False,False
Alan Franco,Ecuador,MID,2500000,2499000,-1000,False,False
Alan Minda,Ecuador,MID,3000000,2999000,-1000,False,False
Enner Valencia,Ecuador,FWD,4000000,3999000,-1000,False,False
John Yeboah,Ecuador,MID,3000000,2999000,-1000,False,False
Micky van de Ven,Holland,DEF,4000000,3996000,-4000,False,False
