label,match_status,player_name,team_id,position,price_m,start_prob,conditional_start_prob,availability_risk,start_signal_tier,optimizer_ev,weighted_group_stage_ev_before_price_quality,price_quality_ev,offensive_fallback_applied,goal_share_norm,assist_share_norm,sot_share_norm,round_context_source,match_1_opponent_team,match_1_weighted_match_ev,match_2_opponent_team,match_2_weighted_match_ev,match_3_opponent_team,match_3_weighted_match_ev,selected_strategies,issue_flags,note,query,expected_team_id,player_id,price,weighted_group_stage_ev,start_signal_rank_adjusted
Haaland,found,Erling Haaland,NOR,FWD,8.5,0.9058,0.97,medium_risk,Klar starter,3.694187,3.442625,4.001651,,0.097,0.044,0.09,,IRQ,1.574396,SEN,1.225238,FRA,0.642991,,,Artiklen: klart bedste kaptajnvalg i runde 1; ca. halvdelen af Norges xG.,Erling Haaland,NOR,erling_haaland__nor,8500000.0,3.694187,0.9118816612366688
Wirtz,found,Florian Wirtz,GER,MID,7.5,0.9217,0.9511,low_risk,Klar starter,3.086105,3.153214,3.004082,,0.038,0.049,0.029,,CUW,1.329836,CIV,1.039915,ECU,0.783463,,,Artiklen: indlysende valg; stærk R1 mod Curacao.,Florian Wirtz,GER,florian_wirtz__ger,7500000.0,3.086105,0.9001212576111602
Mbappe,found,Kylian Mbappe,FRA,FWD,10.0,0.6765,0.7096,low_risk,Sandsynlig starter,3.847402,3.797086,3.908899,,0.085,0.052,0.119,,SEN,1.417473,IRQ,1.414187,NOR,0.965426,,start_prob_watch,"Artiklen: monster for Frankrig, men dyr og R1 mod Senegal er lunken.",Kylian Mbappe,FRA,kylian_mbapp__fra,10000000.0,3.847402,0.6864248846727783
Oyarzabal,found,Mikel Oyarzabal,ESP,FWD,7.5,0.82,0.9,low_risk,Sandsynlig starter,4.128585,4.273518,3.951445,,0.065,0.046,0.071,,CPV,1.486838,KSA,1.638209,URU,1.148471,long_run,selected_by_optimizer,Artiklen: høj xG/90 og ligner sikker R1-starter.,Mikel Oyarzabal,ESP,mikel_oyarzabal__esp,7500000.0,4.128585,0.7651406340387806
Ronaldo,found,Cristiano Ronaldo,POR,FWD,7.0,0.9167,0.97,medium_risk,Klar starter,4.66871,5.279035,3.922756,,0.102,0.055,0.107,,COD,2.127,UZB,2.031789,COL,1.120246,next_round;round1_2;group_stage,selected_by_optimizer,Artiklen: 3. bedste dyre valg efter Haaland/Oyarzabal; stor xG-andel.,Cristiano Ronaldo,POR,cristiano_ronaldo__por,7000000.0,4.66871,0.9071759186590392
Musiala,found,Jamal Musiala,GER,MID,6.5,0.8928,0.9265,low_risk,Klar starter,2.847529,2.736511,2.983218,,0.033,0.046,0.023,,CUW,1.16224,CIV,0.893939,ECU,0.680332,,,Artiklen: ønskelig tysk offensiv.,Jamal Musiala,GER,jamal_musiala__ger,6500000.0,2.847529,0.8723239348229239
Taremi,found,Mehdi Taremi,IRN,FWD,3.5,0.9306,0.9579,low_risk,Klar starter,3.076211,3.36944,2.717819,,0.104,0.058,0.144,,NZL,1.840442,BEL,0.666901,EGY,0.862097,,,Artiklen: billig angriber; over halvdelen af Irans xG.,Mehdi Taremi,IRN,mehdi_taremi__irn,3500000.0,3.076211,0.9300589537828976
Embolo,found,Breel Embolo,SUI,FWD,5.0,0.9215,0.9544,low_risk,Klar starter,3.875488,4.147829,3.542627,,0.072,0.064,0.094,,QAT,1.498239,BIH,1.507236,CAN,1.142354,,,Artiklen: mindre oplagt valg.,Breel Embolo,SUI,breel_embolo__sui,5000000.0,3.875488,0.9175544125628292
Raphinha,found,Raphinha,BRA,FWD,6.5,0.86,0.96,medium_risk,Sandsynlig starter,2.052328,0.557187,3.879723,True,,,,distributed_from_existing_optimizer_ev,MAR,0.228093,HAI,0.18997,SCO,0.139124,,,Artiklen: mindre oplagt valg; vores fallback løftede ham.,Raphinha,BRA,raphinha__bra,6500000.0,2.052328,0.7844367809756211
Bruno Fernandes,found,Bruno Fernandes,POR,MID,7.0,0.9203,0.9491,low_risk,Klar starter,3.272201,3.500106,2.99365,,0.041,0.07,0.036,,COD,1.426882,UZB,1.344748,COL,0.728476,,,Artiklen: ser godt ud til første to runder.,Bruno Fernandes,POR,bruno_fernandes__por,7000000.0,3.272201,0.9088055671135364
Kane,found,Harry Kane,ENG,FWD,9.5,0.97,0.99,low_risk,Klar starter,4.343365,4.599477,4.03034,,0.082,0.042,0.087,,CRO,1.512321,GHA,1.727507,PAN,1.359649,,,Artiklen nævner ham som øvrigt valg; vi har manuel nailed-on starter override.,Harry Kane,ENG,harry_kane__eng,9500000.0,4.343365,0.9561558625393064
Messi,found,Lionel Messi,ARG,FWD,8.0,0.84,0.92,medium_risk,Klar starter,4.675963,5.245278,3.980134,,0.097,0.074,0.121,,ALG,1.995537,AUT,1.651472,JOR,1.598269,group_stage,selected_by_optimizer,Kommentar: Messi har langt højere xGI pr. start end Alvarez.,Lionel Messi,ARG,lionel_messi__arg,8000000.0,4.675963,0.8424014539478909
Julian Alvarez,found,Julian Alvarez,ARG,FWD,6.0,0.6367,0.6718,medium_risk,Tvivlsom starter,3.217696,3.016463,3.463648,,0.075,0.041,0.104,,ALG,1.153581,AUT,0.950342,JOR,0.91254,,start_prob_watch,Kommentar: mindre god R1 value end Messi; evt. R3/R4.,Julian Alvarez,ARG,juli_n_lvarez__arg,6000000.0,3.217696,0.6478069182883852
McTominay,found,Scott McTominay,SCO,MID,4.5,0.9326,0.97,low_risk,Klar starter,3.110741,3.360182,2.80587,,0.075,0.076,0.07,,HAI,1.814779,MAR,0.877461,BRA,0.667942,next_round,selected_by_optimizer,"Artiklen: hyper oplagt, Skotlands klart farligste våben.",Scott McTominay,SCO,scott_mctominay__sco,4500000.0,3.110741,0.9174607238089698
James Rodriguez,found,James Rodriguez,COL,MID,4.0,0.82,0.9,low_risk,Sandsynlig starter,2.857329,2.996168,2.687638,,0.046,0.077,0.032,,UZB,1.203417,COD,1.219316,POR,0.573435,,,Artiklen: høj assist-rate og straffetjans.,James Rodriguez,COL,james_rodr_guez__col,4000000.0,2.857329,0.8136968543291477
Sabitzer,found,Marcel Sabitzer,AUT,MID,4.5,0.9004,0.9372,low_risk,Klar starter,3.177304,3.481205,2.80587,,0.063,0.09,0.053,,JOR,1.947107,ARG,0.540727,ALG,0.993371,next_round,selected_by_optimizer,Artiklen: dødbolde og stor offensiv involvering for Østrig.,Marcel Sabitzer,AUT,marcel_sabitzer__aut,4500000.0,3.177304,0.8886957840050617
Pedri,found,Pedri,ESP,MID,6.0,0.6446,0.6905,medium_risk,Tvivlsom starter,2.561997,2.421015,2.734309,,0.025,0.049,0.018,,CPV,0.779074,KSA,0.965686,URU,0.676255,,start_prob_watch,Artiklen: overraskende høje landskamp-xG+xA.,Pedri,ESP,pedri__esp,6000000.0,2.561997,0.6479147928781887
Fabian Ruiz,found,Fabian Ruiz,ESP,MID,4.5,0.58,0.72,medium_risk,Tvivlsom starter,1.337783,1.092068,1.638102,True,,,,distributed_from_existing_optimizer_ev,CPV,0.257031,KSA,0.484369,URU,0.350668,,start_prob_watch,"Artiklen positiv, men vi nedjusterede pga. skader/fravær.",Fabian Ruiz,ESP,fabian_ruiz__esp,4500000.0,1.337783,0.5801519495083765
Nmecha,found,Felix Nmecha,GER,MID,3.0,0.2546,0.296,high_risk,Langt fra start,0.696996,0.653734,0.749871,,0.025,0.033,0.019,,CUW,0.297015,CIV,0.205946,ECU,0.150773,,low_start_prob,"Artiklen: billig enabler, usikker men høj value hvis starter.",Felix Nmecha,GER,felix_nmecha__ger,3000000.0,0.696996,0.1535737473136844
Alvarado,found,Roberto Alvarado,MEX,MID,2.5,0.5756,0.6356,medium_risk,Tvivlsom starter,2.530639,3.773239,1.011906,,0.099,0.062,0.133,,RSA,1.592212,KOR,1.248923,CZE,0.932104,,start_prob_watch,Artiklen: billig enabler fra Mexico.,Roberto Alvarado,MEX,roberto_alvarado__mex,2500000.0,2.530639,0.607022348490502
Nusa,found,Antonio Nusa,NOR,MID,3.5,0.82,0.88,medium_risk,Sandsynlig starter,3.160296,3.697809,2.503335,,0.097,0.044,0.09,,IRQ,1.701234,SEN,1.316931,FRA,0.679644,next_round,selected_by_optimizer,Kommentar: eksperten har Nusa på flere hold.,Antonio Nusa,NOR,antonio_nusa__nor,3500000.0,3.160296,0.8106043160329031
McGinn,found,John McGinn,SCO,MID,3.5,0.6947,0.7267,low_risk,Sandsynlig starter,2.299584,2.148386,2.484381,,0.063,0.065,0.039,,HAI,1.1636,MAR,0.557902,BRA,0.426884,,start_prob_watch,Kommentar: interessant billig midtbane.,John McGinn,SCO,john_mcginn__sco,3500000.0,2.299584,0.6959944683161589
Tielemans,found,Youri Tielemans,BEL,MID,3.5,0.6432,0.6652,medium_risk,Tvivlsom starter,2.256857,2.221389,2.300207,,0.041,0.049,0.029,,EGY,0.762785,IRN,0.788434,NZL,0.67017,,start_prob_watch,Kommentar: måske undervurderet; stærke xGI-tal.,Youri Tielemans,BEL,youri_tielemans__bel,3500000.0,2.256857,0.655803968728564
Ajer,found,Kristoffer Ajer,NOR,DEF,3.0,0.9075,0.9629,medium_risk,Klar starter,2.844719,2.926777,2.744425,,0.009,0.015,0.004,,IRQ,1.489639,SEN,0.906101,FRA,0.531037,,,Artiklen: foretrukken Norge-forsvarer foran Ryerson/Wolfe.,Kristoffer Ajer,NOR,kristoffer_ajer__nor,3000000.0,2.844719,0.8497459455265817
Ryerson,found,Julian Ryerson,NOR,DEF,3.5,0.6549,0.6758,medium_risk,Tvivlsom starter,2.528808,2.168479,2.969211,,0.009,0.015,0.004,,IRQ,1.098426,SEN,0.671793,FRA,0.39826,,start_prob_watch,"Artiklen: relevant Norge-forsvarer, men dyrere end Ajer.",Julian Ryerson,NOR,julian_ryerson__nor,3500000.0,2.528808,0.6314701556692185
Wolfe,not_found,,,,,,,,,,,,,,,,,,,,,,,,not_found,Artiklen: Norge-defensiv value.,David Moller Wolfe,NOR,,,,
Schlotterbeck,found,Nico Schlotterbeck,GER,DEF,4.0,0.8204,0.875,medium_risk,Sandsynlig starter,3.450221,3.514377,3.371808,,0.007,0.013,0.004,,CUW,1.652155,CIV,0.994423,ECU,0.867799,next_round;long_run,selected_by_optimizer,Artiklen: tysk forsvarer med god R1.,Nico Schlotterbeck,GER,nico_schlotterbeck__ger,4000000.0,3.450221,0.7816035842338296
Nathaniel Brown,found,Nathaniel Brown,GER,DEF,2.5,0.5469,0.5703,medium_risk,Tvivlsom starter,1.808069,2.081866,1.473428,,,,,distributed_from_existing_optimizer_ev,CUW,0.991773,CIV,0.576032,ECU,0.514061,,start_prob_watch,Artiklen: enormt interessant hvis starter; ca. 60 pct. nok.,Nathaniel Brown,GER,nathaniel_brown__ger,2500000.0,1.808069,0.5331388281319012
Davinson Sanchez,found,Davinson Sanchez,COL,DEF,3.5,0.8947,0.939,low_risk,Klar starter,3.267586,3.344412,3.173687,,0.009,0.013,0.004,,UZB,1.371459,COD,1.350725,POR,0.622228,,,Artiklen: suverænt køb til to runder.,Davinson Sanchez,COL,davinson_s_nchez__col,3500000.0,3.267586,0.8382059639581831
Nuno Mendes,found,Nuno Mendes,POR,DEF,4.5,0.6832,0.6986,medium_risk,Tvivlsom starter,3.388792,3.357566,3.426957,,0.013,0.045,0.008,,COD,1.344801,UZB,1.242342,COL,0.770423,,start_prob_watch,Artiklen: offensivt forsvarsvalg.,Nuno Mendes,POR,nuno_mendes__por,4500000.0,3.388792,0.6529560362244593
Cucurella,found,Marc Cucurella,ESP,DEF,4.5,0.5921,0.6844,high_risk,Tvivlsom starter,3.211478,3.409055,2.969996,,0.007,0.011,0.003,,CPV,1.156983,KSA,1.372007,URU,0.880065,,start_prob_watch,Artiklen: oplagt men dyr spansk defensiv.,Marc Cucurella,ESP,marc_cucurella__esp,4500000.0,3.211478,0.5802672444188645
Laporte,found,Aymeric Laporte,ESP,DEF,4.5,0.6498,0.7193,medium_risk,Tvivlsom starter,3.52624,3.744546,3.259421,,0.008,0.011,0.004,,CPV,1.276736,KSA,1.506188,URU,0.961622,,start_prob_watch,Artiklen: oplagt men dyr spansk defensiv.,Aymeric Laporte,ESP,aymeric_laporte__esp,4500000.0,3.52624,0.631957625876178
Kobel,found,Gregor Kobel,SUI,GK,4.0,0.9174,0.9174,low_risk,Klar starter,3.715509,3.984936,3.386209,,0.0,0.0,0.0,,QAT,1.668805,BIH,1.321423,CAN,0.994708,,,Artiklen: foretrukken keeper.,Gregor Kobel,SUI,gregor_kobel__sui,4000000.0,3.715509,0.9272534613273746
Nyland,not_found,,,,,,,,,,,,,,,,,,,,,,,,not_found,Artiklen: godt alternativ til Schweiz-stack.,Orjan Nyland,NOR,,,,
Beiranvand,found,Alireza Beiranvand,IRN,GK,3.0,0.9438,0.9438,medium_risk,Klar starter,2.301227,2.543915,2.004607,,0.001,0.0,0.0,,NZL,1.28215,BEL,0.466843,EGY,0.794922,,,Artiklen: stærk billig keeper til én runde.,Alireza Beiranvand,IRN,alireza_beiranvand__irn,3000000.0,2.301227,0.949316183974217
Crepeau,found,Maxime Crepeau,CAN,GK,3.0,0.9138,0.9138,low_risk,Klar starter,2.823604,3.493693,2.004607,,0.001,0.0,0.0,,BIH,1.231831,QAT,1.574441,SUI,0.687421,,,Kommentar: Canadas træner har meldt ham som R1-starter ifølge artiklen.,Maxime Crepeau,CAN,maxime_cr_peau__can,3000000.0,2.823604,0.9211282894783828
De Fougerolles,found,Luc De Fougerolles,CAN,DEF,2.0,0.68,0.76,low_risk,Tvivlsom starter,1.875713,2.617151,0.969512,,0.012,0.018,0.005,,BIH,0.941133,QAT,1.188717,SUI,0.487301,,start_prob_watch,Kommentar: startede inde og forventes genvalg; 2.0m value hvis i pool.,Luc De Fougerolles,CAN,luc_de_fougerolles__can,2000000.0,1.875713,0.5923385949069523
