match_id,stage,group,home,away,kickoff_dk
73,R32,,FRA,SWE,2026-06-30 23:00
74,R32,,USA,BIH,2026-07-02 02:00
75,R32,,AUS,EGY,2026-07-03 20:00
76,R32,,ARG,CPV,2026-07-04 00:00
77,R32,,RSA,CAN,2026-06-28 21:00
78,R32,,BRA,JPN,2026-06-29 19:00
79,R32,,GER,PAR,2026-06-29 22:30
80,R32,,NED,MAR,2026-06-30 03:00
81,R32,,CIV,NOR,2026-06-30 19:00
82,R32,,MEX,ECU,2026-07-01 03:00
83,R32,,ENG,COD,2026-07-01 18:00
84,R32,,BEL,SEN,2026-07-01 22:00
85,R32,,ESP,AUT,2026-07-02 21:00
86,R32,,POR,CRO,2026-07-03 01:00
87,R32,,SUI,ALG,2026-07-03 05:00
88,R32,,COL,GHA,2026-07-04 03:30
