Hold,Formation,Spiller,Land,Position,Pris,Score,Start,R1_EV,Gruppe_EV
Hold 1 - Første runde,3-4-3,Gregor Kobel,Schweiz,Mål,"4,0","73,0",92%,"2,12","4,36"
Hold 1 - Første runde,3-4-3,Nuno Mendes,Portugal,Forsvar,"4,5","80,0",88%,"2,28","5,01"
Hold 1 - Første runde,3-4-3,César Montes,Mexico,Forsvar,"3,0","77,0",72%,"2,46","4,53"
Hold 1 - Første runde,3-4-3,Philipp Lienhart,Østrig,Forsvar,"3,0","74,0",84%,"2,40","3,63"
Hold 1 - Første runde,3-4-3,Marcel Sabitzer,Østrig,Midtbane,"4,5","80,0",90%,"3,19","4,38"
Hold 1 - Første runde,3-4-3,Scott McTominay,Skotland,Midtbane,"4,5","81,0",93%,"2,99","3,99"
Hold 1 - Første runde,3-4-3,Konrad Laimer,Østrig,Midtbane,"3,0","76,0",86%,"2,70","3,50"
Hold 1 - Første runde,3-4-3,Florian Wirtz,Tyskland,Midtbane,"7,5","70,0",94%,"2,10","4,66"
Hold 1 - Første runde,3-4-3,Cristiano Ronaldo,Portugal,Angriber,"7,0","84,0",92%,"3,46","7,04"
Hold 1 - Første runde,3-4-3,Marko Arnautović,Østrig,Angriber,"4,5","76,0",82%,"3,57","5,03"
Hold 1 - Første runde,3-4-3,Jonathan David,Canada,Angriber,"4,5","86,0",92%,"3,10","6,67"
Hold 2 - Hele vejen,3-4-3,Gregor Kobel,Schweiz,Mål,"4,0","73,0",92%,"2,12","4,36"
Hold 2 - Hele vejen,3-4-3,César Montes,Mexico,Forsvar,"3,0","77,0",72%,"2,46","4,53"
Hold 2 - Hele vejen,3-4-3,Nuno Mendes,Portugal,Forsvar,"4,5","80,0",88%,"2,28","5,01"
Hold 2 - Hele vejen,3-4-3,Stefan Posch,Østrig,Forsvar,"3,0","77,0",84%,"2,28","3,53"
Hold 2 - Hele vejen,3-4-3,Marcel Sabitzer,Østrig,Midtbane,"4,5","80,0",90%,"3,19","4,38"
Hold 2 - Hele vejen,3-4-3,Kerem Aktürkoğlu,Tyrkiet,Midtbane,"4,5","79,0",67%,"2,57","4,83"
Hold 2 - Hele vejen,3-4-3,Scott McTominay,Skotland,Midtbane,"4,5","81,0",93%,"2,99","3,99"
Hold 2 - Hele vejen,3-4-3,Konrad Laimer,Østrig,Midtbane,"3,0","76,0",86%,"2,70","3,50"
Hold 2 - Hele vejen,3-4-3,Mikel Oyarzabal,Spanien,Angriber,"7,5","75,0",88%,"2,34","6,02"
Hold 2 - Hele vejen,3-4-3,Cristiano Ronaldo,Portugal,Angriber,"7,0","84,0",92%,"3,46","7,04"
Hold 2 - Hele vejen,3-4-3,Jonathan David,Canada,Angriber,"4,5","86,0",92%,"3,10","6,67"
Hold 3 - Balanceret,3-4-3,Unai Simón,Spanien,Mål,"5,0","43,0",86%,"2,36","5,88"
Hold 3 - Balanceret,3-4-3,Nico Schlotterbeck,Tyskland,Forsvar,"4,0","48,0",83%,"2,39","4,55"
Hold 3 - Balanceret,3-4-3,Nuno Mendes,Portugal,Forsvar,"4,5","80,0",88%,"2,28","5,01"
Hold 3 - Balanceret,3-4-3,César Montes,Mexico,Forsvar,"3,0","77,0",72%,"2,46","4,53"
Hold 3 - Balanceret,3-4-3,Marcel Sabitzer,Østrig,Midtbane,"4,5","80,0",90%,"3,19","4,38"
Hold 3 - Balanceret,3-4-3,Scott McTominay,Skotland,Midtbane,"4,5","81,0",93%,"2,99","3,99"
Hold 3 - Balanceret,3-4-3,Kerem Aktürkoğlu,Tyrkiet,Midtbane,"4,5","79,0",67%,"2,57","4,83"
Hold 3 - Balanceret,3-4-3,Roberto Alvarado,Mexico,Midtbane,"2,5","84,0",58%,"2,59","3,66"
Hold 3 - Balanceret,3-4-3,Jonathan David,Canada,Angriber,"4,5","86,0",92%,"3,10","6,67"
Hold 3 - Balanceret,3-4-3,Cristiano Ronaldo,Portugal,Angriber,"7,0","84,0",92%,"3,46","7,04"
Hold 3 - Balanceret,3-4-3,Marko Arnautović,Østrig,Angriber,"4,5","76,0",82%,"3,57","5,03"
Hold 4 - Value,3-4-3,Gregor Kobel,Schweiz,Mål,"4,0","73,0",92%,"2,12","4,36"
Hold 4 - Value,3-4-3,Philipp Lienhart,Østrig,Forsvar,"3,0","74,0",84%,"2,40","3,63"
Hold 4 - Value,3-4-3,Stefan Posch,Østrig,Forsvar,"3,0","77,0",84%,"2,28","3,53"
Hold 4 - Value,3-4-3,Arthur Theate,Belgien,Forsvar,"3,0","64,0",86%,"1,29","4,01"
Hold 4 - Value,3-4-3,Scott McTominay,Skotland,Midtbane,"4,5","81,0",93%,"2,99","3,99"
Hold 4 - Value,3-4-3,James Rodríguez,Colombia,Midtbane,"4,0","66,0",82%,"1,93","4,17"
Hold 4 - Value,3-4-3,Romano Schmid,Østrig,Midtbane,"3,0","77,0",64%,"2,14","2,93"
Hold 4 - Value,3-4-3,Konrad Laimer,Østrig,Midtbane,"3,0","76,0",86%,"2,70","3,50"
Hold 4 - Value,3-4-3,Kylian Mbappé,Frankrig,Angriber,"10,0","78,0",95%,"2,23","5,75"
Hold 4 - Value,3-4-3,Mikel Oyarzabal,Spanien,Angriber,"7,5","75,0",88%,"2,34","6,02"
Hold 4 - Value,3-4-3,Breel Embolo,Schweiz,Angriber,"5,0","75,0",91%,"2,34","5,50"
Hold 5 - Alternativ,3-4-3,Unai Simón,Spanien,Mål,"5,0","43,0",86%,"2,36","5,88"
Hold 5 - Alternativ,3-4-3,Nicolás Tagliafico,Argentina,Forsvar,"4,0","41,0",87%,"1,81","4,67"
Hold 5 - Alternativ,3-4-3,Nuno Mendes,Portugal,Forsvar,"4,5","80,0",88%,"2,28","5,01"
Hold 5 - Alternativ,3-4-3,Nico Schlotterbeck,Tyskland,Forsvar,"4,0","48,0",83%,"2,39","4,55"
Hold 5 - Alternativ,3-4-3,Jamal Musiala,Tyskland,Midtbane,"6,5","65,0",90%,"1,83","4,27"
Hold 5 - Alternativ,3-4-3,Marcel Sabitzer,Østrig,Midtbane,"4,5","80,0",90%,"3,19","4,38"
Hold 5 - Alternativ,3-4-3,Ryan Christie,Skotland,Midtbane,"2,5","71,0",86%,"2,23","2,43"
