team_id,player_id,player_name,raw_start_prob,raw_start_prob_source,competitive_starts,recent_starts,availability_prob,context_override,team_gk_rank,normalized_gk_start_prob,normalized_prob_sum_team,repair_reason
ALG,luca_zidane__alg,Luca Zidane,0.6019,transfermarkt_availability_split_2026_06_06,7.0,6,0.6729,,1,0.8224,1.0,team_gk_exclusive_normalization
ALG,alexis_guendouz__alg,Alexis Guendouz,0.3543,transfermarkt_availability_split_2026_06_06,14.0,1,0.6,,2,0.136,1.0,team_gk_exclusive_normalization
ALG,anthony_mandrea__alg,Anthony Mandrea,0.1349,transfermarkt_availability_split_2026_06_06,21.0,1,0.6,,3,0.0416,1.0,team_gk_exclusive_normalization
ARG,walter_benitez__arg,Walter Benitez,0.0439,transfermarkt_availability_split_2026_06_06,1.0,0,0.6524,,3,0.0151,1.0,team_gk_exclusive_normalization
ARG,emiliano_mart_nez__arg,Emiliano Martinez,0.9156,transfermarkt_availability_split_2026_06_06,59.0,10,0.8399,,1,0.9526,1.0,team_gk_exclusive_normalization
ARG,ger_nimo_rulli__arg,Geronimo Rulli,0.2398,transfermarkt_availability_split_2026_06_06,7.0,1,0.7117,,2,0.0172,1.0,team_gk_exclusive_normalization
ARG,juan_musso__arg,Juan Musso,0.043,transfermarkt_availability_split_2026_06_06,1.0,,0.6,,4,0.0151,1.0,team_gk_exclusive_normalization
AUS,mathew_ryan__aus,Mathew Ryan,0.8848,transfermarkt_availability_split_2026_06_06,103.0,7,0.8334,,1,0.9463,1.0,team_gk_exclusive_normalization
AUS,paul_izzo__aus,Paul Izzo,0.061,transfermarkt_availability_split_2026_06_06,4.0,4,0.9378,,2,0.0271,1.0,team_gk_exclusive_normalization
AUS,patrick_beach__aus,Patrick Beach,0.0476,transfermarkt_availability_split_2026_06_06,1.0,1,0.8611,,3,0.0266,1.0,team_gk_exclusive_normalization
AUT,patrick_pentz__aut,Patrick Pentz,0.3462,transfermarkt_availability_split_2026_06_06,17.0,4,0.9017,,2,0.054,1.0001,team_gk_exclusive_normalization
AUT,alexander_schlager__aut,Alexander Schlager,0.9,transfermarkt_availability_split_2026_06_06+context_override,26.0,8,0.95,yes,1,0.921,1.0001,team_gk_exclusive_normalization
AUT,nikolas_polster__aut,Nikolas Polster,0.0473,transfermarkt_availability_split_2026_06_06,0.0,,0.8438,,3,0.0251,1.0001,team_gk_exclusive_normalization
BEL,mike_penders__bel,Mike Penders,0.0463,transfermarkt_availability_split_2026_06_06,0.0,,0.7863,,4,0.0151,1.0001,team_gk_exclusive_normalization
BEL,senne_lammens__bel,Senne Lammens,0.2741,transfermarkt_availability_split_2026_06_06,2.0,2,0.7124,,3,0.0623,1.0001,team_gk_exclusive_normalization
