holdet_player_id,holdet_player_name,holdet_team_id,holdet_position,closest_pool_player_id,closest_pool_player_name,closest_pool_team_id,closest_pool_position,reason,source_file
50292,David Zima,CZE,DEF,david_jurasek__holdet_584,David Jurasek,CZE,DEF,similar_name+same_team+same_position; score=0.859,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49673,Nuno Tavares,POR,DEF,nuno_mendes__por,Nuno Mendes,POR,DEF,similar_name+same_team+same_position; score=0.859,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
48855,Antonio Silva,POR,DEF,rui_silva__por,Rui Silva,POR,GK,similar_name+same_team; score=0.836,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
50312,David Affengruber,AUT,DEF,david_alaba__aut,David Alaba,AUT,DEF,similar_name+same_team+same_position; score=0.821,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49235,Ivan Smolcic,CRO,DEF,ivan_peri_i__cro,Ivan Perisic,CRO,FWD,similar_name+same_team; score=0.867,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49541,Maximilian Mittelstädt,GER,DEF,maximilian_beier__ger,Maximilian Beier,GER,FWD,similar_name+same_team; score=0.884,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49923,Victor Eriksson,SWE,DEF,victor_lindel_f__swe,Victor Lindelöf,SWE,DEF,similar_name+same_team+same_position; score=0.850,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
50319,Mohamed Amine Tougai,ALG,DEF,mohamed_amoura__alg,Mohamed Amoura,ALG,FWD,similar_name+same_team; score=0.965,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
50275,Lisandro Martinez,ARG,DEF,emiliano_mart_nez__arg,Emiliano Martinez,ARG,GK,similar_name+same_team; score=1.024,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49173,Harry Maguire,ENG,DEF,harry_kane__eng,Harry Kane,ENG,FWD,similar_name+same_team; score=0.896,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49344,Ju-sung Kim,KOR,DEF,ji_sung_eom__kor,Ji-sung Eom,KOR,MID,similar_name+same_team; score=0.927,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
50310,Sebastian Caceres,URU,DEF,martin_caceres__uru,Martin Caceres,URU,DEF,similar_name+same_team+same_position; score=1.024,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
48748,Ahmed Nabil Kouka,EGY,DEF,ahmed_fatouh__egy,Ahmed Fatouh,EGY,DEF,similar_name+same_team+same_position; score=0.871,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
50264,Youssef Belammari,MAR,DEF,youssef_en_nesyri__mar,Youssef En-Nesyri,MAR,FWD,similar_name+same_team; score=0.847,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49704,Pape Abou Cisse,SEN,DEF,path_ciss__sen,Pathe Ciss,SEN,MID,similar_name+same_team; score=0.840,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
50296,Alfie Jones,CAN,DEF,alistair_johnston__can,Alistair Johnston,CAN,DEF,similar_name+same_team+same_position; score=0.821,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49180,Heri Tavares,CPV,DEF,h_lio_varela__cpv,Helio Varela,CPV,FWD,similar_name+same_team; score=0.867,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49005,Delentz Pierre,HAI,DEF,leverton_pierre__hai,Leverton Pierre,HAI,MID,similar_name+same_team; score=0.890,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
48922,Bruno Varela,CPV,GK,h_lio_varela__cpv,Helio Varela,CPV,FWD,similar_name+same_team; score=0.867,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49829,Scott Bain,SCO,GK,scott_mctominay__sco,Scott McTominay,SCO,MID,similar_name+same_team; score=0.840,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49617,Munir Mohamedi El Kajoui,MAR,GK,munir_el_kajoui__mar,Munir El Kajoui,MAR,GK,similar_name+same_team+same_position; score=1.019,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
48768,Alejandro 'Alex' Remiro,ESP,GK,alejandro_alex_grimaldo__esp,Alejandro 'Alex' Grimaldo,ESP,DEF,similar_name+same_team; score=1.033,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49454,Lucas Chevalier,FRA,GK,lucas_hern_ndez__fra,Lucas Hernandez,FRA,DEF,similar_name+same_team; score=0.867,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49287,Joao Carvalho,POR,GK,jo_o_cancelo__por,João Cancelo,POR,DEF,similar_name+same_team; score=0.920,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
50291,David Doudera,CZE,MID,david_jurasek__holdet_584,David Jurasek,CZE,DEF,similar_name+same_team; score=0.892,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49702,Pablo Barrios,ESP,MID,pablo_gavi__esp,Pablo Gavi,ESP,MID,similar_name+same_team+same_position; score=0.946,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49278,Jesus Rodriguez,ESP,MID,james_rodr_guez__col,James Rodriguez,COL,MID,similar_name+same_position; score=0.917,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
48766,Aleix Garcia,ESP,MID,eric_garcia__esp,Eric Garcia,ESP,DEF,similar_name+same_team; score=0.983,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49703,Pablo Fornals,ESP,MID,pablo_gavi__esp,Pablo Gavi,ESP,MID,similar_name+same_team+same_position; score=0.859,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49181,Herman Johansson,SWE,MID,viktor_johansson__swe,Viktor Johansson,SWE,GK,similar_name+same_team; score=0.887,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
50302,Cristian Volpato,AUS,MID,cristian_roldan__usa,Cristian Roldan,USA,MID,similar_name+same_position; score=0.824,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
50301,Cameron Devlin,AUS,MID,cameron_burgess__aus,Cameron Burgess,AUS,DEF,similar_name+same_team; score=0.821,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
