match_id,home,away,kickoff_dk,home_win_odds,draw_odds,away_win_odds,home_clean_sheet_odds,away_clean_sheet_odds,over_2_5_odds,under_2_5_odds,home_win_prob_fair,draw_prob_fair,away_win_prob_fair,home_cs_prob,away_cs_prob,over_2_5_prob,under_2_5_prob,source,odds_fetched_at,odds_fetched_label
1,MEX,RSA,2026-06-11 21:00,1.42,4.7,9,,,,,0.6850,0.2070,0.1081,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
2,KOR,CZE,2026-06-12 04:00,2.75,3.15,2.95,,,,,0.3565,0.3112,0.3323,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
3,CAN,BIH,2026-06-12 21:00,1.85,3.5,5,,,,,0.5267,0.2784,0.1949,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
4,USA,PAR,2026-06-13 03:00,1.95,3.4,4.5,,,,,0.4983,0.2858,0.2159,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
5,QAT,SUI,2026-06-13 21:00,16,7,1.23,,,,,0.0614,0.1403,0.7983,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
6,BRA,MAR,2026-06-14 00:00,1.65,3.9,6.1,,,,,0.5905,0.2498,0.1597,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
7,HAI,SCO,2026-06-14 03:00,6.4,4.35,1.58,,,,,0.1533,0.2256,0.6211,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
8,AUS,TUR,2026-06-14 06:00,5.6,3.85,1.7,,,,,0.1740,0.2530,0.5730,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
9,GER,CUW,2026-06-14 19:00,1.04,25,51,,,,,0.9416,0.0392,0.0192,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
10,NED,JPN,2026-06-14 22:00,2.1,3.7,3.55,,,,,0.4632,0.2629,0.2740,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
11,CIV,ECU,2026-06-15 01:00,3.75,2.8,2.45,,,,,0.2584,0.3461,0.3955,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
12,SWE,TUN,2026-06-15 04:00,1.93,3.5,4.5,,,,,0.5050,0.2785,0.2166,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
13,ESP,CPV,2026-06-15 18:00,1.11,12.5,26,,,,,0.8838,0.0785,0.0377,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
14,BEL,EGY,2026-06-15 21:00,1.62,4,6.1,,,,,0.5986,0.2424,0.1590,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
15,KSA,URU,2026-06-16 00:00,8,4.7,1.47,,,,,0.1228,0.2090,0.6682,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
16,IRN,NZL,2026-06-16 03:00,1.87,3.55,4.7,,,,,0.5196,0.2737,0.2067,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
17,FRA,SEN,2026-06-16 21:00,1.45,4.6,8,,,,,0.6682,0.2106,0.1211,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
18,IRQ,NOR,2026-06-17 00:00,17,7.5,1.21,,,,,0.0577,0.1309,0.8114,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
19,ARG,ALG,2026-06-17 03:00,1.4,4.9,10,,,,,0.7014,0.2004,0.0982,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
20,AUT,JOR,2026-06-17 06:00,1.32,5.75,11,,,,,0.7410,0.1701,0.0889,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
21,POR,COD,2026-06-17 19:00,1.29,6,12,,,,,0.7561,0.1626,0.0813,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
