match_id,home,away,kickoff_dk,home_win_odds,draw_odds,away_win_odds,home_clean_sheet_odds,away_clean_sheet_odds,over_2_5_odds,under_2_5_odds,source,odds_fetched_at,odds_fetched_label,home_team_id,away_team_id,stage,group,home_win_prob_fair,draw_prob_fair,away_win_prob_fair,home_win_pct_fair,draw_pct_fair,away_win_pct_fair,home_win_prob,draw_prob,away_win_prob,home_win_pct,draw_pct,away_win_pct
1,MEX,RSA,2026-06-11 21:00,1.45,4.33,7,,,,,bet365,,,,,,,0.648502,0.217166,0.134333,64.85,21.72,13.43,0.648502,0.217166,0.134333,64.85,21.72,13.43
1,MEX,RSA,2026-06-11 21:00,1.47,4.33,6.66,,,,,Betinia,,,,,,,0.640938,0.217593,0.141468,64.09,21.76,14.15,0.640938,0.217593,0.141468,64.09,21.76,14.15
2,KOR,CZE,2026-06-12 04:00,2.62,3.1,2.75,,,,,bet365,,,,,,,0.357412,0.302071,0.340517,35.74,30.21,34.05,0.357412,0.302071,0.340517,35.74,30.21,34.05
2,KOR,CZE,2026-06-12 04:00,2.6,3.33,2.66,,,,,Betinia,,,,,,,0.362552,0.283074,0.354374,36.26,28.31,35.44,0.362552,0.283074,0.354374,36.26,28.31,35.44
3,CAN,BIH,2026-06-12 21:00,1.8,3.75,4.2,,,,,bet365,,,,,,,0.523952,0.251497,0.224551,52.40,25.15,22.46,0.523952,0.251497,0.224551,52.40,25.15,22.46
3,CAN,BIH,2026-06-12 21:00,1.81,3.66,4.2,,,,,Betinia,,,,,,,0.519349,0.256836,0.223815,51.93,25.68,22.38,0.519349,0.256836,0.223815,51.93,25.68,22.38
4,USA,PAR,2026-06-13 03:00,2,3.4,3.75,,,,,bet365,,,,,,,0.471349,0.277264,0.251386,47.13,27.73,25.14,0.471349,0.277264,0.251386,47.13,27.73,25.14
4,USA,PAR,2026-06-13 03:00,1.96,3.6,3.66,,,,,Betinia,,,,,,,0.480778,0.261757,0.257466,48.08,26.18,25.75,0.480778,0.261757,0.257466,48.08,26.18,25.75
5,QAT,SUI,2026-06-13 21:00,10,5.75,1.27,,,,,bet365,,,,,,,0.094223,0.163866,0.741912,9.42,16.39,74.19,0.094223,0.163866,0.741912,9.42,16.39,74.19
5,QAT,SUI,2026-06-13 21:00,8.5,5.75,1.3,,,,,Betinia,,,,,,,0.110905,0.163947,0.725148,11.09,16.39,72.51,0.110905,0.163947,0.725148,11.09,16.39,72.51
6,BRA,MAR,2026-06-14 00:00,1.57,4,5.25,,,,,bet365,,,,,,,0.591175,0.232036,0.176789,59.12,23.20,17.68,0.591175,0.232036,0.176789,59.12,23.20,17.68
