variant,strategy,formation,cap_level,ceiling_components_enabled,total_score,total_ev,total_price,avg_conditional_start_prob,high_risk_players,fwd_count,premium_fwd_count,one_fwd_low_ceiling_flag,player_names
baseline,next_round,3-4-3,none,False,93.777325,43.63968,49500000,0.9228,0,3,0,no,Aymeric Laporte; Antonio Rüdiger; Nahuel Molina; Lautaro Martinez; Marko Arnautovic; Jonathan David; Joan Garcia; Kerem Akturkoglu; Oscar Bobb; Marcel Sabitzer; Antonio Nusa
baseline,next_round,3-5-2,none,False,91.601538,41.875968,49500000,0.9201,0,2,0,no,Aymeric Laporte; Antonio Rüdiger; Nahuel Molina; Lautaro Martinez; Marko Arnautovic; Joan Garcia; Kerem Akturkoglu; Oscar Bobb; Marcel Sabitzer; Antonio Nusa; Scott McTominay
baseline,next_round,4-3-3,none,False,93.145828,43.461981,50000000,0.9195,0,3,0,no,Aymeric Laporte; Antonio Rüdiger; Nahuel Molina; Ricardo Rodriguez; Lautaro Martinez; Marko Arnautovic; Jonathan David; Manuel Neuer; Kerem Akturkoglu; Oscar Bobb; Marcel Sabitzer
baseline,next_round,4-4-2,none,False,91.024898,42.102133,50000000,0.9123,0,2,0,no,Aymeric Laporte; Antonio Rüdiger; Nahuel Molina; Cristian Romero; Lautaro Martinez; Marko Arnautovic; Manuel Neuer; Kerem Akturkoglu; Oscar Bobb; Marcel Sabitzer; Antonio Nusa
baseline,next_round,4-5-1,none,False,88.839912,41.198044,50000000,0.9103,0,1,0,yes,Aymeric Laporte; Antonio Rüdiger; Nahuel Molina; Cristian Romero; Lautaro Martinez; Manuel Neuer; Kerem Akturkoglu; Oscar Bobb; Marcel Sabitzer; Antonio Nusa; Scott McTominay
baseline,next_round,5-3-2,none,False,90.274408,42.074384,50000000,0.9079,0,2,0,no,Aymeric Laporte; Antonio Rüdiger; Nahuel Molina; Ricardo Rodriguez; Nuno Mendes; Lautaro Martinez; Marko Arnautovic; Manuel Neuer; Kerem Akturkoglu; Oscar Bobb; Marcel Sabitzer
baseline,next_round,5-4-1,none,False,88.14428,41.574159,50000000,0.9015,0,1,0,yes,Aymeric Laporte; Antonio Rüdiger; Nahuel Molina; Nuno Mendes; Cristian Romero; Lautaro Martinez; Manuel Neuer; Kerem Akturkoglu; Oscar Bobb; Marcel Sabitzer; Antonio Nusa
baseline,round1_2,3-4-3,none,False,112.429516,44.60775,50000000,0.9299,0,3,0,no,Aymeric Laporte; Richie Laryea; Nuno Mendes; Jonathan David; Cristiano Ronaldo; Lautaro Martinez; Joan Garcia; Kerem Akturkoglu; Oscar Bobb; Tajon Buchanan; Antonio Nusa
baseline,round1_2,3-5-2,none,False,108.645904,42.636732,49000000,0.9267,0,2,0,no,Aymeric Laporte; Richie Laryea; Nuno Mendes; Jonathan David; Cristiano Ronaldo; Joan Garcia; Kerem Akturkoglu; Oscar Bobb; Tajon Buchanan; Antonio Nusa; Bruno Fernandes
baseline,round1_2,4-3-3,none,False,111.854671,44.515418,49500000,0.9331,0,3,0,no,Aymeric Laporte; Richie Laryea; Nuno Mendes; Ricardo Rodriguez; Jonathan David; Cristiano Ronaldo; Lautaro Martinez; Joan Garcia; Kerem Akturkoglu; Oscar Bobb; Tajon Buchanan
baseline,round1_2,4-4-2,none,False,108.034108,42.67186,49500000,0.9232,0,2,0,no,Aymeric Laporte; Richie Laryea; Nuno Mendes; Ruben Dias; Jonathan David; Cristiano Ronaldo; Joan Garcia; Kerem Akturkoglu; Oscar Bobb; Tajon Buchanan; Bruno Fernandes
baseline,round1_2,4-5-1,none,False,103.492362,41.279019,49000000,0.9148,0,1,0,yes,Aymeric Laporte; Nuno Mendes; Ruben Dias; Antonio Rüdiger; Jonathan David; Joan Garcia; Kerem Akturkoglu; Oscar Bobb; Tajon Buchanan; Bruno Fernandes; Joshua Kimmich
baseline,round1_2,5-3-2,none,False,106.990663,43.222922,49000000,0.9126,0,2,0,no,Aymeric Laporte; Richie Laryea; Nuno Mendes; Antonio Rüdiger; Marquinhos; Jonathan David; Lautaro Martinez; Joan Garcia; Kerem Akturkoglu; Oscar Bobb; Tajon Buchanan
baseline,round1_2,5-4-1,none,False,102.731728,41.27117,49000000,0.9132,0,1,0,yes,Aymeric Laporte; Richie Laryea; Nuno Mendes; Ricardo Rodriguez; Ruben Dias; Lautaro Martinez; Joan Garcia; Kerem Akturkoglu; Oscar Bobb; Tajon Buchanan; Bruno Fernandes
baseline,group_stage,3-4-3,none,False,126.50578,44.432805,49500000,0.9231,0,3,0,no,Aymeric Laporte; Nahuel Molina; Richie Laryea; Lautaro Martinez; Jonathan David; Lionel Messi; Joan Garcia; Kerem Akturkoglu; Oscar Bobb; Tajon Buchanan; Roberto Alvarado
baseline,group_stage,3-5-2,none,False,122.846337,43.694784,50000000,0.9399,0,2,0,no,Aymeric Laporte; Nahuel Molina; Cristian Romero; Lautaro Martinez; Jonathan David; Joan Garcia; Kerem Akturkoglu; Oscar Bobb; Arda Güler; Tajon Buchanan; Morgan Rogers
baseline,group_stage,4-3-3,none,False,126.168396,44.700275,50000000,0.9413,0,3,0,no,Aymeric Laporte; Nahuel Molina; Richie Laryea; Ricardo Rodriguez; Lautaro Martinez; Jonathan David; Lionel Messi; Joan Garcia; Kerem Akturkoglu; Oscar Bobb; Tajon Buchanan
baseline,group_stage,4-4-2,none,False,123.045555,43.964979,49000000,0.9284,0,2,0,no,Aymeric Laporte; Nahuel Molina; Cristian Romero; Nuno Mendes; Lautaro Martinez; Jonathan David; Joan Garcia; Kerem Akturkoglu; Oscar Bobb; Arda Güler; Tajon Buchanan
baseline,group_stage,4-5-1,none,False,117.661187,42.307187,50000000,0.9284,0,1,0,yes,Aymeric Laporte; Nahuel Molina; Cristian Romero; Nuno Mendes; Lautaro Martinez; Joan Garcia; Kerem Akturkoglu; Oscar Bobb; Arda Güler; Tajon Buchanan; Morgan Rogers
baseline,group_stage,5-3-2,none,False,122.076818,43.668968,48500000,0.9246,0,2,0,no,Aymeric Laporte; Nahuel Molina; Cristian Romero; Richie Laryea; Nuno Mendes; Lautaro Martinez; Jonathan David; Joan Garcia; Kerem Akturkoglu; Oscar Bobb; Arda Güler
baseline,group_stage,5-4-1,none,False,117.540041,42.451983,49500000,0.918,0,1,0,yes,Aymeric Laporte; Nahuel Molina; Cristian Romero; Nuno Mendes; Denzel Dumfries; Lautaro Martinez; Joan Garcia; Kerem Akturkoglu; Oscar Bobb; Arda Güler; Tajon Buchanan
baseline,long_run,3-4-3,none,False,72.782932,38.402413,50000000,0.9235,0,3,0,no,Aymeric Laporte; Nahuel Molina; Maxence Lacroix; Lautaro Martinez; Nico Williams; Ferran Torres; Joan Garcia; Rodrigo de Paul; Declan Rice; Giovani Lo Celso; Elliot Anderson
baseline,long_run,3-5-2,none,False,71.998665,38.172543,50000000,0.9203,0,2,0,no,Aymeric Laporte; Nahuel Molina; Maxence Lacroix; Lautaro Martinez; Nico Williams; Joan Garcia; Morgan Rogers; Rodrigo de Paul; Declan Rice; Giovani Lo Celso; Aurelien Tchouameni
baseline,long_run,4-3-3,none,False,73.21722,38.859559,50000000,0.9299,0,3,0,no,Aymeric Laporte; Nahuel Molina; Cristian Romero; Maxence Lacroix; Lautaro Martinez; Nico Williams; Ferran Torres; Joan Garcia; Rodrigo de Paul; Declan Rice; Elliot Anderson
baseline,long_run,4-4-2,none,False,72.432953,38.629689,50000000,0.9267,0,2,0,no,Aymeric Laporte; Nahuel Molina; Cristian Romero; Maxence Lacroix; Lautaro Martinez; Nico Williams; Joan Garcia; Morgan Rogers; Rodrigo de Paul; Declan Rice; Aurelien Tchouameni
baseline,long_run,4-5-1,none,False,71.023914,37.678208,49500000,0.9322,0,1,0,yes,Aymeric Laporte; Nahuel Molina; Cristian Romero; Maxence Lacroix; Lautaro Martinez; Joan Garcia; Morgan Rogers; Rodrigo de Paul; Declan Rice; Elliot Anderson; Aurelien Tchouameni
baseline,long_run,5-3-2,none,False,72.625074,39.093072,49500000,0.9349,0,2,0,no,Aymeric Laporte; Nahuel Molina; Cristian Romero; Maxence Lacroix; Leo Pereira; Lautaro Martinez; Nico Williams; Joan Garcia; Morgan Rogers; Rodrigo de Paul; Declan Rice
baseline,long_run,5-4-1,none,False,71.297559,38.798752,50000000,0.9386,0,1,0,yes,Aymeric Laporte; Nahuel Molina; Cristian Romero; Maxence Lacroix; Leo Pereira; Lautaro Martinez; Joan Garcia; Morgan Rogers; Rodrigo de Paul; Declan Rice; Joshua Kimmich
ceiling_components_only,next_round,3-4-3,none,True,95.891217,44.664826,49500000,0.9109,0,3,0,no,Aymeric Laporte; Antonio Rüdiger; Ricardo Rodriguez; Lautaro Martinez; Marko Arnautovic; Jonathan David; Unai Simon; Kerem Akturkoglu; Oscar Bobb; Antonio Nusa; Marcel Sabitzer
ceiling_components_only,next_round,3-5-2,none,True,93.499467,42.723735,49500000,0.9082,0,2,0,no,Aymeric Laporte; Antonio Rüdiger; Ricardo Rodriguez; Lautaro Martinez; Marko Arnautovic; Unai Simon; Kerem Akturkoglu; Oscar Bobb; Antonio Nusa; Marcel Sabitzer; Scott McTominay
ceiling_components_only,next_round,4-3-3,none,True,95.047694,44.858003,50000000,0.9151,0,3,0,no,Aymeric Laporte; Antonio Rüdiger; Nahuel Molina; Ricardo Rodriguez; Lautaro Martinez; Marko Arnautovic; Jonathan David; Unai Simon; Kerem Akturkoglu; Oscar Bobb; Marcel Sabitzer
ceiling_components_only,next_round,4-4-2,none,True,92.791307,43.375555,50000000,0.9079,0,2,0,no,Aymeric Laporte; Antonio Rüdiger; Nahuel Molina; Cristian Romero; Lautaro Martinez; Marko Arnautovic; Unai Simon; Kerem Akturkoglu; Oscar Bobb; Antonio Nusa; Marcel Sabitzer
ceiling_components_only,next_round,4-5-1,none,True,90.384934,42.372189,50000000,0.9059,0,1,0,yes,Aymeric Laporte; Antonio Rüdiger; Nahuel Molina; Cristian Romero; Lautaro Martinez; Unai Simon; Kerem Akturkoglu; Oscar Bobb; Antonio Nusa; Marcel Sabitzer; Scott McTominay
ceiling_components_only,next_round,5-3-2,none,True,91.795724,43.236583,50000000,0.9036,0,2,0,no,Aymeric Laporte; Antonio Rüdiger; Nahuel Molina; Nuno Mendes; Ricardo Rodriguez; Lautaro Martinez; Marko Arnautovic; Unai Simon; Kerem Akturkoglu; Oscar Bobb; Marcel Sabitzer
ceiling_components_only,next_round,5-4-1,none,True,89.524714,42.691859,50000000,0.8971,0,1,0,yes,Aymeric Laporte; Antonio Rüdiger; Nahuel Molina; Nuno Mendes; Cristian Romero; Lautaro Martinez; Unai Simon; Kerem Akturkoglu; Oscar Bobb; Antonio Nusa; Marcel Sabitzer
ceiling_components_only,round1_2,3-4-3,none,True,114.725574,45.762961,49500000,0.9264,0,3,0,no,Aymeric Laporte; Richie Laryea; Ricardo Rodriguez; Jonathan David; Cristiano Ronaldo; Lautaro Martinez; Unai Simon; Kerem Akturkoglu; Oscar Bobb; Tajon Buchanan; Antonio Nusa
ceiling_components_only,round1_2,3-5-2,none,True,111.030277,44.00056,50000000,0.9158,0,2,0,no,Aymeric Laporte; Richie Laryea; Nuno Mendes; Jonathan David; Cristiano Ronaldo; Unai Simon; Kerem Akturkoglu; Oscar Bobb; Tajon Buchanan; Antonio Nusa; Bruno Fernandes
ceiling_components_only,round1_2,4-3-3,none,True,113.847057,45.683889,50000000,0.923,0,3,0,no,Aymeric Laporte; Richie Laryea; Ricardo Rodriguez; Ruben Dias; Jonathan David; Cristiano Ronaldo; Lautaro Martinez; Unai Simon; Kerem Akturkoglu; Oscar Bobb; Tajon Buchanan
ceiling_components_only,round1_2,4-4-2,none,True,110.317014,44.711991,49000000,0.9101,0,2,0,no,Aymeric Laporte; Richie Laryea; Nuno Mendes; Ruben Dias; Jonathan David; Lautaro Martinez; Unai Simon; Kerem Akturkoglu; Oscar Bobb; Tajon Buchanan; Arda Güler
ceiling_components_only,round1_2,4-5-1,none,True,106.043818,42.589283,48500000,0.9073,0,1,0,yes,Aymeric Laporte; Richie Laryea; Nuno Mendes; Antonio Rüdiger; Jonathan David; Unai Simon; Kerem Akturkoglu; Oscar Bobb; Tajon Buchanan; Arda Güler; Bruno Fernandes
ceiling_components_only,round1_2,5-3-2,none,True,109.414158,44.303621,49000000,0.9052,0,2,0,no,Aymeric Laporte; Richie Laryea; Nuno Mendes; Ruben Dias; Antonio Rüdiger; Jonathan David; Lautaro Martinez; Unai Simon; Kerem Akturkoglu; Oscar Bobb; Tajon Buchanan
ceiling_components_only,round1_2,5-4-1,none,True,104.74207,42.241926,49000000,0.8985,0,1,0,yes,Aymeric Laporte; Richie Laryea; Nuno Mendes; Antonio Rüdiger; Marquinhos; Jonathan David; Unai Simon; Kerem Akturkoglu; Oscar Bobb; Tajon Buchanan; Bruno Fernandes
ceiling_components_only,group_stage,3-4-3,none,True,129.230625,45.831717,50000000,0.9145,0,3,0,no,Nahuel Molina; Cristian Romero; Richie Laryea; Lautaro Martinez; Jonathan David; Lionel Messi; Unai Simon; Kerem Akturkoglu; Oscar Bobb; Tajon Buchanan; Roberto Alvarado
ceiling_components_only,group_stage,3-5-2,none,True,125.835769,45.072573,49000000,0.9217,0,2,0,no,Aymeric Laporte; Nahuel Molina; Cristian Romero; Lautaro Martinez; Jonathan David; Unai Simon; Kerem Akturkoglu; Oscar Bobb; Tajon Buchanan; Arda Güler; Antonio Nusa
