player_id,player_name,team_id,position,price,start_prob,recovery_status,max_backup_component_sum,max_backup_aggregate_ev,best_component_backup,best_aggregate_backup
in_beom_hwang__kor,In-beom Hwang,KOR,MID,2500000,0.897,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
neymar_jr__bra,Neymar Jr.,BRA,FWD,5500000,0.8919,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
matthew_garbett__nzl,Matthew Garbett,NZL,MID,2500000,0.8803,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
maxence_lacroix__fra,Maxence Lacroix,FRA,DEF,3000000,0.873,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
victor_munoz__esp,Victor Munoz,ESP,FWD,3000000,0.873,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
joan_garcia__esp,Joan Garcia,ESP,GK,4000000,0.8655,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
lachlan_bayliss__nzl,Lachlan Bayliss,NZL,MID,2000000,0.8655,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
mostafa_ziko__egy,Mostafa Ziko,EGY,MID,2000000,0.8655,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
hamza_abdelkarim__egy,Hamza Abdelkarim,EGY,FWD,2000000,0.8655,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
armando_obispo__cuw,Armando Obispo,CUW,DEF,2000000,0.8628,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
issa_diop__mar,Issa Diop,MAR,DEF,2500000,0.8568,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
ben_doak__sco,Ben Doak,SCO,MID,3000000,0.8529,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
manuel_neuer__ger,Manuel Neuer,GER,GK,5000000,0.8454,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
mateo_kovacic__cro,Mateo Kovacic,CRO,MID,4000000,0.839,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
logan_costa__cpv,Logan Costa,CPV,DEF,2500000,0.8139,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
romelu_lukaku__bel,Romelu Lukaku,BEL,FWD,4500000,0.7965,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
lucas_paqueta__bra,Lucas Paqueta,BRA,MID,5500000,0.7869,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
zizo__egy,Ahmed Zizo,EGY,MID,3000000,0.7866,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
bruno_guimaraes__bra,Bruno Guimaraes,BRA,MID,4500000,0.7749,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
aaron_hickey__sco,Aaron Hickey,SCO,DEF,2500000,0.774,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
jules_kounde__fra,Jules Kounde,FRA,DEF,3500000,0.7661,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
bradley_barcola__fra,Bradley Barcola,FRA,MID,4000000,0.7583,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
mehdi_ghayedi__irn,Mehdi Ghayedi,IRN,MID,3000000,0.7519,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
assane_diao_diaoune__sen,Assane Diao Diaoune,SEN,FWD,2500000,0.7493,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
takehiro_tomiyasu__jpn,Takehiro Tomiyasu,JPN,DEF,2000000,0.7391,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
kobbie_mainoo__eng,Kobbie Mainoo,ENG,MID,2500000,0.7371,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
pape_alassane_gueye__sen,Pape Alassane Gueye,SEN,MID,3000000,0.7287,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
jurgen_locadia__cuw,Jürgen Locadia,CUW,FWD,2000000,0.7207,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
habib_diarra__sen,Habib Diarra,SEN,MID,2500000,0.718,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
fredrik_aursnes__nor,Fredrik Aursnes,NOR,MID,3000000,0.7078,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
ibrahim_sangare__civ,Ibrahim Sangare,CIV,MID,3000000,0.7036,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
oumar_diakite__civ,Oumar Diakite,CIV,FWD,2500000,0.6966,no_prior_nonzero_ev,0.0,0.0,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv,player_ev_group_stage_v1.backup_before_component_rebuild_20260604_163551.csv
