player_id,player_name,team_id,position,start_prob,minute_share,match_1_start_minutes_ev,match_1_goal_ev,match_1_assist_ev,match_1_shots_on_target_ev,match_1_weighted_match_ev,weighted_group_stage_ev,component_source,component_recomputed,suspected_issue
kerem_akt_rko_lu__tur,Kerem Akturkoglu,TUR,MID,0.904,0.082182,60.97028,0.359347,0.094619,0.259491,2.478132,6.594439,existing_components,yes,ok
jonathan_david__can,Jonathan David,CAN,FWD,0.9198,0.083618,61.963247,0.364706,0.139103,0.292198,2.29973,6.001817,existing_components,yes,ok
cristiano_ronaldo__por,Cristiano Ronaldo,POR,FWD,0.9167,0.083336,61.640741,0.349091,0.111212,0.196778,2.127001,5.279032,existing_components,yes,ok
vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,0.887,0.080636,59.803314,0.271778,0.118307,0.187681,1.788767,5.211546,existing_components,yes,ok
ra_l_jim_nez__mex,Raul Jimenez,MEX,FWD,0.7885,0.071682,53.107052,0.362018,0.103908,0.201228,2.111421,5.009649,existing_components,yes,ok
harry_kane__eng,Harry Kane,ENG,FWD,0.97,0.088182,64.53119,0.237501,0.075576,0.159363,1.51232,4.59947,existing_components,yes,ok
silvan_widmer__sui,Silvan Widmer,SUI,DEF,0.84,0.076364,59.1024,0.064151,0.063685,0.029644,1.818346,4.572653,existing_components,yes,ok
cody_gakpo__ned,Cody Gakpo,NED,FWD,0.9308,0.084618,62.5842,0.225711,0.084804,0.200367,1.490455,4.563079,existing_components,yes,ok
unai_sim_n__esp,Unai Simon,ESP,GK,0.8605,0.078227,68.59906,0.0,0.0,0.0,1.74373,4.503454,existing_components,no,ok
lautaro_mart_nez__arg,Lautaro Martinez,ARG,FWD,0.623,0.056636,41.880552,0.268945,0.094113,0.154596,1.695642,4.453744,existing_components,yes,ok
emiliano_mart_nez__arg,Emiliano Martinez,ARG,GK,0.9526,0.0866,76.208953,0.0,0.0,0.0,1.591318,4.327342,existing_components,yes,ok
lionel_messi__arg,Lionel Messi,ARG,FWD,0.6783,0.061664,45.486798,0.241094,0.109751,0.161554,1.649179,4.322338,existing_components,yes,ok
lamine_yamal__esp,Lamine Yamal,ESP,FWD,0.9024,0.082036,60.492384,0.232352,0.091806,0.143011,1.577234,4.281887,existing_components,no,ok
john_yeboah__ecu,John Yeboah,ECU,MID,0.8649,0.078627,58.16366,0.152747,0.09233,0.153888,1.294511,4.249852,existing_components,yes,ok
mike_maignan__fra,Mike Maignan,FRA,GK,0.9407,0.085518,75.856167,0.0,0.0,0.0,1.442054,4.153489,existing_components,no,ok
breel_embolo__sui,Breel Embolo,SUI,FWD,0.9215,0.083773,61.926643,0.207744,0.10986,0.144883,1.49824,4.147824,existing_components,yes,ok
c_sar_montes__mex,Cesar Montes,MEX,DEF,0.72,0.065455,54.24408,0.095223,0.027212,0.015042,1.693344,4.055522,existing_components,yes,ok
raul_rangel__mex,Raul Rangel,MEX,GK,0.9397,0.085427,,,,,1.648359,4.03893,existing_components,yes,ok
maxim_de_cuyper__bel,Maxim De Cuyper,BEL,DEF,0.8825,0.080227,65.98629,0.050675,0.020386,0.008689,1.262009,3.99453,existing_components,yes,ok
gregor_kobel__sui,Gregor Kobel,SUI,GK,0.9174,0.0834,73.73419,0,0,0,1.668806,3.984932,existing_components,yes,ok
cristian_romero__arg,Cristian Romero,ARG,DEF,0.9113,0.082845,68.430428,0.030871,0.028873,0.0077,1.46782,3.961885,existing_components,yes,ok
mohamed_salah__egy,Mohamed Salah,EGY,FWD,0.8587,0.078064,57.893554,0.096425,0.040293,0.181725,0.713476,3.921398,existing_components,yes,ok
tajon_buchanan__can,Tajon Buchanan,CAN,MID,0.8726,0.079327,62.073274,0.191051,0.114542,0.090693,1.489365,3.895943,existing_components,yes,ok
denzel_dumfries__ned,Denzel Dumfries,NED,DEF,0.9243,0.084027,69.259648,0.047977,0.029225,0.015971,1.181242,3.847035,existing_components,yes,ok
alisson_becker__bra,Alisson Becker,BRA,GK,0.7986,0.0726,,,,,1.214426,3.840033,existing_components,yes,ok
matheus_cunha__bra,Matheus Cunha,BRA,FWD,0.7528,0.068436,50.445128,0.191727,0.090994,0.143149,1.310587,3.800964,existing_components,yes,ok
kylian_mbapp__fra,Kylian Mbappe,FRA,FWD,0.6765,0.0615,45.249055,0.208573,0.075819,0.156559,1.417473,3.797084,existing_components,yes,ok
marquinhos__bra,Marquinhos,BRA,DEF,0.9004,0.081855,67.367028,0.02446,0.023815,0.006549,1.275245,3.790083,existing_components,no,ok
sadio_man__sen,Sadio Mane,SEN,FWD,0.8924,0.081127,60.328025,0.084541,0.057131,0.172158,0.693939,3.77453,existing_components,yes,ok
jordan_pickford__eng,Jordan Pickford,ENG,GK,0.8648,0.078618,69.027471,0.0,0.0,0.0,1.16625,3.770347,existing_components,yes,ok
enner_valencia__ecu,Enner Valencia,ECU,FWD,0.883,0.080273,59.19632,0.17677,0.061108,0.148786,1.142408,3.762889,existing_components,yes,ok
richie_laryea__can,Richie Laryea,CAN,DEF,0.9347,0.084973,70.207186,0.032774,0.05924,0.008418,1.356467,3.752641,existing_components,yes,ok
nico_williams__esp,Nico Williams,ESP,FWD,0.838,0.076182,56.140972,0.205795,0.083317,0.134876,1.41679,3.751227,existing_components,no,ok
