player_id,player_name,team_id,position,price,old_ev,new_ev,ev_diff,ev_diff_pct,main_reason
unai_sim_n__esp,Unai Simon,ESP,GK,5000000,19.173341,26.557254,7.383913,0.385114,match_2_clean_sheet_multiplier=1.450
alisson_becker__bra,Alisson Becker,BRA,GK,5000000,16.05399,21.501081,5.447091,0.339298,match_2_clean_sheet_multiplier=1.437
vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,7500000,15.088455,19.649363,4.560908,0.302278,match_2_clean_sheet_multiplier=1.437
mike_maignan__fra,Mike Maignan,FRA,GK,5000000,14.955122,20.233152,5.27803,0.352925,match_2_clean_sheet_multiplier=1.450
lionel_messi__arg,Lionel Messi,ARG,FWD,8000000,14.912437,19.383457,4.47102,0.299818,match_1_goal_multiplier=1.350
cristiano_ronaldo__por,Cristiano Ronaldo,POR,FWD,7000000,14.730519,19.104629,4.37411,0.296942,match_1_goal_multiplier=1.350
marquinhos__bra,Marquinhos,BRA,DEF,5000000,14.377883,19.221292,4.843409,0.336865,match_2_clean_sheet_multiplier=1.437
kylian_mbapp__fra,Kylian Mbappe,FRA,FWD,10000000,14.089528,18.115718,4.02619,0.285758,match_2_clean_sheet_multiplier=1.450
harry_kane__eng,Harry Kane,ENG,FWD,9500000,13.774322,17.852576,4.078254,0.296077,match_2_goal_multiplier=1.350
aymeric_laporte__esp,Aymeric Laporte,ESP,DEF,4500000,13.70646,18.747679,5.041219,0.367799,match_2_clean_sheet_multiplier=1.450
lautaro_mart_nez__arg,Lautaro Martinez,ARG,FWD,8000000,13.165944,17.160128,3.994184,0.303372,match_1_goal_multiplier=1.350
jonathan_tah__ger,Jonathan Tah,GER,DEF,4500000,12.929252,17.452786,4.523534,0.349868,match_1_clean_sheet_multiplier=1.450
lamine_yamal__esp,Lamine Yamal,ESP,FWD,9000000,12.812677,16.481864,3.669187,0.286372,match_2_clean_sheet_multiplier=1.450
jonathan_david__can,Jonathan David,CAN,FWD,4500000,12.60102,15.924402,3.323382,0.263739,match_2_goal_multiplier=1.350
nico_schlotterbeck__ger,Nico Schlotterbeck,GER,DEF,4000000,12.573006,16.968282,4.395276,0.34958,match_1_clean_sheet_multiplier=1.450
emiliano_mart_nez__arg,Emiliano Martinez,ARG,GK,5000000,12.520458,15.901831,3.381373,0.270068,match_1_goal_multiplier=1.350
ra_l_jim_nez__mex,Raul Jimenez,MEX,FWD,4500000,12.354037,15.508103,3.154066,0.255307,match_1_goal_multiplier=1.350
oliver_baumann__ger,Oliver Baumann,GER,GK,5000000,12.33058,16.768131,4.437551,0.359882,match_1_clean_sheet_multiplier=1.450
marc_cucurella__esp,Marc Cucurella,ESP,DEF,4500000,12.312373,16.826654,4.514281,0.366646,match_2_clean_sheet_multiplier=1.450
pedro_porro__esp,Pedro Porro,ESP,DEF,4500000,11.97918,16.36486,4.38568,0.366109,match_2_clean_sheet_multiplier=1.450
mikel_oyarzabal__esp,Mikel Oyarzabal,ESP,FWD,7500000,11.776678,15.115796,3.339118,0.283537,match_2_clean_sheet_multiplier=1.450
nicol_s_tagliafico__arg,Nicolas Tagliafico,ARG,DEF,4000000,11.212374,14.355182,3.142808,0.280298,match_1_goal_multiplier=1.350
cody_gakpo__ned,Cody Gakpo,NED,FWD,6500000,11.056935,13.856767,2.799832,0.25322,match_3_goal_multiplier=1.350
nico_williams__esp,Nico Williams,ESP,FWD,4500000,10.979891,14.107006,3.127115,0.284804,match_2_clean_sheet_multiplier=1.450
theo_hern_ndez__fra,Theo Hernandez,FRA,DEF,4500000,10.921911,14.601981,3.68007,0.336944,match_2_clean_sheet_multiplier=1.450
jeremy_doku__bel,Jeremy Doku,BEL,FWD,6500000,10.643208,13.829542,3.186334,0.299377,match_2_goal_multiplier=1.350
jordan_pickford__eng,Jordan Pickford,ENG,GK,5000000,10.56964,12.995492,2.425852,0.229511,match_2_goal_multiplier=1.350
breel_embolo__sui,Breel Embolo,SUI,FWD,5000000,10.439719,13.180846,2.741127,0.262567,match_1_goal_multiplier=1.350
dayot_upamecano__fra,Dayot Upamecano,FRA,DEF,4000000,10.422212,13.984446,3.562234,0.341793,match_2_clean_sheet_multiplier=1.450
casemiro__bra,Casemiro,BRA,MID,4500000,10.371031,13.455359,3.084328,0.297398,match_2_clean_sheet_multiplier=1.437
kevin_de_bruyne__bel,Kevin De Bruyne,BEL,MID,7000000,10.349273,13.529372,3.180099,0.307278,match_2_goal_multiplier=1.350
nuno_mendes__por,Nuno Mendes,POR,DEF,4500000,10.170199,12.593434,2.423235,0.238268,match_1_goal_multiplier=1.350
silvan_widmer__sui,Silvan Widmer,SUI,DEF,3000000,10.112328,12.68024,2.567912,0.253939,match_1_goal_multiplier=1.350
leandro_trossard__bel,Leandro Trossard,BEL,FWD,5500000,10.008001,13.034781,3.02678,0.302436,match_2_goal_multiplier=1.350
bruno_fernandes__por,Bruno Fernandes,POR,MID,7000000,9.99163,12.839088,2.847458,0.284984,match_1_goal_multiplier=1.350
juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,6000000,9.816337,12.742665,2.926328,0.298108,match_1_goal_multiplier=1.350
jules_kounde__fra,Jules Kounde,FRA,DEF,3500000,9.791612,13.159026,3.367414,0.343908,match_2_clean_sheet_multiplier=1.450
marko_arnautovi__aut,Marko Arnautovic,AUT,FWD,4500000,9.720515,12.279457,2.558942,0.263252,match_1_goal_multiplier=1.350
