player_id,player_name,team_id,team_name,position,price,price_estimate,start_prob,start_prob_source,minute_share,weighted_group_stage_ev,optimizer_ev,holdet_player_id,holdet_team_name,holdet_price,official_holdet_master,ev_rebased_to_holdet_master,ev_match_method,ev_match_score,goal_share_norm,assist_share_norm,sot_share_norm,match_1_opponent_team,match_1_kickoff,match_1_minutes_if_start,match_1_goal_ev,match_1_assist_ev,match_1_shots_on_target_ev,match_1_clean_sheet_ev,match_1_card_ev,match_1_result_ev,match_1_team_scores_ev,match_1_opponent_scores_ev,match_1_on_pitch_ev,match_1_start_minutes_ev,match_1_total_ev_next_match,match_1_weighted_match_ev,match_2_opponent_team,match_2_kickoff,match_2_minutes_if_start,match_2_goal_ev,match_2_assist_ev,match_2_shots_on_target_ev,match_2_clean_sheet_ev,match_2_card_ev,match_2_result_ev,match_2_team_scores_ev,match_2_opponent_scores_ev,match_2_on_pitch_ev,match_2_start_minutes_ev,match_2_total_ev_next_match,match_2_weighted_match_ev,match_3_opponent_team,match_3_kickoff,match_3_minutes_if_start,match_3_goal_ev,match_3_assist_ev,match_3_shots_on_target_ev,match_3_clean_sheet_ev,match_3_card_ev,match_3_result_ev,match_3_team_scores_ev,match_3_opponent_scores_ev,match_3_on_pitch_ev,match_3_start_minutes_ev,match_3_total_ev_next_match,match_3_weighted_match_ev,total_ev_group_stage,holdet_person_id,holdet_team_id,holdet_start_price,holdet_position,holdet_is_out,score,price_m,model_ev_before_price_quality,price_rank_pct_position,price_quality_ev,weighted_group_stage_ev_before_price_quality,optimizer_ev_before_price_quality,price_quality_weight,price_quality_applied,price_quality_spread_multiplier,name_norm,team_norm,position_norm,key_name_team_pos,key_name_team,key_token_team,round_context_source,price_quality_repair_source,match_1_win_prob,match_1_clean_sheet_prob,match_1_goal_multiplier,match_1_assist_multiplier,match_1_clean_sheet_multiplier,match_2_win_prob,match_2_clean_sheet_prob,match_2_goal_multiplier,match_2_assist_multiplier,match_2_clean_sheet_multiplier,match_3_win_prob,match_3_clean_sheet_prob,match_3_goal_multiplier,match_3_assist_multiplier,match_3_clean_sheet_multiplier
erling_haaland__nor,Erling Haaland,NOR,Norge,FWD,8500000,8500000,0.8883,transfermarkt_availability_split_2026_06_01,0.080755,10.807059,10.807059,49076,Norge,8500000,True,True,name_team_position,1.0,0.097,0.044,0.09,IRQ,2026-06-17 00:00,66.409,0.258297,0.068138,0.130825,0,0.043608,0.023,0.008,-0.0066724913948247,-0.163531,58.991115,1.185616,1.185616,SEN,2026-06-23 02:00,66.409,0.204147,0.059084,0.141727,0,0.043608,0.012,0.008,-0.006375552853617,-0.163531,58.991115,0.942052,0.89495,FRA,2026-06-26 21:00,66.409,0.086475,0.033262,0.136276,0,0.043608,0.011,0.008,-0.0065675195545758,-0.163531,58.991115,0.387255,0.34853,2.520969,38894,1126,8500000,FWD,False,,8.5,0.396,0.989247311827957,3.4311251612903235,0.396,0.848975,0.45,True,1.35,erling haaland,nor,FWD,erling haaland|nor|FWD,erling haaland|nor,erling haaland|nor,,,,,,,,,,,,,,,,,
antonio_nusa__nor,Antonio Nusa,NOR,Norge,MID,3500000,3500000,0.8157,transfermarkt_availability_split_2026_06_01,0.074155,8.81284,8.81284,48852,Norge,3500000,True,True,name_team_position,1.0,0.097,0.044,0.09,IRQ,2026-06-17 00:00,66.409,0.237187,0.062569,0.120133,0,0.040044,0.023,0.008,-0.0066724913948247,-0.150166,54.169821,1.327893,1.327893,SEN,2026-06-23 02:00,66.409,0.187462,0.054255,0.130144,0,0.040044,0.012,0.008,-0.006375552853617,-0.150166,54.169821,1.053633,1.000952,FRA,2026-06-26 21:00,66.409,0.079408,0.030544,0.125138,0,0.040044,0.011,0.008,-0.0065675195545758,-0.150166,54.169821,0.436032,0.392429,2.824331,41390,1126,3500000,MID,False,,3.5,0.396,0.8263403263403264,2.3658784615384616,0.396,0.650756,0.45,True,1.35,antonio nusa,nor,MID,antonio nusa|nor|MID,antonio nusa|nor,antonio nusa|nor,,,,,,,,,,,,,,,,,
kerim_alajbegovi__bih,Kerim Alajbegovic,BIH,Bosnien-Hercegovina,MID,3500000,3500000,0.873,transfermarkt_availability_split_2026_06_01,0.079364,8.06249,8.06249,49387,Bosnien-Hercegovina,3500000,True,True,name_team_position,1.0,0.084,0.05,0.112,CAN,2026-06-12 21:00,66.36,0.070398,0.03164,0.143505,0,0.043675,0.006,0.007,-0.0059837613432094,-0.205898,57.93228,0.347858,0.347858,SUI,2026-06-18 21:00,66.36,0.059661,0.027952,0.143505,0,0.043675,0.007,0.007,-0.0060287034848672,-0.205898,57.93228,0.284064,0.269861,QAT,2026-06-24 21:00,66.36,0.220904,0.079776,0.180941,0,0.043675,0.011,0.007,-0.0052563688660546,-0.205898,57.93228,1.28796,1.159164,1.919882,46620,882,3500000,MID,False,,3.5,0.267,0.8263403263403264,2.3658784615384616,0.267,0.554006,0.45,True,1.35,kerim alajbegovic,bih,MID,kerim alajbegovic|bih|MID,kerim alajbegovic|bih,alajbegovic kerim|bih,,,,,,,,,,,,,,,,,
donyell_malen__ned,Donyell Malen,NED,Holland,FWD,4500000,4500000,0.7099,transfermarkt_availability_split_2026_06_01,0.064536,8.031109,8.031109,49032,Holland,4500000,True,True,name_team_position,1.0,0.067,0.051,0.088,JPN,2026-06-14 22:00,66.517,0.122677,0.061677,0.120569,0,0.035004,0.017,0.01,-0.0068571957826054,-0.108901,47.220418,0.672546,0.672546,SWE,2026-06-20 19:00,66.517,0.148923,0.07135,0.120569,0,0.035004,0.015,0.01,-0.0067897382422836,-0.108901,47.220418,0.804616,0.764385,TUN,2026-06-26 01:00,66.517,0.140463,0.063937,0.105012,0,0.035004,0.012,0.009,-0.0074589858585701,-0.108901,47.220418,0.728311,0.65548,2.205473,37011,593,4500000,FWD,False,,4.5,0.393,0.8279569892473119,2.871702580645162,0.393,0.756729,0.45,True,1.35,donyell malen,ned,FWD,donyell malen|ned|FWD,donyell malen|ned,donyell malen|ned,,,,,,,,,,,,,,,,,
alexander_s_rloth__nor,Alexander Sørloth,NOR,Norge,FWD,4500000,4500000,0.8078,transfermarkt_availability_split_2026_06_01,0.073436,7.838757,7.838757,48786,Norge,4500000,True,True,name_team_position,1.0,0.072,0.044,0.09,IRQ,2026-06-17 00:00,66.409,0.171648,0.061963,0.118969,0,0.039656,0.023,0.008,-0.0066724913948247,-0.148711,53.64519,0.827411,0.827411,SEN,2026-06-23 02:00,66.409,0.13443,0.053729,0.128883,0,0.039656,0.012,0.008,-0.006375552853617,-0.148711,53.64519,0.653047,0.620395,FRA,2026-06-26 21:00,66.409,0.056168,0.030248,0.123926,0,0.039656,0.011,0.008,-0.0065675195545758,-0.148711,53.64519,0.263407,0.237067,1.743865,31332,1126,4500000,FWD,False,,4.5,0.315,0.8279569892473119,2.871702580645162,0.315,0.698229,0.45,True,1.35,alexander sorloth,nor,FWD,alexander sorloth|nor|FWD,alexander sorloth|nor,alexander sorloth|nor,,,,,,,,,,,,,,,,,
martin_degaard__nor,Martin Ødegaard,NOR,Norge,MID,4500000,4500000,0.8375,transfermarkt_availability_split_2026_06_01,0.076136,6.702773,6.702773,49516,Norge,4500000,True,True,name_team_position,1.0,0.03,0.049,0.022,IRQ,2026-06-17 00:00,70.409,0.07493,0.0803,0.030835,0,0.071949,0.024,0.009,-0.0070743966537716,-0.154177,58.967538,0.446185,0.446185,SEN,2026-06-23 02:00,70.409,0.059733,0.068079,0.035975,0,0.071949,0.012,0.009,-0.0067595725651373,-0.154177,58.967538,0.326991,0.310642,FRA,2026-06-26 21:00,70.409,0.026205,0.034844,0.035975,0,0.071949,0.011,0.009,-0.0069631020276035,-0.154177,58.967538,0.058443,0.052599,0.831619,32027,1126,4500000,MID,False,,4.5,0.155,0.93006993006993,2.662864615384616,0.155,0.514413,0.45,True,1.35,martin odegaard,nor,MID,martin odegaard|nor|MID,martin odegaard|nor,martin odegaard|nor,,,,,,,,,,,,,,,,,
lionel_messi__arg,Lionel Messi,ARG,Argentina,FWD,8000000,8000000,0.8949,transfermarkt_availability_split_2026_06_01,0.081355,6.461077,6.461077,49442,Argentina,8000000,True,True,name_team_position,1.0,0.097,0.074,0.121,ALG,2026-06-17 03:00,67.06,0.318081,0.144798,0.213143,0,0.046335,0.083,0.032,-0.0216398384557701,0.03089,60.011994,1.997776,1.997776,AUT,2026-06-22 19:00,67.06,0.279266,0.128438,0.210054,0,0.046335,0.046,0.032,-0.0219959637684282,0.03089,60.011994,1.752991,1.665341,JOR,2026-06-28 04:00,67.06,0.292747,0.132732,0.196153,0,0.046335,0.042,0.031,-0.0226908388796291,0.03089,60.011994,1.800201,1.620181,5.550968,23259,762,8000000,FWD,False,,8.0,2.282,0.9838709677419356,3.412477741935485,2.282,2.260475,0.45,True,1.35,lionel messi,arg,FWD,lionel messi|arg|FWD,lionel messi|arg,lionel messi|arg,,,,,,,,,,,,,,,,,
harry_kane__eng,Harry Kane,ENG,England,FWD,9500000,9500000,0.8702,transfermarkt_availability_split_2026_06_01,0.079109,6.431636,6.431636,49172,England,9500000,True,True,name_team_position,1.0,0.082,0.042,0.087,CRO,2026-06-17 22:00,66.527,0.213065,0.0678,0.142966,0,0.045749,0.053,0.025,-0.0173385217231468,0.009531,57.891795,1.223069,1.223069,GHA,2026-06-23 22:00,66.527,0.267503,0.083397,0.150591,0,0.045749,0.039,0.025,-0.0163655096986729,0.009531,57.891795,1.48221,1.4081,PAN,2026-06-27 23:00,66.527,0.225814,0.068506,0.12581,0,0.045749,0.029,0.023,-0.0185664573815835,0.009531,57.891795,1.2318,1.10862,3.934256,29643,769,9500000,FWD,False,,9.5,1.328,0.996415770609319,3.455988387096775,1.328,1.551975,0.45,True,1.35,harry kane,eng,FWD,harry kane|eng|FWD,harry kane|eng,harry kane|eng,,,,,,,,,,,,,,,,,
lautaro_mart_nez__arg,Lautaro Martinez,ARG,Argentina,FWD,8000000,8000000,0.8498,transfermarkt_availability_split_2026_06_01,0.077255,6.342145,6.342145,49423,Argentina,8000000,True,True,name_team_position,1.0,0.117,0.069,0.126,ALG,2026-06-17 03:00,67.224,0.366854,0.128374,0.210876,0,0.043818,0.089,0.034,-0.0232352206453859,0.032864,57.126955,2.152225,2.152225,AUT,2026-06-22 19:00,67.224,0.32343,0.115835,0.206768,0,0.043818,0.049,0.034,-0.0236176010515027,0.032864,57.126955,1.896421,1.8016,JOR,2026-06-28 04:00,67.224,0.336906,0.117677,0.193075,0,0.043818,0.045,0.033,-0.0243637053518069,0.032864,57.126955,1.936412,1.742771,5.985058,36368,762,8000000,FWD,False,,8.0,2.726,0.9838709677419356,3.412477741935485,2.726,2.593475,0.45,True,1.35,lautaro martinez,arg,FWD,lautaro martinez|arg|FWD,lautaro martinez|arg,lautaro martinez|arg,,,,,,,,,,,,,,,,,
ferr_n_torres__esp,Ferran Torres,ESP,Spanien,FWD,5000000,5000000,0.8416,transfermarkt_availability_split_2026_06_01,0.076509,6.026566,6.026566,49105,Spanien,5000000,True,True,name_team_position,1.0,0.05,0.036,0.058,CPV,2026-06-15 18:00,66.36,0.166478,0.071363,0.100962,0,0.043269,0.064,0.02,-0.0118861578454097,-0.019231,55.848576,0.990577,0.990577,KSA,2026-06-21 18:00,66.36,0.162099,0.067608,0.098558,0,0.043269,0.03,0.019,-0.012305293789591,-0.019231,55.848576,0.923973,0.877774,URU,2026-06-27 02:00,66.36,0.116846,0.051483,0.081731,0,0.043269,0.022,0.018,-0.0142928434116074,-0.019231,55.848576,0.666771,0.600094,2.584753,36050,595,5000000,FWD,False,,5.0,0.72,0.8709677419354839,3.020881935483872,0.72,1.025978,0.45,True,1.35,ferran torres,esp,FWD,ferran torres|esp|FWD,ferran torres|esp,ferran torres|esp,,,,,,,,,,,,,,,,,
