player_id,player_name,team_id,team_name,position,price,price_estimate,start_prob,start_prob_source,minute_share,weighted_group_stage_ev,optimizer_ev,holdet_player_id,holdet_team_name,holdet_price,official_holdet_master,ev_rebased_to_holdet_master,ev_match_method,ev_match_score,goal_share_norm,assist_share_norm,sot_share_norm,match_1_opponent_team,match_1_kickoff,match_1_minutes_if_start,match_1_goal_ev,match_1_assist_ev,match_1_shots_on_target_ev,match_1_clean_sheet_ev,match_1_card_ev,match_1_result_ev,match_1_team_scores_ev,match_1_opponent_scores_ev,match_1_on_pitch_ev,match_1_start_minutes_ev,match_1_total_ev_next_match,match_1_weighted_match_ev,match_2_opponent_team,match_2_kickoff,match_2_minutes_if_start,match_2_goal_ev,match_2_assist_ev,match_2_shots_on_target_ev,match_2_clean_sheet_ev,match_2_card_ev,match_2_result_ev,match_2_team_scores_ev,match_2_opponent_scores_ev,match_2_on_pitch_ev,match_2_start_minutes_ev,match_2_total_ev_next_match,match_2_weighted_match_ev,match_3_opponent_team,match_3_kickoff,match_3_minutes_if_start,match_3_goal_ev,match_3_assist_ev,match_3_shots_on_target_ev,match_3_clean_sheet_ev,match_3_card_ev,match_3_result_ev,match_3_team_scores_ev,match_3_opponent_scores_ev,match_3_on_pitch_ev,match_3_start_minutes_ev,match_3_total_ev_next_match,match_3_weighted_match_ev,total_ev_group_stage,holdet_person_id,holdet_team_id,holdet_start_price,holdet_position,holdet_is_out,score,price_m,model_ev_before_price_quality,price_rank_pct_position,price_quality_ev,weighted_group_stage_ev_before_price_quality,optimizer_ev_before_price_quality,price_quality_weight,price_quality_applied,price_quality_spread_multiplier,price_estimate_m,name_norm,team_norm,position_norm,key_name_team_pos,key_name_team,key_token_team
nico_elvedi__sui,Nico Elvedi,SUI,Schweiz,DEF,3291000,3291000,0.575,name+team,0.039,0.840019,0.840019,49639,Schweiz,3291000,True,True,name_team_position,1.0,0.007,0.011,0.003,QAT,2026-06-13 21:00,74.706,0.007,0.008,0.003,0.0,0.048,0.096,0.032,-0.0262369782446699,0.019,42.956,0.141,0.141,BIH,2026-06-18 21:00,74.706,0.008,0.009,0.003,0.0,0.048,0.051,0.035,-0.024065762878871,0.019,42.956,0.11,0.105,CAN,2026-06-24 21:00,74.706,0.008,0.008,0.003,0.0,0.048,0.049,0.034,-0.0246734481375621,0.019,42.956,0.105,0.094,0.355,33361,583,3000000,DEF,,,3.291,0.339,0.7085308056872038,1.452374786729859,0.339,0.456916,0.45,True,1.35,3.291,nico elvedi,switzerland,DEF,nico elvedi|switzerland|DEF,nico elvedi|switzerland,elvedi nico|switzerland
silvan_widmer__sui,Silvan Widmer,SUI,Schweiz,DEF,3140000,3140000,0.453,name+team,0.02,0.989619,0.989619,49851,Schweiz,3140000,True,True,name_team_position,1.0,0.024,0.039,0.02,QAT,2026-06-13 21:00,70.36,0.019,0.022,0.016,0.0,0.039,0.072,0.024,-0.0194849887294717,0.004,31.901,0.219,0.219,BIH,2026-06-18 21:00,70.36,0.022,0.025,0.018,0.0,0.039,0.038,0.026,-0.0178725276244874,0.004,31.901,0.216,0.205,CAN,2026-06-24 21:00,70.36,0.022,0.024,0.018,0.0,0.039,0.036,0.026,-0.0183238273247137,0.004,31.901,0.208,0.187,0.642,34177,583,3000000,DEF,,,3.14,0.611,0.7085308056872038,1.452374786729859,0.611,0.660916,0.45,True,1.35,3.14,silvan widmer,switzerland,DEF,silvan widmer|switzerland|DEF,silvan widmer|switzerland,silvan widmer|switzerland
ricardo_rodr_guez__sui,Ricardo Rodriguez,SUI,Schweiz,DEF,3319000,3319000,0.868,name+team,0.068,1.490669,1.490669,49768,Schweiz,3319000,True,True,name_team_position,1.0,0.008,0.013,0.003,QAT,2026-06-13 21:00,75.215,0.012,0.013,0.005,0.129,0.073,0.146,0.049,-0.0398994670737068,0.054,65.324,0.537,0.537,BIH,2026-06-18 21:00,75.215,0.014,0.015,0.005,0.153,0.073,0.078,0.053,-0.0365976258635735,0.054,65.324,0.544,0.517,CAN,2026-06-24 21:00,75.215,0.013,0.015,0.005,0.146,0.073,0.074,0.052,-0.0375217535487138,0.054,65.324,0.521,0.469,1.602,25330,583,3000000,DEF,,,3.319,1.522,0.7085308056872038,1.452374786729859,1.522,1.344166,0.45,True,1.35,3.319,ricardo rodriguez,switzerland,DEF,ricardo rodriguez|switzerland|DEF,ricardo rodriguez|switzerland,ricardo rodriguez|switzerland
eray_c_mert__sui,Eray Cömert,SUI,Schweiz,DEF,1975000,1975000,0.508,name+team,0.03,0.2753,0.2753,49071,Schweiz,1975000,True,True,name_team_position,1.0,0.007,0.011,0.003,QAT,2026-06-13 21:00,74.549,0.006,0.006,0.002,0.0,0.042,0.085,0.029,-0.0231403165308014,0.011,37.886,0.116,0.116,BIH,2026-06-18 21:00,74.549,0.007,0.007,0.003,0.0,0.042,0.045,0.031,-0.0212253623637248,0.011,37.886,0.089,0.084,CAN,2026-06-24 21:00,74.549,0.007,0.007,0.003,0.0,0.042,0.043,0.03,-0.021761324588722,0.011,37.886,0.084,0.075,0.288,34768,583,2000000,DEF,,,1.975,0.276,0.1338862559241706,0.2744454028436021,0.276,0.245296,0.45,True,1.35,1.975,eray comert,switzerland,DEF,eray comert|switzerland|DEF,eray comert|switzerland,comert eray|switzerland
manuel_akanji__sui,Manuel Akanji,SUI,Schweiz,DEF,3821000,3821000,0.834,name+team,0.061,1.471655,1.471655,49486,Schweiz,3821000,True,True,name_team_position,1.0,0.008,0.012,0.003,QAT,2026-06-13 21:00,75.098,0.011,0.012,0.004,0.095,0.07,0.14,0.047,-0.0382319797599455,0.05,62.594,0.446,0.446,BIH,2026-06-18 21:00,75.098,0.013,0.014,0.005,0.112,0.07,0.074,0.051,-0.0350681298247278,0.05,62.594,0.441,0.419,CAN,2026-06-24 21:00,75.098,0.012,0.014,0.005,0.107,0.07,0.071,0.05,-0.0359536361621589,0.05,62.594,0.422,0.38,1.31,34769,583,3500000,DEF,,,3.821,1.245,0.8530805687203792,1.7486786729857835,1.245,1.177763,0.45,True,1.35,3.821,manuel akanji,switzerland,DEF,manuel akanji|switzerland|DEF,manuel akanji|switzerland,akanji manuel|switzerland
aurele_amenda__sui,Aurele Amenda,SUI,Schweiz,DEF,2475000,2475000,0.446,name+team,0.02,0.522089,0.522089,48868,Schweiz,2475000,True,True,name_team_position,1.0,0.006,0.01,0.003,QAT,2026-06-13 21:00,74.36,0.005,0.005,0.002,0.0,0.037,0.074,0.025,-0.0202520814700306,0.004,33.157,0.093,0.093,BIH,2026-06-18 21:00,74.36,0.006,0.006,0.002,0.0,0.037,0.039,0.027,-0.0185761403587071,0.004,33.157,0.069,0.065,CAN,2026-06-24 21:00,74.36,0.005,0.006,0.002,0.0,0.037,0.038,0.027,-0.0190452070039733,0.004,33.157,0.064,0.058,0.226,45018,583,2500000,DEF,,,2.475,0.216,0.4372037914691943,0.8961978199052141,0.216,0.287057,0.45,True,1.35,2.475,aurele amenda,switzerland,DEF,aurele amenda|switzerland|DEF,aurele amenda|switzerland,amenda aurele|switzerland
luca_jaquez__sui,Luca Jaquez,SUI,Schweiz,DEF,2081000,2081000,0.25,holdet_official_unmatched_default,0.0227272727272727,0.1235,0.1235,49450,Schweiz,2081000,True,True,name_team_position,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47434,583,2000000,DEF,,,2.081,0.0,0.1338862559241706,0.2744454028436021,0.0,0.038296,0.45,True,1.35,2.081,luca jaquez,switzerland,DEF,luca jaquez|switzerland|DEF,luca jaquez|switzerland,jaquez luca|switzerland
miro_muheim__sui,Miro Muheim,SUI,Schweiz,DEF,2506000,2506000,0.446,name+team,0.02,0.522089,0.522089,49569,Schweiz,2506000,True,True,name_team_position,1.0,0.006,0.01,0.003,QAT,2026-06-13 21:00,74.36,0.005,0.005,0.002,0.0,0.037,0.074,0.025,-0.0202520814700306,0.004,33.157,0.093,0.093,BIH,2026-06-18 21:00,74.36,0.006,0.006,0.002,0.0,0.037,0.039,0.027,-0.0185761403587071,0.004,33.157,0.069,0.065,CAN,2026-06-24 21:00,74.36,0.005,0.006,0.002,0.0,0.037,0.038,0.027,-0.0190452070039733,0.004,33.157,0.064,0.058,0.226,48186,583,2500000,DEF,,,2.506,0.216,0.4372037914691943,0.8961978199052141,0.216,0.287057,0.45,True,1.35,2.506,miro muheim,switzerland,DEF,miro muheim|switzerland|DEF,miro muheim|switzerland,miro muheim|switzerland
malo_gusto__fra,Malo Gusto,FRA,Frankrig,DEF,4096000,4096000,0.42,name+team,0.02,0.971824,0.971824,49482,Frankrig,4096000,True,True,name_team_position,1.0,0.007,0.011,0.003,SEN,2026-06-16 21:00,74.36,0.006,0.006,0.003,0.0,0.035,0.065,0.025,-0.0176608429421525,0.0,31.268,0.096,0.096,IRQ,2026-06-22 23:00,74.36,0.007,0.006,0.003,0.0,0.035,0.041,0.026,-0.0165614699177731,0.0,31.268,0.077,0.073,NOR,2026-06-26 21:00,74.36,0.005,0.005,0.002,0.0,0.035,0.03,0.024,-0.0191935812693925,0.0,31.268,0.05,0.045,0.224,43605,592,4000000,DEF,,,4.096,0.215,0.9253554502369667,1.8968306161137456,0.215,0.425936,0.45,True,1.35,4.096,malo gusto,france,DEF,malo gusto|france|DEF,malo gusto|france,gusto malo|france
maxence_lacroix__fra,Maxence Lacroix,FRA,Frankrig,DEF,3044000,3044000,0.25,holdet_official_unmatched_default,0.0227272727272727,0.0,0.0,50026,Frankrig,3044000,True,True,name_team_position,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39717,592,3000000,DEF,,,3.044,,,,,,,,,3.044,maxence lacroix,france,DEF,maxence lacroix|france|DEF,maxence lacroix|france,lacroix maxence|france
william_saliba__fra,William Saliba,FRA,Frankrig,DEF,4865000,4865000,0.843,name+team,0.065,1.670041,1.670041,49945,Frankrig,4865000,True,True,name_team_position,1.0,0.009,0.013,0.004,SEN,2026-06-16 21:00,75.163,0.015,0.015,0.006,0.122,0.07,0.132,0.052,-0.0357751934908538,0.051,63.34,0.538,0.538,IRQ,2026-06-22 23:00,75.163,0.016,0.016,0.007,0.135,0.07,0.083,0.053,-0.0335482169646131,0.051,63.34,0.532,0.505,NOR,2026-06-26 21:00,75.163,0.013,0.013,0.006,0.103,0.07,0.061,0.048,-0.0388800288833357,0.051,63.34,0.402,0.362,1.472,38754,592,4500000,DEF,,,4.865,1.405,0.9727488151658767,1.9939794312796224,1.405,1.331993,0.45,True,1.35,4.865,william saliba,france,DEF,william saliba|france|DEF,william saliba|france,saliba william|france
jules_kounde__fra,Jules Kounde,FRA,Frankrig,DEF,3924000,3924000,0.25,holdet_official_unmatched_default,0.0227272727272727,0.0,0.0,50025,Frankrig,3924000,True,True,name_team_position,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38721,592,3500000,DEF,,,3.924,,,,,,,,,3.924,jules kounde,france,DEF,jules kounde|france|DEF,jules kounde|france,jules kounde|france
dayot_upamecano__fra,Dayot Upamecano,FRA,Frankrig,DEF,4424000,4424000,0.605,name+team,0.034,1.067524,1.067524,49000,Frankrig,4424000,True,True,name_team_position,1.0,0.008,0.011,0.003,SEN,2026-06-16 21:00,74.608,0.009,0.009,0.004,0.0,0.05,0.094,0.037,-0.0255115114951855,0.023,45.168,0.166,0.166,IRQ,2026-06-22 23:00,74.608,0.01,0.01,0.004,0.0,0.05,0.059,0.038,-0.0239234407762046,0.023,45.168,0.14,0.133,NOR,2026-06-26 21:00,74.608,0.008,0.008,0.003,0.0,0.05,0.044,0.034,-0.0277255887950388,0.023,45.168,0.1,0.09,0.406,35088,592,4000000,DEF,,,4.424,0.389,0.9253554502369667,1.8968306161137456,0.389,0.556436,0.45,True,1.35,4.424,dayot upamecano,france,DEF,dayot upamecano|france|DEF,dayot upamecano|france,dayot upamecano|france
ibrahima_konat__fra,Ibrahima Konate,FRA,Frankrig,DEF,3022000,3022000,0.814,name+team,0.057,1.294319,1.294319,49209,Frankrig,3022000,True,True,name_team_position,1.0,0.009,0.013,0.004,SEN,2026-06-16 21:00,75.031,0.014,0.014,0.006,0.089,0.068,0.127,0.05,-0.0345175677340892,0.048,61.113,0.452,0.452,IRQ,2026-06-22 23:00,75.031,0.015,0.015,0.006,0.099,0.068,0.08,0.051,-0.0323688773823125,0.048,61.113,0.438,0.416,NOR,2026-06-26 21:00,75.031,0.012,0.012,0.005,0.076,0.068,0.059,0.046,-0.037513257079294,0.048,61.113,0.33,0.297,1.22,35483,592,3000000,DEF,,,3.022,1.165,0.7085308056872038,1.452374786729859,1.165,1.076416,0.45,True,1.35,3.022,ibrahima konate,france,DEF,ibrahima konate|france|DEF,ibrahima konate|france,ibrahima konate|france
theo_hern_ndez__fra,Theo Hernandez,FRA,Frankrig,DEF,4640000,4640000,0.74,name+team,0.047,1.233341,1.233341,49889,Frankrig,4640000,True,True,name_team_position,1.0,0.008,0.017,0.004,SEN,2026-06-16 21:00,74.844,0.012,0.018,0.005,0.006,0.062,0.115,0.045,-0.0313032378145476,0.039,55.422,0.252,0.252,IRQ,2026-06-22 23:00,74.844,0.013,0.019,0.006,0.007,0.062,0.073,0.046,-0.0293546368705401,0.039,55.422,0.222,0.211,NOR,2026-06-26 21:00,74.844,0.011,0.015,0.005,0.005,0.062,0.053,0.042,-0.0340199638803544,0.039,55.422,0.165,0.149,0.639,33924,592,4500000,DEF,,,4.64,0.611,0.9727488151658767,1.9939794312796224,0.611,0.736493,0.45,True,1.35,4.64,theo hernandez,france,DEF,theo hernandez|france|DEF,theo hernandez|france,hernandez theo|france
