player_id,player_name,team_id,position,start_probability_pct,start_security,start_prob,start_prob_source,start_status,minutes_def_used,starts_def_used,nineties_def_used,min_pct_def_used,starts_per_ninety_used,base_start_score,start_reliability,minute_share_pf_used,starter_proxy_pf_used,merge_key,minute_share_pf,starter_proxy_pf,conditional_start_prob,availability_prob,availability_risk,availability_status
nico_elvedi__sui,Nico Elvedi,SUI,DEF,88,0.8785,0.8785,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.6095,,,,nico elvedi||sui,,,0.6408,0.8605,medium_risk,medium_risk
silvan_widmer__sui,Silvan Widmer,SUI,DEF,84,0.84,0.84,manual_context_override_safe,rotation/usikker - Transfermarkt landshold,,,,,,0.632,,,,silvan widmer||sui,,,0.7229,0.6408,high_risk,high_risk
ricardo_rodr_guez__sui,Ricardo Rodriguez,SUI,DEF,48,0.4831,0.4831,transfermarkt_availability_split_2026_06_07,sikker starter - Transfermarkt landshold,,,,,,0.8884,,,,ricardo rodriguez||sui,,,0.9241,0.8895,low_risk,low_risk
eray_c_mert__sui,Eray Cömert,SUI,DEF,6,0.0563,0.0563,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.3067,,,,eray comert||sui,,,0.3462,0.6742,medium_risk,medium_risk
manuel_akanji__sui,Manuel Akanji,SUI,DEF,94,0.9398,0.9398,transfermarkt_availability_split_2026_06_07,sikker starter - Transfermarkt landshold,,,,,,0.8685,,,,manuel akanji||sui,,,0.9302,0.8103,medium_risk,medium_risk
becir_omeragic__sui,Becir Omeragic,SUI,DEF,0,0.0,0.0,holdet_official_unmatched_default,,,,,,,,,,,,,,,,,
cedric_zesiger__sui,Cedric Zesiger,SUI,DEF,0,0.0,0.0,holdet_official_unmatched_default,,,,,,,,,,,,,,,,,
aurele_amenda__sui,Aurele Amenda,SUI,DEF,5,0.0487,0.0487,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.2809,,,,aurele amenda||sui,,,0.3,0.8182,medium_risk,medium_risk
luca_jaquez__sui,Luca Jaquez,SUI,DEF,5,0.0479,0.0479,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.4562,,,,luca jaquez||sui,,,0.5,0.75,medium_risk,medium_risk
isaac_schmidt__sui,Isaac Schmidt,SUI,DEF,0,0.0,0.0,holdet_official_unmatched_default,,,,,,,,,,,,,,,,,
miro_muheim__sui,Miro Muheim,SUI,DEF,5,0.0488,0.0488,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.3111,,,,miro muheim||sui,,,0.3333,0.8095,medium_risk,medium_risk
adrian_bajrami__sui,Adrian Bajrami,SUI,DEF,0,0.0,0.0,holdet_official_unmatched_default,,,,,,,,,,,,,,,,,
lucas_blondel__sui,Lucas Blondel,SUI,DEF,0,0.0,0.0,holdet_official_unmatched_default,,,,,,,,,,,,,,,,,
robin_hranac__cze,Robin Hranac,CZE,DEF,82,0.8244,0.8244,transfermarkt_availability_split_2026_06_07,,,,,,,,,,,,,,,,,
ladislav_krejci__cze,Ladislav Krejci,CZE,DEF,91,0.9051,0.9051,transfermarkt_availability_split_2026_06_07,,,,,,,,,,,,,,,,,
stepan_chaloupek__cze,Stepan Chaloupek,CZE,DEF,35,0.35,0.35,manual_context_override_safe,,,,,,,,,,,,,,,,,
martin_vitik__cze,Martin Vitik,CZE,DEF,0,0.0,0.0,transfermarkt_availability_split_2026_06_07,,,,,,,,,,,,,,,,,
david_jurasek__cze,David Jurasek,CZE,DEF,36,0.3556,0.3556,transfermarkt_availability_split_2026_06_07,,,,,,,,,,,,,,,,,
david_zima__cze,David Zima,CZE,DEF,12,0.1206,0.1206,transfermarkt_availability_split_2026_06_07,,,,,,,,,,,,,,,,,
jaroslav_zeleny__cze,Jaroslav Zeleny,CZE,DEF,37,0.3657,0.3657,transfermarkt_availability_split_2026_06_07,,,,,,,,,,,,,,,,,
tomas_holes__cze,Tomas Holes,CZE,DEF,19,0.187,0.187,transfermarkt_availability_split_2026_06_07,,,,,,,,,,,,,,,,,
vladimir_coufal__cze,Vladimir Coufal,CZE,DEF,91,0.9096,0.9096,transfermarkt_availability_split_2026_06_07,,,,,,,,,,,,,,,,,
jo_o_cancelo__por,João Cancelo,POR,DEF,65,0.6523,0.6523,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.732,,,,joao cancelo||por,,,0.8022,0.75,medium_risk,medium_risk
n_lson_semedo__por,Nelson Semedo,POR,DEF,52,0.5183,0.5183,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.5609,,,,nelson semedo||por,,,0.6522,0.6,high_risk,high_risk
diogo_dalot__por,Diogo Dalot,POR,DEF,37,0.37,0.37,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.577,,,,diogo dalot||por,,,0.6154,0.8219,medium_risk,medium_risk
nuno_tavares__por,Nuno Tavares,POR,DEF,0,0.0,0.0,holdet_official_unmatched_default,,,,,,,,,,,,,,,,,
r_ben_dias__por,Ruben Dias,POR,DEF,95,0.9454,0.9454,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.8077,,,,ruben dias||por,,,0.8506,0.8559,low_risk,low_risk
nuno_mendes__por,Nuno Mendes,POR,DEF,88,0.88,0.88,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.7657,,,,nuno mendes||por,,,0.8431,0.7375,medium_risk,medium_risk
gon_alo_in_cio__por,Goncalo Inacio,POR,DEF,36,0.3606,0.3606,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.5955,,,,goncalo inacio||por,,,0.6452,0.78,medium_risk,medium_risk
tom_s_ara_jo__por,Tomas Araujo,POR,DEF,30,0.2957,0.2957,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.536,,,,tomas araujo||por,,,0.6667,0.44,high_risk,high_risk
antonio_silva__por,Antonio Silva,POR,DEF,0,0.0,0.0,holdet_official_unmatched_default,,,,,,,,,,,,,,,,,
renato_veiga__por,Renato Veiga,POR,DEF,58,0.5821,0.5821,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.5625,,,,renato veiga||por,,,0.6,0.8214,medium_risk,medium_risk
mustafa_eskihella__tur,Mustafa Eskihellac,TUR,DEF,0,0.0,0.0,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.8002,,,,mustafa eskihellac||tur,,,0.97,0.5,high_risk,high_risk
mert_m_ld_r__tur,Mert Müldür,TUR,DEF,39,0.3893,0.3893,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.7084,,,,mert muldur||tur,,,0.7681,0.7778,medium_risk,medium_risk
ferdi_kadioglu__tur,Ferdi Kadioglu,TUR,DEF,92,0.918,0.918,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.8985,,,,ferdi kadioglu||tur,,,0.97,0.7895,medium_risk,medium_risk
samet_akaydin__tur,Samet Akaydin,TUR,DEF,10,0.0974,0.0974,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.476,,,,samet akaydin||tur,,,0.5,0.8627,medium_risk,medium_risk
abdulkerim_bardakci__tur,Abdulkerim Bardakci,TUR,DEF,89,0.8864,0.8864,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.7036,,,,abdulkerim bardakci||tur,,,0.8182,0.6,high_risk,high_risk
evren_eren_elmali__tur,Evren Eren Elmali,TUR,DEF,56,0.5587,0.5587,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.6381,,,,evren eren elmali||tur,,,0.7241,0.6607,medium_risk,medium_risk
zeki_elik__tur,Zeki Celik,TUR,DEF,86,0.8552,0.8552,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.7006,,,,zeki celik||tur,,,0.7349,0.8667,low_risk,low_risk
merih_demiral__tur,Merih Demiral,TUR,DEF,43,0.4349,0.4349,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.8407,,,,merih demiral||tur,,,0.9104,0.7812,medium_risk,medium_risk
ozan_kabak__tur,Ozan Kabak,TUR,DEF,79,0.7852,0.7852,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.699,,,,ozan kabak||tur,,,0.7576,0.7789,medium_risk,medium_risk
caglar_soyuncu__tur,Caglar Soyuncu,TUR,DEF,61,0.6135,0.6135,transfermarkt_availability_split_2026_06_07,,,,,,,,,,,,,,,,,
david_alaba__aut,David Alaba,AUT,DEF,44,0.4441,0.4441,transfermarkt_availability_split_2026_06_07,sikker starter - Transfermarkt landshold,,,,,,0.9111,,,,david alaba||aut,,,0.97,0.8266,medium_risk,medium_risk
marco_friedl__aut,Marco Friedl,AUT,DEF,48,0.4784,0.4784,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.4745,,,,marco friedl||aut,,,0.5517,0.6,high_risk,high_risk
philipp_lienhart__aut,Philipp Lienhart,AUT,DEF,84,0.84,0.84,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.6814,,,,philipp lienhart||aut,,,0.7368,0.785,medium_risk,medium_risk
kevin_danso__aut,Kevin Danso,AUT,DEF,33,0.3346,0.3346,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.7136,,,,kevin danso||aut,,,0.7941,0.7103,medium_risk,medium_risk
stefan_posch__aut,Stefan Posch,AUT,DEF,84,0.84,0.84,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.7042,,,,stefan posch||aut,,,0.7586,0.7952,medium_risk,medium_risk
phillipp_mwene__aut,Phillipp Mwene,AUT,DEF,76,0.76,0.76,manual_context_override_safe,rotation/usikker - Transfermarkt landshold,,,,,,0.6568,,,,phillipp mwene||aut,,,0.7297,0.7143,medium_risk,medium_risk
maximilian_w_ber__aut,Maximilian Wöber,AUT,DEF,0,0.0,0.0,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.6391,,,,maximilian wober||aut,,,0.7407,0.6078,high_risk,high_risk
leopold_querfeld__aut,Leopold Querfeld,AUT,DEF,0,0.0,0.0,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.3116,,,,leopold querfeld||aut,,,0.3333,0.814,medium_risk,medium_risk
david_affengruber__aut,David Affengruber,AUT,DEF,5,0.047,0.047,transfermarkt_availability_split_2026_06_07,,,,,,,,,,,,,,,,,
alexander_prass__aut,Alexander Prass,AUT,DEF,8,0.0816,0.0816,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.6185,,,,alexander prass||aut,,,0.7143,0.617,high_risk,high_risk
michael_svoboda__aut,Michael Svoboda,AUT,DEF,4,0.0438,0.0438,transfermarkt_availability_split_2026_06_07,,,,,,,,,,,,,,,,,
josip_utalo__cro,Josip Sutalo,CRO,DEF,67,0.6651,0.6651,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.6646,,,,josip sutalo||cro,,,0.6977,0.8644,medium_risk,medium_risk
kristijan_jaki__cro,Kristijan Jakic,CRO,DEF,7,0.0729,0.0729,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.3298,,,,kristijan jakic||cro,,,0.375,0.6557,medium_risk,medium_risk
