player_id,player_name,team_id,position,start_prob,conditional_start_prob,appearance_prob,availability_prob,availability_risk,round_specific_rotation_risk,start_prob_source,minute_share,weighted_group_stage_ev,total_ev_group_stage,team_ev_share,team_position_ev_share,team_position_rank,position_slot_target,inside_expected_slot_band,start_signal_raw,start_signal_rank_adjusted,start_signal_tier
rayan_a_t_nouri__alg,Rayan Ait-Nouri,ALG,DEF,0.8409,0.97,0.0,0.6196,high_risk,,transfermarkt_availability_split_2026_06_05,0.076445,2.337537,2.118614,0.0860310938502856,0.21485315398518487,1,4,1,0.7428438700910327,0.7928438700910327,Sandsynlig starter
zineddine_belaid__alg,Zineddine Belaid,ALG,DEF,0.7139,0.8301,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_05,0.0649,1.845855,1.92025,0.06793514915016058,0.169660530956012,2,4,1,0.6291248105531092,0.6791248105531092,Tvivlsom starter
a_ssa_mandi__alg,Aissa Mandi,ALG,DEF,0.6614,0.7262,0.0,0.7451,medium_risk,,transfermarkt_availability_split_2026_06_05,0.060127,2.043928,1.773806,0.07522506021989236,0.1878662786166084,3,4,1,0.5865408808726554,0.6365408808726555,Tvivlsom starter
ramy_bensebaini__alg,Ramy Bensebaini,ALG,DEF,0.6387,0.7213,0.0,0.6727,medium_risk,,transfermarkt_availability_split_2026_06_05,0.058064,1.953026,1.694949,0.07187948815272137,0.17951108192728912,4,4,1,0.566183082600365,0.616183082600365,Tvivlsom starter
achref_abada__alg,Achref Abada,ALG,DEF,0.5513,0.6411,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_05,0.050118,1.020829,1.288472,0.03757075738441496,0.09382881654046216,5,4,0,0.48136941952326695,0.48136941952326695,Bænk/rotation
rafik_belghali__alg,Rafik Belghali,ALG,DEF,0.3872,0.4278,0.0,0.7286,medium_risk,,transfermarkt_availability_split_2026_06_05,0.0352,1.081268,1.180099,0.03979516421999335,0.09938402690663414,6,4,0,0.34210416090166307,0.26210416090166305,Langt fra start
youcef_atal__alg,Youcef Atal,ALG,DEF,0.1505,0.1677,0.0,0.7066,medium_risk,,transfermarkt_availability_split_2026_06_05,0.013682,0.476443,0.568776,0.01753508605310274,0.04379194051010248,7,4,0,0.1335919483536654,0.05359194835366539,Langt fra start
mehdi_dorval__alg,Mehdi Dorval,ALG,DEF,0.044,0.05,0.0,0.6548,medium_risk,,transfermarkt_availability_split_2026_06_05,0.004,0.12081,0.18079,0.00444631098804126,0.01110417055770676,9,4,0,0.03885273260517274,0.0,Langt fra start
sohaib_nair__alg,Sohaib Nair,ALG,DEF,0.047,0.05,0.0,0.8276,medium_risk,,transfermarkt_availability_split_2026_06_05,0.004273,0.0,0.0,0.0,0.0,8,4,0,0.040079000000000004,0.0,Langt fra start
amine_gouiri__alg,Amine Gouiri,ALG,FWD,0.8025,0.9222,0.0,0.6291,high_risk,,transfermarkt_availability_split_2026_06_05,0.072955,1.127664,0.330957,0.04150273018805198,0.16553288847304137,1,2,1,0.7380905966245421,0.7880905966245422,Sandsynlig starter
