player_id,player_name,team_id,position,start_prob,minute_share,component_rounds_present,component_weighted_sum,old_base_ev,price_quality_ev_num,current_final_ev,formula_expected_ev,formula_diff,component_vs_old_base_diff,repair_status
erling_haaland__nor,Erling Haaland,NOR,FWD,0.8883,0.080755,3,2.4290960000000004,0.396,3.4311251612903235,10.807059,1.7618063225806455,9.045252677419356,2.0330960000000005,component_rows_need_new_base
antonio_nusa__nor,Antonio Nusa,NOR,MID,0.8157,0.074155,3,2.721274,0.396,2.3658784615384616,8.81284,1.2824453076923077,7.530394692307691,2.3252740000000003,component_rows_need_new_base
kerim_alajbegovi__bih,Kerim Alajbegovic,BIH,MID,0.873,0.079364,3,1.7768830000000002,0.267,2.3658784615384616,8.06249,1.2114953076923076,6.850994692307693,1.5098830000000003,component_rows_need_new_base
donyell_malen__ned,Donyell Malen,NED,FWD,0.7099,0.064536,3,2.092411,0.393,2.871702580645162,8.031109,1.508416161290323,6.522692838709678,1.6994109999999998,component_rows_need_new_base
alexander_s_rloth__nor,Alexander Sørloth,NOR,FWD,0.8078,0.073436,3,1.6848729999999998,0.315,2.871702580645162,7.838757,1.465516161290323,6.373240838709677,1.369873,component_rows_need_new_base
martin_degaard__nor,Martin Ødegaard,NOR,MID,0.8375,0.076136,3,0.8094259999999999,0.155,2.662864615384616,6.702773,1.2835390769230772,5.419233923076923,0.6544259999999998,component_rows_need_new_base
wout_weghorst__ned,Wout Weghorst,NED,FWD,0.7055,0.064136,3,1.913626,0.333,1.759073225806452,5.601427,0.9747329516129035,4.626694048387097,1.580626,component_rows_need_new_base
teun_koopmeiners__ned,Teun Koopmeiners,NED,MID,0.5958,0.054164,3,0.8173060000000001,0.166,2.3658784615384616,5.691333,1.1559453076923076,4.535387692307692,0.651306,component_rows_need_new_base
ferr_n_torres__esp,Ferran Torres,ESP,FWD,0.8416,0.076509,3,2.468445,0.72,3.020881935483872,6.026566,1.7553968709677426,4.271169129032257,1.748445,component_rows_need_new_base
harry_kane__eng,Harry Kane,ENG,FWD,0.8702,0.079109,3,3.739789,1.328,3.455988387096775,6.431636,2.285594774193549,4.146041225806451,2.4117889999999997,component_rows_need_new_base
