team_id,team_name_da,date,opponent,score
TUR,Tyrkiet,2026-06-07,Venezuela,2-1
BRA,Brasilien,2026-06-07,Egypten,2-1
EGY,Egypten,2026-06-07,Brasilien,1-2
ARG,Argentina,2026-06-07,Honduras,2-0
CRO,Kroatien,2026-06-07,Slovenien,2-1
MAR,Marokko,2026-06-07,Norge,1-1
NOR,Norge,2026-06-07,Marokko,1-1
ECU,Ecuador,2026-06-07,Guatemala,3-0
COL,Colombia,2026-06-08,Jordan,2-0
JOR,Jordan,2026-06-08,Colombia,0-2
NED,Holland,2026-06-08,Usbekistan,2-1
UZB,Usbekistan,2026-06-08,Holland,1-2
FRA,Frankrig,2026-06-08,Nordirland,3-1
ESP,Spanien,2026-06-08,,
