player_id,player_name,team_id,position,price_m,start_prob,cohort,base_ev,old_price_quality_ev,raw_price_quality_ev,appearance_scaled_price_quality_ev,base_capped_price_quality_ev,selected_price_quality_ev,old_optimizer_ev,raw_optimizer_ev,appearance_scaled_optimizer_ev,base_capped_optimizer_ev,selected_optimizer_ev,selected_method
kerem_akt_rko_lu__tur,Kerem Akturkoglu,TUR,MID,4.5,0.904,likely_starter,6.59444,2.808772,2.808773,2.808773,2.808773,2.808773,6.59444,4.89089,4.89089,4.89089,4.89089,raw_for_likely_starter
jonathan_david__can,Jonathan David,CAN,FWD,4.5,0.9198,likely_starter,6.001817,3.370426,3.369898,3.369898,3.369898,3.369898,6.001817,4.817453,4.817453,4.817453,4.817453,raw_for_likely_starter
cristiano_ronaldo__por,Cristiano Ronaldo,POR,FWD,7,0.9167,premium,5.27903,3.921718,3.921096,3.921096,3.921096,3.921096,5.27903,4.66796,4.66796,4.66796,4.66796,raw_for_likely_starter
vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,7.5,0.887,premium,5.211548,3.950356,3.949729,3.949729,3.949729,3.949729,5.211548,4.643729,4.643729,4.643729,4.643729,raw_for_likely_starter
unai_sim_n__esp,Unai Simon,ESP,GK,5,0.8605,likely_starter,4.980994,3.938417,3.938417,3.938417,3.938417,3.938417,4.511835,4.511834,4.511834,4.511834,4.511834,raw_for_likely_starter
harry_kane__eng,Harry Kane,ENG,FWD,9.5,0.97,premium,4.59947,4.029112,4.028472,4.028472,4.028472,4.028472,4.59947,4.342521,4.342521,4.342521,4.342521,raw_for_likely_starter
lamine_yamal__esp,Lamine Yamal,ESP,FWD,9,0.9024,premium,4.498391,4.014793,4.014155,4.014155,4.014155,4.014155,4.280772,4.280485,4.280485,4.280485,4.280485,raw_for_likely_starter
ra_l_jim_nez__mex,Raul Jimenez,MEX,FWD,4.5,0.7885,likely_starter,5.00965,3.370426,3.369898,3.369898,3.369898,3.369898,5.00965,4.271762,4.271762,4.271762,4.271762,raw_for_likely_starter
cody_gakpo__ned,Cody Gakpo,NED,FWD,6.5,0.9308,premium,4.563079,3.87876,3.878145,3.878145,3.878145,3.878145,4.255135,4.254859,4.254859,4.254859,4.254859,raw_for_likely_starter
mike_maignan__fra,Mike Maignan,FRA,GK,5,0.9407,likely_starter,4.344694,3.938417,3.938417,3.938417,3.938417,3.938417,4.344694,4.161869,4.161869,4.161869,4.161869,raw_for_likely_starter
emiliano_mart_nez__arg,Emiliano Martinez,ARG,GK,5,0.9526,likely_starter,4.327343,3.938417,3.938417,3.938417,3.938417,3.938417,4.327343,4.152326,4.152326,4.152326,4.152326,raw_for_likely_starter
lionel_messi__arg,Lionel Messi,ARG,FWD,8,0.6783,premium,4.322339,3.855646,3.978363,3.855034,3.978363,3.855034,4.322339,4.16755,4.112052,4.16755,4.112052,appearance_scaled_then_base_capped
lautaro_mart_nez__arg,Lautaro Martinez,ARG,FWD,8,0.623,premium,4.453746,3.541305,3.978363,3.540743,3.978363,3.540743,4.453746,4.239824,4.042895,4.239824,4.042895,appearance_scaled_then_base_capped
alisson_becker__bra,Alisson Becker,BRA,GK,5,0.7986,likely_starter,3.840035,3.938417,3.938417,3.938417,3.938417,3.938417,3.840035,3.884307,3.884307,3.884307,3.884307,raw_for_likely_starter
breel_embolo__sui,Breel Embolo,SUI,FWD,5,0.9215,likely_starter,4.147824,3.542257,3.5417,3.5417,3.5417,3.5417,4.147824,3.875068,3.875068,3.875068,3.875068,raw_for_likely_starter
