player_id,player_name,team,position,current_start_prob,current_conditional_start_prob,current_appearance_prob,current_availability_risk,before_start_prob,before_conditional_start_prob,before_appearance_prob,before_availability_risk,recent_starts,recent_sub_appearances,recent_unused_bench,recent_absences,injury_absences,competitive_match_starts,friendly_match_starts,post_qualification_rotation_matches,round_specific_rotation_risk,suspected_issue,recommended_action,source_note
patrick_wimmer__aut,Patrick Wimmer,AUT,MID,0.5787,0.6477,0.8085,medium_risk,0.8397,0.9,,medium_risk,3,0,0,0,0,3,0,0,medium,canonical availability split over-promoted an uncertain starter,use existing raw country start-security row as safer start layer,Existing raw country start-security row is 0.5787 with base_start_score 0.6477; canonical availability split over-promoted him to secure starter.
manu_kon__fra,Manu Koné,FRA,MID,0.38,0.55,0.45,high_risk,0.7771,0.8571,,medium_risk,0,0,0,3,2,0,0,0,low,recent injury absences were not strong enough availability negatives,mark high_risk and cap start/appearance signals until injury context clears,"Latest France context supplied for audit: missed last three national matches, two with muscle injury; injury absence must not be treated as rotation."
mike_maignan__fra,Mike Maignan,FRA,GK,0.82,0.95,0.95,low_risk,0.4842,0.5135,,medium_risk,10,0,2,0,0,10,0,1,medium,normal rotation/friendly bench was treated like weak starter evidence,restore established-GK start signal from existing raw start-security row and prior canonical layer,"Existing raw country start-security row is 0.98 and previous canonical start_prob was 0.82; noted bench games are rotation after qualification/friendly, not loss of starting role."
andreas_schjelderup__nor,Andreas Schjelderup,NOR,MID,0.3333,0.4545,0.7333,medium_risk,0.6607,0.7143,,medium_risk,5,6,4,0,0,5,0,0,medium,sub appearances inflated start probability,separate appearance_prob from start_prob using documented squad/start/sub split,"Transfermarkt usage supplied for audit: squad 15, starts 5, substitutions on 6, unused bench 4; appearance is high but start rate is not."
ismaila_sarr__sen,Ismaila Sarr,SEN,MID,0.6015,0.6526,0.768,medium_risk,0.7935,0.8636,,medium_risk,3,0,0,0,0,3,0,0,medium,canonical availability split over-promoted an uncertain starter,use existing raw country start-security row as safer start layer,Existing raw country start-security row is 0.6015 with base_start_score 0.6526; canonical availability split over-promoted him to probable starter.
adil_boulbina__alg,Adil Boulbina,ALG,FWD,0.5847,0.7,,high_risk,0.5847,0.7,,high_risk,,,,12,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
ahmed_nadhir_benbouali__alg,Ahmed Nadhir Benbouali,ALG,FWD,0.8342,0.97,,high_risk,0.8342,0.97,,high_risk,,,,47,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
amine_gouiri__alg,Amine Gouiri,ALG,FWD,0.817,0.95,,high_risk,0.817,0.95,,high_risk,,,,23,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
baghdad_bounedjah__alg,Baghdad Bounedjah,ALG,FWD,0.7665,0.8913,,high_risk,0.7665,0.8913,,high_risk,,,,75,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
fares_cha_bi__alg,Fares Chaibi,ALG,MID,0.7047,0.8148,,high_risk,0.7047,0.8148,,high_risk,,,,18,,4.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
