player_name,team_id,position,price_m,current_model_pct,tm_pct,diff_pct_point,tm_competition_rows,tm_competition_starts,tm_selection_observations
Robin Le Normand,ESP,DEF,4500000,0.0,96.7,96.7,33,25,29.0
David Cabezas,ECU,GK,2500000,0.0,86.9,86.9,15,8,15.0
Julio Soler,ARG,DEF,3000000,0.0,84.3,84.3,41,16,41.0
Nayef Aguerd,MAR,DEF,3000000,83.4,15.1,-68.4,160,62,151.0
Nico Williams,ESP,FWD,4500000,83.6,16.8,-66.8,49,20,40.0
Ayyoub Bouaddi,MAR,MID,2000000,35.0,100.0,65.0,3,3,3.0
Eder Militão,BRA,DEF,3000000,0.0,63.8,63.8,88,33,67.0
Yousef Qashi,JOR,MID,2000000,0.0,62.5,62.5,6,4,6.0
Hakim Ziyech,MAR,MID,2500000,0.0,61.4,61.4,134,56,123.0
Hugo Ekitike,FRA,FWD,6000000,0.0,59.7,59.7,8,3,8.0
Dilshod Komilov,UZB,DEF,2000000,0.0,58.0,58.0,6,2,6.0
Mikel Oyarzabal,ESP,FWD,7500000,88.0,36.2,-51.8,128,27,110.0
Kees Smit,NED,MID,2000000,0.0,50.0,50.0,2,1,2.0
Lionel Messi,ARG,FWD,8000000,93.0,44.8,-48.2,271,178,244.0
Mostafa Mohamed,EGY,FWD,3500000,0.0,47.5,47.5,89,46,87.0
Joel Ordonez,ECU,DEF,2500000,83.5,36.5,-47.0,37,16,37.0
Pedro Vite,ECU,MID,2500000,82.1,35.5,-46.6,37,14,37.0
Willian Pacho,ECU,DEF,3000000,93.6,47.2,-46.4,45,34,45.0
Lamine Yamal,ESP,FWD,9000000,90.1,44.0,-46.1,38,21,29.0
Abdallah Nasib,JOR,DEF,2500000,91.0,45.3,-45.7,67,50,67.0
Enner Valencia,ECU,FWD,4000000,88.3,42.8,-45.5,157,89,142.0
Khozhiakbar Alizhonov,UZB,DEF,2500000,64.8,19.3,-45.4,80,42,73.0
Piero Hincapie,ECU,DEF,3500000,91.3,46.3,-45.0,68,51,64.0
Marwan Ateya,EGY,MID,3000000,45.0,89.7,44.7,48,31,48.0
Bento Krepski,BRA,GK,5000000,5.0,49.6,44.6,28,6,28.0
Achraf Hakimi,MAR,DEF,4000000,85.1,40.8,-44.3,160,89,152.0
Gonzalo Plata,ECU,MID,3500000,78.2,34.3,-44.0,79,29,75.0
Ehsan Haddad,JOR,DEF,2500000,86.9,43.4,-43.5,142,66,127.0
Ahmad Assaf,JOR,DEF,2500000,0.0,43.2,43.2,18,4,18.0
Martin Ødegaard,NOR,MID,4500000,88.4,45.3,-43.1,118,62,103.0
Camilo Vargas,COL,GK,4000000,79.0,37.0,-42.0,166,40,166.0
Islam Issa,EGY,MID,2000000,0.0,41.8,41.8,50,5,45.0
Jaloliddin Masharipov,UZB,MID,2500000,88.9,47.2,-41.7,112,61,101.0
Khaled Sobhi,EGY,DEF,2000000,0.0,40.0,40.0,27,6,27.0
James Rodriguez,COL,MID,4000000,82.0,43.4,-38.6,172,110,155.0
Unai Simon,ESP,GK,5000000,86.0,48.1,-37.9,81,58,74.0
Hernan Galindez,ECU,GK,3500000,78.1,40.8,-37.4,74,35,70.0
Dean Donny Huijsen,ESP,DEF,4000000,0.0,37.0,37.0,13,6,9.0
Stefan de Vrij,NED,DEF,3000000,0.0,36.6,36.6,161,68,131.0
Mohamed Rabie Hrimat,MAR,MID,2000000,0.0,34.1,34.1,28,14,28.0
Brahim Diaz,MAR,FWD,4500000,72.0,38.4,-33.6,45,23,42.0
Abdelhamid Ait Boudlal,MAR,DEF,2500000,0.0,32.4,32.4,3,1,3.0
Anthony Valencia,ECU,FWD,2000000,30.8,62.1,31.3,6,2,6.0
João Pedro,BRA,FWD,4000000,0.0,30.4,30.4,28,4,26.0
Abdel Rahman Al-Talalga,JOR,GK,2500000,0.0,29.9,29.9,14,7,14.0
Lucas Chevalier,FRA,GK,4000000,0.0,29.8,29.8,14,1,14.0
Giovani Lo Celso,ARG,MID,4000000,55.0,83.9,28.9,105,48,83.0
Andrey Santos,BRA,MID,3000000,0.0,28.4,28.4,35,3,34.0
Juan 'Cucho' Hernandez,COL,FWD,4000000,54.0,26.3,-27.7,88,5,75.0
Alisson Becker,BRA,GK,5000000,65.0,92.5,27.5,130,78,111.0
Yazeed Abulaila,JOR,GK,2500000,95.0,67.8,-27.2,128,59,128.0
Caglar Soyuncu,TUR,DEF,2500000,61.4,34.2,-27.1,120,57,93.0
Andreas Schjelderup,NOR,MID,3500000,33.3,6.3,-27.0,22,5,22.0
Desire Doue,FRA,FWD,4000000,33.0,59.4,26.4,14,4,9.0
Pierre Kalulu,FRA,DEF,3000000,0.0,26.2,26.2,10,2,10.0
Samuel Aghehowa,ESP,FWD,3000000,0.0,26.2,26.2,12,1,12.0
Willer Ditta,COL,DEF,2500000,52.6,26.7,-25.9,36,3,36.0
Jordy Caicedo,ECU,FWD,2500000,24.9,50.7,25.8,69,6,69.0
Kendry Paez,ECU,MID,3000000,12.4,38.2,25.8,35,17,35.0
Luis Suarez Charris,COL,FWD,4500000,51.5,25.9,-25.6,71,6,65.0
John Yeboah,ECU,MID,3000000,86.3,61.0,-25.3,32,15,29.0
Aleix Garcia,ESP,MID,3000000,0.0,25.2,25.2,29,2,29.0
Jeremy Arevalo,ECU,FWD,2000000,4.8,29.7,25.0,6,1,6.0
Mostafa Oufa Shobeir,EGY,GK,2500000,51.9,76.9,25.0,31,7,31.0
Farrukh Sayfiev,UZB,DEF,2500000,36.2,61.2,24.9,139,51,139.0
Kylian Mbappe,FRA,FWD,10000000,95.0,70.1,-24.9,119,83,110.0
Redouane Halhal,MAR,DEF,2000000,60.1,35.2,-24.9,5,2,5.0
Fredrik Aursnes,NOR,MID,3000000,77.9,52.9,-24.9,53,15,47.0
Luka Modric,CRO,MID,4000000,69.4,94.2,24.8,239,175,227.0
Ferran Torres,ESP,FWD,5000000,57.0,81.7,24.7,81,35,72.0
Josip Stanisic,CRO,DEF,3500000,62.5,87.2,24.7,57,24,49.0
Ugurcan Cakir,TUR,GK,4000000,91.2,66.5,-24.7,85,39,84.0
Emiliano Martinez,ARG,GK,5000000,93.8,69.2,-24.6,80,59,80.0
Igor Matanovic,CRO,FWD,2500000,34.4,10.0,-24.3,20,6,16.0
Jefferson Lerma,COL,MID,3000000,63.9,39.7,-24.2,100,47,98.0
Jhon Lucumi,COL,DEF,3500000,38.8,14.5,-24.2,91,31,86.0
Daniel Muñoz,COL,DEF,4000000,65.0,40.8,-24.2,71,41,71.0
Mohammad Abu Hasheesh,JOR,MID,2500000,34.7,10.6,-24.1,66,31,66.0
