strategy,display_name_da,formation,total_price,total_ev,total_score,avg_conditional_start_prob,high_risk_players,recommended_captain,player_names
next_round,Næste runde (runde 1),3-4-3,50000000,48.171636,106.136365,0.9124,0,Jonathan David,Silvan Widmer; Philipp Lienhart; Cesar Montes; Lautaro Martinez; Lionel Messi; Jonathan David; Unai Simon; Marcel Sabitzer; Scott McTominay; Antonio Nusa; Konrad Laimer
next_round,Næste runde (runde 1),3-5-2,50000000,46.707454,103.279519,0.9246,0,Jonathan David,Silvan Widmer; Nuno Mendes; Jonathan Tah; Lautaro Martinez; Jonathan David; Unai Simon; Marcel Sabitzer; Scott McTominay; Antonio Nusa; Joshua Kimmich; Konrad Laimer
next_round,Næste runde (runde 1),4-3-3,50000000,48.33556,105.428857,0.9115,0,Jonathan David,Silvan Widmer; Philipp Lienhart; Cesar Montes; Stefan Posch; Lautaro Martinez; Lionel Messi; Jonathan David; Unai Simon; Marcel Sabitzer; Scott McTominay; Antonio Nusa
next_round,Næste runde (runde 1),4-4-2,50000000,46.725819,103.350064,0.9088,0,Lionel Messi,Silvan Widmer; Nuno Mendes; Philipp Lienhart; Cesar Montes; Lautaro Martinez; Lionel Messi; Unai Simon; Marcel Sabitzer; Scott McTominay; Antonio Nusa; Konrad Laimer
next_round,Næste runde (runde 1),4-5-1,49500000,44.736918,100.152531,0.9167,0,Lautaro Martinez,Silvan Widmer; Nuno Mendes; Jonathan Tah; Nico Schlotterbeck; Lautaro Martinez; Unai Simon; Marcel Sabitzer; Scott McTominay; Antonio Nusa; Joshua Kimmich; Konrad Laimer
next_round,Næste runde (runde 1),5-3-2,50000000,46.889743,102.642555,0.9079,0,Lionel Messi,Silvan Widmer; Nuno Mendes; Philipp Lienhart; Cesar Montes; Stefan Posch; Lautaro Martinez; Lionel Messi; Unai Simon; Marcel Sabitzer; Scott McTominay; Antonio Nusa
next_round,Næste runde (runde 1),5-4-1,49500000,44.96815,99.683641,0.9158,0,Lautaro Martinez,Silvan Widmer; Nuno Mendes; Jonathan Tah; Nico Schlotterbeck; Philipp Lienhart; Lautaro Martinez; Unai Simon; Marcel Sabitzer; Scott McTominay; Antonio Nusa; Joshua Kimmich
round1_2,1. + 2. runde,3-4-3,49500000,49.730038,127.243364,0.9235,0,Cristiano Ronaldo,Silvan Widmer; Nuno Mendes; Ruben Dias; Jonathan David; Lautaro Martinez; Cristiano Ronaldo; Unai Simon; Tajon Buchanan; John Yeboah; Antonio Nusa; Remo Freuler
round1_2,1. + 2. runde,3-5-2,49500000,48.06226,122.884125,0.9235,0,Jonathan David,Silvan Widmer; Nuno Mendes; Ruben Dias; Jonathan David; Lautaro Martinez; Unai Simon; Tajon Buchanan; John Yeboah; Bruno Fernandes; Antonio Nusa; Remo Freuler
round1_2,1. + 2. runde,4-3-3,49000000,49.446965,126.618071,0.9228,0,Cristiano Ronaldo,Silvan Widmer; Nuno Mendes; Ruben Dias; Richie Laryea; Jonathan David; Lautaro Martinez; Cristiano Ronaldo; Unai Simon; Tajon Buchanan; John Yeboah; Antonio Nusa
round1_2,1. + 2. runde,4-4-2,49000000,47.779187,122.258832,0.9228,0,Jonathan David,Silvan Widmer; Nuno Mendes; Ruben Dias; Richie Laryea; Jonathan David; Lautaro Martinez; Unai Simon; Tajon Buchanan; John Yeboah; Bruno Fernandes; Antonio Nusa
