strategy,display_name_da,formation,total_price,total_ev,total_score,avg_conditional_start_prob,high_risk_players,recommended_captain,player_names
next_round,Næste runde (runde 1),3-4-3,50000000,55.667161,127.878816,0.9161,0,Marko Arnautovic,Silvan Widmer; Jonathan Tah; Nico Schlotterbeck; Cristiano Ronaldo; Raul Jimenez; Marko Arnautovic; Unai Simon; Marcel Sabitzer; Scott McTominay; Antonio Nusa; Joshua Kimmich
next_round,Næste runde (runde 1),3-5-2,49500000,54.254634,124.250844,0.9188,0,Raul Jimenez,Silvan Widmer; Jonathan Tah; Nico Schlotterbeck; Lionel Messi; Raul Jimenez; Unai Simon; Marcel Sabitzer; Scott McTominay; Antonio Nusa; Joshua Kimmich; Konrad Laimer
next_round,Næste runde (runde 1),4-3-3,49500000,55.853142,127.584334,0.9124,0,Marko Arnautovic,Silvan Widmer; Jonathan Tah; Nico Schlotterbeck; Nuno Mendes; Cristiano Ronaldo; Raul Jimenez; Marko Arnautovic; Unai Simon; Marcel Sabitzer; Scott McTominay; Antonio Nusa
next_round,Næste runde (runde 1),4-4-2,50000000,55.63889,124.791792,0.9206,0,Cristiano Ronaldo,Silvan Widmer; Jonathan Tah; Nico Schlotterbeck; Nuno Mendes; Cristiano Ronaldo; Raul Jimenez; Unai Simon; Marcel Sabitzer; Scott McTominay; Antonio Nusa; Joshua Kimmich
next_round,Næste runde (runde 1),4-5-1,49500000,53.063018,120.655074,0.9203,0,Lionel Messi,Silvan Widmer; Jonathan Tah; Nico Schlotterbeck; Nuno Mendes; Lionel Messi; Unai Simon; Marcel Sabitzer; Scott McTominay; Antonio Nusa; Joshua Kimmich; Konrad Laimer
next_round,Næste runde (runde 1),5-3-2,50000000,54.935008,123.610964,0.9094,0,Cristiano Ronaldo,Silvan Widmer; Jonathan Tah; Nico Schlotterbeck; Cesar Montes; Philipp Lienhart; Cristiano Ronaldo; Lionel Messi; Unai Simon; Marcel Sabitzer; Scott McTominay; Antonio Nusa
next_round,Næste runde (runde 1),5-4-1,49500000,54.09211,120.267964,0.9121,0,Lionel Messi,Silvan Widmer; Jonathan Tah; Nico Schlotterbeck; Nuno Mendes; Cesar Montes; Lionel Messi; Unai Simon; Marcel Sabitzer; Scott McTominay; Antonio Nusa; Joshua Kimmich
round1_2,1. + 2. runde,3-4-3,50000000,59.590487,152.936996,0.9248,0,Cristiano Ronaldo,Silvan Widmer; Nuno Mendes; Marquinhos; Jonathan David; Cristiano Ronaldo; Vinicius Junior; Unai Simon; Tajon Buchanan; John Yeboah; Remo Freuler; Antonio Nusa
round1_2,1. + 2. runde,3-5-2,49500000,57.316939,149.148861,0.9257,0,Cristiano Ronaldo,Silvan Widmer; Nuno Mendes; Marquinhos; Jonathan David; Cristiano Ronaldo; Unai Simon; Tajon Buchanan; Bruno Fernandes; John Yeboah; Remo Freuler; Antonio Nusa
round1_2,1. + 2. runde,4-3-3,49500000,59.882445,152.133932,0.9193,0,Cristiano Ronaldo,Silvan Widmer; Nuno Mendes; Marquinhos; Cesar Montes; Jonathan David; Cristiano Ronaldo; Vinicius Junior; Unai Simon; Tajon Buchanan; John Yeboah; Remo Freuler
round1_2,1. + 2. runde,4-4-2,50000000,57.635881,148.597001,0.9332,0,Cristiano Ronaldo,Silvan Widmer; Nuno Mendes; Marquinhos; Ruben Dias; Jonathan David; Cristiano Ronaldo; Unai Simon; Tajon Buchanan; Bruno Fernandes; John Yeboah; Remo Freuler
