strategy,display_name_da,formation,total_price,total_ev,total_score,avg_conditional_start_prob,high_risk_players,recommended_captain,player_names
next_round,Næste runde (runde 2),3-4-3,49883000,32.055814,61.870647,0.8579,0,Jonathan David,Nuno Mendes; Willian Pacho; Josko Gvardiol; Jonathan David; Cristiano Ronaldo; Vinicius Junior; Diogo Costa; Kerem Akturkoglu; Oscar Bobb; Andreas Schjelderup; Roberto Alvarado
next_round,Næste runde (runde 2),3-5-2,49896000,30.994677,60.684786,0.8838,0,Jonathan David,Nuno Mendes; Willian Pacho; Josko Gvardiol; Jonathan David; Cristiano Ronaldo; Diogo Costa; Kerem Akturkoglu; Oscar Bobb; Roberto Alvarado; Bruno Fernandes; Scott McTominay
next_round,Næste runde (runde 2),4-3-3,49701000,31.05203,60.466526,0.8664,0,Jonathan David,Nuno Mendes; Willian Pacho; Montassar Talbi; Max Arfsten; Jonathan David; Cristiano Ronaldo; Vinicius Junior; Diogo Costa; Kerem Akturkoglu; Oscar Bobb; Andreas Schjelderup
next_round,Næste runde (runde 2),4-4-2,49407000,30.871261,59.535904,0.8684,1,Jonathan David,Nuno Mendes; Willian Pacho; Josko Gvardiol; Chris Richards; Jonathan David; Cristiano Ronaldo; Diogo Costa; Kerem Akturkoglu; Oscar Bobb; Andreas Schjelderup; Bruno Fernandes
next_round,Næste runde (runde 2),4-5-1,49597000,30.049532,57.287055,0.8596,0,Vinicius Junior,Nuno Mendes; Willian Pacho; Josko Gvardiol; Montassar Talbi; Vinicius Junior; Diogo Costa; Kerem Akturkoglu; Oscar Bobb; Andreas Schjelderup; Bruno Fernandes; Scott McTominay
next_round,Næste runde (runde 2),5-3-2,49586000,29.034194,57.088493,0.875,0,Mohamed Salah,Nuno Mendes; Willian Pacho; Josko Gvardiol; Montassar Talbi; Max Arfsten; Mohamed Salah; Vinicius Junior; Diogo Costa; Kerem Akturkoglu; Oscar Bobb; Bruno Fernandes
next_round,Næste runde (runde 2),5-4-1,49498000,28.154244,55.491451,0.8666,0,Kylian Mbappe,Nuno Mendes; Willian Pacho; Josko Gvardiol; Montassar Talbi; Max Arfsten; Kylian Mbappe; Diogo Costa; Kerem Akturkoglu; Oscar Bobb; Roberto Alvarado; Bruno Fernandes
group_stage,Gruppespil,3-4-3,48941000,32.734137,90.721599,0.8769,0,Jonathan David,Nuno Mendes; Stefan Posch; Josko Gvardiol; Sadio Mane; Jonathan David; Mohamed Salah; Diogo Costa; Kerem Akturkoglu; Andreas Schjelderup; Scott McTominay; Kang-In Lee
group_stage,Gruppespil,3-5-2,48789000,32.219935,89.163666,0.8781,0,Cristiano Ronaldo,Nuno Mendes; Stefan Posch; Josko Gvardiol; Sadio Mane; Cristiano Ronaldo; Diogo Costa; Kerem Akturkoglu; Oscar Bobb; Andreas Schjelderup; Scott McTominay; Kang-In Lee
group_stage,Gruppespil,4-3-3,48932000,31.976385,88.093809,0.8701,1,Jonathan David,Nuno Mendes; Stefan Posch; Josko Gvardiol; Chris Richards; Sadio Mane; Jonathan David; Cristiano Ronaldo; Diogo Costa; Kerem Akturkoglu; Andreas Schjelderup; Scott McTominay
group_stage,Gruppespil,4-4-2,47907000,31.429682,86.985736,0.8544,1,Mohamed Salah,Nuno Mendes; Stefan Posch; Josko Gvardiol; Chris Richards; Mohamed Salah; Vinicius Junior; Diogo Costa; Kerem Akturkoglu; Oscar Bobb; Andreas Schjelderup; Scott McTominay
group_stage,Gruppespil,4-5-1,47908000,31.090962,85.546006,0.8463,1,Vinicius Junior,Nuno Mendes; Stefan Posch; Josko Gvardiol; Chris Richards; Vinicius Junior; Diogo Costa; Kerem Akturkoglu; Oscar Bobb; Andreas Schjelderup; Scott McTominay; Kang-In Lee
group_stage,Gruppespil,5-3-2,47874000,30.53013,84.413426,0.8468,1,Jonathan David,Nuno Mendes; Stefan Posch; Josko Gvardiol; Chris Richards; Montassar Talbi; Jonathan David; Vinicius Junior; Diogo Costa; Kerem Akturkoglu; Andreas Schjelderup; Scott McTominay
group_stage,Gruppespil,5-4-1,48134000,29.758988,82.635648,0.8596,1,Kylian Mbappe,Nuno Mendes; Stefan Posch; Josko Gvardiol; Chris Richards; Montassar Talbi; Kylian Mbappe; Diogo Costa; Kerem Akturkoglu; Oscar Bobb; Andreas Schjelderup; Scott McTominay
long_run,Lang sigt,3-4-3,49800000,25.486099,59.978254,0.8651,0,Nico Williams,Nuno Mendes; Aymeric Laporte; Ruben Dias; Nico Williams; Raphinha; Igor Thiago; Diogo Costa; Rodri Hernandez; Fabian Ruiz; Manu Koné; Aurelien Tchouameni
long_run,Lang sigt,3-5-2,49751000,24.324274,59.25212,0.8598,0,Mikel Oyarzabal,Nuno Mendes; Ruben Dias; Leo Pereira; Mikel Oyarzabal; Nico Williams; Diogo Costa; Rodri Hernandez; Fabian Ruiz; Manu Koné; Aurelien Tchouameni; Declan Rice
long_run,Lang sigt,4-3-3,49664000,25.152606,59.104014,0.8733,0,Cristiano Ronaldo,Nuno Mendes; Aymeric Laporte; Ruben Dias; Leo Pereira; Nico Williams; Cristiano Ronaldo; Igor Thiago; Diogo Costa; Rodri Hernandez; Fabian Ruiz; Manu Koné
long_run,Lang sigt,4-4-2,49199000,24.34993,58.844746,0.8651,0,Cristiano Ronaldo,Nuno Mendes; Aymeric Laporte; Ruben Dias; Leo Pereira; Nico Williams; Cristiano Ronaldo; Diogo Costa; Rodri Hernandez; Fabian Ruiz; Manu Koné; Aurelien Tchouameni
long_run,Lang sigt,4-5-1,49811000,23.020819,58.013838,0.8592,0,Mikel Oyarzabal,Nuno Mendes; Aymeric Laporte; Ruben Dias; Leo Pereira; Mikel Oyarzabal; Diogo Costa; Rodri Hernandez; Fabian Ruiz; Manu Koné; Aurelien Tchouameni; Declan Rice
long_run,Lang sigt,5-3-2,49690000,23.328789,57.374084,0.8434,0,Mikel Oyarzabal,Nuno Mendes; Aymeric Laporte; Ruben Dias; Leo Pereira; William Saliba; Mikel Oyarzabal; Maghnes Akliouche; Diogo Costa; Rodri Hernandez; Fabian Ruiz; Manu Koné
long_run,Lang sigt,5-4-1,49749000,22.880414,57.258628,0.8476,0,Mikel Oyarzabal,Nuno Mendes; Aymeric Laporte; Ruben Dias; Leo Pereira; William Saliba; Mikel Oyarzabal; Diogo Costa; Rodri Hernandez; Fabian Ruiz; Manu Koné; Aurelien Tchouameni
