Strategi;Strategi_key;Formation;Formation_score;Nr;Pos;Spiller;Land;Pris;Start;EV;player_id
Næste runde;next_round;3-4-3;;5;Mid;Antonio Nusa;Norge;3,5 mio.;82%;27,203;antonio_nusa__nor
Næste runde;next_round;3-4-3;;6;Mid;Konrad Laimer;Østrig;3,0 mio.;86%;24,961;konrad_laimer__aut
Næste runde;next_round;3-4-3;;7;Mid;Marcel Sabitzer;Østrig;4,5 mio.;90%;29,813;marcel_sabitzer__aut
Næste runde;next_round;3-4-3;;8;Mid;Remo Freuler;Schweiz;3,5 mio.;94%;23,738;remo_freuler__sui
Næste runde;next_round;3-4-3;;1;Mål;Unai Simon;Spanien;5,0 mio.;86%;49,450;unai_sim_n__esp
Næste runde;next_round;3-4-3;;2;For;Jonathan Tah;Tyskland;4,5 mio.;84%;44,625;jonathan_tah__ger
Næste runde;next_round;3-4-3;;3;For;Nathaniel Brown;Tyskland;2,5 mio.;80%;36,521;nathaniel_brown__ger
Næste runde;next_round;3-4-3;;4;For;Nico Schlotterbeck;Tyskland;4,0 mio.;83%;43,740;nico_schlotterbeck__ger
Næste runde;next_round;3-4-3;;9;Ang;Cristiano Ronaldo;Portugal;7,0 mio.;92%;39,289;cristiano_ronaldo__por
Næste runde;next_round;3-4-3;;10;Ang;Lionel Messi;Argentina;8,0 mio.;93%;37,259;lionel_messi__arg
Næste runde;next_round;3-4-3;;11;Ang;Raul Jimenez;Mexico;4,5 mio.;79%;36,484;ra_l_jim_nez__mex
Næste runde;next_round;3-5-2;;5;Mid;Antonio Nusa;Norge;3,5 mio.;82%;27,203;antonio_nusa__nor
Næste runde;next_round;3-5-2;;6;Mid;Bruno Fernandes;Portugal;7,0 mio.;93%;26,019;bruno_fernandes__por
Næste runde;next_round;3-5-2;;7;Mid;Konrad Laimer;Østrig;3,0 mio.;86%;24,961;konrad_laimer__aut
Næste runde;next_round;3-5-2;;8;Mid;Marcel Sabitzer;Østrig;4,5 mio.;90%;29,813;marcel_sabitzer__aut
Næste runde;next_round;3-5-2;;9;Mid;Scott McTominay;Skotland;4,5 mio.;93%;26,087;scott_mctominay__sco
Næste runde;next_round;3-5-2;;1;Mål;Unai Simon;Spanien;5,0 mio.;86%;49,450;unai_sim_n__esp
Næste runde;next_round;3-5-2;;2;For;Jonathan Tah;Tyskland;4,5 mio.;84%;44,625;jonathan_tah__ger
Næste runde;next_round;3-5-2;;3;For;Nathaniel Brown;Tyskland;2,5 mio.;80%;36,521;nathaniel_brown__ger
Næste runde;next_round;3-5-2;;4;For;Nico Schlotterbeck;Tyskland;4,0 mio.;83%;43,740;nico_schlotterbeck__ger
Næste runde;next_round;3-5-2;;10;Ang;Cristiano Ronaldo;Portugal;7,0 mio.;92%;39,289;cristiano_ronaldo__por
Næste runde;next_round;3-5-2;;11;Ang;Raul Jimenez;Mexico;4,5 mio.;79%;36,484;ra_l_jim_nez__mex
Næste runde;next_round;4-3-3;;6;Mid;Antonio Nusa;Norge;3,5 mio.;82%;27,203;antonio_nusa__nor
Næste runde;next_round;4-3-3;;7;Mid;Marcel Sabitzer;Østrig;4,5 mio.;90%;29,813;marcel_sabitzer__aut
Næste runde;next_round;4-3-3;;8;Mid;Scott McTominay;Skotland;4,5 mio.;93%;26,087;scott_mctominay__sco
Næste runde;next_round;4-3-3;;1;Mål;Unai Simon;Spanien;5,0 mio.;86%;49,450;unai_sim_n__esp
Næste runde;next_round;4-3-3;;2;For;Aymeric Laporte;Spanien;4,5 mio.;65%;33,795;aymeric_laporte__esp
Næste runde;next_round;4-3-3;;3;For;Jonathan Tah;Tyskland;4,5 mio.;84%;44,625;jonathan_tah__ger
Næste runde;next_round;4-3-3;;4;For;Nathaniel Brown;Tyskland;2,5 mio.;80%;36,521;nathaniel_brown__ger
Næste runde;next_round;4-3-3;;5;For;Nico Schlotterbeck;Tyskland;4,0 mio.;83%;43,740;nico_schlotterbeck__ger
Næste runde;next_round;4-3-3;;9;Ang;Cristiano Ronaldo;Portugal;7,0 mio.;92%;39,289;cristiano_ronaldo__por
Næste runde;next_round;4-3-3;;10;Ang;Marko Arnautovic;Østrig;4,5 mio.;82%;34,077;marko_arnautovi__aut
Næste runde;next_round;4-3-3;;11;Ang;Raul Jimenez;Mexico;4,5 mio.;79%;36,484;ra_l_jim_nez__mex
Næste runde;next_round;4-4-2;;6;Mid;Antonio Nusa;Norge;3,5 mio.;82%;27,203;antonio_nusa__nor
Næste runde;next_round;4-4-2;;7;Mid;Joshua Kimmich;Tyskland;5,0 mio.;95%;25,259;joshua_kimmich__ger
Næste runde;next_round;4-4-2;;8;Mid;Marcel Sabitzer;Østrig;4,5 mio.;90%;29,813;marcel_sabitzer__aut
Næste runde;next_round;4-4-2;;9;Mid;Scott McTominay;Skotland;4,5 mio.;93%;26,087;scott_mctominay__sco
Næste runde;next_round;4-4-2;;1;Mål;Unai Simon;Spanien;5,0 mio.;86%;49,450;unai_sim_n__esp
Næste runde;next_round;4-4-2;;2;For;Aymeric Laporte;Spanien;4,5 mio.;65%;33,795;aymeric_laporte__esp
Næste runde;next_round;4-4-2;;3;For;Jonathan Tah;Tyskland;4,5 mio.;84%;44,625;jonathan_tah__ger
Næste runde;next_round;4-4-2;;4;For;Nathaniel Brown;Tyskland;2,5 mio.;80%;36,521;nathaniel_brown__ger
Næste runde;next_round;4-4-2;;5;For;Nico Schlotterbeck;Tyskland;4,0 mio.;83%;43,740;nico_schlotterbeck__ger
Næste runde;next_round;4-4-2;;10;Ang;Cristiano Ronaldo;Portugal;7,0 mio.;92%;39,289;cristiano_ronaldo__por
Næste runde;next_round;4-4-2;;11;Ang;Raul Jimenez;Mexico;4,5 mio.;79%;36,484;ra_l_jim_nez__mex
Næste runde;next_round;4-5-1;;6;Mid;Antonio Nusa;Norge;3,5 mio.;82%;27,203;antonio_nusa__nor
Næste runde;next_round;4-5-1;;7;Mid;Bruno Fernandes;Portugal;7,0 mio.;93%;26,019;bruno_fernandes__por
Næste runde;next_round;4-5-1;;8;Mid;Konrad Laimer;Østrig;3,0 mio.;86%;24,961;konrad_laimer__aut
Næste runde;next_round;4-5-1;;9;Mid;Marcel Sabitzer;Østrig;4,5 mio.;90%;29,813;marcel_sabitzer__aut
Næste runde;next_round;4-5-1;;10;Mid;Scott McTominay;Skotland;4,5 mio.;93%;26,087;scott_mctominay__sco
Næste runde;next_round;4-5-1;;1;Mål;Unai Simon;Spanien;5,0 mio.;86%;49,450;unai_sim_n__esp
Næste runde;next_round;4-5-1;;2;For;Aymeric Laporte;Spanien;4,5 mio.;65%;33,795;aymeric_laporte__esp
Næste runde;next_round;4-5-1;;3;For;Jonathan Tah;Tyskland;4,5 mio.;84%;44,625;jonathan_tah__ger
Næste runde;next_round;4-5-1;;4;For;Nathaniel Brown;Tyskland;2,5 mio.;80%;36,521;nathaniel_brown__ger
Næste runde;next_round;4-5-1;;5;For;Nico Schlotterbeck;Tyskland;4,0 mio.;83%;43,740;nico_schlotterbeck__ger
Næste runde;next_round;4-5-1;;11;Ang;Cristiano Ronaldo;Portugal;7,0 mio.;92%;39,289;cristiano_ronaldo__por
Næste runde;next_round;5-3-2;;7;Mid;Antonio Nusa;Norge;3,5 mio.;82%;27,203;antonio_nusa__nor
Næste runde;next_round;5-3-2;;8;Mid;Konrad Laimer;Østrig;3,0 mio.;86%;24,961;konrad_laimer__aut
Næste runde;next_round;5-3-2;;9;Mid;Marcel Sabitzer;Østrig;4,5 mio.;90%;29,813;marcel_sabitzer__aut
Næste runde;next_round;5-3-2;;1;Mål;Unai Simon;Spanien;5,0 mio.;86%;49,450;unai_sim_n__esp
Næste runde;next_round;5-3-2;;2;For;Aymeric Laporte;Spanien;4,5 mio.;65%;33,795;aymeric_laporte__esp
Næste runde;next_round;5-3-2;;3;For;Jonathan Tah;Tyskland;4,5 mio.;84%;44,625;jonathan_tah__ger
Næste runde;next_round;5-3-2;;4;For;Nathaniel Brown;Tyskland;2,5 mio.;80%;36,521;nathaniel_brown__ger
Næste runde;next_round;5-3-2;;5;For;Nico Schlotterbeck;Tyskland;4,0 mio.;83%;43,740;nico_schlotterbeck__ger
Næste runde;next_round;5-3-2;;6;For;Silvan Widmer;Schweiz;3,0 mio.;84%;30,697;silvan_widmer__sui
Næste runde;next_round;5-3-2;;10;Ang;Cristiano Ronaldo;Portugal;7,0 mio.;92%;39,289;cristiano_ronaldo__por
Næste runde;next_round;5-3-2;;11;Ang;Lionel Messi;Argentina;8,0 mio.;93%;37,259;lionel_messi__arg
Næste runde;next_round;5-4-1;;7;Mid;Antonio Nusa;Norge;3,5 mio.;82%;27,203;antonio_nusa__nor
Næste runde;next_round;5-4-1;;8;Mid;Bruno Fernandes;Portugal;7,0 mio.;93%;26,019;bruno_fernandes__por
Næste runde;next_round;5-4-1;;9;Mid;Marcel Sabitzer;Østrig;4,5 mio.;90%;29,813;marcel_sabitzer__aut
Næste runde;next_round;5-4-1;;10;Mid;Scott McTominay;Skotland;4,5 mio.;93%;26,087;scott_mctominay__sco
Næste runde;next_round;5-4-1;;1;Mål;Unai Simon;Spanien;5,0 mio.;86%;49,450;unai_sim_n__esp
Næste runde;next_round;5-4-1;;2;For;Aymeric Laporte;Spanien;4,5 mio.;65%;33,795;aymeric_laporte__esp
Næste runde;next_round;5-4-1;;3;For;Jonathan Tah;Tyskland;4,5 mio.;84%;44,625;jonathan_tah__ger
Næste runde;next_round;5-4-1;;4;For;Nathaniel Brown;Tyskland;2,5 mio.;80%;36,521;nathaniel_brown__ger
Næste runde;next_round;5-4-1;;5;For;Nico Schlotterbeck;Tyskland;4,0 mio.;83%;43,740;nico_schlotterbeck__ger
Næste runde;next_round;5-4-1;;6;For;Silvan Widmer;Schweiz;3,0 mio.;84%;30,697;silvan_widmer__sui
Næste runde;next_round;5-4-1;;11;Ang;Cristiano Ronaldo;Portugal;7,0 mio.;92%;39,289;cristiano_ronaldo__por
