strategy;formation;status;old_price_m;new_price_m;top_forwards;in;out
next_round;3-4-3;rebuilt_top_forwards_first;50.0;46.0;Erling Haaland, Harry Kane, Jonathan David;Antonee Robinson, Brian Gutierrez, Erling Haaland, Harry Kane, John Yeboah, Jonathan David, Philipp Lienhart, Roberto Alvarado, Ørjan Nyland;Cristiano Ronaldo, Jonathan Tah, Joshua Kimmich, Marcel Sabitzer, Marko Arnautovic, Nico Schlotterbeck, Raul Jimenez, Scott McTominay, Unai Simon
next_round;3-5-2;rebuilt_top_forwards_first;49.5;46.0;Erling Haaland, Harry Kane;Antonee Robinson, Brian Gutierrez, Erling Haaland, Harry Kane, John Yeboah, Kerem Akturkoglu, Philipp Lienhart, Roberto Alvarado, Ørjan Nyland;Jonathan Tah, Joshua Kimmich, Konrad Laimer, Lionel Messi, Marcel Sabitzer, Nico Schlotterbeck, Raul Jimenez, Scott McTominay, Unai Simon
next_round;4-3-3;rebuilt_top_forwards_first;49.5;46.0;Erling Haaland, Harry Kane, Jonathan David;Antonee Robinson, Erling Haaland, Harry Kane, John Yeboah, Jonathan David, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado, Ørjan Nyland;Cristiano Ronaldo, Jonathan Tah, Marcel Sabitzer, Marko Arnautovic, Nico Schlotterbeck, Nuno Mendes, Raul Jimenez, Scott McTominay, Unai Simon
next_round;4-4-2;rebuilt_top_forwards_first;47.5;44.0;Erling Haaland, Harry Kane;Antonee Robinson, Brian Gutierrez, Erling Haaland, Harry Kane, John Yeboah, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado, Ørjan Nyland;Jonathan Tah, Joshua Kimmich, Marcel Sabitzer, Marko Arnautovic, Nico Schlotterbeck, Nuno Mendes, Raul Jimenez, Scott McTominay, Unai Simon
next_round;4-5-1;rebuilt_top_forwards_first;49.5;39.0;Erling Haaland;Antonee Robinson, Brian Gutierrez, Erling Haaland, John Yeboah, Kerem Akturkoglu, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado, Ørjan Nyland;Jonathan Tah, Joshua Kimmich, Konrad Laimer, Lionel Messi, Marcel Sabitzer, Nico Schlotterbeck, Nuno Mendes, Scott McTominay, Unai Simon
next_round;5-3-2;rebuilt_top_forwards_first;44.0;44.5;Erling Haaland, Harry Kane;Antonee Robinson, Erling Haaland, Harry Kane, John Yeboah, Nathaniel Brown, Roberto Alvarado, Ørjan Nyland;Jonathan Tah, Marcel Sabitzer, Marko Arnautovic, Nico Schlotterbeck, Raul Jimenez, Scott McTominay, Unai Simon
next_round;5-4-1;rebuilt_top_forwards_first;46.0;37.5;Erling Haaland;Antonee Robinson, Brian Gutierrez, Erling Haaland, John Yeboah, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado, Ørjan Nyland;Jonathan Tah, Joshua Kimmich, Marcel Sabitzer, Nico Schlotterbeck, Nuno Mendes, Raul Jimenez, Scott McTominay, Unai Simon
round1_2;3-4-3;rebuilt_top_forwards_first;50.0;48.5;Erling Haaland, Harry Kane, Jonathan David;Erling Haaland, Harry Kane, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado;Cristiano Ronaldo, Marquinhos, Nuno Mendes, Remo Freuler, Vinicius Junior
round1_2;3-5-2;rebuilt_top_forwards_first;49.5;47.5;Erling Haaland, Harry Kane;Erling Haaland, Harry Kane, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado;Bruno Fernandes, Cristiano Ronaldo, Jonathan David, Marquinhos, Nuno Mendes
round1_2;4-3-3;rebuilt_top_forwards_first;50.0;49.5;Erling Haaland, Harry Kane, Jonathan David;Antonio Nusa, Erling Haaland, Harry Kane, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado;Cesar Montes, Marquinhos, Mikel Oyarzabal, Remo Freuler, Tajon Buchanan, Vinicius Junior
round1_2;4-4-2;rebuilt_top_forwards_first;49.5;48.5;Erling Haaland, Harry Kane;Antonio Nusa, Erling Haaland, Harry Kane, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado;Bruno Fernandes, Cody Gakpo, Marquinhos, Raul Jimenez, Remo Freuler, Ruben Dias
round1_2;4-5-1;rebuilt_top_forwards_first;49.0;42.5;Erling Haaland;Antonio Nusa, Erling Haaland, Nathaniel Brown, Philipp Lienhart, Remo Freuler, Roberto Alvarado;Bruno Fernandes, Casemiro, Joshua Kimmich, Marquinhos, Raul Jimenez, Ruben Dias
round1_2;5-3-2;rebuilt_top_forwards_first;50.0;50.0;Erling Haaland, Harry Kane;Antonio Nusa, Erling Haaland, Harry Kane, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado;Bruno Fernandes, Cesar Montes, Raul Jimenez, Ruben Dias, Tajon Buchanan, Vinicius Junior
round1_2;5-4-1;rebuilt_top_forwards_first;49.0;44.0;Erling Haaland;Antonio Nusa, Erling Haaland, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado;Bruno Fernandes, Jonathan Tah, Joshua Kimmich, Raul Jimenez, Ruben Dias
group_stage;3-4-3;rebuilt_top_forwards_first;50.0;48.5;Erling Haaland, Harry Kane, Jonathan David;Antonio Nusa, Erling Haaland, Harry Kane, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado;Casemiro, Cesar Montes, Lionel Messi, Nuno Mendes, Remo Freuler, Vinicius Junior
