player_id,player_name,team_id,position,match_no,opponent,start_prob,appearance_prob_used,old_on_pitch_ev,new_on_pitch_ev,old_result_ev,new_result_ev,old_team_scores_ev,new_team_scores_ev,old_opponent_scores_ev,new_opponent_scores_ev,old_weighted_match_ev,new_weighted_match_ev,repair_reason
lionel_messi__arg,Lionel Messi,ARG,FWD,1,ALG,0.84,0.92,0.0604,0.0604,0.156457,0.156457,0.064612,0.092,-0.044524,-0.0736,2.51547,2.513782,rebuilt_from_match_context_and_appearance_prob
lionel_messi__arg,Lionel Messi,ARG,FWD,2,AUT,0.84,0.92,0.0604,0.0604,0.094765,7.826624,0.064616,0.092,-0.045274,-0.0736,1.994527,9.338898,rebuilt_from_match_context_and_appearance_prob
lionel_messi__arg,Lionel Messi,ARG,FWD,3,JOR,0.84,0.92,0.0604,0.0604,0.086151,7.115188,0.062462,0.092,-0.046699,-0.0736,2.028602,8.357108,rebuilt_from_match_context_and_appearance_prob
vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,1,MAR,0.8916,0.8916,0.056992,0.056992,0.133662,0.133662,0.060468,0.08916,-0.042844,-0.071328,2.177853,2.178061,rebuilt_from_match_context_and_appearance_prob
vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,2,HAI,0.8916,0.8916,0.056992,0.056992,0.101168,8.084316,0.062803,0.08916,-0.038799,-0.071328,2.493669,10.071796,rebuilt_from_match_context_and_appearance_prob
vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,3,SCO,0.8916,0.8916,0.056992,0.056992,0.072098,5.761341,0.056985,0.08916,-0.046063,-0.071328,1.880419,7.006956,rebuilt_from_match_context_and_appearance_prob
cristiano_ronaldo__por,Cristiano Ronaldo,POR,FWD,1,COD,0.9185,0.9185,0.06022,0.06022,0.165736,0.165736,0.068242,0.09185,-0.045242,-0.07348,2.699723,2.695093,rebuilt_from_match_context_and_appearance_prob
cristiano_ronaldo__por,Cristiano Ronaldo,POR,FWD,2,UZB,0.9185,0.9185,0.06022,0.06022,0.107877,5.178136,0.069364,0.09185,-0.043656,-0.07348,2.594489,7.404264,rebuilt_from_match_context_and_appearance_prob
cristiano_ronaldo__por,Cristiano Ronaldo,POR,FWD,3,COL,0.9185,0.9185,0.06022,0.06022,0.075955,3.645802,0.061643,0.09185,-0.051611,-0.07348,1.216131,4.436498,rebuilt_from_match_context_and_appearance_prob
jonathan_david__can,Jonathan David,CAN,FWD,1,BIH,0.9223,0.9223,0.060676,0.060676,0.095562,0.095562,0.081325,0.09223,-0.057415,-0.073784,2.666279,2.660815,rebuilt_from_match_context_and_appearance_prob
jonathan_david__can,Jonathan David,CAN,FWD,2,QAT,0.9223,0.9223,0.060676,0.060676,0.122854,10.72515,0.083078,0.09223,-0.056327,-0.073784,3.415001,13.479293,rebuilt_from_match_context_and_appearance_prob
jonathan_david__can,Jonathan David,CAN,FWD,3,SUI,0.9223,0.9223,0.060676,0.060676,0.084796,7.402749,0.072681,0.09223,-0.065059,-0.073784,0.931361,7.527261,rebuilt_from_match_context_and_appearance_prob
harry_kane__eng,Harry Kane,ENG,FWD,1,CRO,0.97,0.99,0.0688,0.0688,0.135229,0.135229,0.08186,0.099,-0.058667,-0.0792,1.776307,1.772914,rebuilt_from_match_context_and_appearance_prob
harry_kane__eng,Harry Kane,ENG,FWD,2,GHA,0.97,0.99,0.0688,0.0688,0.132025,4.620924,0.084503,0.099,-0.055376,-0.0792,2.19033,6.445924,rebuilt_from_match_context_and_appearance_prob
harry_kane__eng,Harry Kane,ENG,FWD,3,PAN,0.97,0.99,0.0688,0.0688,0.100342,3.512025,0.079222,0.099,-0.06282,-0.0792,1.728354,4.801927,rebuilt_from_match_context_and_appearance_prob
lamine_yamal__esp,Lamine Yamal,ESP,FWD,2,KSA,0.9012,0.9024,0.058288,0.058288,0.46804,43.95834,0.09024,0.09024,-0.072192,-0.072192,2.081196,43.396981,rebuilt_from_match_context_and_appearance_prob
lamine_yamal__esp,Lamine Yamal,ESP,FWD,3,URU,0.9012,0.9024,0.058288,0.058288,0.340397,31.970137,0.09024,0.09024,-0.072192,-0.072192,1.39944,29.866206,rebuilt_from_match_context_and_appearance_prob
ra_l_jim_nez__mex,Raul Jimenez,MEX,FWD,1,RSA,0.7885,0.800675,0.046081,0.046081,0.126056,0.126056,0.059881,0.080067,-0.040167,-0.064054,2.696175,2.692474,rebuilt_from_match_context_and_appearance_prob
ra_l_jim_nez__mex,Raul Jimenez,MEX,FWD,2,KOR,0.7885,0.800675,0.046081,0.046081,0.085544,6.822151,0.058815,0.080067,-0.040917,-0.064054,1.957722,8.355708,rebuilt_from_match_context_and_appearance_prob
ra_l_jim_nez__mex,Raul Jimenez,MEX,FWD,3,CZE,0.7885,0.800675,0.046081,0.046081,0.068438,5.457961,0.05454,0.080067,-0.045065,-0.064054,1.401389,6.257844,rebuilt_from_match_context_and_appearance_prob
cody_gakpo__ned,Cody Gakpo,NED,FWD,1,JPN,0.9308,0.9308,0.061696,0.061696,0.099865,0.099865,0.066965,0.09308,-0.046625,-0.074464,1.649216,1.647492,rebuilt_from_match_context_and_appearance_prob
cody_gakpo__ned,Cody Gakpo,NED,FWD,2,SWE,0.9308,0.9308,0.061696,0.061696,0.099365,8.777909,0.066967,0.09308,-0.046168,-0.074464,1.98624,10.228783,rebuilt_from_match_context_and_appearance_prob
cody_gakpo__ned,Cody Gakpo,NED,FWD,3,TUN,0.9308,0.9308,0.061696,0.061696,0.078847,6.965363,0.062651,0.09308,-0.050717,-0.074464,1.758804,7.962682,rebuilt_from_match_context_and_appearance_prob
lautaro_mart_nez__arg,Lautaro Martinez,ARG,FWD,1,ALG,0.6282,0.8498,0.051976,0.051976,0.144519,0.144519,0.059682,0.08498,-0.041126,-0.067984,2.142751,2.141191,rebuilt_from_match_context_and_appearance_prob
lautaro_mart_nez__arg,Lautaro Martinez,ARG,FWD,2,AUT,0.6282,0.8498,0.051976,0.051976,0.087534,7.229419,0.059685,0.08498,-0.041819,-0.067984,1.702767,8.486731,rebuilt_from_match_context_and_appearance_prob
lautaro_mart_nez__arg,Lautaro Martinez,ARG,FWD,3,JOR,0.6282,0.8498,0.051976,0.051976,0.079577,6.572268,0.057696,0.08498,-0.043136,-0.067984,1.721517,7.567132,rebuilt_from_match_context_and_appearance_prob
mikel_oyarzabal__esp,Mikel Oyarzabal,ESP,FWD,2,KSA,0.82,0.92,0.0604,0.0604,0.477168,44.815684,0.092,0.092,-0.0736,-0.0736,1.975967,44.097557,rebuilt_from_match_context_and_appearance_prob
mikel_oyarzabal__esp,Mikel Oyarzabal,ESP,FWD,3,URU,0.82,0.92,0.0604,0.0604,0.347036,32.593668,0.092,0.092,-0.0736,-0.0736,1.32998,30.351949,rebuilt_from_match_context_and_appearance_prob
kylian_mbapp__fra,Kylian Mbappe,FRA,FWD,1,SEN,0.6759,0.902,0.05824,0.05824,0.148968,0.148968,0.086202,0.0902,-0.059454,-0.07216,1.766342,1.757634,rebuilt_from_match_context_and_appearance_prob
kylian_mbapp__fra,Kylian Mbappe,FRA,FWD,2,IRQ,0.6759,0.902,0.05824,0.05824,0.138321,7.737717,0.088886,0.0902,-0.055765,-0.07216,1.766429,8.971528,rebuilt_from_match_context_and_appearance_prob
kylian_mbapp__fra,Kylian Mbappe,FRA,FWD,3,NOR,0.6759,0.902,0.05824,0.05824,0.102237,5.719131,0.080192,0.0902,-0.064617,-0.07216,1.13145,6.188873,rebuilt_from_match_context_and_appearance_prob
unai_sim_n__esp,Unai Simon,ESP,GK,2,KSA,0.86,0.8605,0.05326,0.05326,0.446308,41.917278,0.08605,0.08605,-0.06884,-0.06884,1.98511,41.382532,rebuilt_from_match_context_and_appearance_prob
unai_sim_n__esp,Unai Simon,ESP,GK,3,URU,0.86,0.8605,0.05326,0.05326,0.324592,30.485708,0.08605,0.08605,-0.06884,-0.06884,1.250742,28.395746,rebuilt_from_match_context_and_appearance_prob
breel_embolo__sui,Breel Embolo,SUI,FWD,1,QAT,0.9109,0.9215,0.06058,0.06058,0.164584,0.164584,0.079249,0.09215,-0.063674,-0.07372,1.852714,1.855569,rebuilt_from_match_context_and_appearance_prob
breel_embolo__sui,Breel Embolo,SUI,FWD,2,BIH,0.9109,0.9215,0.06058,0.06058,0.124531,3.113288,0.084912,0.09215,-0.058409,-0.07372,1.819762,4.651412,rebuilt_from_match_context_and_appearance_prob
breel_embolo__sui,Breel Embolo,SUI,FWD,3,CAN,0.9109,0.9215,0.06058,0.06058,0.118872,2.971837,0.083498,0.09215,-0.059884,-0.07372,1.239827,3.802829,rebuilt_from_match_context_and_appearance_prob
nico_williams__esp,Nico Williams,ESP,FWD,2,KSA,0.8361,0.838,0.05056,0.05056,0.434638,40.821243,0.0838,0.0838,-0.06704,-0.06704,1.877699,40.244973,rebuilt_from_match_context_and_appearance_prob
nico_williams__esp,Nico Williams,ESP,FWD,3,URU,0.8361,0.838,0.05056,0.05056,0.316104,29.68858,0.0838,0.0838,-0.06704,-0.06704,1.267561,27.702789,rebuilt_from_match_context_and_appearance_prob
kerem_akt_rko_lu__tur,Kerem Akturkoglu,TUR,MID,1,AUS,0.6674,0.904,0.05848,0.05848,0.120683,0.120683,0.04697,0.0904,-0.039975,-0.07232,2.190175,2.20126,rebuilt_from_match_context_and_appearance_prob
kerem_akt_rko_lu__tur,Kerem Akturkoglu,TUR,MID,2,PAR,0.6674,0.904,0.05848,0.05848,0.072416,5.79464,0.05089,0.0904,-0.036509,-0.07232,1.892326,7.331953,rebuilt_from_match_context_and_appearance_prob
kerem_akt_rko_lu__tur,Kerem Akturkoglu,TUR,MID,3,USA,0.6674,0.904,0.05848,0.05848,0.0685,5.481404,0.050889,0.0904,-0.037758,-0.07232,1.345969,6.222037,rebuilt_from_match_context_and_appearance_prob
alisson_becker__bra,Alisson Becker,BRA,GK,1,MAR,0.944,0.944,0.06328,0.06328,0.141518,0.141518,0.064022,0.0944,-0.045362,-0.07552,1.445675,1.445895,rebuilt_from_match_context_and_appearance_prob
alisson_becker__bra,Alisson Becker,BRA,GK,2,HAI,0.944,0.944,0.06328,0.06328,0.107114,8.559437,0.066493,0.0944,-0.041079,-0.07552,1.806391,9.829891,rebuilt_from_match_context_and_appearance_prob
alisson_becker__bra,Alisson Becker,BRA,GK,3,SCO,0.944,0.944,0.06328,0.06328,0.076335,6.099939,0.060334,0.0944,-0.04877,-0.07552,1.325501,6.753329,rebuilt_from_match_context_and_appearance_prob
marko_arnautovi__aut,Marko Arnautovic,AUT,FWD,1,JOR,0.82,0.8911,0.056932,0.056932,0.1506,0.1506,0.080598,0.08911,-0.052096,-0.071288,2.783929,2.773249,rebuilt_from_match_context_and_appearance_prob
marko_arnautovi__aut,Marko Arnautovic,AUT,FWD,2,ARG,0.82,0.8911,0.056932,0.056932,0.079134,5.057438,0.068878,0.08911,-0.063549,-0.071288,0.566711,5.307968,rebuilt_from_match_context_and_appearance_prob
marko_arnautovi__aut,Marko Arnautovic,AUT,FWD,3,ALG,0.82,0.8911,0.056932,0.056932,0.087919,5.61892,0.071797,0.08911,-0.061511,-0.071288,1.240255,6.224938,rebuilt_from_match_context_and_appearance_prob
erling_haaland__nor,Erling Haaland,NOR,FWD,1,IRQ,0.9058,0.9058,0.058696,0.058696,0.153239,0.153239,0.068486,0.09058,-0.056944,-0.072464,1.995246,2.00182,rebuilt_from_match_context_and_appearance_prob
erling_haaland__nor,Erling Haaland,NOR,FWD,2,SEN,0.9058,0.9058,0.058696,0.058696,0.098922,2.473015,0.073054,0.09058,-0.054415,-0.072464,1.349864,3.604755,rebuilt_from_match_context_and_appearance_prob
erling_haaland__nor,Erling Haaland,NOR,FWD,3,FRA,0.9058,0.9058,0.058696,0.058696,0.091306,2.282616,0.071534,0.09058,-0.056054,-0.072464,0.54832,2.522872,rebuilt_from_match_context_and_appearance_prob
mike_maignan__fra,Mike Maignan,FRA,GK,1,SEN,0.9407,0.95,0.064,0.064,0.156895,0.156895,0.090789,0.095,-0.062618,-0.076,1.442053,1.432882,rebuilt_from_match_context_and_appearance_prob
mike_maignan__fra,Mike Maignan,FRA,GK,2,IRQ,0.9407,0.95,0.064,0.064,0.145682,8.14948,0.093616,0.095,-0.058733,-0.076,1.866877,9.455396,rebuilt_from_match_context_and_appearance_prob
mike_maignan__fra,Mike Maignan,FRA,GK,3,NOR,0.9407,0.95,0.064,0.064,0.107678,6.023475,0.08446,0.095,-0.068056,-0.076,1.035773,6.362326,rebuilt_from_match_context_and_appearance_prob
emiliano_mart_nez__arg,Emiliano Martinez,ARG,GK,1,ALG,0.938,0.9526,0.064312,0.064312,0.162001,0.162001,0.066901,0.09526,-0.046101,-0.076208,1.570585,1.568837,rebuilt_from_match_context_and_appearance_prob
emiliano_mart_nez__arg,Emiliano Martinez,ARG,GK,2,AUT,0.938,0.9526,0.064312,0.064312,0.098123,8.103959,0.066905,0.09526,-0.046878,-0.076208,1.203835,8.808453,rebuilt_from_match_context_and_appearance_prob
emiliano_mart_nez__arg,Emiliano Martinez,ARG,GK,3,JOR,0.938,0.9526,0.064312,0.064312,0.089204,7.367313,0.064675,0.09526,-0.048354,-0.076208,1.495022,8.047778,rebuilt_from_match_context_and_appearance_prob
nuno_mendes__por,Nuno Mendes,POR,DEF,1,COD,0.88,0.88,0.0556,0.0556,0.158789,0.158789,0.065381,0.088,-0.043345,-0.0704,1.834483,1.830047,rebuilt_from_match_context_and_appearance_prob
nuno_mendes__por,Nuno Mendes,POR,DEF,2,UZB,0.88,0.88,0.0556,0.0556,0.103356,4.961088,0.066457,0.088,-0.041827,-0.0704,1.715174,6.323341,rebuilt_from_match_context_and_appearance_prob
nuno_mendes__por,Nuno Mendes,POR,DEF,3,COL,0.88,0.88,0.0556,0.0556,0.072771,3.492984,0.05906,0.088,-0.049448,-0.0704,0.990191,4.075572,rebuilt_from_match_context_and_appearance_prob
sadio_man__sen,Sadio Mane,SEN,FWD,1,FRA,0.8922,0.946717,0.063606,0.063606,-0.00904,-0.00904,0.061958,0.094672,-0.056934,-0.075737,0.575121,0.589032,rebuilt_from_match_context_and_appearance_prob
sadio_man__sen,Sadio Mane,SEN,FWD,2,NOR,0.8922,0.946717,0.063606,0.063606,0.078547,5.72366,0.064169,0.094672,-0.05482,-0.075737,0.873767,6.245731,rebuilt_from_match_context_and_appearance_prob
