match_no,team_id,opponent,component,players,min,max,spread,negative_count,high_start_players,high_start_min,high_start_max,high_start_spread,high_start_negative_count
2,ESP,KSA,match_2_result_ev,26,0.129665,0.477168,0.347503,0,4,0.434638,0.477168,0.04253,0
1,ARG,ALG,match_1_result_ev,26,0.007687,0.162001,0.154314,0,7,0.128499,0.162001,0.033502,0
1,IRN,NZL,match_1_result_ev,23,0.053758,0.134866,0.081108,0,7,0.102414,0.134866,0.032452,0
1,BRA,MAR,match_1_result_ev,26,0.023446,0.143916,0.12047,0,8,0.112855,0.143916,0.031061,0
3,ESP,URU,match_3_result_ev,26,0.094303,0.347036,0.252733,0,4,0.316104,0.347036,0.030932,0
1,GER,CUW,match_1_result_ev,26,0.077483,0.22301,0.145527,0,5,0.192162,0.22301,0.030848,0
1,NOR,IRQ,match_1_result_ev,26,0.007951,0.162408,0.154457,0,8,0.13172,0.162408,0.030688,0
1,IRN,NZL,match_1_on_pitch_ev,23,-0.004856,0.063256,0.068112,1,7,0.036004,0.063256,0.027252,0
2,IRN,BEL,match_2_on_pitch_ev,23,-0.004856,0.063256,0.068112,1,7,0.036004,0.063256,0.027252,0
3,IRN,EGY,match_3_on_pitch_ev,23,-0.004856,0.063256,0.068112,1,7,0.036004,0.063256,0.027252,0
1,PAN,GHA,match_1_on_pitch_ev,24,-0.0359,0.06,0.0959,2,3,0.03508,0.06,0.02492,0
2,PAN,CRO,match_2_on_pitch_ev,24,-0.0359,0.06,0.0959,2,3,0.03508,0.06,0.02492,0
3,PAN,ENG,match_3_on_pitch_ev,24,-0.0359,0.06,0.0959,2,3,0.03508,0.06,0.02492,0
2,PAN,CRO,match_2_result_ev,24,0.0141,0.109998,0.095898,0,3,0.085078,0.109998,0.02492,0
1,BRA,MAR,match_1_on_pitch_ev,26,-0.031232,0.0652,0.096432,3,8,0.040336,0.0652,0.024864,0
2,BRA,HAI,match_2_on_pitch_ev,26,-0.031232,0.0652,0.096432,3,8,0.040336,0.0652,0.024864,0
3,BRA,SCO,match_3_on_pitch_ev,26,-0.031232,0.0652,0.096432,3,8,0.040336,0.0652,0.024864,0
1,ENG,CRO,match_1_result_ev,26,0.031854,0.135229,0.103375,0,5,0.11056,0.135229,0.024669,0
1,UZB,COL,match_1_on_pitch_ev,25,-0.044432,0.06268,0.107112,5,8,0.038212,0.06268,0.024468,0
2,UZB,POR,match_2_on_pitch_ev,25,-0.044432,0.06268,0.107112,5,8,0.038212,0.06268,0.024468,0
3,UZB,COD,match_3_on_pitch_ev,25,-0.044432,0.06268,0.107112,5,8,0.038212,0.06268,0.024468,0
1,COL,UZB,match_1_result_ev,26,0.034225,0.158919,0.124694,0,6,0.134563,0.158919,0.024356,0
2,ENG,GHA,match_2_result_ev,26,0.031098,0.132021,0.100923,0,5,0.107937,0.132021,0.024084,0
3,PAN,ENG,match_3_result_ev,24,0.013412,0.104631,0.091219,0,3,0.080927,0.104631,0.023704,0
1,ARG,ALG,match_1_on_pitch_ev,26,-0.044576,0.064312,0.108888,2,7,0.040672,0.064312,0.02364,0
2,ARG,AUT,match_2_on_pitch_ev,26,-0.044576,0.064312,0.108888,2,7,0.040672,0.064312,0.02364,0
3,ARG,JOR,match_3_on_pitch_ev,26,-0.044576,0.064312,0.108888,2,7,0.040672,0.064312,0.02364,0
1,EGY,BEL,match_1_on_pitch_ev,27,-0.044528,0.0676,0.112128,4,8,0.04408,0.0676,0.02352,0
2,EGY,NZL,match_2_on_pitch_ev,27,-0.044528,0.0676,0.112128,4,8,0.04408,0.0676,0.02352,0
