date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
04/06/26,13,away,3560,3375,1:1,,FS,in squad,0,0,0,04/06/26 | FS | club:3560 | opponent:3375 | 1:1 | in squad,False,False,False,,False,aimar_sher__irq,Aimar Sher,IRQ,MID,579294,https://www.transfermarkt.de/aimar-sher/nationalmannschaft/spieler/579294/verein_id/3560
29/05/26,9,away,3560,10533,1:0,,FS,played,0,0,0,29/05/26 | FS | club:3560 | opponent:10533 | 1:0 | played | 45',False,False,True,45.0,True,aimar_sher__irq,Aimar Sher,IRQ,MID,579294,https://www.transfermarkt.de/aimar-sher/nationalmannschaft/spieler/579294/verein_id/3560
01/04/26,2,away,3560,5233,2:1,7,POWM,played,0,0,0,01/04/26 | POWM | club:3560 | opponent:5233 | 2:1 | played | 52',False,False,True,52.0,True,aimar_sher__irq,Aimar Sher,IRQ,MID,579294,https://www.transfermarkt.de/aimar-sher/nationalmannschaft/spieler/579294/verein_id/3560
12/12/25,4,away,3560,15737,0:1,,ARCP,not in squad,0,0,0,12/12/25 | ARCP | club:3560 | opponent:15737 | 0:1 | not in squad,True,False,False,,False,aimar_sher__irq,Aimar Sher,IRQ,MID,579294,https://www.transfermarkt.de/aimar-sher/nationalmannschaft/spieler/579294/verein_id/3560
09/12/25,3,away,3560,3614,0:2,,ARCP,not in squad,0,0,0,09/12/25 | ARCP | club:3560 | opponent:3614 | 0:2 | not in squad,True,False,False,,False,aimar_sher__irq,Aimar Sher,IRQ,MID,579294,https://www.transfermarkt.de/aimar-sher/nationalmannschaft/spieler/579294/verein_id/3560
06/12/25,2,away,3560,13313,2:0,,ARCP,not in squad,0,0,0,06/12/25 | ARCP | club:3560 | opponent:13313 | 2:0 | not in squad,True,False,False,,False,aimar_sher__irq,Aimar Sher,IRQ,MID,579294,https://www.transfermarkt.de/aimar-sher/nationalmannschaft/spieler/579294/verein_id/3560
03/12/25,1,neutral,3560,7214,2:1,,ARCP,not in squad,0,0,0,03/12/25 | ARCP | club:3560 | opponent:7214 | 2:1 | not in squad,True,False,False,,False,aimar_sher__irq,Aimar Sher,IRQ,MID,579294,https://www.transfermarkt.de/aimar-sher/nationalmannschaft/spieler/579294/verein_id/3560
18/11/25,5,home,3560,5147,2:1,7,WMQ1,played,0,0,0,18/11/25 | WMQ1 | club:3560 | opponent:5147 | 2:1 | played | 56',False,False,True,56.0,True,aimar_sher__irq,Aimar Sher,IRQ,MID,579294,https://www.transfermarkt.de/aimar-sher/nationalmannschaft/spieler/579294/verein_id/3560
13/11/25,4,away,3560,5147,1:1,7,WMQ1,played,0,0,1,13/11/25 | WMQ1 | club:3560 | opponent:5147 | 1:1 | played | 79',False,False,True,79.0,True,aimar_sher__irq,Aimar Sher,IRQ,MID,579294,https://www.transfermarkt.de/aimar-sher/nationalmannschaft/spieler/579294/verein_id/3560
14/10/25,3,away,3560,3807,0:0,,WMQ1,played,0,0,0,14/10/25 | WMQ1 | club:3560 | opponent:3807 | 0:0 | played | 29',False,False,True,29.0,False,aimar_sher__irq,Aimar Sher,IRQ,MID,579294,https://www.transfermarkt.de/aimar-sher/nationalmannschaft/spieler/579294/verein_id/3560
11/10/25,2,away,3560,13958,1:0,,WMQ1,in squad,0,0,0,11/10/25 | WMQ1 | club:3560 | opponent:13958 | 1:0 | in squad,False,False,False,,False,aimar_sher__irq,Aimar Sher,IRQ,MID,579294,https://www.transfermarkt.de/aimar-sher/nationalmannschaft/spieler/579294/verein_id/3560
07/09/25,2,away,3560,5676,1:0,,FS,not in squad,0,0,0,07/09/25 | FS | club:3560 | opponent:5676 | 1:0 | not in squad,True,False,False,,False,aimar_sher__irq,Aimar Sher,IRQ,MID,579294,https://www.transfermarkt.de/aimar-sher/nationalmannschaft/spieler/579294/verein_id/3560
04/09/25,1,neutral,3560,15977,2:1,,FS,not in squad,0,0,0,04/09/25 | FS | club:3560 | opponent:15977 | 2:1 | not in squad,True,False,False,,False,aimar_sher__irq,Aimar Sher,IRQ,MID,579294,https://www.transfermarkt.de/aimar-sher/nationalmannschaft/spieler/579294/verein_id/3560
10/06/25,18,away,3560,15737,1:0,6,WMQ1,played,0,0,1,10/06/25 | WMQ1 | club:3560 | opponent:15737 | 1:0 | played | 90',False,False,True,90.0,True,aimar_sher__irq,Aimar Sher,IRQ,MID,579294,https://www.transfermarkt.de/aimar-sher/nationalmannschaft/spieler/579294/verein_id/3560
