date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
06/06/26,6,away,3384,3433,1:1,,FS,played,0,0,0,06/06/26 | FS | club:3384 | opponent:3433 | 1:1 | played | 19',False,False,True,19.0,False,aurele_amenda__sui,Aurele Amenda,SUI,DEF,635645,https://www.transfermarkt.de/aurele-amenda/nationalmannschaft/spieler/635645/verein_id/3384
31/05/26,5,home,3384,15737,4:1,,FS,in squad,0,0,0,31/05/26 | FS | club:3384 | opponent:15737 | 4:1 | in squad,False,False,False,,False,aurele_amenda__sui,Aurele Amenda,SUI,DEF,635645,https://www.transfermarkt.de/aurele-amenda/nationalmannschaft/spieler/635645/verein_id/3384
31/03/26,43,away,3384,3440,0:0,,FS,played,0,0,0,31/03/26 | FS | club:3384 | opponent:3440 | 0:0 | played | 45',False,False,True,45.0,False,aurele_amenda__sui,Aurele Amenda,SUI,DEF,635645,https://www.transfermarkt.de/aurele-amenda/nationalmannschaft/spieler/635645/verein_id/3384
27/03/26,1,home,3384,3262,3:4,,FS,played,0,0,0,27/03/26 | FS | club:3384 | opponent:3262 | 3:4 | played | 28',False,False,True,28.0,False,aurele_amenda__sui,Aurele Amenda,SUI,DEF,635645,https://www.transfermarkt.de/aurele-amenda/nationalmannschaft/spieler/635645/verein_id/3384
18/11/25,10,away,3384,53982,1:1,,WMQ6,in squad,0,0,0,18/11/25 | WMQ6 | club:3384 | opponent:53982 | 1:1 | in squad,False,False,False,,False,aurele_amenda__sui,Aurele Amenda,SUI,DEF,635645,https://www.transfermarkt.de/aurele-amenda/nationalmannschaft/spieler/635645/verein_id/3384
15/11/25,9,home,3384,3557,4:1,,WMQ6,in squad,0,0,0,15/11/25 | WMQ6 | club:3384 | opponent:3557 | 4:1 | in squad,False,False,False,,False,aurele_amenda__sui,Aurele Amenda,SUI,DEF,635645,https://www.transfermarkt.de/aurele-amenda/nationalmannschaft/spieler/635645/verein_id/3384
13/10/25,8,away,3384,3588,0:0,,WMQ6,in squad,0,0,0,13/10/25 | WMQ6 | club:3384 | opponent:3588 | 0:0 | in squad,False,False,False,,False,aurele_amenda__sui,Aurele Amenda,SUI,DEF,635645,https://www.transfermarkt.de/aurele-amenda/nationalmannschaft/spieler/635645/verein_id/3384
10/10/25,7,away,3384,3557,2:0,,WMQ6,in squad,0,0,0,10/10/25 | WMQ6 | club:3384 | opponent:3557 | 2:0 | in squad,False,False,False,,False,aurele_amenda__sui,Aurele Amenda,SUI,DEF,635645,https://www.transfermarkt.de/aurele-amenda/nationalmannschaft/spieler/635645/verein_id/3384
08/09/25,6,home,3384,3588,3:0,,WMQ6,in squad,0,0,0,08/09/25 | WMQ6 | club:3384 | opponent:3588 | 3:0 | in squad,False,False,False,,False,aurele_amenda__sui,Aurele Amenda,SUI,DEF,635645,https://www.transfermarkt.de/aurele-amenda/nationalmannschaft/spieler/635645/verein_id/3384
05/09/25,5,home,3384,53982,4:0,,WMQ6,in squad,0,0,0,05/09/25 | WMQ6 | club:3384 | opponent:53982 | 4:0 | in squad,False,False,False,,False,aurele_amenda__sui,Aurele Amenda,SUI,DEF,635645,https://www.transfermarkt.de/aurele-amenda/nationalmannschaft/spieler/635645/verein_id/3384
11/06/25,52,away,3384,3505,4:0,,FS,played,0,0,1,11/06/25 | FS | club:3384 | opponent:3505 | 4:0 | played | 18',False,False,True,18.0,False,aurele_amenda__sui,Aurele Amenda,SUI,DEF,635645,https://www.transfermarkt.de/aurele-amenda/nationalmannschaft/spieler/635645/verein_id/3384
07/06/25,6,away,3384,6303,4:2,3,FS,played,0,0,0,07/06/25 | FS | club:3384 | opponent:6303 | 4:2 | played | 90',False,False,True,90.0,True,aurele_amenda__sui,Aurele Amenda,SUI,DEF,635645,https://www.transfermarkt.de/aurele-amenda/nationalmannschaft/spieler/635645/verein_id/3384
25/03/25,3,home,3384,3580,3:1,,FS,played,0,0,1,25/03/25 | FS | club:3384 | opponent:3580 | 3:1 | played | 8',False,False,True,8.0,False,aurele_amenda__sui,Aurele Amenda,SUI,DEF,635645,https://www.transfermarkt.de/aurele-amenda/nationalmannschaft/spieler/635645/verein_id/3384
21/03/25,3,away,3384,5674,1:1,,FS,in squad,0,0,0,21/03/25 | FS | club:3384 | opponent:5674 | 1:1 | in squad,False,False,False,,False,aurele_amenda__sui,Aurele Amenda,SUI,DEF,635645,https://www.transfermarkt.de/aurele-amenda/nationalmannschaft/spieler/635645/verein_id/3384
18/11/24,6,away,3384,3375,2:3,,UNLA,injured,0,0,0,18/11/24 | UNLA | club:3384 | opponent:3375 | 2:3 | injured,True,False,False,,False,aurele_amenda__sui,Aurele Amenda,SUI,DEF,635645,https://www.transfermarkt.de/aurele-amenda/nationalmannschaft/spieler/635645/verein_id/3384
15/11/24,5,home,3384,3438,1:1,3,UNLA,played,0,0,0,15/11/24 | UNLA | club:3384 | opponent:3438 | 1:1 | played | 90',False,False,True,90.0,True,aurele_amenda__sui,Aurele Amenda,SUI,DEF,635645,https://www.transfermarkt.de/aurele-amenda/nationalmannschaft/spieler/635645/verein_id/3384
