record_type,key,description,category,before_count,after_count,row_count,share,competition_code,date,participation_state,minutes_estimate,started,recency_weight,before_value,after_value,full_history_recency_value,recent_3_available_value
category_count,Kvalifikation,,Kvalifikation,0.0,31716.0,31716.0,0.35219259769246997,,,,,,,,,,
category_count,Nations League,,Nations League,0.0,6803.0,6803.0,0.07554440163015114,,,,,,,,,,
category_count,Nations League-slutrunde,,Nations League-slutrunde,0.0,1780.0,1780.0,0.01976613771889887,,,,,,,,,,
category_count,Slutrunde,,Slutrunde,0.0,19163.0,19163.0,0.21279690848722418,,,,,,,,,,
category_count,Ukendt,,Ukendt,82245.0,0.0,0.0,0.0,,,,,,,,,,
category_count,Ungdomskvalifikation,,Ungdomskvalifikation,0.0,19.0,19.0,0.00021098686329161715,,,,,,,,,,
category_count,Ungdomsslutrunde,,Ungdomsslutrunde,0.0,94.0,94.0,0.0010438297447058955,,,,,,,,,,
category_count,Venskabskamp,,Venskabskamp,0.0,30448.0,30448.0,0.3381120007106926,,,,,,,,,,
category_count,Øvrig turnering,,Øvrig turnering,0.0,30.0,30.0,0.0003331371525657113,,,,,,,,,,
competition_mapping,FS,International friendly,Venskabskamp,30448.0,30448.0,30448.0,0.3381120007106926,,,,,,,,,,
competition_mapping,WMQ1,"World Cup qualification, AFC",Kvalifikation,6149.0,6149.0,6149.0,0.06828201170421863,,,,,,,,,,
competition_mapping,WMQ6,"World Cup qualification, UEFA",Kvalifikation,6048.0,6048.0,6048.0,0.0671604499572474,,,,,,,,,,
competition_mapping,WMQ4,"World Cup qualification, CONMEBOL",Kvalifikation,4984.0,4984.0,4984.0,0.05534518561291684,,,,,,,,,,
competition_mapping,EMQ,European Championship qualification,Kvalifikation,4254.0,4254.0,4254.0,0.04723884823381786,,,,,,,,,,
competition_mapping,UNLA,UEFA Nations League A,Nations League,3557.0,3557.0,3557.0,0.03949896172254117,,,,,,,,,,
competition_mapping,WMQ2,"World Cup qualification, CAF",Kvalifikation,3437.0,3437.0,3437.0,0.03816641311227832,,,,,,,,,,
competition_mapping,AFCQ,Africa Cup of Nations qualification,Kvalifikation,3244.0,3244.0,3244.0,0.03602323076410558,,,,,,,,,,
competition_mapping,FIWC,FIFA World Cup,Slutrunde,2944.0,2944.0,2944.0,0.032691859238448466,,,,,,,,,,
competition_mapping,AFCN,Africa Cup of Nations,Slutrunde,2910.0,2910.0,2910.0,0.032314303798874,,,,,,,,,,
competition_mapping,EURO,UEFA European Championship,Slutrunde,2551.0,2551.0,2551.0,0.02832776253983765,,,,,,,,,,
competition_mapping,WMQ3,"World Cup qualification, CONCACAF",Kvalifikation,2318.0,2318.0,2318.0,0.025740397321577294,,,,,,,,,,
competition_mapping,GOCU,CONCACAF Gold Cup,Slutrunde,2259.0,2259.0,2259.0,0.02508522758819806,,,,,,,,,,
competition_mapping,COPA,Copa America,Slutrunde,2099.0,2099.0,2099.0,0.0233084961078476,,,,,,,,,,
competition_mapping,AFAC,AFC Asian Cup,Slutrunde,1568.0,1568.0,1568.0,0.01741196850743451,,,,,,,,,,
competition_mapping,UNLB,UEFA Nations League B,Nations League,1550.0,1550.0,1550.0,0.017212086215895085,,,,,,,,,,
competition_mapping,ARCP,FIFA Arab Cup,Slutrunde,1447.0,1447.0,1447.0,0.016068315325419476,,,,,,,,,,
competition_mapping,CHAN,African Nations Championship,Slutrunde,1197.0,1197.0,1197.0,0.01329217238737188,,,,,,,,,,
competition_mapping,CNNF,CONCACAF Nations League finals,Nations League-slutrunde,950.0,950.0,950.0,0.010549343164580859,,,,,,,,,,
competition_mapping,UNFI,UEFA Nations League finals,Nations League-slutrunde,830.0,830.0,830.0,0.009216794554318012,,,,,,,,,,
competition_mapping,CNLA,CONCACAF Nations League A,Nations League,823.0,823.0,823.0,0.00913906255205268,,,,,,,,,,
competition_mapping,AGUC,Regional senior Gold Cup,Slutrunde,669.0,669.0,669.0,0.0074289585022153624,,,,,,,,,,
competition_mapping,POWM,World Cup qualification play-off,Kvalifikation,547.0,547.0,547.0,0.006074200748448136,,,,,,,,,,
competition_mapping,EAFC,EAFF Championship,Slutrunde,426.0,426.0,426.0,0.004730547566433101,,,,,,,,,,
competition_mapping,CAFA,CAFA Nations Cup,Slutrunde,339.0,339.0,339.0,0.003764449823992538,,,,,,,,,,
competition_mapping,WMQ5,"World Cup qualification, OFC",Kvalifikation,331.0,331.0,331.0,0.0036756132499750145,,,,,,,,,,
competition_mapping,UNLC,UEFA Nations League C,Nations League,321.0,321.0,321.0,0.003564567532453111,,,,,,,,,,
competition_mapping,CNLB,CONCACAF Nations League B,Nations League,276.0,276.0,276.0,0.003064861803604544,,,,,,,,,,
competition_mapping,ACQU,Asian Cup qualification,Kvalifikation,215.0,215.0,215.0,0.002387482926720931,,,,,,,,,,
competition_mapping,UNPO,UEFA Nations League play-off,Nations League,200.0,200.0,200.0,0.0022209143504380753,,,,,,,,,,
competition_mapping,CONC,FIFA Confederations Cup,Slutrunde,174.0,174.0,174.0,0.0019321954848811255,,,,,,,,,,
competition_mapping,CA16,Copa America Centenario,Slutrunde,169.0,169.0,169.0,0.0018766726261201737,,,,,,,,,,
competition_mapping,WAF1,WAFF Championship,Slutrunde,140.0,140.0,140.0,0.0015546400453066527,,,,,,,,,,
competition_mapping,CENC,Central American Championship,Slutrunde,104.0,104.0,104.0,0.001154875462227799,,,,,,,,,,
competition_mapping,OFCN,OFC Nations Cup,Slutrunde,96.0,96.0,96.0,0.0010660388882102762,,,,,,,,,,
competition_mapping,CNLQ,CONCACAF Nations League qualification,Nations League,76.0,76.0,76.0,0.0008439474531664686,,,,,,,,,,
competition_mapping,AFT,Regional senior national-team tournament,Slutrunde,71.0,71.0,71.0,0.0007884245944055168,,,,,,,,,,
competition_mapping,POEM,European qualification play-off,Kvalifikation,71.0,71.0,71.0,0.0007884245944055168,,,,,,,,,,
competition_mapping,CARQ,Caribbean / CONCACAF qualification,Kvalifikation,43.0,43.0,43.0,0.0004774965853441862,,,,,,,,,,
competition_mapping,GCQU,Gold Cup qualification,Kvalifikation,35.0,35.0,35.0,0.00038866001132666317,,,,,,,,,,
competition_mapping,TRIN,Tri-nation / invitational tournament,Øvrig turnering,30.0,30.0,30.0,0.0003331371525657113,,,,,,,,,,
competition_mapping,20WC,FIFA U20 World Cup,Ungdomsslutrunde,21.0,21.0,21.0,0.00023319600679599792,,,,,,,,,,
competition_mapping,2SAM,South American U20 Championship,Ungdomsslutrunde,21.0,21.0,21.0,0.00023319600679599792,,,,,,,,,,
competition_mapping,CA17,U17 continental championship,Ungdomsslutrunde,18.0,18.0,18.0,0.0001998822915394268,,,,,,,,,,
competition_mapping,U21Q,UEFA U21 qualification,Ungdomskvalifikation,16.0,16.0,16.0,0.00017767314803504602,,,,,,,,,,
competition_mapping,FARQ,Regional championship qualification,Kvalifikation,15.0,15.0,15.0,0.00016656857628285566,,,,,,,,,,
competition_mapping,GCQ5,Gold Cup qualification,Kvalifikation,12.0,12.0,12.0,0.00013325486102628453,,,,,,,,,,
competition_mapping,C220,U20 continental championship,Ungdomsslutrunde,11.0,11.0,11.0,0.00012215028927409414,,,,,,,,,,
competition_mapping,CACP,Copa America Centenario qualification play-off,Kvalifikation,10.0,10.0,10.0,0.00011104571752190377,,,,,,,,,,
competition_mapping,23AF,CAF U23 Championship,Ungdomsslutrunde,8.0,8.0,8.0,8.883657401752301e-05,,,,,,,,,,
competition_mapping,21EU,UEFA U21 Championship,Ungdomsslutrunde,6.0,6.0,6.0,6.662743051314226e-05,,,,,,,,,,
competition_mapping,A23Q,AFC U23 qualification,Ungdomskvalifikation,3.0,3.0,3.0,3.331371525657113e-05,,,,,,,,,,
competition_mapping,W23C,U23 World championship,Ungdomsslutrunde,3.0,3.0,3.0,3.331371525657113e-05,,,,,,,,,,
competition_mapping,CCPL,CONCACAF Cup qualification play-off,Kvalifikation,3.0,3.0,3.0,3.331371525657113e-05,,,,,,,,,,
competition_mapping,SAM2,South American U20 Championship,Ungdomsslutrunde,3.0,3.0,3.0,3.331371525657113e-05,,,,,,,,,,
competition_mapping,20AC,AFC U20 Championship,Ungdomsslutrunde,3.0,3.0,3.0,3.331371525657113e-05,,,,,,,,,,
rudiger_recent_match,06/06/26,in squad,Venskabskamp,,,,,FS,06/06/26,in squad,,False,1.0,,,,
rudiger_recent_match,31/05/26,in squad,Venskabskamp,,,,,FS,31/05/26,in squad,,False,1.0,,,,
rudiger_recent_match,30/03/26,played,Venskabskamp,,,,,FS,30/03/26,played,45.0,False,0.92,,,,
rudiger_recent_match,27/03/26,in squad,Venskabskamp,,,,,FS,27/03/26,in squad,,False,0.92,,,,
rudiger_recent_match,17/11/25,injured,Kvalifikation,,,,,WMQ6,17/11/25,injured,0.0,False,0.68,,,,
rudiger_recent_match,14/11/25,injured,Kvalifikation,,,,,WMQ6,14/11/25,injured,0.0,False,0.68,,,,
rudiger_recent_match,13/10/25,injured,Kvalifikation,,,,,WMQ6,13/10/25,injured,0.0,False,0.68,,,,
rudiger_recent_match,10/10/25,injured,Kvalifikation,,,,,WMQ6,10/10/25,injured,0.0,False,0.68,,,,
rudiger_recent_match,07/09/25,played,Kvalifikation,,,,,WMQ6,07/09/25,played,82.0,True,0.68,,,,
rudiger_recent_match,04/09/25,played,Kvalifikation,,,,,WMQ6,04/09/25,played,90.0,True,0.68,,,,
rudiger_signal,tm_recency_weighted_competitive_start_score,Before/after player-level recency and competition weighted start score,,,,,,,,,,,,0.5,0.2006,0.6686,0.0
june_2026_sanity,rodri_hernandez__esp,Rodri Hernandez,Venskabskamp,,,,,FS,09/06/26,played,61.0,True,,,0.3928,,
june_2026_sanity,yeremy_pino__esp,Yeremy Pino,Venskabskamp,,,,,FS,09/06/26,played,45.0,False,,,0.0367,,
june_2026_sanity,marc_pubill__esp,Marc Pubill,Venskabskamp,,,,,FS,09/06/26,played,29.0,False,,,0.0,,
june_2026_sanity,ferr_n_torres__esp,Ferran Torres,Venskabskamp,,,,,FS,09/06/26,played,69.0,True,,,0.8168,,
june_2026_sanity,marcos_llorente__esp,Marcos Llorente,Venskabskamp,,,,,FS,09/06/26,played,69.0,True,,,0.2865,,
