date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
08/06/26,19,home,3377,5674,3:1,11,FS,played,0,0,0,08/06/26 | FS | club:3377 | opponent:5674 | 3:1 | played | 62',False,False,True,62.0,True,d_sir_dou__fra,Desire Doue,FRA,FWD,914562,https://www.transfermarkt.de/desire-doue/nationalmannschaft/spieler/914562/verein_id/3377
04/06/26,6,home,3377,3591,1:2,,FS,in squad,0,0,0,04/06/26 | FS | club:3377 | opponent:3591 | 1:2 | in squad,False,False,False,,False,d_sir_dou__fra,Desire Doue,FRA,FWD,914562,https://www.transfermarkt.de/desire-doue/nationalmannschaft/spieler/914562/verein_id/3377
29/03/26,7,away,3377,3816,3:1,11,FS,played,2,0,1,29/03/26 | FS | club:3377 | opponent:3816 | 3:1 | played | 63',False,False,True,63.0,True,d_sir_dou__fra,Desire Doue,FRA,FWD,914562,https://www.transfermarkt.de/desire-doue/nationalmannschaft/spieler/914562/verein_id/3377
26/03/26,7,away,3377,3439,2:1,11,FS,played,0,0,0,26/03/26 | FS | club:3377 | opponent:3439 | 2:1 | played | 24',False,False,True,24.0,False,d_sir_dou__fra,Desire Doue,FRA,FWD,914562,https://www.transfermarkt.de/desire-doue/nationalmannschaft/spieler/914562/verein_id/3377
16/11/25,10,away,3377,8605,3:1,,WMQ6,injured,0,0,0,16/11/25 | WMQ6 | club:3377 | opponent:8605 | 3:1 | injured,True,False,False,,False,d_sir_dou__fra,Desire Doue,FRA,FWD,914562,https://www.transfermarkt.de/desire-doue/nationalmannschaft/spieler/914562/verein_id/3377
13/11/25,9,home,3377,3699,4:0,,WMQ6,injured,0,0,0,13/11/25 | WMQ6 | club:3377 | opponent:3699 | 4:0 | injured,True,False,False,,False,d_sir_dou__fra,Desire Doue,FRA,FWD,914562,https://www.transfermarkt.de/desire-doue/nationalmannschaft/spieler/914562/verein_id/3377
13/10/25,8,away,3377,3574,2:2,,WMQ6,injured,0,0,0,13/10/25 | WMQ6 | club:3377 | opponent:3574 | 2:2 | injured,True,False,False,,False,d_sir_dou__fra,Desire Doue,FRA,FWD,914562,https://www.transfermarkt.de/desire-doue/nationalmannschaft/spieler/914562/verein_id/3377
10/10/25,7,home,3377,8605,3:0,,WMQ6,injured,0,0,0,10/10/25 | WMQ6 | club:3377 | opponent:8605 | 3:0 | injured,True,False,False,,False,d_sir_dou__fra,Desire Doue,FRA,FWD,914562,https://www.transfermarkt.de/desire-doue/nationalmannschaft/spieler/914562/verein_id/3377
09/09/25,6,home,3377,3574,2:1,,WMQ6,injured,0,0,0,09/09/25 | WMQ6 | club:3377 | opponent:3574 | 2:1 | injured,True,False,False,,False,d_sir_dou__fra,Desire Doue,FRA,FWD,914562,https://www.transfermarkt.de/desire-doue/nationalmannschaft/spieler/914562/verein_id/3377
05/09/25,5,away,3377,3699,2:0,12,WMQ6,played,0,0,0,05/09/25 | WMQ6 | club:3377 | opponent:3699 | 2:0 | played | 45',False,False,True,45.0,True,d_sir_dou__fra,Desire Doue,FRA,FWD,914562,https://www.transfermarkt.de/desire-doue/nationalmannschaft/spieler/914562/verein_id/3377
08/06/25,4,away,3377,3262,2:0,12,UNFI,played,0,0,0,08/06/25 | UNFI | club:3377 | opponent:3262 | 2:0 | played | 21',False,False,True,21.0,False,d_sir_dou__fra,Desire Doue,FRA,FWD,914562,https://www.transfermarkt.de/desire-doue/nationalmannschaft/spieler/914562/verein_id/3377
05/06/25,3,away,3377,3375,4:5,11,UNFI,played,0,0,0,05/06/25 | UNFI | club:3377 | opponent:3375 | 4:5 | played | 63',False,False,True,63.0,True,d_sir_dou__fra,Desire Doue,FRA,FWD,914562,https://www.transfermarkt.de/desire-doue/nationalmannschaft/spieler/914562/verein_id/3377
23/03/25,2,home,3377,3556,7:4,,UNFI,played,0,0,0,23/03/25 | UNFI | club:3377 | opponent:3556 | 7:4 | played | 54',False,False,True,54.0,False,d_sir_dou__fra,Desire Doue,FRA,FWD,914562,https://www.transfermarkt.de/desire-doue/nationalmannschaft/spieler/914562/verein_id/3377
20/03/25,1,away,3377,3556,0:2,,UNFI,in squad,0,0,0,20/03/25 | UNFI | club:3377 | opponent:3556 | 0:2 | in squad,False,False,False,,False,d_sir_dou__fra,Desire Doue,FRA,FWD,914562,https://www.transfermarkt.de/desire-doue/nationalmannschaft/spieler/914562/verein_id/3377
