date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
05/06/26,6,away,3445,13342,3:1,8,FS,played,0,1,0,05/06/26 | FS | club:3445 | opponent:13342 | 3:1 | played | 28',False,False,True,28.0,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
31/05/26,9,home,3445,53982,2:1,8,FS,played,0,1,0,31/05/26 | FS | club:3445 | opponent:53982 | 2:1 | played | 45',False,False,True,45.0,True,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
31/03/26,2,home,3445,3436,5:3,,POWM,not in squad,0,0,0,31/03/26 | POWM | club:3445 | opponent:3436 | 5:3 | not in squad,True,False,False,,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
26/03/26,1,home,3445,3509,6:5,,POWM,injured,0,0,0,26/03/26 | POWM | club:3445 | opponent:3509 | 6:5 | injured,True,False,False,,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
17/11/25,10,home,3445,37574,6:0,8,WMQ6,played,1,1,0,17/11/25 | WMQ6 | club:3445 | opponent:37574 | 6:0 | played | 90',False,False,True,90.0,True,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
13/11/25,5,home,3445,10521,1:0,8,FS,played,0,0,0,13/11/25 | FS | club:3445 | opponent:10521 | 1:0 | played | 27',False,False,True,27.0,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
12/10/25,8,away,3445,9173,1:2,,WMQ6,injured,0,0,0,12/10/25 | WMQ6 | club:3445 | opponent:9173 | 1:2 | injured,True,False,False,,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
09/10/25,7,home,3445,3556,0:0,,WMQ6,injured,0,0,0,09/10/25 | WMQ6 | club:3445 | opponent:3556 | 0:0 | injured,True,False,False,,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
08/09/25,2,home,3445,3807,1:1,,FS,not in squad,0,0,0,08/09/25 | FS | club:3445 | opponent:3807 | 1:1 | not in squad,True,False,False,,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
05/09/25,5,away,3445,11953,2:0,5,WMQ6,played,0,0,0,05/09/25 | WMQ6 | club:3445 | opponent:11953 | 2:0 | played | 49',False,False,True,49.0,True,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
09/06/25,4,away,3445,3556,1:5,9,WMQ6,played,0,0,0,09/06/25 | WMQ6 | club:3445 | opponent:3556 | 1:5 | played | 2',False,False,True,2.0,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
06/06/25,3,home,3445,11953,2:0,,WMQ6,in squad,0,0,0,06/06/25 | WMQ6 | club:3445 | opponent:11953 | 2:0 | in squad,False,False,False,,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
25/03/25,2,away,3445,37574,4:0,,WMQ6,in squad,0,0,0,25/03/25 | WMQ6 | club:3445 | opponent:37574 | 4:0 | in squad,False,False,False,,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
22/03/25,1,home,3445,9173,2:1,5,WMQ6,played,0,0,0,22/03/25 | WMQ6 | club:3445 | opponent:9173 | 2:1 | played | 10',False,False,True,10.0,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
19/11/24,6,home,3445,3669,2:1,,UNLB,not in squad,0,0,0,19/11/24 | UNLB | club:3445 | opponent:3669 | 2:1 | not in squad,True,False,False,,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
16/11/24,5,away,3445,3561,0:0,,UNLB,not in squad,0,0,0,16/11/24 | UNLB | club:3445 | opponent:3561 | 0:0 | not in squad,True,False,False,,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
14/10/24,4,neutral,3445,3699,1:1,,UNLB,not in squad,0,0,0,14/10/24 | UNLB | club:3445 | opponent:3699 | 1:1 | not in squad,True,False,False,,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
11/10/24,3,home,3445,3561,2:0,,UNLB,not in squad,0,0,0,11/10/24 | UNLB | club:3445 | opponent:3561 | 2:0 | not in squad,True,False,False,,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
10/09/24,2,home,3445,3699,3:2,,UNLB,not in squad,0,0,0,10/09/24 | UNLB | club:3445 | opponent:3699 | 3:2 | not in squad,True,False,False,,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
07/09/24,1,away,3445,3669,1:4,,UNLB,not in squad,0,0,0,07/09/24 | UNLB | club:3445 | opponent:3669 | 1:4 | not in squad,True,False,False,,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
26/06/24,3,away,3445,3381,1:2,,EURO,in squad,0,0,0,26/06/24 | EURO | club:3445 | opponent:3381 | 1:2 | in squad,False,False,False,,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
22/06/24,2,away,3445,3669,1:1,,EURO,in squad,0,0,0,22/06/24 | EURO | club:3445 | opponent:3669 | 1:1 | in squad,False,False,False,,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
18/06/24,1,away,3445,3300,1:2,9,EURO,played,0,0,0,18/06/24 | EURO | club:3445 | opponent:3300 | 1:2 | played | 90',False,False,True,90.0,True,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
10/06/24,11,away,3445,5148,2:1,9,FS,played,0,0,0,10/06/24 | FS | club:3445 | opponent:5148 | 2:1 | played | 90',False,False,True,90.0,True,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
07/06/24,10,away,3445,3587,7:1,,FS,in squad,0,0,0,07/06/24 | FS | club:3445 | opponent:3587 | 7:1 | in squad,False,False,False,,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
26/03/24,17,home,3445,6219,2:1,8,FS,played,0,0,0,26/03/24 | FS | club:3445 | opponent:6219 | 2:1 | played | 45',False,False,True,45.0,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
22/03/24,16,away,3445,3440,2:1,5,FS,played,0,0,0,22/03/24 | FS | club:3445 | opponent:3440 | 2:1 | played | 90',False,False,True,90.0,True,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
20/11/23,10,home,3445,6090,3:0,9,EMQ,played,1,0,0,20/11/23 | EMQ | club:3445 | opponent:6090 | 3:0 | played | 90',False,False,True,90.0,True,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
17/11/23,9,away,3445,3442,1:1,9,EMQ,played,0,0,0,17/11/23 | EMQ | club:3445 | opponent:3442 | 1:1 | played | 90',False,False,True,90.0,True,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
15/10/23,8,home,3445,9173,1:0,5,EMQ,played,0,0,0,15/10/23 | EMQ | club:3445 | opponent:9173 | 1:0 | played | 77',False,False,True,77.0,True,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
12/10/23,7,away,3445,3561,0:3,9,EMQ,played,0,0,0,12/10/23 | EMQ | club:3445 | opponent:3561 | 0:3 | played | 4',False,False,True,4.0,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
10/09/23,6,away,3445,3468,1:1,,FS,not in squad,0,0,0,10/09/23 | FS | club:3445 | opponent:3468 | 1:1 | not in squad,True,False,False,,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
07/09/23,5,home,3445,3561,1:1,,EMQ,not in squad,0,0,0,07/09/23 | EMQ | club:3445 | opponent:3561 | 1:1 | not in squad,True,False,False,,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
20/06/23,7,away,3445,11953,4:1,8,FS,played,0,1,0,20/06/23 | FS | club:3445 | opponent:11953 | 4:1 | played | 90',False,False,True,90.0,True,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
17/06/23,3,away,3445,9173,3:0,,EMQ,in squad,0,0,0,17/06/23 | EMQ | club:3445 | opponent:9173 | 3:0 | in squad,False,False,False,,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
27/03/23,2,away,3445,6090,0:0,,EMQ,in squad,0,0,0,27/03/23 | EMQ | club:3445 | opponent:6090 | 0:0 | in squad,False,False,False,,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
24/03/23,1,home,3445,3442,3:1,8,EMQ,played,0,0,0,24/03/23 | EMQ | club:3445 | opponent:3442 | 3:1 | played | 19',False,False,True,19.0,False,david_doudera__cze,David Doudera,CZE,MID,493758,https://www.transfermarkt.de/david-doudera/nationalmannschaft/spieler/493758/verein_id/3445
