date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
11/10/25,5,away,26092,11940,0:2,3,20WC,played,0,0,0,11/10/25 | 20WC | club:26092 | opponent:11940 | 0:2 | played | 71',False,False,True,71.0,True,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
07/10/25,4,away,26092,23657,4:1,3,20WC,played,0,0,0,07/10/25 | 20WC | club:26092 | opponent:23657 | 4:1 | played | 82',False,False,True,82.0,True,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
04/10/25,3,away,26092,37630,1:0,3,20WC,played,0,0,0,04/10/25 | 20WC | club:26092 | opponent:37630 | 1:0 | played | 90',False,False,True,90.0,True,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
01/10/25,2,away,26092,20911,2:2,3,20WC,played,0,0,0,01/10/25 | 20WC | club:26092 | opponent:20911 | 2:2 | played | 90',False,False,True,90.0,True,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
28/09/25,1,away,26092,7658,2:2,3,20WC,played,0,0,0,28/09/25 | 20WC | club:26092 | opponent:7658 | 2:2 | played | 90',False,False,True,90.0,True,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
15/06/25,48,away,26092,28076,1:2,,FS,in squad,0,0,0,15/06/25 | FS | club:26092 | opponent:28076 | 1:2 | in squad,False,False,False,,False,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
13/06/25,48,away,26092,23658,1:3,3,FS,played,0,0,0,13/06/25 | FS | club:26092 | opponent:23658 | 1:3 | played | 90',False,False,True,90.0,True,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
10/06/25,47,away,26092,27294,6:8,,FS,in squad,0,0,0,10/06/25 | FS | club:26092 | opponent:27294 | 6:8 | in squad,False,False,False,,False,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
07/06/25,46,away,26092,22360,5:4,3,FS,played,0,0,0,07/06/25 | FS | club:26092 | opponent:22360 | 5:4 | played | 90',False,False,True,90.0,True,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
04/06/25,45,away,26092,28076,7:8,3,FS,played,0,0,0,04/06/25 | FS | club:26092 | opponent:28076 | 7:8 | played | 90',False,False,True,90.0,True,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
24/03/25,12,away,26092,23658,0:1,,FS,played,0,0,0,24/03/25 | FS | club:26092 | opponent:23658 | 0:1 | played | 90',False,False,True,90.0,True,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
22/03/25,12,away,26092,11946,0:3,,FS,in squad,0,0,0,22/03/25 | FS | club:26092 | opponent:11946 | 0:3 | in squad,False,False,False,,False,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
16/11/24,52,home,26092,28425,1:1,,FS,played,0,0,0,16/11/24 | FS | club:26092 | opponent:28425 | 1:1 | played | 24',False,False,True,24.0,False,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
12/10/24,4,away,26092,22246,3:3,,FS,not in squad,0,0,0,12/10/24 | FS | club:26092 | opponent:22246 | 3:3 | not in squad,True,False,False,,False,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
09/10/24,3,away,26092,17379,0:0,,FS,not in squad,0,0,0,09/10/24 | FS | club:26092 | opponent:17379 | 0:0 | not in squad,True,False,False,,False,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
05/09/24,9,away,26092,7658,1:2,,FS,not in squad,0,0,0,05/09/24 | FS | club:26092 | opponent:7658 | 1:2 | not in squad,True,False,False,,False,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
04/08/24,6,home,26092,11946,2:1,,C220,not in squad,0,0,0,04/08/24 | C220 | club:26092 | opponent:11946 | 2:1 | not in squad,True,False,False,,False,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
03/08/24,5,home,26092,32703,2:0,,C220,not in squad,0,0,0,03/08/24 | C220 | club:26092 | opponent:32703 | 2:0 | not in squad,True,False,False,,False,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
31/07/24,4,home,26092,22977,2:1,,C220,not in squad,0,0,0,31/07/24 | C220 | club:26092 | opponent:22977 | 2:1 | not in squad,True,False,False,,False,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
28/07/24,3,home,26092,29432,1:1,,C220,not in squad,0,0,0,28/07/24 | C220 | club:26092 | opponent:29432 | 1:1 | not in squad,True,False,False,,False,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
25/07/24,2,home,26092,32643,2:1,,C220,not in squad,0,0,0,25/07/24 | C220 | club:26092 | opponent:32643 | 2:1 | not in squad,True,False,False,,False,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
22/07/24,1,home,26092,39487,4:0,,C220,not in squad,0,0,0,22/07/24 | C220 | club:26092 | opponent:39487 | 4:0 | not in squad,True,False,False,,False,everardo_lopez__mex,Everardo Lopez,MEX,DEF,955303,https://www.transfermarkt.de/everardo-lopez/nationalmannschaft/spieler/955303/verein_id/26092
