date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
30/05/26,8,home,3380,32364,4:1,14,FS,played,0,0,0,30/05/26 | FS | club:3380 | opponent:32364 | 4:1 | played | 45',False,False,True,45.0,True,george_hirst__sco,George Hirst,SCO,FWD,420808,https://www.transfermarkt.de/george-hirst/nationalmannschaft/spieler/420808/verein_id/3380
31/03/26,7,away,3380,3591,0:1,14,FS,played,0,0,0,31/03/26 | FS | club:3380 | opponent:3591 | 0:1 | played | 77',False,False,True,77.0,True,george_hirst__sco,George Hirst,SCO,FWD,420808,https://www.transfermarkt.de/george-hirst/nationalmannschaft/spieler/420808/verein_id/3380
28/03/26,6,home,3380,3435,0:1,,FS,played,0,0,0,28/03/26 | FS | club:3380 | opponent:3435 | 0:1 | played | 27',False,False,True,27.0,False,george_hirst__sco,George Hirst,SCO,FWD,420808,https://www.transfermarkt.de/george-hirst/nationalmannschaft/spieler/420808/verein_id/3380
18/11/25,10,home,3380,3436,4:2,,WMQ6,in squad,0,0,0,18/11/25 | WMQ6 | club:3380 | opponent:3436 | 4:2 | in squad,False,False,False,,False,george_hirst__sco,George Hirst,SCO,FWD,420808,https://www.transfermarkt.de/george-hirst/nationalmannschaft/spieler/420808/verein_id/3380
15/11/25,9,away,3380,3378,2:3,,WMQ6,played,0,0,0,15/11/25 | WMQ6 | club:3380 | opponent:3378 | 2:3 | played | 2',False,False,True,2.0,False,george_hirst__sco,George Hirst,SCO,FWD,420808,https://www.transfermarkt.de/george-hirst/nationalmannschaft/spieler/420808/verein_id/3380
12/10/25,8,home,3380,3450,2:1,,WMQ6,in squad,0,0,0,12/10/25 | WMQ6 | club:3380 | opponent:3450 | 2:1 | in squad,False,False,False,,False,george_hirst__sco,George Hirst,SCO,FWD,420808,https://www.transfermarkt.de/george-hirst/nationalmannschaft/spieler/420808/verein_id/3380
09/10/25,7,home,3380,3378,3:1,,WMQ6,in squad,0,0,0,09/10/25 | WMQ6 | club:3380 | opponent:3378 | 3:1 | in squad,False,False,False,,False,george_hirst__sco,George Hirst,SCO,FWD,420808,https://www.transfermarkt.de/george-hirst/nationalmannschaft/spieler/420808/verein_id/3380
08/09/25,6,neutral,3380,3450,2:0,,WMQ6,in squad,0,0,0,08/09/25 | WMQ6 | club:3380 | opponent:3450 | 2:0 | in squad,False,False,False,,False,george_hirst__sco,George Hirst,SCO,FWD,420808,https://www.transfermarkt.de/george-hirst/nationalmannschaft/spieler/420808/verein_id/3380
05/09/25,5,away,3380,3436,0:0,,WMQ6,played,0,0,0,05/09/25 | WMQ6 | club:3380 | opponent:3436 | 0:0 | played | 7',False,False,True,7.0,False,george_hirst__sco,George Hirst,SCO,FWD,420808,https://www.transfermarkt.de/george-hirst/nationalmannschaft/spieler/420808/verein_id/3380
09/06/25,6,away,3380,5673,4:0,14,FS,played,1,0,0,09/06/25 | FS | club:3380 | opponent:5673 | 4:0 | played | 68',False,False,True,68.0,True,george_hirst__sco,George Hirst,SCO,FWD,420808,https://www.transfermarkt.de/george-hirst/nationalmannschaft/spieler/420808/verein_id/3380
06/06/25,52,home,3380,3574,1:3,14,FS,played,0,0,0,06/06/25 | FS | club:3380 | opponent:3574 | 1:3 | played | 68',False,False,True,68.0,True,george_hirst__sco,George Hirst,SCO,FWD,420808,https://www.transfermarkt.de/george-hirst/nationalmannschaft/spieler/420808/verein_id/3380
23/03/25,2,home,3380,3378,0:3,,UNPO,played,0,0,1,23/03/25 | UNPO | club:3380 | opponent:3378 | 0:3 | played | 35',False,False,True,35.0,False,george_hirst__sco,George Hirst,SCO,FWD,420808,https://www.transfermarkt.de/george-hirst/nationalmannschaft/spieler/420808/verein_id/3380
20/03/25,1,away,3380,3378,1:0,,UNPO,played,0,0,0,20/03/25 | UNPO | club:3380 | opponent:3378 | 1:0 | played | 15',False,False,True,15.0,False,george_hirst__sco,George Hirst,SCO,FWD,420808,https://www.transfermarkt.de/george-hirst/nationalmannschaft/spieler/420808/verein_id/3380
