date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
06/06/26,9,home,3300,3700,2:1,,FS,not in squad,0,0,0,06/06/26 | FS | club:3300 | opponent:3700 | 2:1 | not in squad,True,False,False,,False,gon_alo_ramos__por,Goncalo Ramos,POR,FWD,550550,https://www.transfermarkt.de/goncalo-ramos/nationalmannschaft/spieler/550550/verein_id/3300
31/03/26,8,away,3300,3505,2:0,14,FS,played,0,0,0,31/03/26 | FS | club:3300 | opponent:3505 | 2:0 | played | 61',False,False,True,61.0,True,gon_alo_ramos__por,Goncalo Ramos,POR,FWD,550550,https://www.transfermarkt.de/goncalo-ramos/nationalmannschaft/spieler/550550/verein_id/3300
29/03/26,7,away,3300,6303,0:0,14,FS,played,0,0,0,29/03/26 | FS | club:3300 | opponent:6303 | 0:0 | played | 64',False,False,True,64.0,True,gon_alo_ramos__por,Goncalo Ramos,POR,FWD,550550,https://www.transfermarkt.de/goncalo-ramos/nationalmannschaft/spieler/550550/verein_id/3300
16/11/25,10,home,3300,6219,9:1,14,WMQ6,played,1,1,0,16/11/25 | WMQ6 | club:3300 | opponent:6219 | 9:1 | played | 90',False,False,True,90.0,True,gon_alo_ramos__por,Goncalo Ramos,POR,FWD,550550,https://www.transfermarkt.de/goncalo-ramos/nationalmannschaft/spieler/550550/verein_id/3300
13/11/25,9,away,3300,3509,0:2,,WMQ6,played,0,0,0,13/11/25 | WMQ6 | club:3300 | opponent:3509 | 0:2 | played | 12',False,False,True,12.0,False,gon_alo_ramos__por,Goncalo Ramos,POR,FWD,550550,https://www.transfermarkt.de/goncalo-ramos/nationalmannschaft/spieler/550550/verein_id/3300
14/10/25,8,home,3300,3468,2:2,14,WMQ6,played,0,0,0,14/10/25 | WMQ6 | club:3300 | opponent:3468 | 2:2 | played | 12',False,False,True,12.0,False,gon_alo_ramos__por,Goncalo Ramos,POR,FWD,550550,https://www.transfermarkt.de/goncalo-ramos/nationalmannschaft/spieler/550550/verein_id/3300
11/10/25,7,home,3300,3509,1:0,,WMQ6,played,0,0,0,11/10/25 | WMQ6 | club:3300 | opponent:3509 | 1:0 | played | 4',False,False,True,4.0,False,gon_alo_ramos__por,Goncalo Ramos,POR,FWD,550550,https://www.transfermarkt.de/goncalo-ramos/nationalmannschaft/spieler/550550/verein_id/3300
09/09/25,6,away,3300,3468,3:2,14,WMQ6,played,0,0,0,09/09/25 | WMQ6 | club:3300 | opponent:3468 | 3:2 | played | 3',False,False,True,3.0,False,gon_alo_ramos__por,Goncalo Ramos,POR,FWD,550550,https://www.transfermarkt.de/goncalo-ramos/nationalmannschaft/spieler/550550/verein_id/3300
06/09/25,5,away,3300,6219,5:0,14,WMQ6,played,0,0,0,06/09/25 | WMQ6 | club:3300 | opponent:6219 | 5:0 | played | 32',False,False,True,32.0,False,gon_alo_ramos__por,Goncalo Ramos,POR,FWD,550550,https://www.transfermarkt.de/goncalo-ramos/nationalmannschaft/spieler/550550/verein_id/3300
08/06/25,5,away,3300,3375,7:5,14,UNFI,played,0,0,0,08/06/25 | UNFI | club:3300 | opponent:3375 | 7:5 | played | 32',False,False,True,32.0,False,gon_alo_ramos__por,Goncalo Ramos,POR,FWD,550550,https://www.transfermarkt.de/goncalo-ramos/nationalmannschaft/spieler/550550/verein_id/3300
04/06/25,3,away,3300,3262,2:1,,UNFI,in squad,0,0,0,04/06/25 | UNFI | club:3300 | opponent:3262 | 2:1 | in squad,False,False,False,,False,gon_alo_ramos__por,Goncalo Ramos,POR,FWD,550550,https://www.transfermarkt.de/goncalo-ramos/nationalmannschaft/spieler/550550/verein_id/3300
