date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
06/06/26,6,away,3384,3433,1:1,7,FS,played,0,1,1,06/06/26 | FS | club:3384 | opponent:3433 | 1:1 | played | 79',False,False,True,79.0,True,granit_xhaka__sui,Granit Xhaka,SUI,MID,111455,https://www.transfermarkt.de/granit-xhaka/nationalmannschaft/spieler/111455/verein_id/3384
31/05/26,5,home,3384,15737,4:1,7,FS,played,1,0,0,31/05/26 | FS | club:3384 | opponent:15737 | 4:1 | played | 61',False,False,True,61.0,True,granit_xhaka__sui,Granit Xhaka,SUI,MID,111455,https://www.transfermarkt.de/granit-xhaka/nationalmannschaft/spieler/111455/verein_id/3384
31/03/26,43,away,3384,3440,0:0,,FS,not in squad,0,0,0,31/03/26 | FS | club:3384 | opponent:3440 | 0:0 | not in squad,True,False,False,,False,granit_xhaka__sui,Granit Xhaka,SUI,MID,111455,https://www.transfermarkt.de/granit-xhaka/nationalmannschaft/spieler/111455/verein_id/3384
27/03/26,1,home,3384,3262,3:4,6,FS,played,0,1,0,27/03/26 | FS | club:3384 | opponent:3262 | 3:4 | played | 45',False,False,True,45.0,True,granit_xhaka__sui,Granit Xhaka,SUI,MID,111455,https://www.transfermarkt.de/granit-xhaka/nationalmannschaft/spieler/111455/verein_id/3384
18/11/25,10,away,3384,53982,1:1,6,WMQ6,played,0,0,0,18/11/25 | WMQ6 | club:3384 | opponent:53982 | 1:1 | played | 76',False,False,True,76.0,True,granit_xhaka__sui,Granit Xhaka,SUI,MID,111455,https://www.transfermarkt.de/granit-xhaka/nationalmannschaft/spieler/111455/verein_id/3384
15/11/25,9,home,3384,3557,4:1,6,WMQ6,played,1,0,0,15/11/25 | WMQ6 | club:3384 | opponent:3557 | 4:1 | played | 90',False,False,True,90.0,True,granit_xhaka__sui,Granit Xhaka,SUI,MID,111455,https://www.transfermarkt.de/granit-xhaka/nationalmannschaft/spieler/111455/verein_id/3384
13/10/25,8,away,3384,3588,0:0,6,WMQ6,played,0,0,0,13/10/25 | WMQ6 | club:3384 | opponent:3588 | 0:0 | played | 90',False,False,True,90.0,True,granit_xhaka__sui,Granit Xhaka,SUI,MID,111455,https://www.transfermarkt.de/granit-xhaka/nationalmannschaft/spieler/111455/verein_id/3384
10/10/25,7,away,3384,3557,2:0,6,WMQ6,played,1,0,0,10/10/25 | WMQ6 | club:3384 | opponent:3557 | 2:0 | played | 90',False,False,True,90.0,True,granit_xhaka__sui,Granit Xhaka,SUI,MID,111455,https://www.transfermarkt.de/granit-xhaka/nationalmannschaft/spieler/111455/verein_id/3384
08/09/25,6,home,3384,3588,3:0,7,WMQ6,played,0,0,0,08/09/25 | WMQ6 | club:3384 | opponent:3588 | 3:0 | played | 90',False,False,True,90.0,True,granit_xhaka__sui,Granit Xhaka,SUI,MID,111455,https://www.transfermarkt.de/granit-xhaka/nationalmannschaft/spieler/111455/verein_id/3384
05/09/25,5,home,3384,53982,4:0,6,WMQ6,played,0,0,0,05/09/25 | WMQ6 | club:3384 | opponent:53982 | 4:0 | played | 90',False,False,True,90.0,True,granit_xhaka__sui,Granit Xhaka,SUI,MID,111455,https://www.transfermarkt.de/granit-xhaka/nationalmannschaft/spieler/111455/verein_id/3384
11/06/25,52,away,3384,3505,4:0,6,FS,played,0,0,0,11/06/25 | FS | club:3384 | opponent:3505 | 4:0 | played | 66',False,False,True,66.0,True,granit_xhaka__sui,Granit Xhaka,SUI,MID,111455,https://www.transfermarkt.de/granit-xhaka/nationalmannschaft/spieler/111455/verein_id/3384
07/06/25,6,away,3384,6303,4:2,6,FS,played,0,0,0,07/06/25 | FS | club:3384 | opponent:6303 | 4:2 | played | 45',False,False,True,45.0,True,granit_xhaka__sui,Granit Xhaka,SUI,MID,111455,https://www.transfermarkt.de/granit-xhaka/nationalmannschaft/spieler/111455/verein_id/3384
