date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
07/06/26,6,away,3816,15737,2:0,,FS,not in squad,0,0,0,07/06/26 | FS | club:3816 | opponent:15737 | 2:0 | not in squad,True,False,False,,False,gustavo_puerta__col,Gustavo Puerta,COL,MID,936981,https://www.transfermarkt.de/gustavo-puerta/nationalmannschaft/spieler/936981/verein_id/3816
01/06/26,5,home,3816,8497,3:1,6,FS,played,0,0,0,01/06/26 | FS | club:3816 | opponent:8497 | 3:1 | played | 68',False,False,True,68.0,True,gustavo_puerta__col,Gustavo Puerta,COL,MID,936981,https://www.transfermarkt.de/gustavo-puerta/nationalmannschaft/spieler/936981/verein_id/3816
29/03/26,7,away,3816,3377,1:3,6,FS,played,0,0,1,29/03/26 | FS | club:3816 | opponent:3377 | 1:3 | played | 45',False,False,True,45.0,False,gustavo_puerta__col,Gustavo Puerta,COL,MID,936981,https://www.transfermarkt.de/gustavo-puerta/nationalmannschaft/spieler/936981/verein_id/3816
26/03/26,14,away,3816,3556,1:2,7,FS,played,0,0,0,26/03/26 | FS | club:3816 | opponent:3556 | 1:2 | played | 19',False,False,True,19.0,False,gustavo_puerta__col,Gustavo Puerta,COL,MID,936981,https://www.transfermarkt.de/gustavo-puerta/nationalmannschaft/spieler/936981/verein_id/3816
19/11/25,6,away,3816,3433,3:0,,FS,played,0,0,1,19/11/25 | FS | club:3816 | opponent:3433 | 3:0 | played | 21',False,False,True,21.0,False,gustavo_puerta__col,Gustavo Puerta,COL,MID,936981,https://www.transfermarkt.de/gustavo-puerta/nationalmannschaft/spieler/936981/verein_id/3816
16/11/25,6,away,3816,9171,2:1,7,FS,played,1,0,0,16/11/25 | FS | club:3816 | opponent:9171 | 2:1 | played | 90',False,False,True,90.0,True,gustavo_puerta__col,Gustavo Puerta,COL,MID,936981,https://www.transfermarkt.de/gustavo-puerta/nationalmannschaft/spieler/936981/verein_id/3816
11/06/25,16,away,3816,3437,1:1,,WMQ4,in squad,0,0,0,11/06/25 | WMQ4 | club:3816 | opponent:3437 | 1:1 | in squad,False,False,False,,False,gustavo_puerta__col,Gustavo Puerta,COL,MID,936981,https://www.transfermarkt.de/gustavo-puerta/nationalmannschaft/spieler/936981/verein_id/3816
06/06/25,15,home,3816,3584,0:0,,WMQ4,in squad,0,0,0,06/06/25 | WMQ4 | club:3816 | opponent:3584 | 0:0 | in squad,False,False,False,,False,gustavo_puerta__col,Gustavo Puerta,COL,MID,936981,https://www.transfermarkt.de/gustavo-puerta/nationalmannschaft/spieler/936981/verein_id/3816
26/03/25,14,home,3816,3581,2:2,,WMQ4,not in squad,0,0,0,26/03/25 | WMQ4 | club:3816 | opponent:3581 | 2:2 | not in squad,True,False,False,,False,gustavo_puerta__col,Gustavo Puerta,COL,MID,936981,https://www.transfermarkt.de/gustavo-puerta/nationalmannschaft/spieler/936981/verein_id/3816
21/03/25,13,away,3816,3439,1:2,,WMQ4,not in squad,0,0,0,21/03/25 | WMQ4 | club:3816 | opponent:3439 | 1:2 | not in squad,True,False,False,,False,gustavo_puerta__col,Gustavo Puerta,COL,MID,936981,https://www.transfermarkt.de/gustavo-puerta/nationalmannschaft/spieler/936981/verein_id/3816
19/11/24,12,home,3816,5750,0:1,,WMQ4,not in squad,0,0,0,19/11/24 | WMQ4 | club:3816 | opponent:5750 | 0:1 | not in squad,True,False,False,,False,gustavo_puerta__col,Gustavo Puerta,COL,MID,936981,https://www.transfermarkt.de/gustavo-puerta/nationalmannschaft/spieler/936981/verein_id/3816
