date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
31/05/26,5,home,4311,3438,3:0,12,FS,played,0,1,0,31/05/26 | FS | club:4311 | opponent:3438 | 3:0 | played | 45',False,False,True,45.0,False,h_lio_varela__cpv,Helio Varela,CPV,FWD,840836,https://www.transfermarkt.de/helio-varela/nationalmannschaft/spieler/840836/verein_id/4311
30/03/26,51,away,4311,3443,1:1,,FS,not in squad,0,0,0,30/03/26 | FS | club:4311 | opponent:3443 | 1:1 | not in squad,True,False,False,,False,h_lio_varela__cpv,Helio Varela,CPV,FWD,840836,https://www.transfermarkt.de/helio-varela/nationalmannschaft/spieler/840836/verein_id/4311
27/03/26,51,away,4311,3700,2:4,,FS,not in squad,0,0,0,27/03/26 | FS | club:4311 | opponent:3700 | 2:4 | not in squad,True,False,False,,False,h_lio_varela__cpv,Helio Varela,CPV,FWD,840836,https://www.transfermarkt.de/helio-varela/nationalmannschaft/spieler/840836/verein_id/4311
18/11/25,9,away,4311,3672,1:1,11,FS,played,0,0,0,18/11/25 | FS | club:4311 | opponent:3672 | 1:1 | played | 59',False,False,True,59.0,True,h_lio_varela__cpv,Helio Varela,CPV,FWD,840836,https://www.transfermarkt.de/helio-varela/nationalmannschaft/spieler/840836/verein_id/4311
13/11/25,3,away,4311,3582,4:5,,FS,in squad,0,0,0,13/11/25 | FS | club:4311 | opponent:3582 | 4:5 | in squad,False,False,False,,False,h_lio_varela__cpv,Helio Varela,CPV,FWD,840836,https://www.transfermarkt.de/helio-varela/nationalmannschaft/spieler/840836/verein_id/4311
13/10/25,10,home,4311,13675,3:0,,WMQ2,in squad,0,0,0,13/10/25 | WMQ2 | club:4311 | opponent:13675 | 3:0 | in squad,False,False,False,,False,h_lio_varela__cpv,Helio Varela,CPV,FWD,840836,https://www.transfermarkt.de/helio-varela/nationalmannschaft/spieler/840836/verein_id/4311
08/10/25,9,away,4311,6602,3:3,,WMQ2,not in squad,0,0,0,08/10/25 | WMQ2 | club:4311 | opponent:6602 | 3:3 | not in squad,True,False,False,,False,h_lio_varela__cpv,Helio Varela,CPV,FWD,840836,https://www.transfermarkt.de/helio-varela/nationalmannschaft/spieler/840836/verein_id/4311
09/09/25,8,home,4311,3434,1:0,,WMQ2,played,0,0,0,09/09/25 | WMQ2 | club:4311 | opponent:3434 | 1:0 | played | 24',False,False,True,24.0,False,h_lio_varela__cpv,Helio Varela,CPV,FWD,840836,https://www.transfermarkt.de/helio-varela/nationalmannschaft/spieler/840836/verein_id/4311
04/09/25,7,away,4311,14239,2:0,,WMQ2,played,0,0,0,04/09/25 | WMQ2 | club:4311 | opponent:14239 | 2:0 | played | 21',False,False,True,21.0,False,h_lio_varela__cpv,Helio Varela,CPV,FWD,840836,https://www.transfermarkt.de/helio-varela/nationalmannschaft/spieler/840836/verein_id/4311
08/06/25,51,away,4311,3669,1:1,,FS,not in squad,0,0,0,08/06/25 | FS | club:4311 | opponent:3669 | 1:1 | not in squad,True,False,False,,False,h_lio_varela__cpv,Helio Varela,CPV,FWD,840836,https://www.transfermarkt.de/helio-varela/nationalmannschaft/spieler/840836/verein_id/4311
