date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
30/05/26,8,away,32364,3380,1:4,,FS,played,0,0,0,30/05/26 | FS | club:32364 | opponent:3380 | 1:4 | played | 29',False,False,True,29.0,False,jeremy_antonisse__cuw,Jeremy Antonisse,CUW,FWD,594273,https://www.transfermarkt.de/jeremy-antonisse/nationalmannschaft/spieler/594273/verein_id/32364
31/03/26,32,away,32364,3433,1:5,11,FS,played,0,0,0,31/03/26 | FS | club:32364 | opponent:3433 | 1:5 | played | 45',False,False,True,45.0,True,jeremy_antonisse__cuw,Jeremy Antonisse,CUW,FWD,594273,https://www.transfermarkt.de/jeremy-antonisse/nationalmannschaft/spieler/594273/verein_id/32364
27/03/26,7,away,32364,5598,0:2,,FS,played,0,0,1,27/03/26 | FS | club:32364 | opponent:5598 | 0:2 | played | 45',False,False,True,45.0,False,jeremy_antonisse__cuw,Jeremy Antonisse,CUW,FWD,594273,https://www.transfermarkt.de/jeremy-antonisse/nationalmannschaft/spieler/594273/verein_id/32364
19/11/25,14,away,32364,3671,0:0,,WMQ3,played,0,0,1,19/11/25 | WMQ3 | club:32364 | opponent:3671 | 0:0 | played | 21',False,False,True,21.0,False,jeremy_antonisse__cuw,Jeremy Antonisse,CUW,FWD,594273,https://www.transfermarkt.de/jeremy-antonisse/nationalmannschaft/spieler/594273/verein_id/32364
13/11/25,13,away,32364,15735,7:0,,WMQ3,played,0,1,0,13/11/25 | WMQ3 | club:32364 | opponent:15735 | 7:0 | played | 25',False,False,True,25.0,False,jeremy_antonisse__cuw,Jeremy Antonisse,CUW,FWD,594273,https://www.transfermarkt.de/jeremy-antonisse/nationalmannschaft/spieler/594273/verein_id/32364
14/10/25,12,home,32364,7149,1:1,11,WMQ3,played,0,0,0,14/10/25 | WMQ3 | club:32364 | opponent:7149 | 1:1 | played | 45',False,False,True,45.0,True,jeremy_antonisse__cuw,Jeremy Antonisse,CUW,FWD,594273,https://www.transfermarkt.de/jeremy-antonisse/nationalmannschaft/spieler/594273/verein_id/32364
10/10/25,11,home,32364,3671,2:0,,WMQ3,in squad,0,0,0,10/10/25 | WMQ3 | club:32364 | opponent:3671 | 2:0 | in squad,False,False,False,,False,jeremy_antonisse__cuw,Jeremy Antonisse,CUW,FWD,594273,https://www.transfermarkt.de/jeremy-antonisse/nationalmannschaft/spieler/594273/verein_id/32364
10/09/25,10,home,32364,15735,3:2,11,WMQ3,played,0,0,0,10/09/25 | WMQ3 | club:32364 | opponent:15735 | 3:2 | played | 79',False,False,True,79.0,True,jeremy_antonisse__cuw,Jeremy Antonisse,CUW,FWD,594273,https://www.transfermarkt.de/jeremy-antonisse/nationalmannschaft/spieler/594273/verein_id/32364
06/09/25,9,away,32364,7149,0:0,11,WMQ3,played,0,0,0,06/09/25 | WMQ3 | club:32364 | opponent:7149 | 0:0 | played | 86',False,False,True,86.0,True,jeremy_antonisse__cuw,Jeremy Antonisse,CUW,FWD,594273,https://www.transfermarkt.de/jeremy-antonisse/nationalmannschaft/spieler/594273/verein_id/32364
25/06/25,3,away,32364,3590,1:2,10,GOCU,played,0,0,1,25/06/25 | GOCU | club:32364 | opponent:3590 | 1:2 | played | 90',False,False,True,90.0,True,jeremy_antonisse__cuw,Jeremy Antonisse,CUW,FWD,594273,https://www.transfermarkt.de/jeremy-antonisse/nationalmannschaft/spieler/594273/verein_id/32364
