date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
06/06/26,6,away,9171,3299,0:1,,FS,played,0,0,0,06/06/26 | FS | club:9171 | opponent:3299 | 0:1 | played | 29',False,False,True,29.0,False,jesse_randall__nzl,Jesse Randall,NZL,FWD,677509,https://www.transfermarkt.de/jesse-randall/nationalmannschaft/spieler/677509/verein_id/9171
03/06/26,18,away,9171,14161,0:4,11,FS,played,0,0,0,03/06/26 | FS | club:9171 | opponent:14161 | 0:4 | played | 64',False,False,True,64.0,True,jesse_randall__nzl,Jesse Randall,NZL,FWD,677509,https://www.transfermarkt.de/jesse-randall/nationalmannschaft/spieler/677509/verein_id/9171
30/03/26,14,home,9171,3700,4:1,11,FS,played,1,0,0,30/03/26 | FS | club:9171 | opponent:3700 | 4:1 | played | 77',False,False,True,77.0,True,jesse_randall__nzl,Jesse Randall,NZL,FWD,677509,https://www.transfermarkt.de/jesse-randall/nationalmannschaft/spieler/677509/verein_id/9171
27/03/26,50,home,9171,3443,0:2,,FS,played,0,0,0,27/03/26 | FS | club:9171 | opponent:3443 | 0:2 | played | 45',False,False,True,45.0,False,jesse_randall__nzl,Jesse Randall,NZL,FWD,677509,https://www.transfermarkt.de/jesse-randall/nationalmannschaft/spieler/677509/verein_id/9171
19/11/25,6,away,9171,5750,0:2,,FS,played,0,0,0,19/11/25 | FS | club:9171 | opponent:5750 | 0:2 | played | 9',False,False,True,9.0,False,jesse_randall__nzl,Jesse Randall,NZL,FWD,677509,https://www.transfermarkt.de/jesse-randall/nationalmannschaft/spieler/677509/verein_id/9171
16/11/25,6,away,9171,3816,1:2,14,FS,played,0,0,0,16/11/25 | FS | club:9171 | opponent:3816 | 1:2 | played | 16',False,False,True,16.0,False,jesse_randall__nzl,Jesse Randall,NZL,FWD,677509,https://www.transfermarkt.de/jesse-randall/nationalmannschaft/spieler/677509/verein_id/9171
14/10/25,4,away,9171,3440,1:1,,FS,not in squad,0,0,0,14/10/25 | FS | club:9171 | opponent:3440 | 1:1 | not in squad,True,False,False,,False,jesse_randall__nzl,Jesse Randall,NZL,FWD,677509,https://www.transfermarkt.de/jesse-randall/nationalmannschaft/spieler/677509/verein_id/9171
09/10/25,45,away,9171,3442,0:1,,FS,not in squad,0,0,0,09/10/25 | FS | club:9171 | opponent:3442 | 0:1 | not in squad,True,False,False,,False,jesse_randall__nzl,Jesse Randall,NZL,FWD,677509,https://www.transfermarkt.de/jesse-randall/nationalmannschaft/spieler/677509/verein_id/9171
09/09/25,2,home,9171,3433,1:3,,FS,played,0,0,0,09/09/25 | FS | club:9171 | opponent:3433 | 1:3 | played | 23',False,False,True,23.0,False,jesse_randall__nzl,Jesse Randall,NZL,FWD,677509,https://www.transfermarkt.de/jesse-randall/nationalmannschaft/spieler/677509/verein_id/9171
05/09/25,1,away,9171,3433,0:1,,FS,in squad,0,0,0,05/09/25 | FS | club:9171 | opponent:3433 | 0:1 | in squad,False,False,False,,False,jesse_randall__nzl,Jesse Randall,NZL,FWD,677509,https://www.transfermarkt.de/jesse-randall/nationalmannschaft/spieler/677509/verein_id/9171
