date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
31/03/26,17,home,3437,3703,5:0,14,FS,played,1,0,0,31/03/26 | FS | club:3437 | opponent:3703 | 5:0 | played | 70',False,False,True,70.0,True,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
27/03/26,45,home,3437,14238,2:1,14,FS,played,0,0,0,27/03/26 | FS | club:3437 | opponent:14238 | 2:1 | played | 45',False,False,True,45.0,True,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
27/03/26,1,away,3437,3375,0:0,,AFT,not in squad,0,0,0,27/03/26 | AFT | club:3437 | opponent:3375 | 0:0 | not in squad,True,False,False,,False,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
14/11/25,5,away,3437,3585,2:0,,FS,not in squad,0,0,0,14/11/25 | FS | club:3437 | opponent:3585 | 2:0 | not in squad,True,False,False,,False,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
15/10/25,4,away,3437,17759,6:0,,FS,in squad,0,0,0,15/10/25 | FS | club:3437 | opponent:17759 | 6:0 | in squad,False,False,False,,False,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
11/10/25,1,away,3437,3504,1:0,14,FS,played,0,0,0,11/10/25 | FS | club:3437 | opponent:3504 | 1:0 | played | 78',False,False,True,78.0,True,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
09/09/25,18,away,3437,5750,0:1,,WMQ4,played,0,0,0,09/09/25 | WMQ4 | club:3437 | opponent:5750 | 0:1 | played | 27',False,False,True,27.0,False,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
04/09/25,17,home,3437,3504,3:0,14,WMQ4,played,0,1,0,04/09/25 | WMQ4 | club:3437 | opponent:3504 | 3:0 | played | 74',False,False,True,74.0,True,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
11/06/25,16,home,3437,3816,1:1,14,WMQ4,played,0,0,0,11/06/25 | WMQ4 | club:3437 | opponent:3816 | 1:1 | played | 90',False,False,True,90.0,True,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
06/06/25,15,away,3437,3700,1:0,14,WMQ4,played,1,0,0,06/06/25 | WMQ4 | club:3437 | opponent:3700 | 1:0 | played | 80',False,False,True,80.0,True,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
26/03/25,14,home,3437,3439,4:1,14,WMQ4,played,1,0,0,26/03/25 | WMQ4 | club:3437 | opponent:3439 | 4:1 | played | 82',False,False,True,82.0,True,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
21/03/25,13,away,3437,3449,1:0,14,WMQ4,played,0,1,1,21/03/25 | WMQ4 | club:3437 | opponent:3449 | 1:0 | played | 90',False,False,True,90.0,True,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
20/11/24,12,home,3437,3584,1:0,11,WMQ4,played,0,0,0,20/11/24 | WMQ4 | club:3437 | opponent:3584 | 1:0 | played | 90',False,False,True,90.0,True,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
14/11/24,11,away,3437,3581,1:2,11,WMQ4,played,0,0,0,14/11/24 | WMQ4 | club:3437 | opponent:3581 | 1:2 | played | 86',False,False,True,86.0,True,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
16/10/24,10,home,3437,5233,6:0,11,WMQ4,played,1,0,0,16/10/24 | WMQ4 | club:3437 | opponent:5233 | 6:0 | played | 65',False,False,True,65.0,True,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
10/10/24,9,away,3437,3504,1:1,14,WMQ4,played,0,0,0,10/10/24 | WMQ4 | club:3437 | opponent:3504 | 1:1 | played | 85',False,False,True,85.0,True,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
10/09/24,8,away,3437,3816,1:2,14,WMQ4,played,0,0,0,10/09/24 | WMQ4 | club:3437 | opponent:3816 | 1:2 | played | 90',False,False,True,90.0,True,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
06/09/24,7,home,3437,3700,3:0,14,WMQ4,played,1,1,0,06/09/24 | WMQ4 | club:3437 | opponent:3700 | 3:0 | played | 89',False,False,True,89.0,True,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
15/07/24,7,away,3437,3816,1:0,14,COPA,played,0,0,0,15/07/24 | COPA | club:3437 | opponent:3816 | 1:0 | played | 97',False,False,True,97.0,True,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
10/07/24,5,away,3437,3510,2:0,14,COPA,played,1,0,0,10/07/24 | COPA | club:3437 | opponent:3510 | 2:0 | played | 78',False,False,True,78.0,True,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
05/07/24,4,away,3437,5750,5:3,14,COPA,played,0,0,0,05/07/24 | COPA | club:3437 | opponent:5750 | 5:3 | played | 25',False,False,True,25.0,False,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
30/06/24,3,away,3437,3584,2:0,,COPA,in squad,0,0,0,30/06/24 | COPA | club:3437 | opponent:3584 | 2:0 | in squad,False,False,False,,False,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
26/06/24,2,away,3437,3700,1:0,14,COPA,played,0,0,0,26/06/24 | COPA | club:3437 | opponent:3700 | 1:0 | played | 73',False,False,True,73.0,True,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
21/06/24,1,away,3437,3510,2:0,14,COPA,played,1,0,0,21/06/24 | COPA | club:3437 | opponent:3510 | 2:0 | played | 76',False,False,True,76.0,True,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
15/06/24,11,away,3437,13342,4:1,14,FS,played,0,0,0,15/06/24 | FS | club:3437 | opponent:13342 | 4:1 | played | 23',False,False,True,23.0,False,juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,576024,https://www.transfermarkt.de/julian-alvarez/nationalmannschaft/spieler/576024/verein_id/3437
