date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
19/10/25,8,away,11940,37630,0:2,9,20WC,played,0,0,0,19/10/25 | 20WC | club:11940 | opponent:37630 | 0:2 | played | 90',False,False,True,90.0,True,julio_soler__arg,Julio Soler,ARG,DEF,1009658,https://www.transfermarkt.de/julio-soler/nationalmannschaft/spieler/1009658/verein_id/11940
15/10/25,6,away,11940,28266,1:0,9,20WC,played,0,0,0,15/10/25 | 20WC | club:11940 | opponent:28266 | 1:0 | played | 90',False,False,True,90.0,True,julio_soler__arg,Julio Soler,ARG,DEF,1009658,https://www.transfermarkt.de/julio-soler/nationalmannschaft/spieler/1009658/verein_id/11940
11/10/25,5,away,11940,26092,2:0,9,20WC,played,0,0,0,11/10/25 | 20WC | club:11940 | opponent:26092 | 2:0 | played | 90',False,False,True,90.0,True,julio_soler__arg,Julio Soler,ARG,DEF,1009658,https://www.transfermarkt.de/julio-soler/nationalmannschaft/spieler/1009658/verein_id/11940
08/10/25,4,away,11940,22981,4:0,4,20WC,played,0,0,0,08/10/25 | 20WC | club:11940 | opponent:22981 | 4:0 | played | 90',False,False,True,90.0,True,julio_soler__arg,Julio Soler,ARG,DEF,1009658,https://www.transfermarkt.de/julio-soler/nationalmannschaft/spieler/1009658/verein_id/11940
04/10/25,3,away,11940,21100,1:0,4,20WC,played,0,0,1,04/10/25 | 20WC | club:11940 | opponent:21100 | 1:0 | played | 90',False,False,True,90.0,True,julio_soler__arg,Julio Soler,ARG,DEF,1009658,https://www.transfermarkt.de/julio-soler/nationalmannschaft/spieler/1009658/verein_id/11940
01/10/25,2,away,11940,22976,4:1,9,20WC,played,0,0,0,01/10/25 | 20WC | club:11940 | opponent:22976 | 4:1 | played | 84',False,False,True,84.0,True,julio_soler__arg,Julio Soler,ARG,DEF,1009658,https://www.transfermarkt.de/julio-soler/nationalmannschaft/spieler/1009658/verein_id/11940
28/09/25,1,away,11940,32703,3:1,,20WC,in squad,0,0,0,28/09/25 | 20WC | club:11940 | opponent:32703 | 3:1 | in squad,False,False,False,,False,julio_soler__arg,Julio Soler,ARG,DEF,1009658,https://www.transfermarkt.de/julio-soler/nationalmannschaft/spieler/1009658/verein_id/11940
17/02/25,10,away,11940,22982,2:3,,2SAM,absent,0,0,0,17/02/25 | 2SAM | club:11940 | opponent:22982 | 2:3 | absent,True,False,False,,False,julio_soler__arg,Julio Soler,ARG,DEF,1009658,https://www.transfermarkt.de/julio-soler/nationalmannschaft/spieler/1009658/verein_id/11940
14/02/25,9,away,11940,7658,1:1,4,2SAM,played,0,0,1,14/02/25 | 2SAM | club:11940 | opponent:7658 | 1:1 | played | 90',False,False,True,90.0,True,julio_soler__arg,Julio Soler,ARG,DEF,1009658,https://www.transfermarkt.de/julio-soler/nationalmannschaft/spieler/1009658/verein_id/11940
10/02/25,8,away,11940,28266,1:0,9,2SAM,played,0,0,0,10/02/25 | 2SAM | club:11940 | opponent:28266 | 1:0 | played | 90',False,False,True,90.0,True,julio_soler__arg,Julio Soler,ARG,DEF,1009658,https://www.transfermarkt.de/julio-soler/nationalmannschaft/spieler/1009658/verein_id/11940
07/02/25,7,away,11940,22989,4:3,4,2SAM,played,0,0,1,07/02/25 | 2SAM | club:11940 | opponent:22989 | 4:3 | played | 75',False,False,True,75.0,True,julio_soler__arg,Julio Soler,ARG,DEF,1009658,https://www.transfermarkt.de/julio-soler/nationalmannschaft/spieler/1009658/verein_id/11940
04/02/25,6,away,11940,23657,2:1,4,2SAM,played,0,0,0,04/02/25 | 2SAM | club:11940 | opponent:23657 | 2:1 | played | 90',False,False,True,90.0,True,julio_soler__arg,Julio Soler,ARG,DEF,1009658,https://www.transfermarkt.de/julio-soler/nationalmannschaft/spieler/1009658/verein_id/11940
01/02/25,5,away,11940,31463,0:0,4,2SAM,played,0,0,0,01/02/25 | 2SAM | club:11940 | opponent:31463 | 0:0 | played | 45',False,False,True,45.0,True,julio_soler__arg,Julio Soler,ARG,DEF,1009658,https://www.transfermarkt.de/julio-soler/nationalmannschaft/spieler/1009658/verein_id/11940
28/01/25,3,away,11940,29702,1:0,,2SAM,in squad,0,0,0,28/01/25 | 2SAM | club:11940 | opponent:29702 | 1:0 | in squad,False,False,False,,False,julio_soler__arg,Julio Soler,ARG,DEF,1009658,https://www.transfermarkt.de/julio-soler/nationalmannschaft/spieler/1009658/verein_id/11940
