date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
28/05/26,5,away,14162,3509,0:1,,FS,played,0,0,0,28/05/26 | FS | club:14162 | opponent:3509 | 0:1 | played | 12',False,False,True,12.0,False,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
07/12/25,3,home,14162,3670,0:3,3,ARCP,played,0,0,0,07/12/25 | ARCP | club:14162 | opponent:3670 | 0:3 | played | 90',False,False,True,90.0,True,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
04/12/25,2,home,14162,13674,1:1,,ARCP,played,0,0,0,04/12/25 | ARCP | club:14162 | opponent:13674 | 1:1 | played | 1',False,False,True,1.0,False,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
01/12/25,1,home,14162,17758,0:1,3,ARCP,played,0,0,0,01/12/25 | ARCP | club:14162 | opponent:17758 | 0:1 | played | 90',False,False,True,90.0,True,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
17/11/25,10,home,14162,3583,1:2,,FS,played,0,0,0,17/11/25 | FS | club:14162 | opponent:3583 | 1:2 | played | 45',False,False,True,45.0,False,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
14/10/25,3,home,14162,5147,2:1,,WMQ1,played,0,0,0,14/10/25 | WMQ1 | club:14162 | opponent:5147 | 2:1 | played | 28',False,False,True,28.0,False,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
08/10/25,1,home,14162,14165,0:0,,WMQ1,played,0,0,0,08/10/25 | WMQ1 | club:14162 | opponent:14165 | 0:0 | played | 26',False,False,True,26.0,False,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
07/09/25,2,home,14162,3448,1:4,,FS,not in squad,0,0,0,07/09/25 | FS | club:14162 | opponent:3448 | 1:4 | not in squad,True,False,False,,False,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
03/09/25,1,home,14162,7214,2:2,,FS,not in squad,0,0,0,03/09/25 | FS | club:14162 | opponent:7214 | 2:2 | not in squad,True,False,False,,False,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
10/06/25,18,away,14162,3563,0:3,,WMQ1,injured,0,0,0,10/06/25 | WMQ1 | club:14162 | opponent:3563 | 0:3 | injured,True,False,False,,False,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
05/06/25,17,home,14162,3582,1:0,,WMQ1,injured,0,0,0,05/06/25 | WMQ1 | club:14162 | opponent:3582 | 1:0 | injured,True,False,False,,False,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
25/03/25,16,away,14162,3956,1:3,3,WMQ1,played,1,0,0,25/03/25 | WMQ1 | club:14162 | opponent:3956 | 1:3 | played | 55',False,False,True,55.0,True,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
20/03/25,15,home,14162,15457,5:1,3,WMQ1,played,0,0,0,20/03/25 | WMQ1 | club:14162 | opponent:15457 | 5:1 | played | 62',False,False,True,62.0,True,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
27/12/24,3,away,14162,3432,1:1,3,AGUC,played,0,0,0,27/12/24 | AGUC | club:14162 | opponent:3432 | 1:1 | played | 90',False,False,True,90.0,True,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
24/12/24,2,away,14162,14165,1:2,3,AGUC,played,0,0,0,24/12/24 | AGUC | club:14162 | opponent:14165 | 1:2 | played | 90',False,False,True,90.0,True,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
21/12/24,1,away,14162,5147,1:1,,AGUC,not in squad,0,0,0,21/12/24 | AGUC | club:14162 | opponent:5147 | 1:1 | not in squad,True,False,False,,False,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
19/11/24,14,away,14162,5147,0:5,3,WMQ1,played,0,0,0,19/11/24 | WMQ1 | club:14162 | opponent:5147 | 0:5 | played | 90',False,False,True,90.0,True,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
14/11/24,13,home,14162,3563,3:2,3,WMQ1,played,1,0,0,14/11/24 | WMQ1 | club:14162 | opponent:3563 | 3:2 | played | 90',False,False,True,90.0,True,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
15/10/24,12,away,14162,3582,1:4,3,WMQ1,played,0,1,0,15/10/24 | WMQ1 | club:14162 | opponent:3582 | 1:4 | played | 90',False,False,True,90.0,True,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
10/10/24,11,home,14162,3956,3:1,3,WMQ1,played,0,0,0,10/10/24 | WMQ1 | club:14162 | opponent:3956 | 3:1 | played | 90',False,False,True,90.0,True,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
10/09/24,10,away,14162,15457,2:2,3,WMQ1,played,0,0,0,10/09/24 | WMQ1 | club:14162 | opponent:15457 | 2:2 | played | 90',False,False,True,90.0,True,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
05/09/24,9,home,14162,5147,1:3,3,WMQ1,played,0,0,0,05/09/24 | WMQ1 | club:14162 | opponent:5147 | 1:3 | played | 90',False,False,True,90.0,True,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
11/06/24,8,home,14162,13957,2:1,,WMQ1,not in squad,0,0,0,11/06/24 | WMQ1 | club:14162 | opponent:13957 | 2:1 | not in squad,True,False,False,,False,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
06/06/24,7,away,14162,3576,0:0,,WMQ1,not in squad,0,0,0,06/06/24 | WMQ1 | club:14162 | opponent:3576 | 0:0 | not in squad,True,False,False,,False,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
26/03/24,6,away,14162,3432,2:1,3,WMQ1,played,0,0,0,26/03/24 | WMQ1 | club:14162 | opponent:3432 | 2:1 | played | 90',False,False,True,90.0,True,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
21/03/24,5,home,14162,3432,3:0,3,WMQ1,played,0,0,0,21/03/24 | WMQ1 | club:14162 | opponent:3432 | 3:0 | played | 90',False,False,True,90.0,True,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
10/02/24,7,home,14162,15737,3:1,3,AFAC,played,0,0,0,10/02/24 | AFAC | club:14162 | opponent:15737 | 3:1 | played | 90',False,False,True,90.0,True,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
07/02/24,6,home,14162,3582,3:2,3,AFAC,played,0,0,0,07/02/24 | AFAC | club:14162 | opponent:3582 | 3:2 | played | 90',False,False,True,90.0,True,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
03/02/24,5,home,14162,3563,4:3,3,AFAC,played,0,0,0,03/02/24 | AFAC | club:14162 | opponent:3563 | 4:3 | played | 120',False,False,True,120.0,True,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
29/01/24,4,home,14162,17758,2:1,3,AFAC,played,0,0,0,29/01/24 | AFAC | club:14162 | opponent:17758 | 2:1 | played | 90',False,False,True,90.0,True,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
22/01/24,3,home,14162,5598,1:0,,AFAC,in squad,0,0,0,22/01/24 | AFAC | club:14162 | opponent:5598 | 1:0 | in squad,False,False,False,,False,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
17/01/24,2,home,14162,13975,1:0,3,AFAC,played,0,0,0,17/01/24 | AFAC | club:14162 | opponent:13975 | 1:0 | played | 90',False,False,True,90.0,True,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
12/01/24,1,home,14162,3586,3:0,3,AFAC,played,0,0,0,12/01/24 | AFAC | club:14162 | opponent:3586 | 3:0 | played | 90',False,False,True,90.0,True,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
21/11/23,4,away,14162,13957,3:0,3,WMQ1,played,0,0,0,21/11/23 | WMQ1 | club:14162 | opponent:13957 | 3:0 | played | 90',False,False,True,90.0,True,lucas_mendes__qat,Lucas Mendes,QAT,DEF,83983,https://www.transfermarkt.de/lucas-mendes/nationalmannschaft/spieler/83983/verein_id/14162
