date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
06/06/26,10,neutral,3381,3504,2:1,5,FS,played,0,0,0,06/06/26 | FS | club:3381 | opponent:3504 | 2:1 | played | 28',False,False,True,28.0,False,mert_m_ld_r__tur,Mert Müldür,TUR,DEF,353922,https://www.transfermarkt.de/mert-muldur/nationalmannschaft/spieler/353922/verein_id/3381
01/06/26,52,home,3381,5148,4:0,3,FS,played,0,0,0,01/06/26 | FS | club:3381 | opponent:5148 | 4:0 | played | 88',False,False,True,88.0,True,mert_m_ld_r__tur,Mert Müldür,TUR,DEF,353922,https://www.transfermarkt.de/mert-muldur/nationalmannschaft/spieler/353922/verein_id/3381
31/03/26,2,away,3381,53982,1:0,5,POWM,played,0,0,0,31/03/26 | POWM | club:3381 | opponent:53982 | 1:0 | played | 1',False,False,True,1.0,False,mert_m_ld_r__tur,Mert Müldür,TUR,DEF,353922,https://www.transfermarkt.de/mert-muldur/nationalmannschaft/spieler/353922/verein_id/3381
26/03/26,1,home,3381,3447,1:0,5,POWM,played,0,0,0,26/03/26 | POWM | club:3381 | opponent:3447 | 1:0 | played | 90',False,False,True,90.0,True,mert_m_ld_r__tur,Mert Müldür,TUR,DEF,353922,https://www.transfermarkt.de/mert-muldur/nationalmannschaft/spieler/353922/verein_id/3381
18/11/25,10,away,3381,3375,2:2,4,WMQ6,played,0,0,0,18/11/25 | WMQ6 | club:3381 | opponent:3375 | 2:2 | played | 21',False,False,True,21.0,False,mert_m_ld_r__tur,Mert Müldür,TUR,DEF,353922,https://www.transfermarkt.de/mert-muldur/nationalmannschaft/spieler/353922/verein_id/3381
15/11/25,9,home,3381,3394,2:0,4,WMQ6,played,0,0,0,15/11/25 | WMQ6 | club:3381 | opponent:3394 | 2:0 | played | 29',False,False,True,29.0,False,mert_m_ld_r__tur,Mert Müldür,TUR,DEF,353922,https://www.transfermarkt.de/mert-muldur/nationalmannschaft/spieler/353922/verein_id/3381
14/10/25,8,home,3381,3669,4:1,5,WMQ6,played,0,0,0,14/10/25 | WMQ6 | club:3381 | opponent:3669 | 4:1 | played | 90',False,False,True,90.0,True,mert_m_ld_r__tur,Mert Müldür,TUR,DEF,353922,https://www.transfermarkt.de/mert-muldur/nationalmannschaft/spieler/353922/verein_id/3381
11/10/25,7,away,3381,3394,6:1,,WMQ6,in squad,0,0,0,11/10/25 | WMQ6 | club:3381 | opponent:3394 | 6:1 | in squad,False,False,False,,False,mert_m_ld_r__tur,Mert Müldür,TUR,DEF,353922,https://www.transfermarkt.de/mert-muldur/nationalmannschaft/spieler/353922/verein_id/3381
07/09/25,6,home,3381,3375,0:6,5,WMQ6,played,0,0,0,07/09/25 | WMQ6 | club:3381 | opponent:3375 | 0:6 | played | 63',False,False,True,63.0,True,mert_m_ld_r__tur,Mert Müldür,TUR,DEF,353922,https://www.transfermarkt.de/mert-muldur/nationalmannschaft/spieler/353922/verein_id/3381
04/09/25,5,away,3381,3669,3:2,5,WMQ6,played,1,0,0,04/09/25 | WMQ6 | club:3381 | opponent:3669 | 3:2 | played | 90',False,False,True,90.0,True,mert_m_ld_r__tur,Mert Müldür,TUR,DEF,353922,https://www.transfermarkt.de/mert-muldur/nationalmannschaft/spieler/353922/verein_id/3381
