date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
06/06/26,6,away,3672,3439,1:2,,FS,played,0,0,0,06/06/26 | FS | club:3672 | opponent:3439 | 1:2 | played | 45',False,False,True,45.0,False,mohamed_salah__egy,Mohamed Salah,EGY,FWD,148455,https://www.transfermarkt.de/mohamed-salah/nationalmannschaft/spieler/148455/verein_id/3672
28/05/26,10,home,3672,3448,1:0,,FS,not in squad,0,0,0,28/05/26 | FS | club:3672 | opponent:3448 | 1:0 | not in squad,True,False,False,,False,mohamed_salah__egy,Mohamed Salah,EGY,FWD,148455,https://www.transfermarkt.de/mohamed-salah/nationalmannschaft/spieler/148455/verein_id/3672
31/03/26,13,away,3672,3375,0:0,,FS,injured,0,0,0,31/03/26 | FS | club:3672 | opponent:3375 | 0:0 | injured,True,False,False,,False,mohamed_salah__egy,Mohamed Salah,EGY,FWD,148455,https://www.transfermarkt.de/mohamed-salah/nationalmannschaft/spieler/148455/verein_id/3672
27/03/26,42,away,3672,3807,4:0,,FS,injured,0,0,0,27/03/26 | FS | club:3672 | opponent:3807 | 4:0 | injured,True,False,False,,False,mohamed_salah__egy,Mohamed Salah,EGY,FWD,148455,https://www.transfermarkt.de/mohamed-salah/nationalmannschaft/spieler/148455/verein_id/3672
17/01/26,7,away,3672,3444,2:4,12,AFCN,played,0,0,0,17/01/26 | AFCN | club:3672 | opponent:3444 | 2:4 | played | 90',False,False,True,90.0,True,mohamed_salah__egy,Mohamed Salah,EGY,FWD,148455,https://www.transfermarkt.de/mohamed-salah/nationalmannschaft/spieler/148455/verein_id/3672
14/01/26,6,away,3672,3499,0:1,14,AFCN,played,0,0,0,14/01/26 | AFCN | club:3672 | opponent:3499 | 0:1 | played | 90',False,False,True,90.0,True,mohamed_salah__egy,Mohamed Salah,EGY,FWD,148455,https://www.transfermarkt.de/mohamed-salah/nationalmannschaft/spieler/148455/verein_id/3672
10/01/26,5,away,3672,3591,3:2,14,AFCN,played,1,1,0,10/01/26 | AFCN | club:3672 | opponent:3591 | 3:2 | played | 90',False,False,True,90.0,True,mohamed_salah__egy,Mohamed Salah,EGY,FWD,148455,https://www.transfermarkt.de/mohamed-salah/nationalmannschaft/spieler/148455/verein_id/3672
05/01/26,4,away,3672,3955,3:1,14,AFCN,played,1,0,0,05/01/26 | AFCN | club:3672 | opponent:3955 | 3:1 | played | 120',False,False,True,120.0,True,mohamed_salah__egy,Mohamed Salah,EGY,FWD,148455,https://www.transfermarkt.de/mohamed-salah/nationalmannschaft/spieler/148455/verein_id/3672
29/12/25,3,away,3672,3585,0:0,,AFCN,in squad,0,0,0,29/12/25 | AFCN | club:3672 | opponent:3585 | 0:0 | in squad,False,False,False,,False,mohamed_salah__egy,Mohamed Salah,EGY,FWD,148455,https://www.transfermarkt.de/mohamed-salah/nationalmannschaft/spieler/148455/verein_id/3672
26/12/25,2,away,3672,3806,1:0,13,AFCN,played,1,0,0,26/12/25 | AFCN | club:3672 | opponent:3806 | 1:0 | played | 90',False,False,True,90.0,True,mohamed_salah__egy,Mohamed Salah,EGY,FWD,148455,https://www.transfermarkt.de/mohamed-salah/nationalmannschaft/spieler/148455/verein_id/3672
