date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
18/12/25,6,home,3807,5147,0:0,3,ARCP,played,0,0,0,18/12/25 | ARCP | club:3807 | opponent:5147 | 0:0 | played | 45',False,False,True,45.0,True,mohammed_sulaiman__ksa,Mohammed Sulaiman,KSA,DEF,1020859,https://www.transfermarkt.de/mohammed-sulaiman/nationalmannschaft/spieler/1020859/verein_id/3807
15/12/25,5,away,3807,15737,0:1,,ARCP,in squad,0,0,0,15/12/25 | ARCP | club:3807 | opponent:15737 | 0:1 | in squad,False,False,False,,False,mohammed_sulaiman__ksa,Mohammed Sulaiman,KSA,DEF,1020859,https://www.transfermarkt.de/mohammed-sulaiman/nationalmannschaft/spieler/1020859/verein_id/3807
11/12/25,4,away,3807,17758,2:1,,ARCP,in squad,0,0,0,11/12/25 | ARCP | club:3807 | opponent:17758 | 2:1 | in squad,False,False,False,,False,mohammed_sulaiman__ksa,Mohammed Sulaiman,KSA,DEF,1020859,https://www.transfermarkt.de/mohammed-sulaiman/nationalmannschaft/spieler/1020859/verein_id/3807
08/12/25,3,away,3807,3575,0:1,3,ARCP,played,0,0,0,08/12/25 | ARCP | club:3807 | opponent:3575 | 0:1 | played | 61',False,False,True,61.0,True,mohammed_sulaiman__ksa,Mohammed Sulaiman,KSA,DEF,1020859,https://www.transfermarkt.de/mohammed-sulaiman/nationalmannschaft/spieler/1020859/verein_id/3807
05/12/25,2,away,3807,16430,3:1,,ARCP,in squad,0,0,0,05/12/25 | ARCP | club:3807 | opponent:16430 | 3:1 | in squad,False,False,False,,False,mohammed_sulaiman__ksa,Mohammed Sulaiman,KSA,DEF,1020859,https://www.transfermarkt.de/mohammed-sulaiman/nationalmannschaft/spieler/1020859/verein_id/3807
02/12/25,1,neutral,3807,14165,2:1,,ARCP,in squad,0,0,0,02/12/25 | ARCP | club:3807 | opponent:14165 | 2:1 | in squad,False,False,False,,False,mohammed_sulaiman__ksa,Mohammed Sulaiman,KSA,DEF,1020859,https://www.transfermarkt.de/mohammed-sulaiman/nationalmannschaft/spieler/1020859/verein_id/3807
18/11/25,6,home,3807,3614,0:2,3,FS,played,0,0,0,18/11/25 | FS | club:3807 | opponent:3614 | 0:2 | played | 45',False,False,True,45.0,True,mohammed_sulaiman__ksa,Mohammed Sulaiman,KSA,DEF,1020859,https://www.transfermarkt.de/mohammed-sulaiman/nationalmannschaft/spieler/1020859/verein_id/3807
14/11/25,5,home,3807,3591,1:0,,FS,played,0,0,0,14/11/25 | FS | club:3807 | opponent:3591 | 1:0 | played | 20',False,False,True,20.0,False,mohammed_sulaiman__ksa,Mohammed Sulaiman,KSA,DEF,1020859,https://www.transfermarkt.de/mohammed-sulaiman/nationalmannschaft/spieler/1020859/verein_id/3807
14/10/25,3,home,3807,3560,0:0,,WMQ1,not in squad,0,0,0,14/10/25 | WMQ1 | club:3807 | opponent:3560 | 0:0 | not in squad,True,False,False,,False,mohammed_sulaiman__ksa,Mohammed Sulaiman,KSA,DEF,1020859,https://www.transfermarkt.de/mohammed-sulaiman/nationalmannschaft/spieler/1020859/verein_id/3807
08/10/25,1,home,3807,13958,3:2,,WMQ1,in squad,0,0,0,08/10/25 | WMQ1 | club:3807 | opponent:13958 | 3:2 | in squad,False,False,False,,False,mohammed_sulaiman__ksa,Mohammed Sulaiman,KSA,DEF,1020859,https://www.transfermarkt.de/mohammed-sulaiman/nationalmannschaft/spieler/1020859/verein_id/3807
