date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
06/06/26,10,away,3670,3382,0:5,,FS,in squad,0,0,0,06/06/26 | FS | club:3670 | opponent:3382 | 0:5 | in squad,False,False,False,,False,moutaz_neffati__tun,Moutaz Neffati,TUN,DEF,1034598,https://www.transfermarkt.de/moutaz-neffati/nationalmannschaft/spieler/1034598/verein_id/3670
01/06/26,46,away,3670,3383,0:1,,FS,in squad,0,0,0,01/06/26 | FS | club:3670 | opponent:3383 | 0:1 | in squad,False,False,False,,False,moutaz_neffati__tun,Moutaz Neffati,TUN,DEF,1034598,https://www.transfermarkt.de/moutaz-neffati/nationalmannschaft/spieler/1034598/verein_id/3670
31/03/26,3,away,3670,3510,0:0,5,FS,played,0,0,0,31/03/26 | FS | club:3670 | opponent:3510 | 0:0 | played | 58',False,False,True,58.0,True,moutaz_neffati__tun,Moutaz Neffati,TUN,DEF,1034598,https://www.transfermarkt.de/moutaz-neffati/nationalmannschaft/spieler/1034598/verein_id/3670
29/03/26,7,away,3670,14161,1:0,,FS,played,0,0,0,29/03/26 | FS | club:3670 | opponent:14161 | 1:0 | played | 30',False,False,True,30.0,False,moutaz_neffati__tun,Moutaz Neffati,TUN,DEF,1034598,https://www.transfermarkt.de/moutaz-neffati/nationalmannschaft/spieler/1034598/verein_id/3670
03/01/26,4,away,3670,3674,2:3,,AFCN,not in squad,0,0,0,03/01/26 | AFCN | club:3670 | opponent:3674 | 2:3 | not in squad,True,False,False,,False,moutaz_neffati__tun,Moutaz Neffati,TUN,DEF,1034598,https://www.transfermarkt.de/moutaz-neffati/nationalmannschaft/spieler/1034598/verein_id/3670
30/12/25,3,away,3670,14666,1:1,,AFCN,not in squad,0,0,0,30/12/25 | AFCN | club:3670 | opponent:14666 | 1:1 | not in squad,True,False,False,,False,moutaz_neffati__tun,Moutaz Neffati,TUN,DEF,1034598,https://www.transfermarkt.de/moutaz-neffati/nationalmannschaft/spieler/1034598/verein_id/3670
27/12/25,2,away,3670,3444,2:3,,AFCN,not in squad,0,0,0,27/12/25 | AFCN | club:3670 | opponent:3444 | 2:3 | not in squad,True,False,False,,False,moutaz_neffati__tun,Moutaz Neffati,TUN,DEF,1034598,https://www.transfermarkt.de/moutaz-neffati/nationalmannschaft/spieler/1034598/verein_id/3670
23/12/25,1,away,3670,13497,3:1,,AFCN,not in squad,0,0,0,23/12/25 | AFCN | club:3670 | opponent:13497 | 3:1 | not in squad,True,False,False,,False,moutaz_neffati__tun,Moutaz Neffati,TUN,DEF,1034598,https://www.transfermarkt.de/moutaz-neffati/nationalmannschaft/spieler/1034598/verein_id/3670
18/12/25,20,home,3670,15229,2:1,,FS,not in squad,0,0,0,18/12/25 | FS | club:3670 | opponent:15229 | 2:1 | not in squad,True,False,False,,False,moutaz_neffati__tun,Moutaz Neffati,TUN,DEF,1034598,https://www.transfermarkt.de/moutaz-neffati/nationalmannschaft/spieler/1034598/verein_id/3670
07/12/25,3,away,3670,14162,3:0,,ARCP,in squad,0,0,0,07/12/25 | ARCP | club:3670 | opponent:14162 | 3:0 | in squad,False,False,False,,False,moutaz_neffati__tun,Moutaz Neffati,TUN,DEF,1034598,https://www.transfermarkt.de/moutaz-neffati/nationalmannschaft/spieler/1034598/verein_id/3670
04/12/25,2,away,3670,17758,2:2,,ARCP,played,0,0,0,04/12/25 | ARCP | club:3670 | opponent:17758 | 2:2 | played | 45',False,False,True,45.0,False,moutaz_neffati__tun,Moutaz Neffati,TUN,DEF,1034598,https://www.transfermarkt.de/moutaz-neffati/nationalmannschaft/spieler/1034598/verein_id/3670
01/12/25,1,neutral,3670,13674,0:1,5,ARCP,played,0,0,0,01/12/25 | ARCP | club:3670 | opponent:13674 | 0:1 | played | 90',False,False,True,90.0,True,moutaz_neffati__tun,Moutaz Neffati,TUN,DEF,1034598,https://www.transfermarkt.de/moutaz-neffati/nationalmannschaft/spieler/1034598/verein_id/3670
18/11/25,33,away,3670,3439,1:1,,FS,not in squad,0,0,0,18/11/25 | FS | club:3670 | opponent:3439 | 1:1 | not in squad,True,False,False,,False,moutaz_neffati__tun,Moutaz Neffati,TUN,DEF,1034598,https://www.transfermarkt.de/moutaz-neffati/nationalmannschaft/spieler/1034598/verein_id/3670
14/11/25,6,home,3670,15737,3:2,,FS,not in squad,0,0,0,14/11/25 | FS | club:3670 | opponent:15737 | 3:2 | not in squad,True,False,False,,False,moutaz_neffati__tun,Moutaz Neffati,TUN,DEF,1034598,https://www.transfermarkt.de/moutaz-neffati/nationalmannschaft/spieler/1034598/verein_id/3670
12/11/25,5,home,3670,14238,1:1,,FS,not in squad,0,0,0,12/11/25 | FS | club:3670 | opponent:14238 | 1:1 | not in squad,True,False,False,,False,moutaz_neffati__tun,Moutaz Neffati,TUN,DEF,1034598,https://www.transfermarkt.de/moutaz-neffati/nationalmannschaft/spieler/1034598/verein_id/3670
13/10/25,10,home,3670,3573,3:0,,WMQ2,played,0,0,0,13/10/25 | WMQ2 | club:3670 | opponent:3573 | 3:0 | played | 9',False,False,True,9.0,False,moutaz_neffati__tun,Moutaz Neffati,TUN,DEF,1034598,https://www.transfermarkt.de/moutaz-neffati/nationalmannschaft/spieler/1034598/verein_id/3670
10/10/25,9,home,3670,15236,6:0,,WMQ2,not in squad,0,0,0,10/10/25 | WMQ2 | club:3670 | opponent:15236 | 6:0 | not in squad,True,False,False,,False,moutaz_neffati__tun,Moutaz Neffati,TUN,DEF,1034598,https://www.transfermarkt.de/moutaz-neffati/nationalmannschaft/spieler/1034598/verein_id/3670
08/09/25,8,away,3670,13485,1:0,,WMQ2,in squad,0,0,0,08/09/25 | WMQ2 | club:3670 | opponent:13485 | 1:0 | in squad,False,False,False,,False,moutaz_neffati__tun,Moutaz Neffati,TUN,DEF,1034598,https://www.transfermarkt.de/moutaz-neffati/nationalmannschaft/spieler/1034598/verein_id/3670
04/09/25,7,home,3670,9172,3:0,,WMQ2,in squad,0,0,0,04/09/25 | WMQ2 | club:3670 | opponent:9172 | 3:0 | in squad,False,False,False,,False,moutaz_neffati__tun,Moutaz Neffati,TUN,DEF,1034598,https://www.transfermarkt.de/moutaz-neffati/nationalmannschaft/spieler/1034598/verein_id/3670
