date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
10/09/24,6,away,9567,22514,1:0,6,U21Q,played,0,0,0,10/09/24 | U21Q | club:9567 | opponent:22514 | 1:0 | played | 60',False,False,True,60.0,True,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
06/09/24,5,away,9567,16868,2:1,6,U21Q,played,0,0,0,06/09/24 | U21Q | club:9567 | opponent:16868 | 2:1 | played | 75',False,False,True,75.0,True,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
26/03/24,8,home,9567,9315,1:0,,U21Q,not in squad,0,0,0,26/03/24 | U21Q | club:9567 | opponent:9315 | 1:0 | not in squad,True,False,False,,False,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
21/03/24,17,home,9567,24965,0:2,,FS,not in squad,0,0,0,21/03/24 | FS | club:9567 | opponent:24965 | 0:2 | not in squad,True,False,False,,False,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
21/11/23,7,away,9567,9315,1:1,,U21Q,not in squad,0,0,0,21/11/23 | U21Q | club:9567 | opponent:9315 | 1:1 | not in squad,True,False,False,,False,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
17/11/23,4,home,9567,22514,2:0,,U21Q,not in squad,0,0,0,17/11/23 | U21Q | club:9567 | opponent:22514 | 2:0 | not in squad,True,False,False,,False,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
17/10/23,3,away,9567,24960,4:0,,U21Q,not in squad,0,0,0,17/10/23 | U21Q | club:9567 | opponent:24960 | 4:0 | not in squad,True,False,False,,False,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
13/10/23,32,away,9567,33815,0:0,,FS,not in squad,0,0,0,13/10/23 | FS | club:9567 | opponent:33815 | 0:0 | not in squad,True,False,False,,False,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
11/09/23,2,home,9567,16868,1:0,,U21Q,in squad,0,0,0,11/09/23 | U21Q | club:9567 | opponent:16868 | 1:0 | in squad,False,False,False,,False,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
08/09/23,1,away,9567,24963,6:0,,U21Q,in squad,0,0,0,08/09/23 | U21Q | club:9567 | opponent:24963 | 6:0 | in squad,False,False,False,,False,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
08/07/23,6,away,9567,9565,0:1,,21EU,not in squad,0,0,0,08/07/23 | 21EU | club:9567 | opponent:9565 | 0:1 | not in squad,True,False,False,,False,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
05/07/23,5,away,9567,16274,5:1,,21EU,not in squad,0,0,0,05/07/23 | 21EU | club:9567 | opponent:16274 | 5:1 | not in squad,True,False,False,,False,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
01/07/23,4,away,9567,9534,2:1,,21EU,not in squad,0,0,0,01/07/23 | 21EU | club:9567 | opponent:9534 | 2:1 | not in squad,True,False,False,,False,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
27/06/23,3,away,9567,16274,2:2,,21EU,not in squad,0,0,0,27/06/23 | 21EU | club:9567 | opponent:16274 | 2:2 | not in squad,True,False,False,,False,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
24/06/23,2,away,9567,11943,1:0,,21EU,not in squad,0,0,0,24/06/23 | 21EU | club:9567 | opponent:11943 | 1:0 | not in squad,True,False,False,,False,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
21/06/23,1,away,9567,16864,3:0,,21EU,not in squad,0,0,0,21/06/23 | 21EU | club:9567 | opponent:16864 | 3:0 | not in squad,True,False,False,,False,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
13/06/23,15,home,9567,16418,1:1,,FS,played,0,0,0,13/06/23 | FS | club:9567 | opponent:16418 | 1:1 | played | 18',False,False,True,18.0,False,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
28/03/23,6,away,9567,9323,0:0,,FS,played,0,0,0,28/03/23 | FS | club:9567 | opponent:9323 | 0:0 | played | 2',False,False,True,2.0,False,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
24/03/23,5,home,9567,9534,3:2,6,FS,played,0,0,0,24/03/23 | FS | club:9567 | opponent:9534 | 3:2 | played | 90',False,False,True,90.0,True,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
18/11/22,40,home,9567,29810,2:0,6,FS,played,0,0,0,18/11/22 | FS | club:9567 | opponent:29810 | 2:0 | played | 90',False,False,True,90.0,True,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
27/09/22,12,home,9567,16854,3:0,7,FS,played,0,0,0,27/09/22 | FS | club:9567 | opponent:16854 | 3:0 | played | 45',False,False,True,45.0,False,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
22/09/22,14,away,9567,16864,4:1,6,FS,played,0,0,0,22/09/22 | FS | club:9567 | opponent:16864 | 4:1 | played | 61',False,False,True,61.0,True,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
07/06/22,13,home,9567,24963,7:1,,U21Q,not in squad,0,0,0,07/06/22 | U21Q | club:9567 | opponent:24963 | 7:1 | not in squad,True,False,False,,False,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
03/06/22,12,away,9567,17621,6:0,,U21Q,not in squad,0,0,0,03/06/22 | U21Q | club:9567 | opponent:17621 | 6:0 | not in squad,True,False,False,,False,nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,466805,https://www.transfermarkt.de/nico-gonzalez/nationalmannschaft/spieler/466805/verein_id/9567
