date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
29/03/26,7,away,3377,3816,3:1,5,FS,played,0,0,0,29/03/26 | FS | club:3377 | opponent:3816 | 3:1 | played | 90',False,False,True,90.0,True,pierre_kalulu__fra,Pierre Kalulu,FRA,DEF,585949,https://www.transfermarkt.de/pierre-kalulu/nationalmannschaft/spieler/585949/verein_id/3377
26/03/26,7,away,3377,3439,2:1,5,FS,played,0,0,1,26/03/26 | FS | club:3377 | opponent:3439 | 2:1 | played | 1',False,False,True,1.0,False,pierre_kalulu__fra,Pierre Kalulu,FRA,DEF,585949,https://www.transfermarkt.de/pierre-kalulu/nationalmannschaft/spieler/585949/verein_id/3377
16/11/25,10,away,3377,8605,3:1,,WMQ6,not in squad,0,0,0,16/11/25 | WMQ6 | club:3377 | opponent:8605 | 3:1 | not in squad,True,False,False,,False,pierre_kalulu__fra,Pierre Kalulu,FRA,DEF,585949,https://www.transfermarkt.de/pierre-kalulu/nationalmannschaft/spieler/585949/verein_id/3377
13/11/25,9,home,3377,3699,4:0,,WMQ6,not in squad,0,0,0,13/11/25 | WMQ6 | club:3377 | opponent:3699 | 4:0 | not in squad,True,False,False,,False,pierre_kalulu__fra,Pierre Kalulu,FRA,DEF,585949,https://www.transfermarkt.de/pierre-kalulu/nationalmannschaft/spieler/585949/verein_id/3377
13/10/25,8,away,3377,3574,2:2,,WMQ6,not in squad,0,0,0,13/10/25 | WMQ6 | club:3377 | opponent:3574 | 2:2 | not in squad,True,False,False,,False,pierre_kalulu__fra,Pierre Kalulu,FRA,DEF,585949,https://www.transfermarkt.de/pierre-kalulu/nationalmannschaft/spieler/585949/verein_id/3377
10/10/25,7,home,3377,8605,3:0,,WMQ6,not in squad,0,0,0,10/10/25 | WMQ6 | club:3377 | opponent:8605 | 3:0 | not in squad,True,False,False,,False,pierre_kalulu__fra,Pierre Kalulu,FRA,DEF,585949,https://www.transfermarkt.de/pierre-kalulu/nationalmannschaft/spieler/585949/verein_id/3377
09/09/25,6,home,3377,3574,2:1,,WMQ6,not in squad,0,0,0,09/09/25 | WMQ6 | club:3377 | opponent:3574 | 2:1 | not in squad,True,False,False,,False,pierre_kalulu__fra,Pierre Kalulu,FRA,DEF,585949,https://www.transfermarkt.de/pierre-kalulu/nationalmannschaft/spieler/585949/verein_id/3377
05/09/25,5,away,3377,3699,2:0,,WMQ6,not in squad,0,0,0,05/09/25 | WMQ6 | club:3377 | opponent:3699 | 2:0 | not in squad,True,False,False,,False,pierre_kalulu__fra,Pierre Kalulu,FRA,DEF,585949,https://www.transfermarkt.de/pierre-kalulu/nationalmannschaft/spieler/585949/verein_id/3377
08/06/25,4,away,3377,3262,2:0,,UNFI,in squad,0,0,0,08/06/25 | UNFI | club:3377 | opponent:3262 | 2:0 | in squad,False,False,False,,False,pierre_kalulu__fra,Pierre Kalulu,FRA,DEF,585949,https://www.transfermarkt.de/pierre-kalulu/nationalmannschaft/spieler/585949/verein_id/3377
05/06/25,3,away,3377,3375,4:5,5,UNFI,played,0,0,0,05/06/25 | UNFI | club:3377 | opponent:3375 | 4:5 | played | 63',False,False,True,63.0,True,pierre_kalulu__fra,Pierre Kalulu,FRA,DEF,585949,https://www.transfermarkt.de/pierre-kalulu/nationalmannschaft/spieler/585949/verein_id/3377
