player_id,player_name,team_id,position_model,tm_competition_rows,tm_competition_starts,tm_selection_observations,tm_unused_in_squad,tm_weighted_start_signal_sum,tm_recency_competition_weighted_start_signal_sum,tm_competition_weight_sum,tm_weighted_competitive_start_score,tm_full_history_recency_start_score,tm_recent_3_available_start_score,tm_recency_weighted_competitive_start_score
a_ssa_mandi__alg,Aissa Mandi,ALG,DEF,165,116,161.0,13,116.0,22.8124,35.7376,0.7205,0.6383,0.6761,0.6647
aaron_hickey__sco,Aaron Hickey,SCO,DEF,47,17,26.0,2,17.0,5.8144,7.872,0.6538,0.7386,1.0,0.9216
aaron_tshibola__cod,Aaron Tshibola,COD,DEF,96,7,95.0,6,7.0,1.4744000000000002,26.378,0.0737,0.0559,0.0,0.0168
aaron_wan_bissaka__cod,Aaron Wan-Bissaka,COD,DEF,14,10,14.0,2,10.0,7.050000000000001,9.3404,0.7143,0.7548,0.4534,0.5438
abbosbek_fayzullaev__uzb,Abbosbek Fayzullaev,UZB,MID,42,19,39.0,1,19.0,8.124000000000002,14.904800000000002,0.4872,0.5451,0.7463,0.6859
abdallah_al_fakhouri__jor,Abdallah Al-Fakhouri,JOR,GK,110,7,103.0,27,7.0,0.5824,23.738,0.068,0.0245,0.0,0.0074
abdallah_nasib__jor,Abdallah Nasib,JOR,DEF,67,50,67.0,5,50.0,16.7676,21.628,0.7463,0.7753,0.3151,0.4531
abde_ezzalzouli__mar,Abde Ezzalzouli,MAR,FWD,69,22,58.0,7,22.0,10.878,24.569999999999997,0.3793,0.4427,0.6667,0.5995
abdel_rahman_al_talalga__jor,Abdel Rahman Al-Talalga,JOR,GK,14,7,14.0,3,7.0,1.8019999999999998,4.058400000000001,0.5,0.444,0.2372,0.2992
abdelhamid_ait_boudlal__mar,Abdelhamid Ait Boudlal,MAR,DEF,3,1,3.0,0,1.0,0.47840000000000005,1.4768000000000001,0.3333,0.3239,0.3239,0.3239
abdelmouhib_chamakh__tun,Abdelmouhib Chamakh,TUN,GK,4,3,4.0,1,3.0,1.5184000000000002,1.9968000000000004,0.75,0.7604,1.0,0.9281
abdoulaye_seck__sen,Abdoulaye Seck,SEN,DEF,82,16,74.0,31,16.0,6.289999999999999,26.977200000000003,0.2162,0.2332,0.6761,0.5432
abdukodir_khusanov__uzb,Abdukodir Khusanov,UZB,DEF,42,23,40.0,1,23.0,8.924,15.508000000000003,0.575,0.5754,1.0,0.8726
abdul_fatawu_issahaku__gha,Issahaku Abdul Fatawu,GHA,FWD,63,16,58.0,12,16.0,4.7368,15.754399999999999,0.2759,0.3007,0.3425,0.3299
abdul_mumin__gha,Abdul Mumin,GHA,DEF,29,2,19.0,7,2.0,0.864,6.5528,0.1053,0.1319,0.0,0.0396
abdul_rahman_baba__gha,Abdul Rahman Baba,GHA,DEF,129,49,107.0,8,49.0,5.702,20.497600000000002,0.4579,0.2782,0.0,0.0835
abdulaziz_hatim_mohammed__qat,Abdulaziz Hatim Mohammed,QAT,MID,233,95,233.0,25,95.0,12.294400000000003,34.552400000000006,0.4077,0.3558,0.0,0.1067
abdulelah_al_amri__ksa,Abdulelah Al-Amri,KSA,DEF,87,30,78.0,11,30.0,9.9644,23.910400000000006,0.3846,0.4167,0.6575,0.5853
abdulkerim_bardakci__tur,Abdulkerim Bardakci,TUR,DEF,48,27,46.0,6,27.0,11.7992,15.790400000000002,0.587,0.7472,0.7216,0.7293
abdullah_al_hamdan__ksa,Abdullah Al-Hamdan,KSA,FWD,95,23,95.0,11,23.0,5.253599999999999,28.652800000000006,0.2421,0.1834,0.6575,0.5153
abdullah_al_khaibari__ksa,Abdullah Al-Khaibari,KSA,MID,122,24,116.0,14,24.0,9.006,27.752800000000008,0.2069,0.3245,0.3425,0.3371
abdulrahman_al_sanbi__ksa,Abdulrahman Al-Sanbi,KSA,GK,29,3,29.0,17,3.0,1.5572,16.375200000000003,0.1034,0.0951,0.0,0.0285
abduvokhid_nematov__uzb,Abduvokhid Nematov,UZB,GK,68,14,68.0,37,14.0,3.7248000000000006,18.9212,0.2059,0.1969,0.6575,0.5193
abolfazl_jalali__irn,Abolfazl Jalali,IRN,DEF,58,3,55.0,9,3.0,0.496,15.0616,0.0545,0.0329,0.0,0.0099
achraf_hakimi__mar,Achraf Hakimi,MAR,DEF,160,89,152.0,9,89.0,20.4264,35.016000000000005,0.5855,0.5833,0.3333,0.4083
achref_abada__alg,Achref Abada,ALG,DEF,25,7,25.0,4,7.0,4.412000000000001,16.0492,0.28,0.2749,0.6761,0.5557
adalberto_carrasquilla__pan,Adalberto Carrasquilla,PAN,MID,118,59,115.0,0,59.0,16.212400000000002,27.732400000000005,0.513,0.5846,0.342,0.4148
adam_hlozek__cze,Adam Hlozek,CZE,FWD,72,22,53.0,3,22.0,5.5388,12.2192,0.4151,0.4533,0.6467,0.5887
adam_karabec__cze,Adam Karabec,CZE,MID,8,2,8.0,3,2.0,0.9656000000000001,4.277200000000001,0.25,0.2258,0.2698,0.2566
adem_arous__tun,Adem Arous,TUN,DEF,9,2,9.0,6,2.0,0.9984000000000001,5.8388,0.2222,0.171,0.3425,0.291
adil_aouchiche__alg,Adil Aouchiche,ALG,MID,2,0,2.0,1,0.0,0.0,0.9568000000000001,0.0,0.0,0.0,0.0
adil_boulbina__alg,Adil Boulbina,ALG,FWD,25,5,25.0,3,5.0,3.4136,16.0492,0.2,0.2127,0.0,0.0638
adrien_rabiot__fra,Adrien Rabiot,FRA,MID,121,49,115.0,19,49.0,12.063600000000001,22.944799999999997,0.4261,0.5258,0.6849,0.6372
agust_n_lvarez__uru,Agustin Alvarez,URU,FWD,58,3,47.0,6,3.0,0.54,14.3248,0.0638,0.0377,0.0,0.0113
agustin_canobbio__uru,Agustin Canobbio,URU,MID,50,5,43.0,11,5.0,1.5152000000000003,13.4608,0.1163,0.1126,0.7302,0.5449
ahmad_assaf__jor,Ahmad Assaf,JOR,DEF,18,4,18.0,2,4.0,2.0008,9.746400000000001,0.2222,0.2053,0.5296,0.4323
ahmed_al_ganehi__qat,Ahmed Al-Ganehi,QAT,MID,34,6,28.0,8,6.0,2.952,11.740000000000002,0.2143,0.2514,0.0,0.0754
ahmed_al_kassar__ksa,Ahmed Al-Kassar,KSA,GK,49,8,43.0,27,8.0,3.208,19.1428,0.186,0.1676,0.3425,0.29
ahmed_basil_fadhil__irq,Ahmed Basil Fadhil,IRQ,GK,63,14,63.0,37,14.0,6.4924,21.563599999999997,0.2222,0.3011,0.7216,0.5955
ahmed_fathi__qat,Ahmed Fathi,QAT,MID,228,119,218.0,16,119.0,9.170000000000002,16.592,0.5459,0.5527,0.3333,0.3991
ahmed_fatouh__egy,Ahmed Fatouh,EGY,DEF,91,34,91.0,12,34.0,10.5216,28.044800000000006,0.3736,0.3752,0.6575,0.5728
ahmed_hasan_maknzi__irq,Ahmed Hasan Maknzi,IRQ,DEF,21,5,21.0,4,5.0,3.34,11.631200000000003,0.2381,0.2872,0.3867,0.3568
ahmed_nadhir_benbouali__alg,Ahmed Nadhir Benbouali,ALG,FWD,3,0,3.0,0,0.0,0.0,1.4768000000000001,0.0,0.0,0.0,0.0
ahmed_qasem__irq,Ahmed Qasem,IRQ,MID,2,1,2.0,0,1.0,0.52,1.04,0.5,0.5,0.5,0.5
ahmed_reda_tagnaouti__mar,Ahmed Reda Tagnaouti,MAR,GK,141,0,137.0,47,0.0,0.0,38.3504,0.0,0.0,0.0,0.0
ahmed_yahya__irq,Ahmed Yahya,IRQ,DEF,42,13,40.0,17,13.0,5.3924,17.5976,0.325,0.3064,0.2784,0.2868
aidan_morris__usa,Aidan Morris,USA,MID,52,9,50.0,2,9.0,2.5248,16.990399999999998,0.18,0.1486,0.6349,0.489
aiden_o_neill__aus,Aiden O'Neill,AUS,MID,38,19,34.0,2,19.0,7.293600000000001,11.834399999999997,0.5588,0.6163,1.0,0.8849
aimar_sher__irq,Aimar Sher,IRQ,MID,14,5,14.0,2,5.0,3.184,8.6952,0.3571,0.3662,0.7216,0.615
ajdin_hrustic__aus,Ajdin Hrustic,AUS,MID,93,20,91.0,10,20.0,4.626000000000001,19.344400000000004,0.2198,0.2391,0.3151,0.2923
