date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
04/06/26,6,home,3377,3591,1:2,10,FS,played,1,0,0,04/06/26 | FS | club:3377 | opponent:3591 | 1:2 | played | 78',False,False,True,78.0,True,rayan_cherki__fra,Rayan Cherki,FRA,FWD,607223,https://www.transfermarkt.de/rayan-cherki/nationalmannschaft/spieler/607223/verein_id/3377
29/03/26,7,away,3377,3816,3:1,10,FS,played,0,0,0,29/03/26 | FS | club:3377 | opponent:3816 | 3:1 | played | 78',False,False,True,78.0,True,rayan_cherki__fra,Rayan Cherki,FRA,FWD,607223,https://www.transfermarkt.de/rayan-cherki/nationalmannschaft/spieler/607223/verein_id/3377
26/03/26,7,away,3377,3439,2:1,,FS,in squad,0,0,0,26/03/26 | FS | club:3377 | opponent:3439 | 2:1 | in squad,False,False,False,,False,rayan_cherki__fra,Rayan Cherki,FRA,FWD,607223,https://www.transfermarkt.de/rayan-cherki/nationalmannschaft/spieler/607223/verein_id/3377
16/11/25,10,away,3377,8605,3:1,,WMQ6,played,0,0,0,16/11/25 | WMQ6 | club:3377 | opponent:8605 | 3:1 | played | 28',False,False,True,28.0,False,rayan_cherki__fra,Rayan Cherki,FRA,FWD,607223,https://www.transfermarkt.de/rayan-cherki/nationalmannschaft/spieler/607223/verein_id/3377
13/11/25,9,home,3377,3699,4:0,10,WMQ6,played,0,0,0,13/11/25 | WMQ6 | club:3377 | opponent:3699 | 4:0 | played | 68',False,False,True,68.0,True,rayan_cherki__fra,Rayan Cherki,FRA,FWD,607223,https://www.transfermarkt.de/rayan-cherki/nationalmannschaft/spieler/607223/verein_id/3377
13/10/25,8,away,3377,3574,2:2,,WMQ6,not in squad,0,0,0,13/10/25 | WMQ6 | club:3377 | opponent:3574 | 2:2 | not in squad,True,False,False,,False,rayan_cherki__fra,Rayan Cherki,FRA,FWD,607223,https://www.transfermarkt.de/rayan-cherki/nationalmannschaft/spieler/607223/verein_id/3377
10/10/25,7,home,3377,8605,3:0,,WMQ6,not in squad,0,0,0,10/10/25 | WMQ6 | club:3377 | opponent:8605 | 3:0 | not in squad,True,False,False,,False,rayan_cherki__fra,Rayan Cherki,FRA,FWD,607223,https://www.transfermarkt.de/rayan-cherki/nationalmannschaft/spieler/607223/verein_id/3377
09/09/25,6,home,3377,3574,2:1,,WMQ6,injured,0,0,0,09/09/25 | WMQ6 | club:3377 | opponent:3574 | 2:1 | injured,True,False,False,,False,rayan_cherki__fra,Rayan Cherki,FRA,FWD,607223,https://www.transfermarkt.de/rayan-cherki/nationalmannschaft/spieler/607223/verein_id/3377
05/09/25,5,away,3377,3699,2:0,,WMQ6,injured,0,0,0,05/09/25 | WMQ6 | club:3377 | opponent:3699 | 2:0 | injured,True,False,False,,False,rayan_cherki__fra,Rayan Cherki,FRA,FWD,607223,https://www.transfermarkt.de/rayan-cherki/nationalmannschaft/spieler/607223/verein_id/3377
08/06/25,4,away,3377,3262,2:0,10,UNFI,played,0,0,0,08/06/25 | UNFI | club:3377 | opponent:3262 | 2:0 | played | 69',False,False,True,69.0,True,rayan_cherki__fra,Rayan Cherki,FRA,FWD,607223,https://www.transfermarkt.de/rayan-cherki/nationalmannschaft/spieler/607223/verein_id/3377
05/06/25,3,away,3377,3375,4:5,10,UNFI,played,1,1,0,05/06/25 | UNFI | club:3377 | opponent:3375 | 4:5 | played | 27',False,False,True,27.0,False,rayan_cherki__fra,Rayan Cherki,FRA,FWD,607223,https://www.transfermarkt.de/rayan-cherki/nationalmannschaft/spieler/607223/verein_id/3377
