date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
01/06/26,46,away,3670,3383,0:1,,FS,in squad,0,0,0,01/06/26 | FS | club:3670 | opponent:3383 | 0:1 | in squad,False,False,False,,False,sabri_ben_hessen__tun,Sabri Ben Hessen,TUN,GK,295381,https://www.transfermarkt.de/sabri-ben-hessen/nationalmannschaft/spieler/295381/verein_id/3670
31/03/26,3,away,3670,3510,0:0,,FS,not in squad,0,0,0,31/03/26 | FS | club:3670 | opponent:3510 | 0:0 | not in squad,True,False,False,,False,sabri_ben_hessen__tun,Sabri Ben Hessen,TUN,GK,295381,https://www.transfermarkt.de/sabri-ben-hessen/nationalmannschaft/spieler/295381/verein_id/3670
29/03/26,7,away,3670,14161,1:0,1,FS,played,0,0,0,29/03/26 | FS | club:3670 | opponent:14161 | 1:0 | played | 90',False,False,True,90.0,True,sabri_ben_hessen__tun,Sabri Ben Hessen,TUN,GK,295381,https://www.transfermarkt.de/sabri-ben-hessen/nationalmannschaft/spieler/295381/verein_id/3670
03/01/26,4,away,3670,3674,2:3,,AFCN,not in squad,0,0,0,03/01/26 | AFCN | club:3670 | opponent:3674 | 2:3 | not in squad,True,False,False,,False,sabri_ben_hessen__tun,Sabri Ben Hessen,TUN,GK,295381,https://www.transfermarkt.de/sabri-ben-hessen/nationalmannschaft/spieler/295381/verein_id/3670
30/12/25,3,away,3670,14666,1:1,,AFCN,not in squad,0,0,0,30/12/25 | AFCN | club:3670 | opponent:14666 | 1:1 | not in squad,True,False,False,,False,sabri_ben_hessen__tun,Sabri Ben Hessen,TUN,GK,295381,https://www.transfermarkt.de/sabri-ben-hessen/nationalmannschaft/spieler/295381/verein_id/3670
27/12/25,2,away,3670,3444,2:3,,AFCN,not in squad,0,0,0,27/12/25 | AFCN | club:3670 | opponent:3444 | 2:3 | not in squad,True,False,False,,False,sabri_ben_hessen__tun,Sabri Ben Hessen,TUN,GK,295381,https://www.transfermarkt.de/sabri-ben-hessen/nationalmannschaft/spieler/295381/verein_id/3670
23/12/25,1,away,3670,13497,3:1,,AFCN,not in squad,0,0,0,23/12/25 | AFCN | club:3670 | opponent:13497 | 3:1 | not in squad,True,False,False,,False,sabri_ben_hessen__tun,Sabri Ben Hessen,TUN,GK,295381,https://www.transfermarkt.de/sabri-ben-hessen/nationalmannschaft/spieler/295381/verein_id/3670
18/12/25,20,home,3670,15229,2:1,1,FS,in squad,0,0,0,18/12/25 | FS | club:3670 | opponent:15229 | 2:1 | in squad,False,False,False,,False,sabri_ben_hessen__tun,Sabri Ben Hessen,TUN,GK,295381,https://www.transfermarkt.de/sabri-ben-hessen/nationalmannschaft/spieler/295381/verein_id/3670
07/12/25,3,away,3670,14162,3:0,,ARCP,not in squad,0,0,0,07/12/25 | ARCP | club:3670 | opponent:14162 | 3:0 | not in squad,True,False,False,,False,sabri_ben_hessen__tun,Sabri Ben Hessen,TUN,GK,295381,https://www.transfermarkt.de/sabri-ben-hessen/nationalmannschaft/spieler/295381/verein_id/3670
04/12/25,2,away,3670,17758,2:2,,ARCP,not in squad,0,0,0,04/12/25 | ARCP | club:3670 | opponent:17758 | 2:2 | not in squad,True,False,False,,False,sabri_ben_hessen__tun,Sabri Ben Hessen,TUN,GK,295381,https://www.transfermarkt.de/sabri-ben-hessen/nationalmannschaft/spieler/295381/verein_id/3670
01/12/25,1,neutral,3670,13674,0:1,,ARCP,not in squad,0,0,0,01/12/25 | ARCP | club:3670 | opponent:13674 | 0:1 | not in squad,True,False,False,,False,sabri_ben_hessen__tun,Sabri Ben Hessen,TUN,GK,295381,https://www.transfermarkt.de/sabri-ben-hessen/nationalmannschaft/spieler/295381/verein_id/3670
18/11/25,33,away,3670,3439,1:1,,FS,in squad,0,0,0,18/11/25 | FS | club:3670 | opponent:3439 | 1:1 | in squad,False,False,False,,False,sabri_ben_hessen__tun,Sabri Ben Hessen,TUN,GK,295381,https://www.transfermarkt.de/sabri-ben-hessen/nationalmannschaft/spieler/295381/verein_id/3670
14/11/25,6,home,3670,15737,3:2,,FS,in squad,0,0,0,14/11/25 | FS | club:3670 | opponent:15737 | 3:2 | in squad,False,False,False,,False,sabri_ben_hessen__tun,Sabri Ben Hessen,TUN,GK,295381,https://www.transfermarkt.de/sabri-ben-hessen/nationalmannschaft/spieler/295381/verein_id/3670
12/11/25,5,home,3670,14238,1:1,,FS,in squad,0,0,0,12/11/25 | FS | club:3670 | opponent:14238 | 1:1 | in squad,False,False,False,,False,sabri_ben_hessen__tun,Sabri Ben Hessen,TUN,GK,295381,https://www.transfermarkt.de/sabri-ben-hessen/nationalmannschaft/spieler/295381/verein_id/3670
15/10/24,6,away,3670,16430,1:1,,AFCQ,in squad,0,0,0,15/10/24 | AFCQ | club:3670 | opponent:16430 | 1:1 | in squad,False,False,False,,False,sabri_ben_hessen__tun,Sabri Ben Hessen,TUN,GK,295381,https://www.transfermarkt.de/sabri-ben-hessen/nationalmannschaft/spieler/295381/verein_id/3670
11/10/24,5,home,3670,16430,0:1,,AFCQ,in squad,0,0,0,11/10/24 | AFCQ | club:3670 | opponent:16430 | 0:1 | in squad,False,False,False,,False,sabri_ben_hessen__tun,Sabri Ben Hessen,TUN,GK,295381,https://www.transfermarkt.de/sabri-ben-hessen/nationalmannschaft/spieler/295381/verein_id/3670
