date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
01/06/26,6,home,3440,3557,3:1,3,FS,played,0,0,0,01/06/26 | FS | club:3440 | opponent:3557 | 3:1 | played | 63',False,False,True,63.0,True,torbjorn_heggem__nor,Torbjørn Heggem,NOR,DEF,464469,https://www.transfermarkt.de/torbjorn-heggem/nationalmannschaft/spieler/464469/verein_id/3440
31/03/26,43,home,3440,3384,0:0,,FS,played,0,0,0,31/03/26 | FS | club:3440 | opponent:3384 | 0:0 | played | 15',False,False,True,15.0,False,torbjorn_heggem__nor,Torbjørn Heggem,NOR,DEF,464469,https://www.transfermarkt.de/torbjorn-heggem/nationalmannschaft/spieler/464469/verein_id/3440
27/03/26,7,away,3440,3379,1:2,3,FS,played,0,0,0,27/03/26 | FS | club:3440 | opponent:3379 | 1:2 | played | 78',False,False,True,78.0,True,torbjorn_heggem__nor,Torbjørn Heggem,NOR,DEF,464469,https://www.transfermarkt.de/torbjorn-heggem/nationalmannschaft/spieler/464469/verein_id/3440
16/11/25,10,away,3440,3376,4:1,3,WMQ6,played,0,0,0,16/11/25 | WMQ6 | club:3440 | opponent:3376 | 4:1 | played | 90',False,False,True,90.0,True,torbjorn_heggem__nor,Torbjørn Heggem,NOR,DEF,464469,https://www.transfermarkt.de/torbjorn-heggem/nationalmannschaft/spieler/464469/verein_id/3440
13/11/25,9,home,3440,6133,4:1,3,WMQ6,played,0,0,0,13/11/25 | WMQ6 | club:3440 | opponent:6133 | 4:1 | played | 90',False,False,True,90.0,True,torbjorn_heggem__nor,Torbjørn Heggem,NOR,DEF,464469,https://www.transfermarkt.de/torbjorn-heggem/nationalmannschaft/spieler/464469/verein_id/3440
14/10/25,4,home,3440,9171,1:1,,FS,in squad,0,0,0,14/10/25 | FS | club:3440 | opponent:9171 | 1:1 | in squad,False,False,False,,False,torbjorn_heggem__nor,Torbjørn Heggem,NOR,DEF,464469,https://www.transfermarkt.de/torbjorn-heggem/nationalmannschaft/spieler/464469/verein_id/3440
11/10/25,7,home,3440,5547,5:0,3,WMQ6,played,0,0,0,11/10/25 | WMQ6 | club:3440 | opponent:5547 | 5:0 | played | 90',False,False,True,90.0,True,torbjorn_heggem__nor,Torbjørn Heggem,NOR,DEF,464469,https://www.transfermarkt.de/torbjorn-heggem/nationalmannschaft/spieler/464469/verein_id/3440
09/09/25,6,home,3440,6090,11:1,3,WMQ6,played,0,0,0,09/09/25 | WMQ6 | club:3440 | opponent:6090 | 11:1 | played | 90',False,False,True,90.0,True,torbjorn_heggem__nor,Torbjørn Heggem,NOR,DEF,464469,https://www.transfermarkt.de/torbjorn-heggem/nationalmannschaft/spieler/464469/verein_id/3440
04/09/25,3,home,3440,3443,1:0,,FS,in squad,0,0,0,04/09/25 | FS | club:3440 | opponent:3443 | 1:0 | in squad,False,False,False,,False,torbjorn_heggem__nor,Torbjørn Heggem,NOR,DEF,464469,https://www.transfermarkt.de/torbjorn-heggem/nationalmannschaft/spieler/464469/verein_id/3440
09/06/25,4,away,3440,6133,1:0,3,WMQ6,played,0,0,0,09/06/25 | WMQ6 | club:3440 | opponent:6133 | 1:0 | played | 90',False,False,True,90.0,True,torbjorn_heggem__nor,Torbjørn Heggem,NOR,DEF,464469,https://www.transfermarkt.de/torbjorn-heggem/nationalmannschaft/spieler/464469/verein_id/3440
06/06/25,3,home,3440,3376,3:0,3,WMQ6,played,0,0,0,06/06/25 | WMQ6 | club:3440 | opponent:3376 | 3:0 | played | 71',False,False,True,71.0,True,torbjorn_heggem__nor,Torbjørn Heggem,NOR,DEF,464469,https://www.transfermarkt.de/torbjorn-heggem/nationalmannschaft/spieler/464469/verein_id/3440
25/03/25,2,away,3440,5547,4:2,3,WMQ6,played,0,0,1,25/03/25 | WMQ6 | club:3440 | opponent:5547 | 4:2 | played | 90',False,False,True,90.0,True,torbjorn_heggem__nor,Torbjørn Heggem,NOR,DEF,464469,https://www.transfermarkt.de/torbjorn-heggem/nationalmannschaft/spieler/464469/verein_id/3440
22/03/25,1,away,3440,6090,5:0,,WMQ6,played,0,0,0,22/03/25 | WMQ6 | club:3440 | opponent:6090 | 5:0 | played | 53',False,False,True,53.0,False,torbjorn_heggem__nor,Torbjørn Heggem,NOR,DEF,464469,https://www.transfermarkt.de/torbjorn-heggem/nationalmannschaft/spieler/464469/verein_id/3440
17/11/24,6,home,3440,9110,5:0,3,UNLB,played,0,0,0,17/11/24 | UNLB | club:3440 | opponent:9110 | 5:0 | played | 27',False,False,True,27.0,False,torbjorn_heggem__nor,Torbjørn Heggem,NOR,DEF,464469,https://www.transfermarkt.de/torbjorn-heggem/nationalmannschaft/spieler/464469/verein_id/3440
14/11/24,5,away,3440,3588,4:1,3,UNLB,played,0,0,1,14/11/24 | UNLB | club:3440 | opponent:3588 | 4:1 | played | 87',False,False,True,87.0,True,torbjorn_heggem__nor,Torbjørn Heggem,NOR,DEF,464469,https://www.transfermarkt.de/torbjorn-heggem/nationalmannschaft/spieler/464469/verein_id/3440
13/10/24,4,away,3440,3383,1:5,,UNLB,played,0,0,0,13/10/24 | UNLB | club:3440 | opponent:3383 | 1:5 | played | 11',False,False,True,11.0,False,torbjorn_heggem__nor,Torbjørn Heggem,NOR,DEF,464469,https://www.transfermarkt.de/torbjorn-heggem/nationalmannschaft/spieler/464469/verein_id/3440
10/10/24,3,home,3440,3588,3:0,,UNLB,in squad,0,0,0,10/10/24 | UNLB | club:3440 | opponent:3588 | 3:0 | in squad,False,False,False,,False,torbjorn_heggem__nor,Torbjørn Heggem,NOR,DEF,464469,https://www.transfermarkt.de/torbjorn-heggem/nationalmannschaft/spieler/464469/verein_id/3440
