date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
31/05/26,2,home,3439,3577,6:2,11,FS,played,1,1,0,31/05/26 | FS | club:3439 | opponent:3577 | 6:2 | played | 45',False,False,True,45.0,True,vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,371998,https://www.transfermarkt.de/vinicius-junior/nationalmannschaft/spieler/371998/verein_id/3439
01/04/26,16,away,3439,3556,3:1,11,FS,played,0,1,0,01/04/26 | FS | club:3439 | opponent:3556 | 3:1 | played | 67',False,False,True,67.0,True,vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,371998,https://www.transfermarkt.de/vinicius-junior/nationalmannschaft/spieler/371998/verein_id/3439
26/03/26,7,away,3439,3377,1:2,14,FS,played,0,0,0,26/03/26 | FS | club:3439 | opponent:3377 | 1:2 | played | 90',False,False,True,90.0,True,vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,371998,https://www.transfermarkt.de/vinicius-junior/nationalmannschaft/spieler/371998/verein_id/3439
18/11/25,33,away,3439,3670,1:1,14,FS,played,0,0,0,18/11/25 | FS | club:3439 | opponent:3670 | 1:1 | played | 90',False,False,True,90.0,True,vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,371998,https://www.transfermarkt.de/vinicius-junior/nationalmannschaft/spieler/371998/verein_id/3439
15/11/25,32,away,3439,3499,2:0,14,FS,played,0,0,0,15/11/25 | FS | club:3439 | opponent:3499 | 2:0 | played | 90',False,False,True,90.0,True,vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,371998,https://www.transfermarkt.de/vinicius-junior/nationalmannschaft/spieler/371998/verein_id/3439
14/10/25,7,away,3439,3435,2:3,14,FS,played,0,0,0,14/10/25 | FS | club:3439 | opponent:3435 | 2:3 | played | 57',False,False,True,57.0,True,vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,371998,https://www.transfermarkt.de/vinicius-junior/nationalmannschaft/spieler/371998/verein_id/3439
10/10/25,45,away,3439,3589,5:0,11,FS,played,1,1,0,10/10/25 | FS | club:3439 | opponent:3589 | 5:0 | played | 79',False,False,True,79.0,True,vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,371998,https://www.transfermarkt.de/vinicius-junior/nationalmannschaft/spieler/371998/verein_id/3439
09/09/25,18,away,3439,5233,0:1,,WMQ4,not in squad,0,0,0,09/09/25 | WMQ4 | club:3439 | opponent:5233 | 0:1 | not in squad,True,False,False,,False,vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,371998,https://www.transfermarkt.de/vinicius-junior/nationalmannschaft/spieler/371998/verein_id/3439
05/09/25,17,home,3439,3700,3:0,,WMQ4,absent,0,0,0,05/09/25 | WMQ4 | club:3439 | opponent:3700 | 3:0 | absent,True,False,False,,False,vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,371998,https://www.transfermarkt.de/vinicius-junior/nationalmannschaft/spieler/371998/verein_id/3439
11/06/25,16,home,3439,3581,1:0,14,WMQ4,played,1,0,1,11/06/25 | WMQ4 | club:3439 | opponent:3581 | 1:0 | played | 78',False,False,True,78.0,True,vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,371998,https://www.transfermarkt.de/vinicius-junior/nationalmannschaft/spieler/371998/verein_id/3439
05/06/25,15,away,3439,5750,0:0,11,WMQ4,played,0,0,0,05/06/25 | WMQ4 | club:3439 | opponent:5750 | 0:0 | played | 90',False,False,True,90.0,True,vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,371998,https://www.transfermarkt.de/vinicius-junior/nationalmannschaft/spieler/371998/verein_id/3439
26/03/25,14,away,3439,3437,1:4,14,WMQ4,played,0,0,0,26/03/25 | WMQ4 | club:3439 | opponent:3437 | 1:4 | played | 90',False,False,True,90.0,True,vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,371998,https://www.transfermarkt.de/vinicius-junior/nationalmannschaft/spieler/371998/verein_id/3439
21/03/25,13,home,3439,3816,2:1,14,WMQ4,played,1,1,0,21/03/25 | WMQ4 | club:3439 | opponent:3816 | 2:1 | played | 90',False,False,True,90.0,True,vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,371998,https://www.transfermarkt.de/vinicius-junior/nationalmannschaft/spieler/371998/verein_id/3439
20/11/24,12,home,3439,3449,1:1,14,WMQ4,played,0,0,0,20/11/24 | WMQ4 | club:3439 | opponent:3449 | 1:1 | played | 90',False,False,True,90.0,True,vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,371998,https://www.transfermarkt.de/vinicius-junior/nationalmannschaft/spieler/371998/verein_id/3439
14/11/24,11,away,3439,3504,1:1,11,WMQ4,played,0,0,0,14/11/24 | WMQ4 | club:3439 | opponent:3504 | 1:1 | played | 90',False,False,True,90.0,True,vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,371998,https://www.transfermarkt.de/vinicius-junior/nationalmannschaft/spieler/371998/verein_id/3439
