date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
06/06/26,19,away,14161,3584,1:2,,FS,played,0,0,1,06/06/26 | FS | club:14161 | opponent:3584 | 1:2 | played | 30',False,False,True,30.0,False,wilguens_paugain__hai,Wilguens Paugain,HAI,DEF,609691,https://www.transfermarkt.de/wilguens-paugain/nationalmannschaft/spieler/609691/verein_id/14161
03/06/26,18,away,14161,9171,4:0,,FS,played,0,0,0,03/06/26 | FS | club:14161 | opponent:9171 | 4:0 | played | 25',False,False,True,25.0,False,wilguens_paugain__hai,Wilguens Paugain,HAI,DEF,609691,https://www.transfermarkt.de/wilguens-paugain/nationalmannschaft/spieler/609691/verein_id/14161
31/03/26,3,away,14161,3574,1:1,,FS,played,0,0,0,31/03/26 | FS | club:14161 | opponent:3574 | 1:1 | played | 6',False,False,True,6.0,False,wilguens_paugain__hai,Wilguens Paugain,HAI,DEF,609691,https://www.transfermarkt.de/wilguens-paugain/nationalmannschaft/spieler/609691/verein_id/14161
29/03/26,7,away,14161,3670,0:1,,FS,played,0,0,0,29/03/26 | FS | club:14161 | opponent:3670 | 0:1 | played | 1',False,False,True,1.0,False,wilguens_paugain__hai,Wilguens Paugain,HAI,DEF,609691,https://www.transfermarkt.de/wilguens-paugain/nationalmannschaft/spieler/609691/verein_id/14161
19/11/25,14,away,14161,15351,2:0,,WMQ3,injured,0,0,0,19/11/25 | WMQ3 | club:14161 | opponent:15351 | 2:0 | injured,True,False,False,,False,wilguens_paugain__hai,Wilguens Paugain,HAI,DEF,609691,https://www.transfermarkt.de/wilguens-paugain/nationalmannschaft/spieler/609691/verein_id/14161
14/11/25,13,away,14161,8497,1:0,,WMQ3,injured,0,0,0,14/11/25 | WMQ3 | club:14161 | opponent:8497 | 1:0 | injured,True,False,False,,False,wilguens_paugain__hai,Wilguens Paugain,HAI,DEF,609691,https://www.transfermarkt.de/wilguens-paugain/nationalmannschaft/spieler/609691/verein_id/14161
14/10/25,12,away,14161,3590,0:3,,WMQ3,not in squad,0,0,0,14/10/25 | WMQ3 | club:14161 | opponent:3590 | 0:3 | not in squad,True,False,False,,False,wilguens_paugain__hai,Wilguens Paugain,HAI,DEF,609691,https://www.transfermarkt.de/wilguens-paugain/nationalmannschaft/spieler/609691/verein_id/14161
10/10/25,11,away,14161,15351,3:0,,WMQ3,not in squad,0,0,0,10/10/25 | WMQ3 | club:14161 | opponent:15351 | 3:0 | not in squad,True,False,False,,False,wilguens_paugain__hai,Wilguens Paugain,HAI,DEF,609691,https://www.transfermarkt.de/wilguens-paugain/nationalmannschaft/spieler/609691/verein_id/14161
10/09/25,10,away,14161,8497,3:3,,WMQ3,not in squad,0,0,0,10/09/25 | WMQ3 | club:14161 | opponent:8497 | 3:3 | not in squad,True,False,False,,False,wilguens_paugain__hai,Wilguens Paugain,HAI,DEF,609691,https://www.transfermarkt.de/wilguens-paugain/nationalmannschaft/spieler/609691/verein_id/14161
06/09/25,9,away,14161,3590,0:0,,WMQ3,not in squad,0,0,0,06/09/25 | WMQ3 | club:14161 | opponent:3590 | 0:0 | not in squad,True,False,False,,False,wilguens_paugain__hai,Wilguens Paugain,HAI,DEF,609691,https://www.transfermarkt.de/wilguens-paugain/nationalmannschaft/spieler/609691/verein_id/14161
22/06/25,3,away,14161,3505,1:2,,GOCU,played,0,0,0,22/06/25 | GOCU | club:14161 | opponent:3505 | 1:2 | played | 2',False,False,True,2.0,False,wilguens_paugain__hai,Wilguens Paugain,HAI,DEF,609691,https://www.transfermarkt.de/wilguens-paugain/nationalmannschaft/spieler/609691/verein_id/14161
19/06/25,2,away,14161,7149,1:1,,GOCU,played,0,0,0,19/06/25 | GOCU | club:14161 | opponent:7149 | 1:1 | played | 20',False,False,True,20.0,False,wilguens_paugain__hai,Wilguens Paugain,HAI,DEF,609691,https://www.transfermarkt.de/wilguens-paugain/nationalmannschaft/spieler/609691/verein_id/14161
16/06/25,1,away,14161,3807,0:1,,GOCU,in squad,0,0,0,16/06/25 | GOCU | club:14161 | opponent:3807 | 0:1 | in squad,False,False,False,,False,wilguens_paugain__hai,Wilguens Paugain,HAI,DEF,609691,https://www.transfermarkt.de/wilguens-paugain/nationalmannschaft/spieler/609691/verein_id/14161
10/06/25,8,away,14161,32364,1:5,,WMQ3,played,0,0,0,10/06/25 | WMQ3 | club:14161 | opponent:32364 | 1:5 | played | 45',False,False,True,45.0,False,wilguens_paugain__hai,Wilguens Paugain,HAI,DEF,609691,https://www.transfermarkt.de/wilguens-paugain/nationalmannschaft/spieler/609691/verein_id/14161
07/06/25,7,away,14161,17749,5:0,,WMQ3,in squad,0,0,0,07/06/25 | WMQ3 | club:14161 | opponent:17749 | 5:0 | in squad,False,False,False,,False,wilguens_paugain__hai,Wilguens Paugain,HAI,DEF,609691,https://www.transfermarkt.de/wilguens-paugain/nationalmannschaft/spieler/609691/verein_id/14161
22/03/25,12,away,14161,8605,3:0,5,FS,played,0,0,0,22/03/25 | FS | club:14161 | opponent:8605 | 3:0 | played | 14',False,False,True,14.0,False,wilguens_paugain__hai,Wilguens Paugain,HAI,DEF,609691,https://www.transfermarkt.de/wilguens-paugain/nationalmannschaft/spieler/609691/verein_id/14161
