date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
10/01/26,5,away,3614,3444,0:2,,AFCN,in squad,0,0,0,10/01/26 | AFCN | club:3614 | opponent:3444 | 0:2 | in squad,False,False,False,,False,youcef_atal__alg,Youcef Atal,ALG,DEF,416108,https://www.transfermarkt.de/youcef-atal/nationalmannschaft/spieler/416108/verein_id/3614
06/01/26,4,away,3614,3854,1:0,,AFCN,in squad,0,0,0,06/01/26 | AFCN | club:3614 | opponent:3854 | 1:0 | in squad,False,False,False,,False,youcef_atal__alg,Youcef Atal,ALG,DEF,416108,https://www.transfermarkt.de/youcef-atal/nationalmannschaft/spieler/416108/verein_id/3614
31/12/25,3,away,3614,13485,3:1,,AFCN,played,0,0,0,31/12/25 | AFCN | club:3614 | opponent:13485 | 3:1 | played | 45',False,False,True,45.0,False,youcef_atal__alg,Youcef Atal,ALG,DEF,416108,https://www.transfermarkt.de/youcef-atal/nationalmannschaft/spieler/416108/verein_id/3614
28/12/25,2,away,3614,5872,1:0,,AFCN,in squad,0,0,0,28/12/25 | AFCN | club:3614 | opponent:5872 | 1:0 | in squad,False,False,False,,False,youcef_atal__alg,Youcef Atal,ALG,DEF,416108,https://www.transfermarkt.de/youcef-atal/nationalmannschaft/spieler/416108/verein_id/3614
24/12/25,1,away,3614,13313,3:0,,AFCN,in squad,0,0,0,24/12/25 | AFCN | club:3614 | opponent:13313 | 3:0 | in squad,False,False,False,,False,youcef_atal__alg,Youcef Atal,ALG,DEF,416108,https://www.transfermarkt.de/youcef-atal/nationalmannschaft/spieler/416108/verein_id/3614
12/12/25,4,neutral,3614,5147,7:8,,ARCP,in squad,0,0,0,12/12/25 | ARCP | club:3614 | opponent:5147 | 7:8 | in squad,False,False,False,,False,youcef_atal__alg,Youcef Atal,ALG,DEF,416108,https://www.transfermarkt.de/youcef-atal/nationalmannschaft/spieler/416108/verein_id/3614
09/12/25,3,away,3614,3560,2:0,5,ARCP,played,0,0,0,09/12/25 | ARCP | club:3614 | opponent:3560 | 2:0 | played | 57',False,False,True,57.0,True,youcef_atal__alg,Youcef Atal,ALG,DEF,416108,https://www.transfermarkt.de/youcef-atal/nationalmannschaft/spieler/416108/verein_id/3614
06/12/25,2,away,3614,7214,5:1,5,ARCP,played,0,1,0,06/12/25 | ARCP | club:3614 | opponent:7214 | 5:1 | played | 65',False,False,True,65.0,True,youcef_atal__alg,Youcef Atal,ALG,DEF,416108,https://www.transfermarkt.de/youcef-atal/nationalmannschaft/spieler/416108/verein_id/3614
03/12/25,1,neutral,3614,13313,0:0,,ARCP,played,0,0,0,03/12/25 | ARCP | club:3614 | opponent:13313 | 0:0 | played | 24',False,False,True,24.0,False,youcef_atal__alg,Youcef Atal,ALG,DEF,416108,https://www.transfermarkt.de/youcef-atal/nationalmannschaft/spieler/416108/verein_id/3614
18/11/25,6,away,3614,3807,2:0,,FS,not in squad,0,0,0,18/11/25 | FS | club:3614 | opponent:3807 | 2:0 | not in squad,True,False,False,,False,youcef_atal__alg,Youcef Atal,ALG,DEF,416108,https://www.transfermarkt.de/youcef-atal/nationalmannschaft/spieler/416108/verein_id/3614
13/11/25,5,home,3614,3583,3:1,,FS,not in squad,0,0,0,13/11/25 | FS | club:3614 | opponent:3583 | 3:1 | not in squad,True,False,False,,False,youcef_atal__alg,Youcef Atal,ALG,DEF,416108,https://www.transfermarkt.de/youcef-atal/nationalmannschaft/spieler/416108/verein_id/3614
14/10/25,10,home,3614,13497,2:1,,WMQ2,injured,0,0,0,14/10/25 | WMQ2 | club:3614 | opponent:13497 | 2:1 | injured,True,False,False,,False,youcef_atal__alg,Youcef Atal,ALG,DEF,416108,https://www.transfermarkt.de/youcef-atal/nationalmannschaft/spieler/416108/verein_id/3614
