date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
02/06/26,9,away,3382,3556,2:0,,FS,injured,0,0,0,02/06/26 | FS | club:3382 | opponent:3556 | 2:0 | injured,True,False,False,,False,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
01/04/26,8,away,3382,6303,1:1,,FS,played,0,0,0,01/04/26 | FS | club:3382 | opponent:6303 | 1:1 | played | 18',False,False,True,18.0,False,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
28/03/26,7,away,3382,3505,5:2,3,FS,played,1,0,0,28/03/26 | FS | club:3382 | opponent:3505 | 5:2 | played | 62',False,False,True,62.0,True,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
18/11/25,10,home,3382,5673,7:0,,WMQ6,injured,0,0,0,18/11/25 | WMQ6 | club:3382 | opponent:5673 | 7:0 | injured,True,False,False,,False,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
15/11/25,9,away,3382,9110,1:1,,WMQ6,injured,0,0,0,15/11/25 | WMQ6 | club:3382 | opponent:9110 | 1:1 | injured,True,False,False,,False,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
13/10/25,8,away,3382,3864,4:2,3,WMQ6,played,0,0,0,13/10/25 | WMQ6 | club:3382 | opponent:3864 | 4:2 | played | 90',False,False,True,90.0,True,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
10/10/25,7,home,3382,5148,0:0,3,WMQ6,played,0,0,0,10/10/25 | WMQ6 | club:3382 | opponent:5148 | 0:0 | played | 90',False,False,True,90.0,True,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
07/09/25,6,home,3382,9110,6:0,3,WMQ6,played,0,0,0,07/09/25 | WMQ6 | club:3382 | opponent:9110 | 6:0 | played | 90',False,False,True,90.0,True,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
04/09/25,5,away,3382,5673,6:0,3,WMQ6,played,0,0,0,04/09/25 | WMQ6 | club:3382 | opponent:5673 | 6:0 | played | 90',False,False,True,90.0,True,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
09/06/25,4,home,3382,3864,4:3,3,WMQ6,played,0,0,0,09/06/25 | WMQ6 | club:3382 | opponent:3864 | 4:3 | played | 90',False,False,True,90.0,True,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
06/06/25,3,away,3382,5148,1:1,3,WMQ6,played,0,0,0,06/06/25 | WMQ6 | club:3382 | opponent:5148 | 1:1 | played | 90',False,False,True,90.0,True,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
23/03/25,2,home,3382,3699,3:0,3,UNPO,played,0,0,0,23/03/25 | UNPO | club:3382 | opponent:3699 | 3:0 | played | 90',False,False,True,90.0,True,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
20/03/25,1,neutral,3382,3699,1:3,6,UNPO,played,0,0,0,20/03/25 | UNPO | club:3382 | opponent:3699 | 1:3 | played | 90',False,False,True,90.0,True,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
17/11/24,6,away,3382,5547,0:1,3,UNLA,played,0,0,0,17/11/24 | UNLA | club:3382 | opponent:5547 | 0:1 | played | 45',False,False,True,45.0,True,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
14/11/24,5,home,3382,3376,0:1,3,UNLA,played,0,0,0,14/11/24 | UNLA | club:3382 | opponent:3376 | 0:1 | played | 90',False,False,True,90.0,True,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
14/10/24,4,home,3382,3377,1:2,5,UNLA,played,0,0,0,14/10/24 | UNLA | club:3382 | opponent:3377 | 1:2 | played | 90',False,False,True,90.0,True,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
10/10/24,3,away,3382,3376,2:2,5,UNLA,played,0,0,0,10/10/24 | UNLA | club:3382 | opponent:3376 | 2:2 | played | 90',False,False,True,90.0,True,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
09/09/24,2,away,3382,3377,0:2,3,UNLA,played,0,0,0,09/09/24 | UNLA | club:3382 | opponent:3377 | 0:2 | played | 90',False,False,True,90.0,True,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
06/09/24,1,away,3382,5547,3:1,3,UNLA,played,0,0,0,06/09/24 | UNLA | club:3382 | opponent:5547 | 3:1 | played | 26',False,False,True,26.0,False,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
01/07/24,4,away,3382,3377,0:1,,EURO,in squad,0,0,0,01/07/24 | EURO | club:3382 | opponent:3377 | 0:1 | in squad,False,False,False,,False,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
26/06/24,3,away,3382,3699,0:0,,EURO,in squad,0,0,0,26/06/24 | EURO | club:3382 | opponent:3699 | 0:0 | in squad,False,False,False,,False,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
22/06/24,2,away,3382,3447,2:0,5,EURO,played,0,0,0,22/06/24 | EURO | club:3382 | opponent:3447 | 2:0 | played | 13',False,False,True,13.0,False,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
17/06/24,1,away,3382,3503,0:1,3,EURO,played,0,0,0,17/06/24 | EURO | club:3382 | opponent:3503 | 0:1 | played | 90',False,False,True,90.0,True,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
08/06/24,10,home,3382,3580,3:0,3,FS,played,0,0,0,08/06/24 | FS | club:3382 | opponent:3580 | 3:0 | played | 25',False,False,True,25.0,False,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
05/06/24,9,home,3382,11953,2:0,3,FS,played,0,0,0,05/06/24 | FS | club:3382 | opponent:11953 | 2:0 | played | 90',False,False,True,90.0,True,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
26/03/24,15,away,3382,3299,2:2,3,FS,played,0,0,0,26/03/24 | FS | club:3382 | opponent:3299 | 2:2 | played | 82',False,False,True,82.0,True,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
23/03/24,15,away,3382,3509,0:0,,FS,in squad,0,0,0,23/03/24 | FS | club:3382 | opponent:3509 | 0:0 | in squad,False,False,False,,False,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
19/11/23,10,home,3382,8605,5:0,,EMQ,in squad,0,0,0,19/11/23 | EMQ | club:3382 | opponent:8605 | 5:0 | in squad,False,False,False,,False,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
15/11/23,12,home,3382,3438,1:0,5,FS,played,0,0,0,15/11/23 | FS | club:3382 | opponent:3438 | 1:0 | played | 90',False,False,True,90.0,True,zeno_debast__bel,Zeno Debast,BEL,DEF,548193,https://www.transfermarkt.de/zeno-debast/nationalmannschaft/spieler/548193/verein_id/3382
