date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
02/06/26,30,away,3441,3864,1:1,,FS,played,1,0,0,02/06/26 | FS | club:3441 | opponent:3864 | 1:1 | played | 30',False,False,True,30.0,False,caleb_yirenkyi__gha,Caleb Yirenkyi,GHA,DEF,1240763,https://www.transfermarkt.de/caleb-yirenkyi/nationalmannschaft/spieler/1240763/verein_id/3441
23/05/26,28,away,3441,6303,0:2,,FS,not in squad,0,0,0,23/05/26 | FS | club:3441 | opponent:6303 | 0:2 | not in squad,True,False,False,,False,caleb_yirenkyi__gha,Caleb Yirenkyi,GHA,DEF,1240763,https://www.transfermarkt.de/caleb-yirenkyi/nationalmannschaft/spieler/1240763/verein_id/3441
30/03/26,2,away,3441,3262,1:2,8,FS,played,0,0,0,30/03/26 | FS | club:3441 | opponent:3262 | 1:2 | played | 90',False,False,True,90.0,True,caleb_yirenkyi__gha,Caleb Yirenkyi,GHA,DEF,1240763,https://www.transfermarkt.de/caleb-yirenkyi/nationalmannschaft/spieler/1240763/verein_id/3441
27/03/26,46,away,3441,3383,1:5,5,FS,played,0,0,0,27/03/26 | FS | club:3441 | opponent:3383 | 1:5 | played | 70',False,False,True,70.0,True,caleb_yirenkyi__gha,Caleb Yirenkyi,GHA,DEF,1240763,https://www.transfermarkt.de/caleb-yirenkyi/nationalmannschaft/spieler/1240763/verein_id/3441
18/11/25,6,away,3441,3589,0:1,7,FS,played,0,0,0,18/11/25 | FS | club:3441 | opponent:3589 | 0:1 | played | 90',False,False,True,90.0,True,caleb_yirenkyi__gha,Caleb Yirenkyi,GHA,DEF,1240763,https://www.transfermarkt.de/caleb-yirenkyi/nationalmannschaft/spieler/1240763/verein_id/3441
14/11/25,5,away,3441,3435,0:2,5,FS,played,0,0,0,14/11/25 | FS | club:3441 | opponent:3435 | 0:2 | played | 90',False,False,True,90.0,True,caleb_yirenkyi__gha,Caleb Yirenkyi,GHA,DEF,1240763,https://www.transfermarkt.de/caleb-yirenkyi/nationalmannschaft/spieler/1240763/verein_id/3441
12/10/25,10,home,3441,16430,1:0,,WMQ2,played,0,0,1,12/10/25 | WMQ2 | club:3441 | opponent:16430 | 1:0 | played | 15',False,False,True,15.0,False,caleb_yirenkyi__gha,Caleb Yirenkyi,GHA,DEF,1240763,https://www.transfermarkt.de/caleb-yirenkyi/nationalmannschaft/spieler/1240763/verein_id/3441
08/10/25,9,away,3441,12933,5:0,5,WMQ2,played,0,0,0,08/10/25 | WMQ2 | club:3441 | opponent:12933 | 5:0 | played | 90',False,False,True,90.0,True,caleb_yirenkyi__gha,Caleb Yirenkyi,GHA,DEF,1240763,https://www.transfermarkt.de/caleb-yirenkyi/nationalmannschaft/spieler/1240763/verein_id/3441
08/09/25,8,home,3441,3674,1:0,8,WMQ2,played,0,0,0,08/09/25 | WMQ2 | club:3441 | opponent:3674 | 1:0 | played | 90',False,False,True,90.0,True,caleb_yirenkyi__gha,Caleb Yirenkyi,GHA,DEF,1240763,https://www.transfermarkt.de/caleb-yirenkyi/nationalmannschaft/spieler/1240763/verein_id/3441
04/09/25,7,away,3441,13978,1:1,5,WMQ2,played,0,0,0,04/09/25 | WMQ2 | club:3441 | opponent:13978 | 1:1 | played | 90',False,False,True,90.0,True,caleb_yirenkyi__gha,Caleb Yirenkyi,GHA,DEF,1240763,https://www.transfermarkt.de/caleb-yirenkyi/nationalmannschaft/spieler/1240763/verein_id/3441
31/05/25,45,away,3441,7149,4:0,5,FS,played,0,0,1,31/05/25 | FS | club:3441 | opponent:7149 | 4:0 | played | 90',False,False,True,90.0,True,caleb_yirenkyi__gha,Caleb Yirenkyi,GHA,DEF,1240763,https://www.transfermarkt.de/caleb-yirenkyi/nationalmannschaft/spieler/1240763/verein_id/3441
28/05/25,52,away,3441,3444,1:2,,FS,played,0,0,0,28/05/25 | FS | club:3441 | opponent:3444 | 1:2 | played | 45',False,False,True,45.0,False,caleb_yirenkyi__gha,Caleb Yirenkyi,GHA,DEF,1240763,https://www.transfermarkt.de/caleb-yirenkyi/nationalmannschaft/spieler/1240763/verein_id/3441
